int 0,string2 1,string2 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,float 11,float 12,float 13,float 14,float 15
2010,"minimap_t0201","_1",1,1,2,0,0,-1,-1,-1,80,0,-120,-80,75
2011,"minimap_t0201","_1",1,1,2,0,0,-1,-1,-1,80,0,-120,-80,75
2030,"minimap_t0203","_1",1,1,2,0,0,-1,-1,-1,100,0,-10,-40,75
2031,"minimap_t0203","_1",1,1,2,0,0,-1,-1,-1,100,0,-10,-40,75
3010,"minimap_t0301","_1",1,1,2,0,0,-1,-1,-1,100,0,-40,-40,75
3011,"minimap_t0301","_1",1,1,2,0,0,-1,-1,-1,100,0,-40,-40,75
3020,"minimap_t0302","_1",1,1,2,0,0,-1,-1,-1,170,0,100,0,75
3030,"minimap_t0303","_1",1,1,2,0,0,-1,-1,-1,140,0,0,50,75
3040,"minimap_t0304","_1",1,1,2,0,0,-1,-1,-1,65,0,-25,0,75
4010,"minimap_t0401","_1",1,1,2,0,0,-1,-1,-1,170,0,-130,0,75
4020,"minimap_t0402","_1",0,1,2,0,0,-1,-1,-1,250,0,0,0,75
4030,"minimap_t0403","_1",0,1,2,0,0,-1,-1,-1,250,0,0,0,75
4040,"minimap_t0404","_1",0,1,2,0,0,-1,-1,-1,250,0,0,0,75
4080,"minimap_t0408","_1",1,1,2,0,0,-1,-1,-1,250,155,-100,-20,75
4090,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
30010,"minimap_t3001","_1",1,1,2,0,0,-1,-1,-1,170,0,0,0,75
30011,"minimap_t3001","_2",1,1,2,0,0,-1,-1,-1,170,0,0,0,75
30020,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
30030,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
30040,"minimap_t3004","_1",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
101010,"minimap_d0101","_4",1,1,2,0,0,-1,-1,-1,80,0,0,0,75
101020,"minimap_d0102","_4",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
101030,"minimap_d0103","_4",1,2,2,3,0,-1,-1,-1,80,0,45,0,75
101031,"minimap_d0103","_3",1,2,2,3,0,-1,-1,-1,80,0,45,0,75
101040,"minimap_d0104","_4",1,1,2,0,0,-1,-1,-1,60,0,-50,0,75
101050,"minimap_d0105","_3",1,1,2,0,0,-1,-1,-1,100,0,30,40,75
101060,"minimap_d0106","_4",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
101070,"minimap_d0107","_3",1,3,1,2,3,-1,-1,-1,80,0,45,0,75
101080,"minimap_d0108","_4",1,1,2,0,0,-1,-1,-1,80,0,100,0,75
101090,"minimap_d0109","_4",1,1,2,0,0,-1,-1,-1,80,0,-160,0,75
102010,"minimap_d0201","_3",1,2,2,3,0,-1,-1,-1,80,0,-30,0,75
102011,"minimap_d0201","_4",1,2,2,3,0,-1,-1,-1,80,0,-30,0,75
102020,"minimap_d0202","_3",1,2,2,3,0,-1,-1,-1,80,0,50,40,75
102021,"minimap_d0202","_4",1,2,2,3,0,-1,-1,-1,80,0,50,40,75
102030,"minimap_d0203","_3",0,1,2,0,0,-1,-1,-1,140,0,0,0,75
102031,"minimap_d0203","_4",0,1,2,0,0,-1,-1,-1,140,0,0,0,75
102040,"minimap_d0204","_3a",1,1,2,0,0,-1,-1,-1,200,0,-50,0,75
102041,"minimap_d0204","_3b",1,1,2,0,0,-1,-1,-1,200,0,-50,0,75
102042,"minimap_d0204","_4",1,1,2,0,0,-1,-1,-1,200,0,-50,0,75
102050,"minimap_d0205","_3",1,1,2,0,0,-1,-1,-1,80,0,-60,-200,75
102060,"minimap_d0206","_3",1,1,2,0,0,-1,-1,-1,120,0,-100,0,75
102070,"minimap_d0207","_3",1,3,1,2,3,-1,-1,-1,150,0,0,0,75
102080,"minimap_d0208","_3",1,1,2,0,0,-1,-1,-1,120,0,0,0,75
102090,"minimap_d0209","_3",1,3,1,2,3,-1,-1,-1,150,0,0,0,75
102100,"minimap_d0210","_3",1,1,2,0,0,-1,-1,-1,120,0,0,0,75
102110,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
102120,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
102130,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
102150,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
102160,"minimap_d0216","_3",0,1,2,0,0,-1,-1,-1,140,180,-250,-100,75
102170,"minimap_d0217","_3",1,3,3,2,1,-1,-1,-1,120,0,0,0,75
103010,"minimap_d0301","_3",1,2,2,1,0,-1,-1,-1,85,0,50,0,75
103020,"minimap_d0302","_3",1,1,2,0,0,-1,-1,-1,90,0,0,0,75
103021,"minimap_d0302","_3",1,2,2,3,0,-1,-1,-1,90,0,0,0,75
103030,"minimap_d0303","_3",1,1,2,0,0,-1,-1,-1,75,0,0,0,75
103040,"minimap_d0304","_3",1,1,2,0,0,-1,-1,-1,75,0,0,0,75
103050,"minimap_d0305","_3",1,1,2,0,0,-1,-1,-1,75,0,0,0,75
103060,"minimap_d0306","_3",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
103080,"minimap_d0308","_3",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
104010,"minimap_d0401","_3",1,3,1,2,3,-1,-1,-1,80,0,0,0,75
104011,"minimap_d0401","_3",1,3,1,2,3,-1,-1,-1,80,0,0,0,75
104020,"minimap_d0402","_3",1,1,2,0,0,-1,-1,-1,80,0,0,0,75
104021,"minimap_d0402","_4",1,1,2,0,0,-1,-1,-1,80,0,0,0,75
104030,"minimap_d0403","_3",1,1,2,0,0,-1,-1,-1,75,0,0,0,75
104031,"minimap_d0403","_3",1,1,2,0,0,-1,-1,-1,75,0,0,0,75
104040,"minimap_d0404","_3",1,2,2,3,0,-1,-1,-1,100,0,0,0,75
104041,"minimap_d0404","_4",1,2,2,3,0,-1,-1,-1,100,0,0,0,75
104050,"minimap_d0405","_3",1,2,3,2,0,-1,-1,-1,100,180,100,0,75
104051,"minimap_d0405","_4",1,2,3,2,0,-1,-1,-1,100,180,100,0,75
104060,"minimap_d0406","_3",1,1,2,0,0,-1,-1,-1,80,0,150,0,75
104061,"minimap_d0406","_4",1,1,2,0,0,-1,-1,-1,80,0,150,0,75
104070,"minimap_d0407","_3",1,1,2,0,0,-1,-1,-1,80,0,0,0,75
105010,"minimap_d0501","_3",1,3,3,2,1,-1,-1,-1,80,0,0,0,75
105011,"minimap_d0501","_4",1,3,3,2,1,-1,-1,-1,80,0,0,0,75
105020,"minimap_d0502","_3",1,1,2,0,0,-1,-1,-1,100,-90,0,0,75
105030,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105040,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105050,"minimap_d0505","_3",1,1,2,0,0,-1,-1,-1,100,0,0,0,75
105060,"minimap_d0506","_3",1,1,2,0,0,-1,-1,-1,140,0,500,0,75
105070,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105080,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105090,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105100,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105110,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105120,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105130,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105500,"","",0,0,2,0,0,-1,-1,-1,200,0,0,0,75
105510,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
105520,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
106010,"minimap_d0601","_3",1,1,2,0,0,-1,-1,-1,70,0,400,0,75
106020,"minimap_d0602","_3",1,2,2,3,0,-1,-1,-1,70,0,0,0,35
106030,"minimap_d0603","_3",1,2,2,3,0,-1,-1,-1,80,0,0,0,75
106040,"minimap_d0604","_3",1,3,3,2,1,-1,-1,-1,80,0,0,0,75
106050,"minimap_d0605","_3",1,1,2,0,0,-1,-1,-1,80,0,100,0,75
106060,"minimap_d0606","_3",1,1,2,0,0,-1,-1,-1,70,0,400,0,75
106070,"minimap_d0607","_3",1,1,2,0,0,-1,-1,-1,70,0,-750,0,50
106080,"minimap_d0608","_3",1,1,2,0,0,-1,-1,-1,80,0,100,0,75
106090,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
107010,"minimap_d0701","_3",1,1,2,0,0,-1,-1,-1,80,0,0,0,75
107011,"minimap_d0701","_4",1,1,2,0,0,-1,-1,-1,80,0,0,0,75
107020,"minimap_d0702","_3",1,1,2,0,0,-1,-1,-1,70,0,-150,0,75
107021,"minimap_d0702","_4",1,1,2,0,0,-1,-1,-1,70,0,-150,0,75
107030,"minimap_d0703","_3",1,1,2,0,0,-1,-1,-1,80,0,100,0,75
107031,"minimap_d0703","_4",1,1,2,0,0,-1,-1,-1,80,0,100,0,75
108010,"","",0,0,0,0,0,-1,-1,-1,100,0,0,0,75
108020,"","",0,0,0,0,0,-1,-1,-1,100,0,0,0,75
109000,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
109010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
109020,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
109030,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
109040,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
109050,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
109060,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
109070,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
110010,"minimap_d1001","_1",1,1,2,0,0,-1,-1,-1,80,0,0,0,75
110020,"minimap_d1002","_1",1,2,2,3,0,-1,-1,-1,140,0,0,-100,75
110030,"minimap_d1003","_1",1,1,2,0,0,-1,-1,-1,100,0,0,-200,75
111010,"minimap_d1101","_1",1,1,2,0,0,-1,-1,-1,100,0,0,0,75
111020,"minimap_d1102","_1",1,1,2,0,0,-1,-1,-1,100,0,-100,0,75
111021,"minimap_d1102","_1",1,1,2,0,0,-1,-1,-1,100,0,-100,0,75
111030,"minimap_d1103","_1",1,1,2,0,0,-1,-1,-1,80,180,0,0,75
111040,"minimap_d1104","_1",1,1,2,0,0,-1,-1,-1,100,180,100,-100,75
112010,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
112020,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
112030,"","",0,0,2,0,0,-1,-1,-1,140,0,0,0,75
112040,"minimap_d1204","_1",1,2,2,3,0,-1,-1,-1,120,0,-100,0,75
112050,"minimap_d1205","_1",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
112060,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
113010,"minimap_d1301","_1",1,1,2,0,0,-1,-1,-1,140,90,0,0,75
113020,"minimap_d1302","_1",1,1,2,0,0,-1,-1,-1,140,180,-100,0,75
113030,"minimap_d1303","_1",1,1,2,0,0,-1,-1,-1,140,90,100,0,75
113040,"minimap_d1304","_1",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
113050,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
114010,"minimap_d1401","_2",1,1,2,0,0,-1,-1,-1,140,0,50,-100,75
114020,"","",0,0,2,3,0,-1,-1,-1,140,0,0,0,75
114030,"minimap_d1403","_1a",1,1,2,0,0,-1,-1,-1,100,0,0,300,75
114031,"minimap_d1403","_1b",1,1,2,0,0,-1,-1,-1,100,0,0,300,75
114040,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
114050,"minimap_d1405","_1",1,2,1,2,0,-1,-1,-1,120,0,0,-100,75
114060,"minimap_d1406","_2",1,1,2,0,0,-1,-1,-1,120,180,0,0,75
114070,"minimap_d1407","_2",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
114080,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
150010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
150020,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
150030,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
150040,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
150050,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
150060,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
150080,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
190010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
190020,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
190030,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
190040,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
201010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
202010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
202100,"minimap_h0210","_1",1,1,2,0,0,-1,-1,-1,100,0,60,0,75
202110,"minimap_h0210","_1",1,1,2,0,0,-1,-1,-1,100,0,60,0,75
202120,"minimap_h0210","_1",1,1,2,0,0,-1,-1,-1,100,0,60,0,75
202130,"minimap_h0210","_1",1,1,2,0,0,-1,-1,-1,100,0,60,0,75
202200,"minimap_h0220","_1",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
202210,"minimap_h0220","_1",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
202220,"minimap_h0220","_1",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
203010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
203100,"minimap_h0310","_1",1,1,2,0,0,-1,-1,-1,100,0,-90,0,75
203110,"minimap_h0310","_1",1,1,2,0,0,-1,-1,-1,100,0,-90,0,75
203120,"minimap_h0310","_1",1,1,2,0,0,-1,-1,-1,100,0,-90,0,75
203130,"minimap_h0310","_1",1,1,2,0,0,-1,-1,-1,100,0,-90,0,75
204010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
204150,"minimap_h0415","_1",1,1,2,0,0,-1,-1,-1,120,0,-65,0,75
204160,"minimap_h0415","_1",1,1,2,0,0,-1,-1,-1,120,0,-65,0,75
204170,"minimap_h0415","_1",1,1,2,0,0,-1,-1,-1,120,0,-65,0,75
204180,"minimap_h0415","_1",1,1,2,0,0,-1,-1,-1,120,0,-65,0,75
204200,"minimap_h0420","_1",1,1,2,0,0,-1,-1,-1,140,0,60,0,75
204210,"minimap_h0420","_1",1,1,2,0,0,-1,-1,-1,140,0,60,0,75
204220,"minimap_h0420","_1",1,1,2,0,0,-1,-1,-1,140,0,60,0,75
204230,"minimap_h0420","_1",1,1,2,0,0,-1,-1,-1,140,0,60,0,75
205010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
205100,"minimap_h0510","_1",1,2,2,3,0,-1,-1,-1,100,0,-120,0,75
205110,"minimap_h0510","_1",1,2,2,3,0,-1,-1,-1,100,0,-120,0,75
205120,"minimap_h0510","_1",1,2,2,3,0,-1,-1,-1,100,0,-120,0,75
205130,"minimap_h0510","_1",1,2,2,3,0,-1,-1,-1,100,0,-120,0,75
205200,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
206010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
207010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
208010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
208100,"minimap_h0810","_1",1,1,2,0,0,-1,-1,-1,140,0,50,0,75
208110,"minimap_h0810","_1",1,1,2,0,0,-1,-1,-1,140,0,50,0,75
208120,"minimap_h0810","_1",1,1,2,0,0,-1,-1,-1,140,0,50,0,75
208130,"minimap_h0810","_1",1,1,2,0,0,-1,-1,-1,140,0,50,0,75
300010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
300020,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
300030,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
300040,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
300050,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
300060,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
300070,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
300080,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
401010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
402010,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
