int 0,int 1,empty 2,int 3,string2 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,bool 25,bool 26,bool 27,bool 28,bool 29,bool 30,bool 31,bool 32,bool 33,bool 34,bool 35,bool 36,bool 37,int 38,int 39,int 40,int 41,empty 42
55,55,"",2,"03_13",11,0,53,0,0,0,0,0,0,0,30,12,-1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,55,0,""
56,56,"",2,"02_07",10,0,53,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,56,0,""
57,57,"",2,"03_11",12,0,56,0,0,0,0,0,0,0,50,21,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,0,""
58,58,"",2,"03_09",21,0,57,0,0,0,0,0,0,0,30,8,-1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,0,""
59,59,"",2,"01_07",19,0,52,0,0,0,0,0,0,0,10,8,-1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59,0,""
60,60,"",2,"02_11",19,0,59,0,0,0,0,0,0,0,20,8,-1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59,0,""
61,61,"",2,"03_15",19,0,60,0,0,0,0,0,0,0,30,8,-1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59,0,""
62,62,"",2,"02_13",9,0,60,0,0,0,0,0,0,0,10,9,-1,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,62,0,""
63,54,"",2,"02_19",5,0,62,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54,0,""
64,64,"",2,"04_04",12,0,93,0,0,0,0,0,0,0,50,22,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,0,""
65,56,"",2,"03_17",10,0,61,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,56,0,""
66,66,"",2,"04_11",11,0,61,0,0,0,0,0,0,0,80,14,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,66,0,""
67,67,"",2,"04_03",6,1,58,61,0,0,0,0,0,0,100,8,-1,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,0,""
68,68,"",2,"01_11",22,0,59,0,0,0,0,0,0,0,40,8,-1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,""
69,69,"",2,"01_01",17,0,51,0,0,0,0,0,0,0,15,8,-1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,69,0,""
70,70,"",2,"01_02",17,0,51,0,0,0,0,0,0,0,30,8,-1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,69,0,""
71,71,"",2,"02_02",17,0,69,70,0,0,0,0,0,0,45,8,-1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,69,0,""
72,72,"",2,"02_04",6,1,58,94,0,0,0,0,0,0,100,8,-1,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,72,0,""
73,73,"",2,"01_06",20,0,51,0,0,0,0,0,0,0,15,8,-1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,73,0,""
74,74,"",2,"01_08",16,0,73,0,0,0,0,0,0,0,20,8,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,74,0,""
75,54,"",2,"01_09",5,0,74,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54,0,""
76,76,"",2,"02_15",16,0,74,0,0,0,0,0,0,0,40,8,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,76,0,""
77,77,"",2,"02_16",22,0,76,0,0,0,0,0,0,0,20,8,-1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,""
78,78,"",2,"02_18",11,0,68,0,0,0,0,0,0,0,90,16,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,78,0,""
79,79,"",2,"02_14",16,0,76,0,0,0,0,0,0,0,60,8,-1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,79,0,""
80,66,"",2,"03_21",11,0,79,0,0,0,0,0,0,0,80,14,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,66,0,""
81,81,"",2,"02_10",20,0,73,0,0,0,0,0,0,0,30,8,-1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,73,0,""
82,56,"",2,"03_14",10,0,81,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,56,0,""
83,83,"",2,"04_08",11,0,82,0,0,0,0,0,0,0,70,15,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,83,0,""
84,84,"",2,"03_16",12,0,81,0,0,0,0,0,0,0,50,23,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,84,0,""
85,85,"",2,"04_10",20,0,84,0,0,0,0,0,0,0,45,8,-1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,73,0,""
86,86,"",2,"04_12",6,1,79,84,0,0,0,0,0,0,100,8,-1,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,86,0,""
87,87,"",2,"01_04",18,0,51,0,0,0,0,0,0,0,15,8,-1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,87,0,""
88,88,"",2,"01_00",9,0,87,0,0,0,0,0,0,0,30,10,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,88,0,""
89,89,"",2,"02_08",11,0,87,0,0,0,0,0,0,0,50,11,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,89,0,""
90,90,"",2,"03_12",18,0,89,0,0,0,0,0,0,0,30,8,-1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,87,0,""
91,54,"",2,"04_06",5,0,90,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54,0,""
92,92,"",2,"02_06",22,0,89,0,0,0,0,0,0,0,60,8,-1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,""
93,56,"",2,"03_10",10,0,92,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,56,0,""
94,94,"",2,"02_03",12,0,71,0,0,0,0,0,0,0,50,24,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,94,0,""
95,95,"",2,"03_08",18,0,93,0,0,0,0,0,0,0,45,8,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,87,0,""
96,96,"",2,"02_00",6,1,71,95,0,0,0,0,0,0,100,8,-1,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96,0,""
101,101,"",3,"",3,0,0,0,0,0,0,0,0,0,0,33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,101,0,""
102,102,"",3,"01_05",19,0,101,0,0,0,0,0,0,0,10,8,-1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,102,0,""
103,103,"",3,"02_09",19,0,102,0,0,0,0,0,0,0,20,8,-1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,102,0,""
104,104,"",3,"02_07",9,0,103,0,0,0,0,0,0,0,30,10,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,0,""
105,105,"",3,"03_17",12,0,113,0,0,0,0,0,0,0,50,25,-1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,105,0,""
106,106,"",3,"03_11",5,0,135,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106,0,""
107,107,"",3,"04_07",19,0,135,0,0,0,0,0,0,0,30,8,-1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,102,0,""
108,108,"",3,"01_07",22,0,101,0,0,0,0,0,0,0,10,8,-1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,108,0,""
109,109,"",3,"02_11",11,0,108,0,0,0,0,0,0,0,80,14,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,109,0,""
110,110,"",3,"03_15",20,0,109,0,0,0,0,0,0,0,40,8,-1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,110,0,""
111,111,"",3,"01_11",22,0,108,0,0,0,0,0,0,0,20,8,-1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,108,0,""
112,112,"",3,"02_18",10,0,111,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,112,0,""
113,113,"",3,"02_13",22,0,111,0,0,0,0,0,0,0,30,8,-1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,108,0,""
114,114,"",3,"02_19",11,0,113,0,0,0,0,0,0,0,50,11,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,114,0,""
115,115,"",3,"03_16",12,0,132,0,0,0,0,0,0,0,50,27,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115,0,""
116,106,"",3,"03_19",5,0,105,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106,0,""
117,117,"",3,"04_11",6,1,105,107,0,0,0,0,0,0,100,8,-1,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,117,0,""
118,118,"",3,"01_02",21,0,101,0,0,0,0,0,0,0,15,8,-1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,118,0,""
119,119,"",3,"02_04",21,0,118,0,0,0,0,0,0,0,30,8,-1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,118,0,""
120,120,"",3,"02_02",21,0,118,0,0,0,0,0,0,0,45,8,-1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,118,0,""
121,112,"",3,"01_03",10,0,119,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,112,0,""
122,112,"",3,"01_00",10,0,120,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,112,0,""
123,123,"",3,"04_03",6,1,107,119,0,0,0,0,0,0,100,8,-1,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,123,0,""
124,124,"",3,"01_10",11,0,101,0,0,0,0,0,0,0,30,12,-1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,124,0,""
125,125,"",3,"02_17",20,0,124,0,0,0,0,0,0,0,60,8,-1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,110,0,""
126,126,"",3,"03_24",11,0,125,0,0,0,0,0,0,0,90,16,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,126,0,""
127,127,"",3,"01_09",16,0,101,0,0,0,0,0,0,0,15,8,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,127,0,""
128,128,"",3,"02_16",16,0,127,0,0,0,0,0,0,0,30,8,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,127,0,""
129,129,"",3,"03_23",16,0,128,0,0,0,0,0,0,0,45,8,-1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,127,0,""
130,130,"",3,"01_06",17,0,101,0,0,0,0,0,0,0,20,8,-1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,130,0,""
131,131,"",3,"01_08",17,0,130,0,0,0,0,0,0,0,40,8,-1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,130,0,""
132,132,"",3,"02_12",17,0,131,0,0,0,0,0,0,0,60,8,-1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,130,0,""
133,112,"",3,"02_15",10,0,131,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,112,0,""
134,134,"",3,"03_21",6,1,129,132,0,0,0,0,0,0,100,8,-1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,134,0,""
135,135,"",3,"03_13",12,0,103,0,0,0,0,0,0,0,50,28,-1,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,135,0,""
136,136,"",3,"03_18",11,0,115,0,0,0,0,0,0,0,70,15,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,136,0,""
137,109,"",3,"02_10",11,0,130,0,0,0,0,0,0,0,80,14,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,109,0,""
138,138,"",3,"03_14",20,0,137,0,0,0,0,0,0,0,20,8,-1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,110,0,""
139,106,"",3,"04_08",5,0,138,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106,0,""
140,140,"",3,"01_04",18,0,101,0,0,0,0,0,0,0,15,8,-1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,140,0,""
141,141,"",3,"02_08",18,0,140,0,0,0,0,0,0,0,30,8,-1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,140,0,""
142,142,"",3,"02_06",9,0,141,0,0,0,0,0,0,0,10,9,-1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,142,0,""
143,143,"",3,"03_12",12,0,141,0,0,0,0,0,0,0,50,26,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,143,0,""
144,144,"",3,"04_06",18,0,143,0,0,0,0,0,0,0,45,8,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,140,0,""
145,106,"",3,"03_10",5,0,143,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106,0,""
146,146,"",3,"04_02",6,1,120,144,0,0,0,0,0,0,100,8,-1,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,146,0,""
151,151,"",4,"",4,0,0,0,0,0,0,0,0,0,0,33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,151,0,""
152,152,"",4,"01_10",11,0,151,0,0,0,0,0,0,0,30,12,-1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,152,0,""
153,153,"",4,"01_07",16,0,151,0,0,0,0,0,0,0,15,8,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,153,0,""
154,154,"",4,"02_11",5,0,153,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,154,0,""
155,155,"",4,"03_15",9,0,154,0,0,0,0,0,0,0,30,10,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,155,0,""
156,156,"",4,"04_09",11,0,155,0,0,0,0,0,0,0,80,14,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,156,0,""
157,157,"",4,"01_05",22,0,153,0,0,0,0,0,0,0,15,8,-1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,157,0,""
158,158,"",4,"02_09",22,0,157,0,0,0,0,0,0,0,30,8,-1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,157,0,""
159,159,"",4,"02_07",22,0,158,0,0,0,0,0,0,0,45,8,-1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,157,0,""
160,160,"",4,"03_13",10,0,158,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,160,0,""
161,161,"",4,"03_11",11,0,159,0,0,0,0,0,0,0,70,15,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,161,0,""
162,160,"",4,"01_11",10,0,153,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,160,0,""
163,163,"",4,"02_18",11,0,162,0,0,0,0,0,0,0,50,11,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,163,0,""
