string2 0,empty 1,string2 2,string2 3,string2 4,float 5,empty 6,empty 7,float 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,string2 27,string2 28,string2 29,string2 30,string2 31,string2 32,float 33,float 34,float 35,float 36,int 37,float 38,float 39,int 40,float 41,float 42,float 43,float 44,float 45,float 46,float 47,empty 48,empty 49,empty 50,float 51,string2 52,float 53,float 54,float 55,float 56,float 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,byte 67,byte 68,byte 69,byte 70,int 71,empty 72,int 73,int 74,byte 75,byte 76,byte 77,byte 78,string2 79,int 80,int 81
"chr012","","","","",1,"","",0.3,1.8,1.71,3.51,1.71,3,0.3,1.8,1.71,3,1.539,3,1.71,3.51,2.052,3,1.539,3,5,"fe02","","","","","",7,1.904,-1,0.48,1,2.3,0,180,1.1,2.3,2,0,0.5,0.5,0.45,"","","",0.414,"CP01",0,0.2,0,0.9,2,1,1,1,1,1,1,12,18,310016,0,-1,-1,-1,2,"",0,1,0,1,2,0,"CP01",0,0
"chr013","","","","",1,"","",0.3,1.8,1.05,2.85,1.05,2.85,0.3,1.8,1.05,2.85,0.9135,2.4795,1.05,2.85,1.26,2.85,1.5,3,5,"fe02","","","","","",7.2,1.504,-1,0.52,0,1.9,0,180,1.5,1.5,2.2,0.4,0.5,0.5,0.42,"","","",0.285,"CP01",0,0.2,0,0.75,1.8,0.9,0.9,1,1,1,1,23,18,310015,0,-1,-1,-1,0,"",0,1,1,0,0,2,"CP01",0,0
"chr014","","","","",1,"","",0.3,1.8,0.84,2.28,0.84,2.28,0.3,1.8,0.84,2.28,0.84,2.28,0.84,2.28,1.008,2.28,1.5,3,5,"fe02","","","","","",7.3,1.504,-1,0.52,1,2,0,180,1.8,1.7,3.3,0,0.5,0.5,0.5,"","","",0.25,"CP01",0,0.2,0,0.6,1.8,0.9,0.9,1,1,1,1,6,18,310009,3,-1,-1,-1,0,"",0,1,0,2,1,1,"CP01",0,0
"chr015","","","","",1,"","",0.3,1.8,3.2,7.4,3.2,3,0.3,1.8,3.2,3,1.6,3,3.2,7.4,3.84,3,1.6,3,5,"fe02","","","","","",7.3,2.336,-1,0.44,1,3.6,0.2,180,2.8,2.2,3.3,0,0.5,0.5,0.83,"","","",0.72,"CP01",0,0.2,0,1,1.8,0.75,0.75,1,1,1,1,29,18,310016,0,-1,-1,-1,1,"",0,1,1,0,2,0,"CP01",0,0
"chr016","","","","",1,"","",0.3,1.8,1.35,4.05,1.35,3,0.3,1.8,1.35,3,1.107,3,1.35,4.05,1.62,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.9,0,180,0.8,0.9,1.9,0,0.5,0.5,0.65,"","","",0.513,"CP01",0,0.2,0,1.35,1.8,0.9,0.9,1,1,1,1,9,18,310010,0,-1,-1,-1,0,"",0,1,1,2,1,0,"CP01",0,0
"chr017","","","","",1,"","",0.3,1.8,1.61,4.37,1.61,3,0.3,1.8,1.61,3,0.966,2.622,1.61,4.37,1.932,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,2,0,180,1.2,1.9,2.7,0,0.5,0.5,0.78,"","","",0.46,"CP01",0,0.2,0,1.15,1.6,0.85,0.85,1,1,1,1,19,18,310014,0,-1,-1,-1,2,"",0,1,0,1,2,0,"CP01",0,0
"chr604","","","","",1,"","",0.3,1.8,35,105,1,3,0.3,1.8,1,3,1,3,35,105,1.2,3,1.5,3,5,"fe02","","","","","",5.2,0.2,-1,0.16,1,2.5,1.4,180,2.1,1.8,4.5,0,0.5,0.5,1.13,"","","",0.5,"CP01",0,0.2,0,1,2.3,0.65,0.65,1,1,35,1,30,18,310010,15,-1,-1,-1,0,"",0,1,0,2,1,0,"CP01",0,0
"chr020","","","","",1,"","",0.3,1.8,0.2,1.4,0.2,1.4,0.3,1.8,0.2,1.4,0.2,1.4,0.2,1.4,0.24,1.4,1.5,3,5,"fe02","","","","","",7.8,0.8,-1,0.6,1,1,0,180,0.4,0.5,0.5,0,0.5,0.5,0.13,"","","",0.25,"CP01",0,0.2,0,1,2,1,1,1,1,1,1,16,18,310008,7,-1,-1,-1,0,"",0,1,0,1,2,0,"CP01",1,0
"chr169","","","","",1,"","",0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1,3,1.2,3,1.5,3,5,"fe02","","","","","",5.2,5.6,-1,0.2,1,2.5,1.5,185,1.7,1.5,6,0,0.5,0.5,1.2,"","","",0.4,"CP01",0,0.2,0,0.8,2.2,0.65,0.65,1,1,1,1,13,18,310003,8,-1,-1,-1,0,"",0,1,0,2,1,0,"CP01",0,0
"chr023","","","","",1,"","",0.3,1.8,1.35,4.05,1.35,3,0.8,1.8,1.35,3,0.9045,2.7135,1.35,4.05,1.62,3,1.5,3,5,"fe02","","","","","",7.3,2.8,-1,0.4,1,3.5,0.2,180,1.8,1.6,2.5,0,0.5,0.5,0.85,"","","",0.945,"CP01",0,0.2,0,1.35,1.8,0.7,0.7,1,1,1,1,14,18,310004,5,-1,-1,-1,2,"",0,1,1,0,0,2,"CP01",0,0
"chr024","","","","",1,"","",0.3,1.8,0.56,3.08,0.56,3,0.3,1.8,0.56,3,0.4032,2.2176,0.56,3.08,0.672,3,1.5,3,5,"fe02","","","","","",7.3,0.8,-1,0.6,1,1,0,180,0.3,0.5,1.3,0.8,1,0.5,0.37,"","","",0.28,"CP01",0,0.2,0,1.4,1.4,0.8,0.8,1,1,1,1,9,18,310008,0,-1,-1,-1,0,"",0,1,1,0,2,1,"CP01",0,0
"chr025","","","","",1,"","",0.3,1.8,1.84,3.795,1.84,3,0.3,1.8,1.84,3,1.38,2.84625,1.84,3.795,2.208,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,3.2,0,210,2.4,1.7,2.3,0,0.5,0.5,0.67,"","","",0.736,"CP01",0,0.2,0,1.15,1.6,0.8,0.8,1,1,1,1,14,18,310016,0,-1,-1,-1,2,"",0,1,0,0,1,2,"CP01",0,0
"chr026","","","","",1,"","",0.3,1.8,1,3,1,3,0.3,1.8,1,3,0.7,2.1,1,3,1.2,3,1.5,3,5,"fe02","","","","","",7.3,2.8,-1,0.4,1,2.5,0,180,1,1.3,3.1,0,0.5,0.5,0.71,"","","",0.5,"CP01",0,0.2,0,1,1.8,0.7,0.7,1,1,1,1,23,18,310003,17,-1,-1,-1,0,"",0,1,0,2,1,0,"CP01",0,0
"chr328","","","","",1,"","",0.3,1.8,1.638,4.446,1.638,3,0.3,1.8,1.638,3,0.80262,2.17854,1.638,4.446,1.9656,3,1.5,3,5,"fe02","","","","","",5.5,5.6,-1,0.2,1,3.6,1.4,190,3,3.6,5,0,0.5,0.5,1.13,"","","",0.648,"CP01",0,0.2,0,0.9,2.4,0.65,0.65,1,1,1,2.2,25,18,310018,0,-1,-1,-1,0,"",0,1,0,2,1,0,"CP01",0,0
"chr028","","","","",1,"","",0.3,1.8,1,3,1,3,0.3,1.8,1,3,0.88,2.64,1,3,1.2,3,1.5,3,5,"fe02","","","","","",7.3,1.504,-1,0.52,1,1.75,0,180,1,1.4,2,0,0.5,0.5,0.5,"","","",0.35,"CP01",0,0.2,0,1,1.6,0.9,0.9,1,1,1,1,26,18,310016,0,-1,-1,-1,0,"",0,1,0,2,1,1,"CP01",0,0
"chr030","","","","",1,"","",0.3,1.8,1.07,3.21,1.07,3,0.3,1.8,1.07,3,0.9309,2.7927,1.07,3.21,1.284,3,1.5,3,5,"fe02","","","","","",7.2,1.504,-1,0.52,1,1.9,0,180,0.7,1.4,2,0,0.5,0.5,0.48,"","","",0.4066,"CP01",0,0.2,0,1.07,1.6,0.9,0.9,1,1,1,1,18,18,310003,12,-1,-1,-1,2,"",0,1,0,1,2,0,"CP01",0,0
"chr031","","","","",1,"","",0.3,1.8,0.96,3.12,0.96,3,0.3,1.8,0.96,3,0.7968,2.5896,0.96,3.12,1.152,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.8,0,180,0.9,1.2,2.2,0,0.5,0.5,0.66,"","","",0.432,"CP01",0,0.2,0,1.2,1.6,0.85,0.85,1,1,1,1,23,18,310005,0,-1,-1,-1,0,"",0,1,1,0,2,0,"CP01",0,0
"chr215","","","","",1,"","",0.3,1.8,9.135,20.88,3.045,3,0.8,1.8,3.045,3,1.5834,3,9.135,20.88,3.654,3,1.5834,3,5,"fe02","","","","","",5.5,0.2,-1,0.16,1,4.5,1.5,200,4.1,3.8,6,0,0.5,0.5,1.31,"","","",0.783,"CP01",0,0.2,0,0.87,2.2,0.65,0.65,1,1,3,1,25,18,310014,0,-1,-1,-1,2,"",0,1,1,0,2,0,"CP01",0,0
"chr225","","","","",1,"","",0.3,1.8,1.2,3.4,1.2,3,0.3,1.8,1.2,3,0.876,2.482,1.2,3.4,1.44,3,1.5,3,5,"fe02","","","","","",7.3,3.824,-1,0.32,1,2.5,0.4,180,1,2,3.5,0,0.5,0.5,0.84,"","","",0.5,"CP01",0,0.2,0,1,2.6,0.8,0.8,1,1,1,1,25,18,310007,2,-1,-1,-1,2,"",0,1,0,2,1,0,"CP01",0,0
"chr034","","","","",1,"","",0.3,1.8,0.98,2.66,0.98,2.66,0.3,1.8,0.98,2.66,0.8134,2.2078,0.98,2.66,1.176,2.66,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.6,0,180,1.6,1.6,3.5,0,0.5,0.5,0.51,"","","",0.25,"CP01",0,0.2,0,0.58,1.8,0.9,0.9,1,1,1,1,25,18,310008,10,-1,-1,-1,0,"",0,1,1,0,2,0,"CP01",0,0
"chr035","","","","",1,"","",0.3,1.8,1.05,3.6,1.05,3,0.3,1.8,1.05,3,0.735,2.52,1.05,3.6,1.26,3,1.5,3,5,"fe02","","","","","",7.3,3.296,-1,0.36,1,2.3,0,180,0.8,1.1,2.1,0,0.5,0.5,0.68,"","","",0.69,"CP01",0,0.2,0,1.5,2.5,0.8,0.8,1,1,1,1,32,18,310010,20,-1,-1,-1,2,"",0,1,1,0,2,0,"CP01",0,0
"chr036","","","","",1,"","",0.3,1.8,1.728,3.564,1.728,3,0.3,1.8,1.728,3,1.10592,2.28096,1.728,3.564,2.0736,3,1.5,3,5,"fe02","","","","","",5.7,2.8,-1,0.4,1,3.2,0.8,180,1.7,1.3,3.6,0,0.5,0.5,0.86,"","","",0.6912,"CP01",0,0.2,0,1.08,1.8,0.65,0.65,1,1,1,1,11,18,310012,0,-1,-1,-1,0,"",0,1,1,0,2,0,"CP01",0,0
"chr414","","","","",1,"","",0.3,1.8,1.6,4.8,1.6,3,0.3,1.8,1.6,3,0.992,2.976,1.6,4.8,1.92,3,1.5,3,5,"fe02","","","","","",7.3,3.296,-1,0.36,1,2.5,0,180,0.8,1.4,1.6,0,0.5,0.5,0.64,"","","",0.8,"CP01",0,0.2,0,1.6,2.6,0.7,0.7,1,1,1,1,18,18,310017,10,-1,-1,-1,0,"",0,1,1,0,2,0,"CP01",0,0
"chr424","","","","",1,"","",0.3,1.8,1.95,4.05,1.95,3,0.3,1.8,1.95,3,1.17,2.43,1.95,4.05,2.34,3,1.5,3,5,"fe02","","","","","",7.3,3.824,-1,0.32,1,3,0,180,1,1.4,1.9,0,0.5,0.5,0.72,"","","",0.9,"CP01",0,0.2,0,1.5,2.6,0.7,0.7,1,1,1,1,19,18,310003,13,-1,-1,-1,2,"",0,1,0,1,2,0,"CP01",0,0
"chr039","","","","",1,"","",0.3,1.8,2.3,4.7,2.3,3,0.3,1.8,2.3,3,1.357,2.773,2.3,4.7,2.76,3,1.5,3,5,"fe02","","","","","",5.2,2.336,-1,0.44,1,2.75,1,180,2.5,1.2,4,0,0.5,0.5,0.94,"","","",0.55,"CP01",0,0.2,0,1,1.6,0.65,0.65,1,1,1,1,12,18,310010,3,-1,-1,-1,2,"",0,1,1,1,2,0,"CP01",0,0
"chr453","","","","",1,"","",0.3,1.8,1.75,4.75,1.75,3,0.3,1.8,1.75,3,1.12,3,1.75,4.75,2.1,3,1.5,3,5,"fe02","","","","","",5.7,5.6,-1,0.2,1,2.4,1.2,180,0.8,2,3.5,0,0.5,0.5,0.88,"","","",0.6,"CP01",0,0.2,0,1.25,2.2,0.75,0.75,1,1,1,1,25,18,310018,0,-1,-1,-1,0,"",0,1,1,1,2,0,"CP01",0,0
"chr041","","","","",1,"","",0.3,1.8,1.2,3.6,1.2,3,0.3,1.8,1.2,3,1.02,3,1.2,3.6,1.44,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,2,0,180,0.8,1,2.3,0,0.5,0.5,0.62,"","","",0.48,"CP01",0,0.2,0,1.2,1.6,0.9,0.9,1,1,1,1,20,18,310013,0,-1,-1,-1,2,"",0,1,0,1,2,0,"CP01",0,0
"chr042","","","","",1,"","",0.3,1.8,0.48,1.44,0.48,1.44,0.3,1.8,0.48,1.44,0.48,1.44,0.48,1.44,0.576,1.44,1.5,3,5,"fe02","","","","","",7.2,1.136,-1,0.56,0,1.7,0,180,1.4,1.6,3.3,0,0.5,0.5,0.4,"","","",0.25,"CP01",0,0.2,0,0.48,1.8,1,1,1,1,1,1,21,18,310005,0,-1,-1,-1,0,"",0,1,1,0,2,2,"CP01",0,0
"chr043","","","","",1,"","",0.3,1.8,0.664,2.158,0.664,2.158,0.3,1.8,0.664,2.158,0.664,2.158,0.664,2.158,0.7968,2.158,1.5,3,5,"fe02","","","","","",7,1.136,-1,0.56,1,1.2,0,180,0.7,0.9,1.5,0,0.5,0.5,0.32,"","","",0.25,"CP01",0,0.2,0,0.83,1.8,1,1,1,1,1,1,18,18,310008,8,-1,-1,-1,0,"",0,1,0,1,2,0,"CP01",0,0
"chr044","","","","",1,"","",0.3,1.8,0.6,2.2,0.6,2.2,0.3,1.8,0.6,2.2,0.6,2.2,0.6,2.2,0.72,2.2,1.5,3,5,"fe02","","","","","",7.3,1.136,-1,0.56,0,1.5,0,180,0.7,0.5,2.1,0,0.5,0.5,0.42,"","","",0.3,"CP01",0,0.2,0,1,1.6,1,1,1,1,1,1,22,18,310013,0,-1,-1,-1,0,"",0,1,0,0,1,2,"CP01",0,0
"chr771","","","","",1,"","",0.3,1.8,1.56,4.32,1.56,3,0.8,1.8,1.56,3,0.9672,2.6784,1.56,4.32,1.872,3,1.5,3,5,"fe02","","","","","",5.2,4.384,-1,0.28,1,2.5,1.4,185,1.6,1.2,3.8,0,0.5,0.5,1.05,"","","",0.6,"CP01",0,0.2,0,1.2,2,0.65,0.65,1,0.4,1,1,21,18,310005,0,-1,-1,-1,1,"",0,1,0,0,1,2,"CP01",0,0
"chr194","","","","",1,"","",0.3,1.8,1.35,4.05,1.35,3,0.3,1.8,1.35,3,0.6615,1.9845,1.35,4.05,1.62,3,1.5,3,5,"fe02","","","","","",5.7,4.976,-1,0.24,1,3,1.5,185,1.6,2,3.7,0,0.5,0.5,1.21,"","","",0.78,"CP01",0,0.2,0,1.3,2.3,0.65,0.65,1,1,1,1,17,18,310022,0,-1,-1,-1,2,"",0,1,0,0,1,2,"CP01",0,0
"chr214","","","","",1,"","",0.3,1.8,1.85,5.55,1.85,3,0.3,1.8,1.85,3,1.147,3,2.85,5.55,2.22,3,1.5,3,5,"fe02","","","","","",7.3,4.384,-1,0.28,1,3.9,0.4,200,1.6,2.1,1.9,0,0.5,0.5,0.88,"","","",1.443,"CP01",0,0.2,0,1.85,2.5,0.65,0.65,1,1,1,1,15,18,310018,0,-1,-1,-1,0,"",0,1,0,0,1,2,"CP01",0,0
"chr420","","","","",1,"","",0.3,1.8,2.6,6.5,2.6,3,0.3,1.8,2.6,3,1.3,3,2.6,6.5,3.12,3,1.5,3,5,"fe02","","","","","",5.2,5.6,-1,0.2,1,3.5,1.5,185,2.7,2.3,4.5,0,0.5,0.5,1.24,"","","",0.77,"CP01",0,0.2,0,1.1,2,0.65,0.65,1,1,1.7,1.7,8,18,310006,0,-1,-1,-1,0,"",0,1,0,2,1,0,"CP01",0,0
"chr049","","","","",1,"","",0.3,1.8,0.84,2.28,0.84,2.28,0.3,1.8,0.84,2.28,0.7308,1.9836,0.84,2.28,1.008,2.28,1.5,3,5,"fe02","","","","","",7.3,2.336,-1,0.44,1,2,0,180,1.4,1.6,4,0,0.5,0.5,0.54,"","","",0.25,"CP01",0,0.2,0,0.6,2.2,0.9,0.9,1,1,1,1,17,18,310006,0,-1,-1,-1,2,"",0,1,0,1,2,0,"CP01",1,0
"chr050","","","","",1,"","",0.3,1.8,0.6,1.7,0.6,1.7,0.3,1.8,0.6,1.7,0.6,1.7,0.6,1.7,0.72,1.7,1.5,3,5,"fe02","","","","","",8.1,1.136,-1,0.56,1,1,0,180,1,1.2,1.8,0,0.5,0.5,0.23,"","","",0.25,"CP01",0,0.2,0,0.5,2,1,1,1,1,1,1,23,18,310001,14,-1,-1,-1,0,"",0,1,1,0,2,0,"CP01",0,0
"chr051","","","","",1,"","",0.3,1.8,1.24,3.1,1.24,3,0.3,1.8,1.24,3,1.1284,2.821,1.24,3.1,1.488,3,1.5,3,5,"fe02","","","","","",7.3,1.504,-1,0.52,1,1.9,0,180,1.7,2,3.3,0,0.5,0.5,0.52,"","","",0.25,"CP01",0,0.2,0,0.62,1.6,0.95,0.95,1,1,1,1,9,18,310008,0,-1,-1,-1,0,"",0,1,0,2,1,1,"CP01",0,0
"chr052","","","","",1,"","",0.3,1.8,0.48,1.76,0.48,1.76,0.3,1.8,0.48,1.76,0.48,1.76,0.48,1.76,0.576,1.76,1.5,3,5,"fe02","","","","","",8.1,1.136,-1,0.56,1,1.2,0,180,0.5,0.7,1.1,0,0.5,0.5,0.22,"","","",0.25,"CP01",0,0.2,0,0.8,2,1,1,1,1,1,1,12,18,310001,4,-1,-1,-1,0,"",0,1,0,2,1,1,"CP01",0,0
"chr053","","","","",1,"","",0.3,1.8,0.48,1.76,0.48,1.76,0.3,1.8,0.48,1.76,0.48,1.76,0.48,1.76,0.576,1.76,1.5,3,5,"fe02","","","","","",8.1,1.136,-1,0.56,1,0.9,0,180,0.6,0.8,1,0,0.5,0.5,0.2,"","","",0.25,"CP01",0,0.2,0,0.8,2,1,1,1,1,1,1,11,18,310008,3,-1,-1,-1,0,"",0,1,0,1,2,0,"CP01",0,0
"chr054","","","","",1,"","",0.3,1.8,1.2,3.15,1.2,3,0.3,1.8,1.2,3,0.876,2.2995,1.2,3.15,1.44,3,1.5,3,5,"fe02","","","","","",7.3,2.336,-1,0.44,1,2.3,0,180,1.6,2.6,4.1,0,0.5,0.5,0.66,"","","",0.345,"CP01",0,0.2,0,0.75,2,0.85,0.85,1,1,1,1,22,18,310010,13,-1,-1,-1,2,"",0,1,1,0,2,0,"CP01",0,0
"chr055","","","","",1,"","",0.3,1.8,0.6,2.2,0.6,2.2,0.3,1.8,0.6,2.2,0.6,2.2,0.6,2.2,0.72,2.2,1.5,3,5,"fe02","","","","","",8.1,1.136,-1,0.56,1,1.2,0,180,0.5,0.6,1.1,0,0.5,0.5,0.28,"","","",0.25,"CP01",0,0.2,0,1,1.8,1,1,1,1,1,1,18,18,310012,0,-1,-1,-1,0,"",0,1,0,1,2,0,"CP01",0,0
"chr056","","","","",1,"","",0.3,1.8,0.54,1.98,0.54,1.98,0.3,1.8,0.54,1.98,0.54,1.98,0.54,1.98,0.648,1.98,1.5,3,5,"fe02","","","","","",8.1,1.136,-1,0.56,1,1.2,0,180,0.5,0.7,1.4,0.3,0.5,0.5,0.28,"","","",0.25,"CP01",0,0.2,0,0.9,1.8,1,1,1,1,1,1,9,18,310015,0,-1,-1,-1,0,"",0,1,0,0,2,1,"CP01",0,0
"chr057","","","","",1,"","",0.3,1.8,0.72,2.34,0.72,2.34,0.3,1.8,0.72,2.34,0.72,2.34,0.72,2.34,0.864,2.34,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.5,0,180,0.8,1,2.2,0,0.5,0.5,0.52,"","","",0.324,"CP01",0,0.2,0,1.08,1.6,0.95,0.95,1,1,1,1,13,18,310020,7,-1,-1,-1,0,"",0,1,1,0,2,1,"CP01",0,0
"chr058","","","","",1,"","",0.3,1.8,1.36,3.57,1.36,3,0.3,1.8,1.36,3,1.36,3,1.36,3.57,1.632,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.5,0,180,1.3,1.2,2.7,0,0.5,0.5,0.58,"","","",0.255,"CP01",0,0.2,0,0.85,1.8,1,1,1,1,1,1,9,18,310009,0,-1,-1,-1,0,"",0,1,0,0,2,1,"CP01",0,0
"chr059","","","","",1,"","",0.3,1.8,1.2,3.6,1.2,3,0.3,1.8,1.2,3,1.032,3,1.2,3.6,1.44,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.8,0,180,0.8,1,2.1,0,0.5,0.5,0.55,"","","",0.432,"CP01",0,0.2,0,1.2,1.8,0.95,0.95,1,1,1,1,23,18,310016,0,-1,-1,-1,2,"",0,1,1,0,1,2,"CP01",0,0
"chr060","","","","",1,"","",0.3,1.8,1.15,3.45,1.15,3,0.8,1.8,1.15,3,0.8625,2.5875,1.15,3.45,1.38,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.9,0,180,1,1,2.6,0,0.5,0.5,0.65,"","","",0.437,"CP01",0,0.2,0,1.15,1.6,0.85,0.85,1,1,1,1,8,18,310012,0,-1,-1,-1,2,"",0,1,1,0,1,2,"CP01",0,0
"chr061","","","","",1,"","",0.3,1.8,1.1256,3.0552,1.1256,3,0.8,1.8,1.1256,3,1.1256,3,1.1256,3.0552,1.35072,3,1.5,3,5,"fe02","","","","","",7.3,2.336,-1,0.44,1,2.3,0.2,180,1,1.2,2.8,0,0.5,0.5,0.74,"","","",0.552,"CP01",0,0.2,0,1.2,1.7,0.75,0.75,1,1,0.67,0.67,21,18,310008,12,-1,-1,-1,2,"",0,1,1,0,0,2,"CP01",0,0
"chr068","","","","",1,"","",0.3,1.8,1.6,3.36,1.6,3,0.3,1.8,1.6,3,1.408,2.9568,1.6,3.36,1.92,3,1.5,3,5,"fe02","","","","","",7.3,1.504,-1,0.52,1,2.5,0,180,0.8,1.3,1.2,0,0.5,0.5,0.48,"","","",0.8,"CP01",0,0.2,0,1.6,1.8,1,1,1,1,1,1,22,18,310003,16,-1,-1,-1,2,"",0,1,0,1,2,0,"CP01",0,0
