int 0,int 1,int 2,bool 3,empty 4,empty 5,int 6,int 7,int 8,int 9,empty 10,int 11,int 12,int 13,int 14,empty 15,int 16,int 17,int 18,int 19,empty 20,int 21,int 22,int 23,int 24,empty 25,int 26,int 27,int 28,int 29,empty 30,int 31,int 32,int 33,int 34,empty 35,int 36,int 37,int 38,int 39,empty 40,int 41,int 42,int 43,int 44,empty 45,int 46,int 47,int 48,int 49,empty 50,int 51,int 52,int 53,int 54,empty 55,int 56,int 57,int 58,int 59
20462,-1,0,0,"","",33,70,20,0,"",34,70,20,0,"",35,70,20,0,"",36,70,20,0,"",13,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20472,-1,0,0,"","",35,70,20,0,"",13,70,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20591,-1,0,0,"","",36,100,10,0,"",6,60,0,0,"",11,20,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20691,-1,0,0,"","",35,100,10,0,"",36,100,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20692,-1,0,0,"","",33,100,30,0,"",34,100,30,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20802,-1,0,0,"","",34,100,20,0,"",118,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21271,-1,0,0,"","",33,100,50,1,"",35,100,50,1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21282,-1,0,0,"","",94,100,20,2,"",96,100,20,2,"",47,100,0,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21284,200003,0,1,"","",41,100,0,3,"",42,100,0,3,"",43,100,0,3,"",44,100,0,3,"",45,100,0,3,"",46,100,0,3,"",47,100,0,3,"",48,100,0,3,"",49,100,0,3,"",50,100,0,3,"",51,100,0,3
21301,-1,0,0,"","",5,0,0,0,"",10,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21681,-1,0,0,"","",68,100,0,0,"",34,100,30,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21703,-1,0,1,"","",85,100,21702,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21721,-1,0,0,"","",33,100,30,0,"",35,100,30,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21733,-1,0,0,"","",25,100,50,4,"",26,100,50,4,"",27,100,50,4,"",28,100,50,4,"",29,100,50,4,"",30,100,50,4,"",32,100,50,4,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21832,-1,2,1,"","",103,100,0,0,"",31,100,30,1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
21863,-1,0,1,"","",85,100,21862,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
22221,-1,0,0,"","",36,100,10,0,"",13,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
22261,-1,0,0,"","",6,100,0,0,"",37,100,20,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
22321,-1,0,0,"","",5,50,0,0,"",34,100,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
22322,-1,0,0,"","",36,100,30,0,"",38,100,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
22332,-1,0,0,"","",8,50,0,0,"",118,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
22353,-1,0,1,"","",85,100,22351,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
22401,-1,0,0,"","",38,80,30,0,"",3,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23121,-1,0,0,"","",37,100,30,0,"",105,60,0,1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23131,-1,0,0,"","",3,60,0,0,"",36,100,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23382,-1,0,0,"","",11,50,0,0,"",34,70,20,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23751,-1,0,0,"","",36,100,15,0,"",34,100,15,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23801,-1,0,0,"","",5,70,0,0,"",33,100,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23943,-1,0,0,"","",26,100,60,-1,"",28,100,60,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23944,-1,0,0,"","",34,100,30,-1,"",36,100,30,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
23945,-1,0,0,"","",34,100,60,-1,"",36,100,60,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
24211,-1,0,0,"","",33,75,15,0,"",35,75,15,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
25861,-1,3,0,"","",6,90,0,0,"",11,10,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
25901,-1,0,0,"","",3,50,0,0,"",34,100,10,0,"",36,100,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
25902,-1,0,0,"","",3,100,0,0,"",34,75,10,0,"",36,75,10,0,"",119,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
25961,-1,0,0,"","",118,25,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
26001,-1,3,0,"","",8,50,0,0,"",13,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
26021,-1,0,0,"","",26,100,10,0,"",28,100,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
26015,-1,0,0,"","",7,60,0,3,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27291,-1,0,0,"","",36,100,10,0,"",6,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27331,-1,3,0,"","",7,70,0,0,"",12,30,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27332,-1,0,0,"","",12,80,0,0,"",37,100,30,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27381,-1,0,0,"","",34,100,30,0,"",105,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27383,-1,0,1,"","",85,100,27382,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27421,-1,0,0,"","",34,100,30,0,"",36,100,30,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27493,-1,0,1,"","",85,100,27492,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27496,-1,0,1,"","",85,100,27495,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27521,-1,0,0,"","",36,100,20,0,"",5,30,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27731,-1,0,0,"","",118,25,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27762,-1,0,0,"","",34,75,10,0,"",36,75,10,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
27772,200006,0,0,"","",33,100,20,0,"",34,100,20,0,"",35,100,20,0,"",36,100,20,0,"",37,100,20,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31000,-1,0,0,"","",10,0,0,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31041,-1,0,0,"","",114,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31042,-1,0,0,"","",115,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31051,-1,0,0,"","",113,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31052,-1,0,0,"","",112,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31053,-1,0,0,"","",112,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31054,-1,0,0,"","",113,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31061,-1,0,0,"","",114,0,0,0,"",115,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31062,-1,0,0,"","",114,0,0,0,"",115,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31071,-1,0,0,"","",112,0,0,0,"",113,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31072,-1,0,0,"","",112,0,0,0,"",113,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
31081,-1,0,0,"","",113,0,0,0,"",114,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
41780,-1,0,0,"","",103,0,0,0,"",112,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
41783,-1,0,0,"","",25,100,10,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
41784,-1,0,0,"","",27,100,10,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
41785,-1,2,0,"","",25,100,10,2,"",27,100,10,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
41786,-1,0,0,"","",107,100,0,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
41787,-1,0,0,"","",92,100,50,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
43753,-1,0,0,"","",126,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
47333,-1,0,0,"","",31,100,50,10,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
48001,-1,0,0,"","",127,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
48002,-1,0,0,"","",128,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
80037,200005,0,0,"","",25,100,20,0,"",26,100,20,0,"",27,100,20,0,"",28,100,20,0,"",29,100,20,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
80038,-1,0,0,"","",30,100,20,0,"",31,100,20,0,"",32,100,20,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
80042,-1,0,0,"","",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102001,-1,0,0,"","",2,1,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102005,-1,0,0,"","",2,5,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102010,-1,0,0,"","",2,10,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102015,-1,0,0,"","",2,15,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102020,-1,0,0,"","",2,20,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102025,-1,0,0,"","",2,25,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102030,-1,0,0,"","",2,30,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102040,-1,0,0,"","",2,40,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102050,-1,0,0,"","",2,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
102100,-1,0,0,"","",2,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
103000,-1,0,0,"","",3,0,0,0,"",8,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
103001,-1,0,0,"","",3,0,0,0,"",8,0,0,0,"",7,0,0,0,"",12,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
103010,-1,0,0,"","",3,10,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
103020,-1,0,0,"","",3,20,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
103025,-1,0,0,"","",3,25,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
103030,-1,0,0,"","",3,30,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
