int 0,int 1,empty 2,int 3,float 4,float 5,float 6,int 7,empty 8,float 9
30131,0,"",3,0.7,30,0.75,30906,"",1
30132,0,"",3,0.7,30,0.75,30906,"",1
30133,0,"",3,0.7,30,0.75,30906,"",1
30141,0,"",3,0.7,30,0.75,30906,"",1
30142,0,"",3,0.7,30,0.75,30906,"",1
30143,0,"",3,0.7,30,0.75,30906,"",1
30151,0,"",3,0.7,30,0.75,30906,"",1
30152,0,"",3,0.7,30,0.75,30906,"",1
30153,0,"",3,0.7,30,0.75,30906,"",1
30154,0,"",3,0.7,30,0.75,30906,"",1
30155,0,"",3,0.7,30,0.75,30906,"",1
30156,0,"",3,0.7,30,0.75,30906,"",1
30161,0,"",3,0.7,30,0.75,30909,"",1
30162,0,"",3,0.7,30,0.75,30909,"",1
30163,0,"",3,0.7,30,0.75,30909,"",1
30171,0,"",3,0.7,30,0.75,30909,"",1
30172,0,"",3,0.7,30,0.75,30909,"",1
30173,0,"",3,0.7,30,0.75,30909,"",1
30181,0,"",3,0.7,30,0.75,30909,"",1
30182,0,"",3,0.7,30,0.75,30909,"",1
30183,0,"",3,0.7,30,0.75,30909,"",1
30184,0,"",3,0.7,30,0.75,30909,"",1
30185,0,"",3,0.7,30,0.75,30909,"",1
30186,0,"",3,0.7,30,0.75,30909,"",1
30191,0,"",3,0.7,30,0.75,30908,"",1
30192,0,"",3,0.7,30,0.75,30908,"",1
30193,0,"",3,0.7,30,0.75,30908,"",1
30201,0,"",3,0.7,30,0.75,30908,"",1
30202,0,"",3,0.7,30,0.75,30908,"",1
30203,0,"",3,0.7,30,0.75,30908,"",1
30211,0,"",3,0.7,30,0.75,30908,"",1
30212,0,"",3,0.7,30,0.75,30908,"",1
30213,0,"",3,0.7,30,0.75,30908,"",1
30214,0,"",3,0.7,30,0.75,30908,"",1
30215,0,"",3,0.7,30,0.75,30908,"",1
30216,0,"",3,0.7,30,0.75,30908,"",1
30221,0,"",3,0.7,30,0.75,30907,"",1
30222,0,"",3,0.7,30,0.75,30907,"",1
30223,0,"",3,0.7,30,0.75,30907,"",1
30231,0,"",3,0.7,30,0.75,30907,"",1
30232,0,"",3,0.7,30,0.75,30907,"",1
30233,0,"",3,0.7,30,0.75,30907,"",1
30241,0,"",3,0.7,30,0.75,30907,"",1
30242,0,"",3,0.7,30,0.75,30907,"",1
30243,0,"",3,0.7,30,0.75,30907,"",1
30244,0,"",3,0.7,30,0.75,30907,"",1
30245,0,"",3,0.7,30,0.75,30907,"",1
30246,0,"",3,0.7,30,0.75,30907,"",1
30251,0,"",3,0.7,30,0.75,30910,"",1
30252,0,"",3,0.7,30,0.75,30910,"",1
30253,0,"",3,0.7,30,0.75,30910,"",1
30261,0,"",3,0.7,30,0.75,30910,"",1
30262,0,"",3,0.7,30,0.75,30910,"",1
30263,0,"",3,0.7,30,0.75,30910,"",1
30271,0,"",3,0.7,30,0.75,30910,"",1
30272,0,"",3,0.7,30,0.75,30910,"",1
30273,0,"",3,0.7,30,0.75,30910,"",1
30274,0,"",3,0.7,30,0.75,30910,"",1
30275,0,"",3,0.7,30,0.75,30910,"",1
30276,0,"",3,0.7,30,0.75,30910,"",1
30281,0,"",3,0.7,30,0.75,30911,"",1
30282,0,"",3,0.7,30,0.75,30911,"",1
30283,0,"",3,0.7,30,0.75,30911,"",1
30291,0,"",3,0.7,30,0.75,30911,"",1
30292,0,"",3,0.7,30,0.75,30911,"",1
30293,0,"",3,0.7,30,0.75,30911,"",1
30301,0,"",3,0.7,30,0.75,30911,"",1
30302,0,"",3,0.7,30,0.75,30911,"",1
30303,0,"",3,0.7,30,0.75,30911,"",1
30304,0,"",3,0.7,30,0.75,30911,"",1
30305,0,"",3,0.7,30,0.75,30911,"",1
30306,0,"",3,0.7,30,0.75,30911,"",1
30311,0,"",3,0.7,30,0.75,30901,"",1
30312,0,"",3,0.7,30,0.75,30901,"",1
30313,0,"",3,0.7,30,0.75,30901,"",1
30321,0,"",3,0.7,30,0.75,30901,"",1
30322,0,"",3,0.7,30,0.75,30901,"",1
30323,0,"",3,0.7,30,0.75,30901,"",1
30331,0,"",3,0.7,30,0.75,30901,"",1
30332,0,"",3,0.7,30,0.75,30901,"",1
30333,0,"",3,0.7,30,0.75,30901,"",1
30334,0,"",3,0.7,30,0.75,30901,"",1
30335,0,"",3,0.7,30,0.75,30901,"",1
30336,0,"",3,0.7,30,0.75,30901,"",1
