string2 0,string2 1,empty 2,string2 3,string2 4,empty 5,empty 6,string2 7,float 8,float 9,float 10,float 11,float 12,float 13,float 14,bool 15
"pc002a_11","pc002a","","11","d09nuts00","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc002a_12","pc002a","","12","d09nuts01","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc002a_13","pc002a","","13","d09nuts02","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc002a_14","pc002a","","14","d09nuts03","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc002a_15","pc002a","","15","atc_callingshell00","","","r_props",0.1,0,-0.16,180,-20,0,1,1
"npc001a_1","npc001a","","1","ATCsmartphone01","","","r_props",0,0,0,0,0,0,1,1
"npc001a_2","npc001a","","2","ATCchr183hat00","","","r_props",0,0,0,0,0,0,1,1
"npc001a_3","npc001a","","3","ATCchr183hat01","","","r_props",0,0,0,0,0,0,1,1
"npc001a_4","npc001a","","4","ATCscarf00","","","r_props",0,0,0,0,0,0,1,1
"npc002a_1","npc002a","","1","ATCsmartphone02","","","r_props",0,0,0,0,0,0,1,1
"npc002a_2","npc002a","","2","ATCdigivice00","","","l_props",0,0,0,0,0,0,1,1
"npc052a_1","npc052a","","1","ATCsmartphone02","","","r_props",0,0,0,0,0,0,1,1
"npc052a_2","npc052a","","2","ATCdigivice00","","","l_props",0,0,0,0,0,0,1,1
"npc003a_1","npc003a","","1","ATCsmartphone03","","","r_props",0,0,0,0,0,0,1,1
"npc003a_2","npc003a","","2","ATCbook00","","","l_props",-0.02,0,0,-5,45,90,1,1
"npc006a_1","npc006a","","1","ATChat00chr183b","","","r_props",0,0,0,0,0,0,1,1
"npc006a_2","npc006a","","2","ATCsmartphone04","","","l_props",0,0,0,0,0,0,1,1
"npc006a_3","npc006a","","3","ATCsmartphone06","","","r_props",0,0,0,0,0,0,1,1
"npc007a_1","npc007a","","1","ATCsmartphone06","","","l_props",0,0,0,0,0,0,1,1
"npc105a_1","npc105a","","1","ATCgun00","","","r_props",0,0,0,0,0,0,1,0
"npc105a_2","npc105a","","2","ATCshield00","","","l_props",0,0,0,0,0,0,1,0
"npc105a_3","npc105a","","3","ATCsmartphone02","","","l_props",0,0,0,0,0,0,1,0
"npc105a_4","npc105a","","4","ATCshield01","","","l_props",0,0,0,0,0,0,1,0
"npc105h_1","npc105h","","1","ATCgun00","","","r_props",0,0,0,0,0,0,1,0
"chr183a_1","chr183a","","1","chr348","","","GRP_joint",0,0,0,0,0,0,1,0
"chr183a_3","chr183a","","3","chr009","","","FP01",0,0,0,0,0,0,1,0
"chr183a_4","chr183a","","4","ef_f_foo_110_wa","","","FP01",0,0,0,0,0,0,1,0
"chr183a_5","chr183a","","5","ef_f_dun_110_pt","","","GRP_joint",0,0,0,0,0,0,1,0
"chr183a_6","chr183a","","6","d06footlight00","","","GRP_joint",0,0,0,0,0,0,1,0
"chr183a_100","chr183a","","100","ATCchr183hat00","","","head",0,0,0,0,0,0,1,0
"chr747_1","chr747","","1","t04teacup00","","","J_hand_r",-0.1383,-0.0715,-0.0465,90,0,0,1,0
"chr044_1","chr044","","1","f00box00","","","FP01",0,0,0,0,0,0,1,0
"chr327_1","chr327","","1","ef_o_chr327_elig","","","J_head",0,0,0,0,0,0,1,1
"chr359_1","chr359","","1","f00tray00","","","FP01",0,0,0,0,0,0,1,0
"chr474_1","chr474","","1","d02bottle00","","","FP01",0,0,0,0,0,0,1,0
"chr474_2","chr474","","2","d02chair01","","","FP02",0,0,0,0,0,0,1,0
"chr457_1","chr457","","1","f00meat00","","","FP01",0,0,0,0,0,0,1,0
"chr457_2","chr457","","2","d02bottle00","","","FP02",0,0,0,0,0,0,1,0
"chr179_1","chr179","","1","d0404throne00","","","FP01",0,0,0,0,0,0,1,0
"chr178_1","chr178","","1","ATCchr178figure00","","","J_hand01_l",0.1516,-0.0927,-0.0017,87.824,13.583,3.735,1,0
"chr226_1","chr226","","1","atc_conductorhat00","","","J_head",0,0.18,0,0,0,0,0.4,0
"chr076_1","chr076","","1","atc_captainhat00","","","J_head",0,0.27,-0.02,0,0,0,0.63,0
"chr341_1","chr341","","1","atc_conductorhat00","","","J_mune",0,0.425,0.14,11,0,0,0.4,0
"chr399_1","chr399","","1","atc_conductorhat00","","","J_atama",0.1,0.4,0.01,-20,0,0,0.25,0
"chr058_1","chr058","","1","atc_conductorhat00","","","J_head",0,0.467,0.2,20,0,0,0.2,0
"chr087_1","chr087","","1","atc_conductorhat00","","","J_head",0,0.13,0.001,0,0,0,0.35,0
"chr092_1","chr092","","1","atch_atashucase_00","","","J_head",-0.0058,0.5647,-0.42,-0.018,-18.212,-90.927,1,0
"chr092_2","chr092","","2","atc_conductorhat00","","","J_head",0,0.56,0,4,0,0,0.3,0
"chr173_1","chr173","","1","ef_f_dun_505_su","","","J_hand_r",-0.7,0.6,0,0,0,0,0.5,0
"chr173_2","chr173","","2","ef_f_dun_505_su","","","J_hand_r",-0.7,0.85,0,0,0,0,0.75,0
"chr173_3","chr173","","3","ef_f_dun_505_su","","","J_hand_r",-0.9,0.95,0,0,0,0,1,0
"chr173_4","chr173","","4","ef_e_com_225","","","J_hand_r",0,0,0,0,0,0,1,0
"chr931_1","chr931","","1","ef_f_dun_505_su","","","J_hand_r",-0.4,0,0,0,0,0,0.5,0
"chr931_2","chr931","","2","ef_f_dun_505_su","","","J_hand_r",-0.55,0,0,0,0,0,0.75,0
"chr931_3","chr931","","3","ef_f_dun_505_su","","","J_hand_r",-0.7,0,0,0,0,0,1,0
"chr931_4","chr931","","4","ef_e_com_225","","","J_hand_r",0,0,0,0,0,0,1,0
"chr733_1","chr733","","1","ef_f_dun_506_mo","","","J_hand_l",0.3,0,0.4,0,0,0,0.4,0
"chr733_2","chr733","","2","ef_f_dun_506_mo","","","J_hand_l",0.3,0.1,0.5,0,0,0,0.6,0
"chr733_3","chr733","","3","ef_f_dun_506_mo","","","J_hand_l",0.75,0,0.5,0,0,0,1,0
"chr733_4","chr733","","4","ef_e_com_226","","","J_hand_l",0,0,0,0,0,0,1,0
"chr824_1","chr824","","1","ef_f_dun_506_mo","","","J_weapon",0.4,0,0,0,0,0,0.4,0
"chr824_2","chr824","","2","ef_f_dun_506_mo","","","J_weapon",0.55,0,0,0,0,0,0.6,0
"chr824_3","chr824","","3","ef_f_dun_506_mo","","","J_weapon",0.75,0,0,0,0,0,1,0
"chr824_4","chr824","","4","ef_e_com_226","","","J_hand_l",0,0,0,0,0,0,1,0
"chr075_1","chr075","","1","ATCwineglass00","","","J_hand_l",0.3525,-0.1,-0.2649,90.851,-10.172,0.296,1,0
"chr075_2","chr075","","2","ATCscarf00","","","J_hand_l",0.2732,-0.059,-0.0067,12.345,-59.778,-3.891,1,0
"chr162_1","chr162","","1","ATCwinebottle00","","","J_hand_l",0.1151,-0.0309,-0.0385,-195.052,46.851,-36.761,1,0
"chr915_1","chr915","","1","ATChiddentreasure00","","","T_hand_l",0.2241,-0.0919,0.0082,0,0,0,1.2,0
"chr440_1","chr440","","1","ATChiddentreasure00","","","J_hand_l",0.2241,-0.0919,0.0082,0,0,0,1.2,0
"chr440_2","chr440","","2","ef_e_com_300","","","J_hand_l",0,0,0,0,0,0,1.2,0
"chr943_1","chr943","","1","ATChiddentreasure00","","","J_hand_l",0.2241,-0.0919,0.0082,0,0,0,1.2,0
"chr943_2","chr943","","2","ef_e_com_300","","","J_hand_l",0,0,0,0,0,0,1.2,0
"chr927_1","chr927","","1","ATCwineglass00","","","J_hand_l",0.3525,-0.1,-0.2649,90.851,-10.172,0.296,1,0
"chr927_2","chr927","","2","ATCscarf00","","","J_hand_l",0.2732,-0.059,-0.0067,12.345,-59.778,-3.891,1,0
