int 0,int 1,int 2,int 3,int 4,int 5,int 6,empty 7,empty 8,empty 9,empty 10,empty 11,empty 12
100010,324,0,0,0,0,0,"","","","","",""
100011,56,324,1000,0,0,0,"","","","","",""
100100,321,0,0,0,0,0,"","","","","",""
100101,56,321,1000,0,0,0,"","","","","",""
100110,321,324,0,0,0,0,"","","","","",""
100111,56,321,324,1000,0,0,"","","","","",""
100200,323,0,0,0,0,0,"","","","","",""
100201,56,323,1000,0,0,0,"","","","","",""
100210,323,324,0,0,0,0,"","","","","",""
100211,56,323,324,1000,0,0,"","","","","",""
101000,320,0,0,0,0,0,"","","","","",""
101001,56,320,1000,0,0,0,"","","","","",""
101010,320,324,0,0,0,0,"","","","","",""
101011,56,320,324,1000,0,0,"","","","","",""
101100,320,321,0,0,0,0,"","","","","",""
101101,56,320,321,1000,0,0,"","","","","",""
101110,320,321,324,0,0,0,"","","","","",""
101111,56,320,321,324,1000,0,"","","","","",""
101200,320,323,0,0,0,0,"","","","","",""
101201,56,320,323,1000,0,0,"","","","","",""
101210,320,323,324,0,0,0,"","","","","",""
101211,56,320,323,324,1000,0,"","","","","",""
102200,71,323,0,0,0,0,"","","","","",""
102201,56,71,323,1000,0,0,"","","","","",""
102210,71,323,324,0,0,0,"","","","","",""
102211,56,71,323,324,1000,0,"","","","","",""
110000,23,0,0,0,0,0,"","","","","",""
110001,56,23,1000,0,0,0,"","","","","",""
110010,23,324,0,0,0,0,"","","","","",""
110011,56,23,324,1000,0,0,"","","","","",""
110100,23,321,0,0,0,0,"","","","","",""
110101,56,23,321,1000,0,0,"","","","","",""
110110,23,321,324,0,0,0,"","","","","",""
110111,56,23,321,324,1000,0,"","","","","",""
110200,23,323,0,0,0,0,"","","","","",""
110201,56,23,323,1000,0,0,"","","","","",""
110210,23,323,324,0,0,0,"","","","","",""
110211,56,23,323,324,1000,0,"","","","","",""
111000,23,320,0,0,0,0,"","","","","",""
111001,56,23,320,1000,0,0,"","","","","",""
111010,23,320,324,0,0,0,"","","","","",""
111011,56,23,320,324,1000,0,"","","","","",""
111100,23,320,321,0,0,0,"","","","","",""
111101,56,23,320,321,1000,0,"","","","","",""
111110,23,320,321,324,0,0,"","","","","",""
111111,56,23,320,321,324,1000,"","","","","",""
111200,23,320,323,0,0,0,"","","","","",""
111201,56,23,320,323,1000,0,"","","","","",""
111210,23,320,323,324,0,0,"","","","","",""
111211,56,23,320,323,324,1000,"","","","","",""
112200,23,71,323,0,0,0,"","","","","",""
112201,56,23,71,323,1000,0,"","","","","",""
112210,23,71,323,324,0,0,"","","","","",""
112211,56,23,71,323,324,1000,"","","","","",""
