string2 0,empty 1,empty 2,string2 3,string2 4,empty 5,int 6,int 7,string2 8,int 9,string2 10,int 11,string2 12,int 13
"char_PATAMON","","","chr096","1096","",0,0,"cmc003",0,"",0,"",0
"char_PICODEVIMON","","","chr097","1097","",0,0,"cmd003",0,"",0,"",0
"char_WENDIMON","","","chr100","1100","",0,0,"ymb005",0,"",0,"",0
"char_TURUIEMON","","","chr102","1102","",1,0,"yfc003",0,"",0,"",0
"char_GANIMON","","","chr103","1103","",0,0,"cmb002",0,"",0,"",0
"char_GOBURIMON","","","chr111","1111","",0,0,"yma005",0,"",0,"",0
"char_DORUMON","","","chr112","1112","",0,0,"cma003",0,"",0,"",0
"char_GOLDNUMEMON","","","chr113","1113","",0,0,"ymd008",0,"",0,"",0
"char_V-MON","","","chr114","1114","",0,0,"cma003",0,"",0,"",0
"char_BAOHUCKMON","","","chr115","1115","",0,0,"yma007",0,"",0,"",0
"char_COELAMON","","","chr130","1130","",0,0,"ymd007",0,"",0,"",0
"char_CORONAMON","","","chr136","1136","",0,0,"cma002",0,"mpc136",0,"",0
"char_FIRAMON","","","chr137","1137","",0,0,"yma003",0,"",0,"",0
"char_GABUMON","","","chr151","1151","",0,0,"cmb001",0,"",0,"",0
"char_AEGIOMON","","","chr183a","1183","",0,0,"cma002",0,"mpc183",0,"",0
"char_AEGIOMON_PLAIN_CLOTHES","","","chr183b","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_NO_CAP","","","chr183d","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_DIGI_A","","","chr183n","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_DIGI_B","","","chr183o","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_DIGI_C","","","chr183p","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_MIZUGI_A","","","chr183q","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_MIZUGI_B","","","chr183r","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_MIZUGI_C","","","chr183s","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_KIGURUMI_A","","","chr183t","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_KIGURUMI_B","","","chr183u","1183","",0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_KIGURUMI_C","","","chr183v","1183","",0,0,"",0,"mpc183",0,"",0
"char_RYUDAMON","","","chr190","1190","",0,0,"cmb001",0,"",0,"",0
"char_GINRYUMON","","","chr191","1191","",0,0,"ymb011",0,"",0,"",0
"char_DRACOMON","","","chr208","1208","",0,0,"cma004",0,"",0,"",0
"char_COREDRAMON_GR","","","chr209","1209","",0,0,"yma005",0,"",0,"",0
"char_COREDRAMON_BL","","","chr218","1218","",0,0,"yma005",0,"",0,"",0
"char_KOTEMON","","","chr219","1219","",0,0,"ymb002",0,"",0,"",0
"char_MUSYAMON","","","chr220","1220","",0,0,"ymb001",0,"",0,"",0
"char_DOBERMON","","","chr222","1222","",0,0,"ymb005",0,"",0,"",0
"char_DELTAMON","","","chr228","1228","",0,0,"yma008",0,"",0,"",0
"char_BAKUMON","","","chr231","1231","",0,0,"cmc003",0,"",0,"",0
"char_BEARMON","","","chr234","1234","",0,0,"cmd002",0,"",0,"",0
"char_GRYZMON","","","chr235","1235","",0,0,"yma008",0,"",0,"",0
"char_OCTMON","","","chr240","1240","",0,0,"ymd007",0,"",0,"",0
"char_CHOROMON","","","chr241","1241","",0,0,"cmd001",0,"",0,"",0
"char_CAPROMON","","","chr242","1242","",0,0,"cmd001",0,"",0,"",0
"char_TENTOMON","","","chr303","1303","",0,0,"cmc002",0,"",0,"",0
"char_KABUTERIMON","","","chr304","1304","",0,0,"ymb001",0,"",0,"",0
"char_PIYOMON","","","chr307","1307","",1,0,"cfa001",0,"",0,"",0
"char_BIRDRAMON","","","chr308","1308","",0,0,"ymc008",0,"",0,"",0
"char_SUKAMON","","","chr313","1313","",0,0,"ymd002",0,"",0,"",0
"char_VEGIMON","","","chr314","1314","",0,0,"yma005",0,"",0,"",0
"char_DODOMON","","","chr316","1316","",0,0,"cma001",0,"",0,"",0
"char_BOTAMON","","","chr317","1317","",0,0,"cmd001",0,"",0,"",0
"char_POYOMON","","","chr320","1320","",0,0,"cmc001",0,"",0,"",0
"char_WANYAMON","","","chr321","1321","",0,0,"cma001",0,"",0,"",0
"char_KOROMON","","","chr322","1322","",0,0,"cma001",0,"",0,"",0
"char_TOKOMON","","","chr325","1325","",0,0,"cmc001",0,"",0,"",0
"char_GREYMON","","","chr326","1326","",0,0,"yma007",0,"",0,"",0
"char_GUARDROMON","","","chr341","1341","",0,0,"ymb003",0,"",0,"",0
"char_GOMAMON","","","chr343","1343","",0,0,"cma003",0,"",0,"",0
"char_IKKAKUMON","","","chr344","1344","",0,0,"ymc003",0,"",0,"",0
"char_SEADRAMON","","","chr347","1347","",0,0,"yma012",0,"",0,"",0
"char_PALMON","","","chr348","1348","",1,0,"cfc001",0,"mpc348",0,"",0
"char_TOGEMON","","","chr349","1349","",0,0,"ymb010",0,"",0,"",0
"char_PLOTMON","","","chr361","1361","",1,0,"cfc001",0,"",0,"",0
"char_TYRANNOMON","","","chr363","1363","",0,0,"yma012",0,"",0,"",0
"char_XV-MON","","","chr365","1365","",0,0,"yma003",0,"",0,"",0
"char_KUWAGAMON","","","chr367","1367","",0,0,"ymb006",0,"",0,"",0
"char_KUWAGAMON_BIG","","","chr942","1367","",0,0,"ymb006",0,"",0,"bmv010",0
"char_SHELLMON","","","chr368","1368","",1,0,"cfa001",0,"mpc368",0,"",0
"char_MONOCHROMON","","","chr369","1369","",0,0,"yma008",0,"",0,"",0
"char_YUKIDARUMON","","","chr370","1370","",0,0,"ymc007",0,"",0,"",0
"char_MOJYAMON","","","chr371","1371","",0,0,"oma001",0,"",0,"",0
"char_CENTALMON","","","chr372","1372","",0,0,"ymb002",0,"",0,"",0
"char_DRIMOGEMON","","","chr373","1373","",0,0,"ymd007",0,"",0,"",0
"char_NANIMON","","","chr375","1375","",0,0,"yma002",0,"mpc375",0,"",0
"char_WIZARDMON","","","chr377","1377","",0,0,"ymb002",0,"",0,"",0
"char_BUBBMON","","","chr387","1387","",0,0,"cmc001",0,"",0,"",0
"char_MOCHIMON","","","chr388","1388","",0,0,"cmc001",0,"",0,"",0
"char_BETAMON","","","chr389","1389","",0,0,"cmd002",0,"",0,"",0
"char_LUCEMON","","","chr390","1390","",0,0,"cmc003",0,"",0,"",0
"char_RENAMON","","","chr391","1391","",0,0,"yfb001",0,"",0,"",0
"char_WORMMON","","","chr392","1392","",0,0,"cmd002",0,"",0,"",0
"char_WOODMON","","","chr393","1393","",0,0,"ymd007",0,"",0,"",0
"char_ORGEMON","","","chr394","1394","",0,0,"yma008",0,"mpc394",0,"",0
"char_ORGEMON_BOSS","","","chr394","1394","",0,0,"yma008",0,"mpc394",0,"",0
"char_KYUBIMON","","","chr395","1395","",1,0,"yfb001",0,"",0,"",0
"char_DORUGAMON","","","chr396","1396","",0,0,"yma009",0,"",0,"",0
"char_V-DRAMON","","","chr397","1397","",0,0,"yma003",0,"",0,"",0
"char_CLOCKMON","","","chr398","1398","",0,0,"ymb008",0,"",0,"",0
"char_GEKOMON","","","chr399","1399","",0,0,"yma005",0,"mpc399",0,"",0
"char_PARROTMON","","","chr414","1414","",0,0,"yma012",0,"",0,"",0
"char_PUNIMON","","","chr437","1437","",0,0,"cmd001",0,"",0,"",0
"char_TUNOMON","","","chr438","1438","",0,0,"cma001",0,"",0,"",0
"char_CYCLONEMON","","","chr452","1452","",0,0,"ymd004",0,"",0,"",0
"char_CYCLONEMON_BIG","","","chr938","1452","",0,0,"ymd004",0,"",0,"bmv011",0
"char_WASPMON","","","chr454","1454","",0,0,"ymb009",0,"",0,"",0
"char_KARATUKINUMEMON","","","chr455","1455","",0,0,"ymd008",0,"",0,"",0
"char_REVOLMON","","","chr456","1456","",0,0,"ymb002",0,"",0,"",0
"char_DRACUMON","","","chr457","1457","",0,0,"ymb008",0,"",0,"",0
"char_MONODRAMON","","","chr458","1458","",0,0,"cma004",0,"",0,"",0
"char_BLIMPMON","","","chr463","1463","",0,0,"ymb010",0,"",0,"",0
"char_DORIMON","","","chr466","1466","",0,0,"cma001",0,"",0,"",0
"char_DINOHUMON","","","chr474","1474","",0,0,"ymb001",0,"",0,"",0
"char_PYOCOMON","","","chr510","1510","",1,0,"cfc001",0,"",0,"",0
"char_TANEMON","","","chr512","1512","",1,0,"cfa001",0,"",0,"",0
"char_PUKAMON","","","chr514","1514","",0,0,"cma001",0,"",0,"",0
"char_NYAROMON","","","chr515","1515","",1,0,"cfa001",0,"",0,"",0
"char_YUNIMON","","","chr548","1548","",0,0,"ymb002",0,"",0,"",0
"char_ELECMON","","","chr564","1564","",0,0,"cmd002",0,"mpc564",0,"",0
"char_PAGUMON","","","chr567","1567","",0,0,"cmd001",0,"",0,"",0
"char_GAZIMON","","","chr569","1569","",0,0,"cmd003",0,"",0,"",0
"char_HYOKOMON","","","chr573","1573","",0,0,"cma002",0,"",0,"",0
"char_BURAIMON","","","chr574","1574","",0,0,"ymb011",0,"",0,"",0
"char_SHAMAMON","","","chr577","1577","",0,0,"yma005",0,"",0,"",0
"char_SNOWGOBURIMON","","","chr578","1578","",0,0,"yma005",0,"",0,"",0
"char_FUGAMON","","","chr579","1579","",0,0,"yma012",0,"mpc579",0,"",0
"char_FUGAMON_BOSS","","","chr579","1579","",0,0,"yma012",0,"mpc579",0,"",0
"char_HYOUGAMON","","","chr580","1580","",0,0,"yma009",0,"mpc580",0,"",0
"char_HYOUGAMON_BOSS","","","chr580","1580","",0,0,"yma009",0,"mpc580",0,"",0
"char_OTAMAMON","","","chr582","1582","",0,0,"cmd004",0,"",0,"",0
"char_FLYMON","","","chr586","1586","",0,0,"ymb005",0,"",0,"",0
"char_RAREMON","","","chr590","1590","",0,0,"oma001",0,"",0,"",0
"char_RAREMON_BIG","","","chr939","1590","",0,0,"oma001",0,"",0,"bmv008",0
"char_DOKUGUMON","","","chr592","1592","",0,0,"ymd001",0,"",0,"",0
"char_GIZAMON","","","chr594","1594","",0,0,"cmd004",0,"",0,"",0
"char_GOTTSUMON","","","chr595","1595","",0,0,"cma004",0,"",0,"",0
"char_SNIMON","","","chr597","1597","",0,0,"yma009",0,"",0,"",0
"char_TUSKMON","","","chr598","1598","",0,0,"yma008",0,"",0,"",0
"char_WITCHMON","","","chr601","1601","",1,0,"yfb002",0,"mpc742",0,"",0
"char_MUSHMON","","","chr607","1607","",0,0,"cma004",0,"",0,"",0
"char_KOKUWAMON","","","chr609","1609","",0,0,"cmb002",0,"mpc609",0,"",0
"char_KIWIMON","","","chr610","1610","",1,0,"yfc001",0,"",0,"",0
"char_FLORAMON","","","chr611","1611","",1,0,"cfa001",0,"mpc611",0,"",0
"char_MECHANORIMON","","","chr615","1615","",0,0,"ymb003",0,"",0,"",0
"char_TANKMON","","","chr620","1621","",0,0,"yma008",0,"",0,"",0
"char_PENMON","","","chr622","1622","",0,0,"cmc002",0,"",0,"",0
"char_MUCHOMON","","","chr623","1623","",0,0,"cmc002",0,"",0,"",0
"char_KERAMON","","","chr626","1626","",0,0,"ymd008",0,"",0,"",0
"char_KURAMON","","","chr629","1629","",0,0,"cmd001",0,"",0,"",0
"char_KURISARIMON","","","chr630","1630","",0,0,"ymd001",0,"",0,"",0
"char_TSUMEMON","","","chr631","1631","",0,0,"cmb002",0,"",0,"",0
"char_SHOUTMON","","","chr682","1682","",0,0,"yma004",0,"",0,"",0
"char_HACKMON","","","chr687","1687","",0,0,"cma004",0,"",0,"",0
"char_ZUBAMON","","","chr697","1697","",0,0,"cmb001",0,"",0,"",0
"char_ZUBAEAGERMON","","","chr698","1698","",0,0,"yma007",0,"",0,"",0
"char_TERRIERMON","","","chr701","1701","",0,0,"cmc003",0,"",0,"",0
"char_PECKMON","","","chr702","1702","",0,0,"ymb009",0,"",0,"",0
"char_FALCOMON","","","chr705","1705","",0,0,"cmb001",0,"",0,"",0
"char_HAWKMON","","","chr706","1706","",0,0,"cma002",0,"mpc706",0,"",0
"char_ARMADILLOMON","","","chr707","1707","",0,0,"cmd002",0,"",0,"",0
"char_TOYAGUMON","","","chr708","1708","",0,0,"cmc003",0,"",0,"",0
"char_TOYAGUMON_BIG","","","chr874","1708","",0,0,"cmc003",0,"",0,"",0
"char_SHAKOMON","","","chr709","1709","",1,0,"cmd004",0,"",0,"",0
"char_GARGOMON","","","chr710","1710","",0,0,"ymc008",0,"",0,"",0
"char_ANKYLOMON","","","chr711","1711","",0,0,"ymb011",0,"",0,"",0
"char_SOLARMON","","","chr728","1728","",0,0,"cmb002",0,"",0,"",0
"char_GEREMON","","","chr729","1729","",0,0,"ymd008",0,"",0,"",0
"char_ICEDEVIMON","","","chr730","1730","",0,0,"ymb005",0,"",0,"",0
"char_MINERVAMON","","","chr747","1747","",1,0,"yfa001",0,"mpc747",0,"",0
"char_LOPMON","","","chr750","1750","",0,0,"cmc003",0,"",0,"",0
"char_PLATINUM_SCUMON","","","chr752","1752","",0,0,"ymd002",0,"",0,"",0
"char_SOCERIMON","","","chr755","1755","",0,0,"ymb001",0,"",0,"",0
"char_ICEMON","","","chr758","1758","",0,0,"cma004",0,"",0,"",0
"char_TUCHIDARUMON","","","chr759","1759","",0,0,"ymc007",0,"",0,"",0
"char_GUARDROMON_GL","","","chr760","1760","",0,0,"ymb003",0,"",0,"",0
"char_SPECIAL_FORCES","","","chr811","1811","",0,0,"",0,"mpc811",0,"",0
"char_PLAYER_M","","","pc001","2000","",2,1,"",0,"pcm001",0,"",0
"char_PLAYER_F","","","pc002","2001","",2,1,"",0,"pcf001",0,"",0
"char_OPERATOR_M","","","","2000","",0,1,"",0,"",6,"",0
"char_OPERATOR_F","","","","2001","",1,1,"",0,"",6,"",0
"char_OPERATOR","","","","","",2,1,"",0,"",0,"",0
"char_INORI","","","npc001a","3001","",1,1,"",0,"npc001",0,"",0
"char_MYSTERIOUS_GIRL","","","npc001a","9999","",1,1,"",0,"npc001",0,"",0
"char_PROTECTED_GIRL","","","npc001a","3001","",1,1,"",0,"npc001",0,"",0
"char_MAYBE_INORI_VOICE","","","npc001a","3001","",1,1,"",0,"npc001",0,"",0
"char_INORI_AEGIOMON","","","npc001a","3001","",1,1,"",0,"npc001",0,"",0
"char_TAKEMIYA","","","npc002a","9999","",0,0,"",0,"npc002",0,"",0
"char_GLASSES_WEARING_MAN","","","npc002a","9999","",0,0,"",0,"npc002",0,"",0
"char_MAN_ON_THE_PHONE","","","","9999","",0,0,"",0,"",0,"",0
"char_KYOSUKE","","","","9999","",0,0,"",0,"",0,"",0
"char_HIROKO","","","npc003a","3003","",1,0,"",0,"npc003",0,"",0
"char_HIROKO_FIRST","","","npc003a","3003","",1,0,"",0,"npc003",0,"",0
"char_VOICE_SOMEWHERE","","","","9999","",0,0,"",0,"",0,"",0
"char_HOMEROS","","","npc009a","3009","",1,0,"",0,"",0,"",0
"char_HOMEROS_SLEEPY_GIRL","","","","9999","",1,0,"",0,"",0,"",0
"char_YGGDRASILL","","","npc010a","3010","",1,0,"",0,"",0,"",0
"char_YGGDRASILL_SELFISH_GIRL","","","","9999","",1,0,"",0,"",0,"",0
"char_TOUHO","","","npc011a","3011","",0,0,"",0,"",0,"",0
"char_TOUHO_CALM_BOY","","","","9999","",0,0,"",0,"",0,"",0
"char_PUBLICSAFETY_MOB_A","","","npc014a","9999","",0,0,"",0,"",0,"",0
"char_???","","","","9999","",2,0,"",0,"",0,"",0
"char_POLICEMAN","","","","9999","",0,0,"",0,"",0,"",0
"char_EVERYONE","","","","9999","",2,0,"",0,"",0,"",0
"char_UNKNOWN","","","","9999","",2,1,"",0,"",0,"",0
"char_PUBLIC_SECURITY_PERSONNEL","","","","9999","",0,0,"",0,"",0,"",0
"char_MAN","","","","9999","",0,0,"",0,"",0,"",0
"char_WOMAN","","","","9999","",1,0,"",0,"",0,"",0
"char_DEMO","","","","9999","",2,0,"",0,"",0,"",0
"char_OFFICE_WORKER","","","","9999","",0,0,"",0,"",0,"",0
"char_YOUNG_MAN","","","","9999","",0,0,"",0,"",0,"",0
"char_YOUNG_WOMAN","","","","9999","",1,0,"",0,"",0,"",0
"char_HEROINES_FATHER","","","npc002a","9999","",0,0,"",0,"npc002",0,"",0
"char_ADAMAS_Cloud","","","","6008","",2,0,"",0,"",0,"",0
"char_DIGIVICE","","","","4001","",0,0,"",0,"",0,"",0
"char_MIREI_CHILD","","","npc013a","3013","",1,0,"",0,"",0,"",0
"char_METALGREYMON_BIG_BL","","","chr936","1936","",0,0,"yma007",0,"",0,"bmv015",0
"char_BLACKSHADOW","","","chr805","1805","",0,0,"",0,"",0,"",0
"char_SUMERAGI","","","npc006a","9999","",0,0,"",0,"",0,"",0
"char_TOUDO","","","npc007a","3007","",1,0,"",0,"npc007",0,"",0
"char_HEROINE","","","npc001a","2001","",1,0,"",0,"npc001",0,"",0
"char_FEMALE_AGENT","","","","2001","",1,0,"",0,"pcf001",0,"",0
"char_MALE_AGENT","","","","2000","",0,0,"",0,"pcm001",0,"",0
"char_PASSERBY_WOMAN","","","","9999","",1,0,"",0,"",0,"",0
"char_PASSERBY_MAN","","","","9999","",0,0,"",0,"",0,"",0
"char_HIGH_SCHOOL_BOY","","","","9999","",0,0,"",0,"",0,"",0
"char_HIGH_SCHOOL_GIRL","","","","9999","",1,0,"",0,"",0,"",0
"char_FEMALE_STUDENT","","","","9999","",1,0,"",0,"",0,"",0
"char_CHRONOMONROBO_COMPLETE","","","chr802","1802","",0,0,"",0,"",0,"",0
"char_CHAOSDRAMON","","","chr422","1422","",0,0,"yma002",0,"",0,"",0
"char_EX-TYRANOMON","","","chr001","1001","",0,0,"cmc002",0,"",0,"",0
"char_PANDAMON","","","chr041","1041","",0,0,"ymc007",0,"",0,"",0
"char_CATCHMAMEMON","","","chr044","1044","",0,0,"cmc004",0,"",0,"",0
"char_MONZAEMON","","","chr061","1061","",0,0,"ymc007",0,"",0,"",0
"char_PEGASMON","","","chr146","1146","",0,0,"ymc001",0,"",0,"",0
"char_ARCHNEMON","","","chr199","1199","",1,0,"yfd001",0,"",0,"",0
"char_ASTAMON","","","chr237","1237","",0,0,"ymb001",0,"",0,"",0
"char_ANDROMON","","","chr342","1342","",0,0,"ymb003",0,"",0,"",0
"char_ZUDOMON","","","chr345","1345","",0,0,"yma008",0,"",0,"",0
"char_DIGITAMAMON","","","chr374","1374","",0,0,"ymb010",0,"",0,"",0
"char_GERBEMON","","","chr380","1380","",0,0,"ymd002",0,"",0,"",0
"char_PANJYAMON","","","chr409","1409","",0,0,"yma007",0,"",0,"",0
"char_PICKLEMON","","","chr410","1410","",1,0,"ymc007",0,"",0,"",0
"char_MAMEMON","","","chr412","1412","",0,0,"cmc004",0,"",0,"",0
"char_METALMAMEMON","","","chr413","1413","",0,0,"cmc004",0,"",0,"",0
"char_PRINCEMAMEMON","","","chr429","1429","",0,0,"ymc004",0,"",0,"",0
"char_NANOMON","","","chr576","1576","",0,0,"ymb010",0,"",0,"",0
"char_PUMPMON","","","chr596","1596","",0,0,"cma002",0,"mpc596",0,"",0
"char_AGNIMON","","","chr676","1676","",0,0,"yma003",0,"",0,"",0
"char_WOLFMON","","","chr680","1680","",0,0,"ymb004",0,"",0,"",0
"char_KNIGHTMON","","","chr718","1718","",0,0,"ymb002",0,"",0,"",0
"char_SILPHYMON","","","chr720","1720","",0,0,"ymc008",0,"",0,"",0
"char_BIG_STUFFED_TOY","","","","9999","",0,0,"",0,"",0,"",0
"char_STUFFED_TOY_?","","","","9999","",0,0,"",0,"",0,"",0
"char_SELF_PROCLAIMED_STUFFED_TOY","","","","9999","",0,0,"",0,"",0,"",0
"char_VADEMON","","","chr411","1411","",0,0,"ymd001",0,"mpc411",0,"",0
"char_VOICE_MIXED_WITH_NOISE","","","","9999","",1,0,"",0,"",0,"",0
"char_CRESCEMON","","","chr004","1004","",1,0,"yfb001",0,"",0,"",0
"char_SKULLSATAMON","","","chr006","1006","",0,0,"yma009",0,"",0,"",0
"char_WHAMON","","","chr021","1021","",0,0,"mmc001",0,"",0,"",0
"char_DINOBEEMON","","","chr023","1023","",0,0,"ymb006",0,"",0,"",0
"char_GRADEMON","","","chr026","1026","",0,0,"ymb002",0,"",0,"",0
"char_MATADRMON","","","chr031","1031","",0,0,"ymb001",0,"",0,"",0
"char_LUCEMON_FM","","","chr039","1039","",0,0,"ymb005",0,"",0,"",0
"char_RIZEGREYMON","","","chr071","1071","",0,0,"yma003",0,"",0,"",0
"char_LILAMON","","","chr073","1073","",1,0,"yfc002",0,"",0,"",0
"char_MACHGAOGAMON","","","chr074","1074","",0,0,"yma011",0,"",0,"",0
"char_SHAWUJINMON","","","chr076","1076","",0,0,"ymb002",0,"",0,"",0
"char_SUPERSTARMON","","","chr079","1079","",0,0,"yma004",0,"",0,"",0
"char_HIPPOGRIFFOMON","","","chr082","1082","",0,0,"ymb001",0,"",0,"",0
"char_TYILINMON","","","chr084","1084","",0,0,"ymb011",0,"",0,"",0
"char_VAMDEMON","","","chr085","1085","",0,0,"ymd001",0,"",0,"",0
"char_OMEGAMON","","","chr088","1088","",0,0,"mmb002",0,"mpc088",0,"",0
"char_HOLYANGEMON","","","chr101","1101","",0,0,"ymb002",0,"",0,"",0
"char_LADYDEVIMON","","","chr107","1107","",1,0,"yfb002",0,"",0,"",0
"char_MEGASEADRAMON","","","chr132","1132","",0,0,"yma009",0,"",0,"",0
"char_MEGAGROWLMON","","","chr134","1134","",0,0,"yma009",0,"",0,"",0
"char_LIGHDRAMON","","","chr139","1139","",0,0,"yma007",0,"",0,"",0
"char_WEREGARURUMON","","","chr140","1140","",0,0,"ymb004",0,"",0,"",0
"char_DIGMON","","","chr144","1144","",0,0,"ymd007",0,"",0,"",0
"char_SABMARIMON","","","chr145","1145","",0,0,"ymc003",0,"mpc145",0,"",0
"char_ANGEWOMON","","","chr148","1148","",1,0,"yfc003",0,"",0,"",0
"char_RANAMON","","","chr162","1162","",1,0,"cfc001",0,"mpc162",0,"",0
"char_BLUEMERAMON","","","chr177","1177","",0,0,"yma009",0,"",0,"",0
"char_HISYARYUMON","","","chr192","1192","",0,0,"ymb011",0,"",0,"",0
"char_WINGDRAMON","","","chr210","1210","",0,0,"yma008",0,"",0,"",0
"char_GROUNDRAMON","","","chr211","1211","",0,0,"yma009",0,"",0,"",0
"char_DARKSUPERSTARMON","","","chr217","1217","",0,0,"ymb002",0,"",0,"",0
"char_CERBERUMON","","","chr223","1223","",0,0,"yma015",0,"",0,"",0
"char_MUMMYMON","","","chr226","1226","",0,0,"ymd008",0,"",0,"",0
"char_CHIMAIRAMON","","","chr229","1229","",0,0,"yma008",0,"",0,"bmv004",0
"char_SIRENMON","","","chr232","1232","",1,0,"yfb001",0,"mpc232",0,"",0
"char_MEGADRAMON","","","chr301","1301","",0,0,"yma002",0,"",0,"",0
"char_METALGREYMON","","","chr302","1302","",0,0,"yma007",0,"",0,"",0
"char_ATLURKABUTERIMON","","","chr305","1305","",0,0,"ymb006",0,"",0,"",0
"char_ETEMON","","","chr311","1311","",0,0,"yma004",0,"",0,"",0
"char_LILLYMON","","","chr359","1359","",1,0,"yfc001",0,"",0,"",0
"char_METALTYRANNOMON","","","chr364","1364","",0,0,"yma002",0,"",0,"",0
"char_DELUMON","","","chr378","1378","",0,0,"ymc003",0,"",0,"",0
"char_MAGNAMON","","","chr382","1382","",0,0,"yma015",0,"",0,"",0
"char_MAGNAMON_BIG","","","chr815","1382","",0,0,"yma015",0,"",0,"",0
"char_AEROVEEDRAMON","","","chr400","1400","",0,0,"yma003",0,"",0,"",0
"char_OKUWAMON","","","chr401","1401","",0,0,"ymb001",0,"",0,"",0
"char_GIGADRAMON","","","chr402","1402","",0,0,"yma012",0,"",0,"",0
"char_GRAPLEOMON","","","chr403","1403","",0,0,"yma011",0,"mpc403",0,"",0
"char_SKULLGREYMON","","","chr404","1404","",0,0,"mma004",0,"",0,"",0
"char_TAOMON","","","chr405","1405","",1,0,"yfb001",0,"",0,"",0
"char_DORUGREYMON","","","chr407","1407","",0,0,"yma009",0,"",0,"",0
"char_PAILDRAMON","","","chr408","1408","",0,0,"yma012",0,"",0,"",0
"char_JEWELBEEMON","","","chr484","1484","",0,0,"ymb002",0,"mpc484",0,"",0
"char_AGUMON_KIZUNA","","","chr489","1489","",0,0,"mmb003",0,"",0,"",0
"char_BUTEN","","","chr575","1575","",0,0,"ymb011",0,"",0,"",0
"char_FANTOMON","","","chr584","1584","",0,0,"ymd001",0,"",0,"",0
