int 0,empty 1,string2 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int 11
1000601,"","J_head",40,40,30,30,100,0,0,0,0
1000602,"","J_neck",30,30,20,20,100,0,0,0,0
1000611,"","J_head",60,60,15,15,100,0,0,0,0
1000681,"","J_head",30,30,10,10,100,0,0,0,0
1000711,"","J_head",50,50,25,25,100,0,0,0,0
1000731,"","J_head",15,15,30,30,100,0,0,0,0
1000732,"","J_chest",20,20,15,15,100,0,0,0,0
1000741,"","J_jnt_hd0",45,45,15,15,100,0,0,0,0
1000742,"","J_jnt_bd1",30,30,10,10,100,0,0,0,0
1000751,"","J_head",40,40,20,20,100,0,0,0,0
1009271,"","J_head",40,40,20,20,100,0,0,0,0
1000761,"","J_head",60,60,20,20,100,0,0,0,0
1000771,"","head",30,30,45,45,100,0,0,0,0
1000781,"","J_head",40,40,20,20,100,0,0,0,0
1000782,"","J_neck",20,20,15,15,100,0,0,0,0
1000801,"","J_head",180,180,180,180,100,0,0,0,0
1009281,"","J_head",180,180,180,180,100,0,0,0,0
1000811,"","J_head",60,60,30,30,100,0,0,0,0
1000821,"","J_head",90,90,45,45,100,0,0,0,0
1000822,"","J_neck",10,10,10,10,100,0,0,0,0
1000831,"","J_head",5,5,0,0,100,0,0,0,0
1000832,"","J_neck",50,50,20,20,100,0,0,0,0
1000841,"","J_head",30,30,45,45,100,0,0,0,0
1000851,"","J_head",30,30,20,20,100,0,0,0,0
1000861,"","J_head",20,20,15,15,100,0,0,0,0
1000862,"","J_neck",10,10,10,10,100,0,0,0,0
1000871,"","J_head",30,30,20,20,100,0,0,0,0
1000872,"","J_neck",20,20,10,10,100,0,0,0,0
1000901,"","J_head",50,50,40,40,100,0,0,0,0
1000902,"","J_neck",20,20,10,10,100,0,0,0,0
1000911,"","J_head",30,30,20,20,100,0,0,0,0
1000912,"","J_neck",25,25,10,10,100,0,0,0,0
1000941,"","J_head",30,30,30,30,100,0,0,0,0
1000942,"","J_neck",20,20,15,15,100,0,0,0,0
1000951,"","J_head",60,60,30,30,100,0,0,0,0
1000961,"","J_neck",20,20,30,30,100,0,0,0,0
1000971,"","J_center",60,60,45,45,100,0,0,0,0
1000981,"","J_head",50,50,45,45,100,0,0,0,0
1000982,"","J_neck_2",30,30,30,30,100,0,0,0,0
1001001,"","J_haed",30,30,25,25,100,0,0,0,0
1001011,"","J_head",60,60,30,30,100,0,0,0,0
1001012,"","J_thorax",40,40,10,10,100,0,0,0,0
1001021,"","J_head",60,60,45,45,100,0,0,0,0
1001031,"","J_root",15,15,0,0,100,0,0,0,0
1001041,"","J_head",50,50,45,45,100,0,0,0,0
1001042,"","J_neck",20,20,20,20,100,0,0,0,0
1001051,"","J_head",25,25,15,15,100,0,0,0,0
1001061,"","J_neck",60,60,30,30,100,0,0,0,0
1001062,"","J_neck",30,30,45,45,100,0,0,0,0
1001071,"","J_head",55,55,15,15,100,0,0,0,0
1001072,"","J_neck",25,25,5,5,100,0,0,0,0
1001121,"","J_atama",40,40,20,20,100,0,0,0,0
1001141,"","J_neck",70,70,45,45,100,0,0,0,0
1001151,"","J_head",35,35,15,15,100,0,0,0,0
1001152,"","J_neck",10,10,20,20,100,0,0,0,0
1001161,"","J_head",55,55,45,45,100,0,0,0,0
1001162,"","J_neck",30,30,30,30,100,0,0,0,0
1001163,"","J_spine03",25,25,10,10,100,0,0,0,0
1001164,"","J_spine02",20,20,0,0,100,0,0,0,0
1001171,"","J_neck01",90,90,45,45,100,0,0,0,0
1001181,"","J_head",35,35,30,30,100,0,0,0,0
1001271,"","J_head",70,70,40,40,100,0,0,0,0
1001281,"","J_neck",15,15,10,10,100,0,0,0,0
1001291,"","J_head",55,55,35,35,100,0,0,0,0
1001292,"","J_neck01",45,45,30,30,100,0,0,0,0
1001301,"","J_spine02",50,50,30,30,100,0,0,0,0
1001341,"","J_head",60,60,45,45,100,0,0,0,0
1001342,"","J_neck",30,30,20,20,100,0,0,0,0
1001361,"","J_head",180,180,180,180,100,0,0.3,0,0
1001371,"","J_head",30,30,15,15,100,0,0,0,0
1001381,"","J_head",30,30,20,20,100,0,0,0,0
1001382,"","J_neck",20,20,10,10,100,0,0,0,0
1001391,"","J_head",60,60,45,45,100,0,0,0,0
1001392,"","J_neck",45,45,30,30,100,0,0,0,0
1001411,"","J_head",10,10,5,5,100,0,0,0,0
1001412,"","J_neck",20,20,20,20,100,0,0,0,0
1001421,"","J_head",40,40,30,30,100,0,0,0,0
1001422,"","J_neck",20,20,10,10,100,0,0,0,0
1001441,"","J_head",40,40,30,30,100,0,0,0,0
1001451,"","J_center",40,40,30,30,100,0,0,0,0
1001461,"","J_neck02",45,45,35,35,100,0,0,0,0
1001471,"","J_head",40,40,30,30,100,0,0,0,0
1001472,"","J_neck",20,20,20,20,100,0,0,0,0
1001481,"","J_head",20,20,10,10,100,0,0,0,0
1001491,"","J_head_f_m",20,20,10,10,100,0,0,0,0
1001492,"","J_neck04_f_m",15,15,30,30,100,0,0,0,0
1001621,"","J_head",60,60,60,60,100,0,0,0,0
1001622,"","J_neck",60,60,40,40,100,0,0,0,0
1001631,"","J_head",70,70,70,70,100,0,0,0,0
1001632,"","J_neck",70,70,70,70,100,0,0,0,0
1001681,"","J_head",60,60,20,20,100,0,0,0,0
1001691,"","J_head",40,40,15,15,100,0,0,0,0
1008761,"","J_head",40,40,15,15,100,0,0,0,0
1001701,"","J_head",180,180,180,180,100,0,0,0,1
1001711,"","J_armorhead",20,20,15,15,100,0,0,0,0
1001712,"","J_armorneck",15,15,5,5,100,0,0,0,0
1001721,"","J_head",180,180,180,180,100,0,0,0,1
1001731,"","J_head",70,70,70,70,100,0,0,0,0
1001732,"","J_neck",70,70,70,70,100,0,0,0,0
1009311,"","J_head",70,70,70,70,100,0,0,0,0
1009312,"","J_neck",70,70,70,70,100,0,0,0,0
1001741,"","J_head",70,180,90,90,100,0,0,0,0
1001761,"","J_head",70,70,70,70,100,0,0,0,0
1001762,"","J_spine02",70,70,70,70,100,0,0,0,0
1001781,"","J_head",90,90,90,90,100,0,0,0,0
1001782,"","J_neck",90,90,90,90,100,0,0,0,0
1001801,"","J_head",10,10,30,30,100,0,0,0,0
1001802,"","J_neck",20,20,10,10,100,0,0,0,0
1001811,"","J_head",40,40,15,15,100,0,0,0,0
1001812,"","J_neck01",30,30,10,10,100,0,0,0,0
1001831,"","head",180,180,180,180,100,0,0.1,0,1
1001841,"","head",180,180,180,180,100,0,0.1,0,1
1001851,"","head",180,180,180,180,100,0,0.1,0,1
1001861,"","head",180,180,180,180,100,0,0.1,0,1
1001871,"","head",180,180,180,180,100,0,0.1,0,1
1001881,"","head",180,180,180,180,100,0,0.1,0,1
1001891,"","J_head",40,40,15,15,100,0,0,0,0
1001892,"","J_neck",30,30,10,10,100,0,0,0,0
1001901,"","J_head",30,30,40,40,100,0,0,0,0
1001911,"","J_head",20,20,20,20,100,0,0,0,0
1001912,"","J_neck02",15,15,20,20,100,0,0,0,0
1001913,"","J_neck01",10,10,15,15,100,0,0,0,0
1001921,"","J_head",30,30,20,20,100,0,0,0,0
1001922,"","J_neck04",25,25,20,20,100,0,0,0,0
1001923,"","J_neck03",20,20,15,15,100,0,0,0,0
1001931,"","J_head",30,30,15,15,100,0,0,0,0
1001932,"","J_neck03",25,25,15,15,100,0,0,0,0
1001933,"","J_neck02",20,20,10,10,100,0,0,0,0
1001941,"","J_head",30,30,10,10,100,0,0,0,0
1001942,"","J_head",30,30,10,10,100,0,0,0,0
1001951,"","J_head",30,30,15,15,100,0,0,0,0
1001952,"","J_neck",15,15,10,10,100,0,0,0,0
1001961,"","J_center",50,50,35,35,100,0,0,0,0
1001971,"","J_head",40,40,20,20,100,0,0,0,0
1001972,"","J_neck",20,20,10,10,100,0,0,0,0
1001973,"","J_spine02",15,15,20,20,100,0,0,0,0
1001981,"","J_root",40,40,0,0,100,0,0,0,0
1001991,"","J_head",20,20,10,10,100,0,0,0,0
1001992,"","J_neck",5,5,5,5,100,0,0,0,0
1002081,"","J_head",40,40,30,30,100,0,0,0,0
1002082,"","J_neck",30,30,20,20,100,0,0,0,0
1002101,"","J_neck03",60,60,45,45,100,0,0,0,0
1002102,"","J_neck02",40,40,30,30,100,0,0,0,0
1002111,"","kubi_tukene",80,80,45,45,100,0,0,0,0
1002131,"","J_head",40,40,30,30,100,0,0,0,0
1002132,"","J_neck",30,30,20,20,100,0,0,0,0
1002141,"","J_neck01",90,90,45,45,100,0,0,0,0
1002151,"","J_head",30,30,15,15,100,0,0,0,0
1002191,"","J_head",50,50,35,35,100,0,0,0,0
1002201,"","J_head",40,40,20,20,100,0,0,0,0
1002202,"","J_neck",30,30,15,15,100,0,0,0,0
1002221,"","J_head",5,5,5,5,100,0,0,0,0
1002222,"","J_neck",25,25,25,25,100,0,0,0,0
1002231,"","J_head",25,25,20,20,100,0,0,0,0
1002241,"","J_head",35,35,15,15,100,0,0,0,0
1002242,"","J_neck",25,25,10,10,100,0,0,0,0
1002251,"","J_head",30,30,10,10,100,0,0,0,0
1002261,"","J_head",50,50,15,15,100,0,0,0,0
1002262,"","J_neck",20,20,15,15,100,0,0,0,0
1002271,"","J_neck",20,20,20,20,100,0,0,0,0
1002281,"","J_head",40,40,30,30,100,0,0,0,0
1002282,"","J_neck",30,30,15,15,100,0,0,0,0
1002291,"","J_head",30,30,20,20,100,0,0,0,0
1002292,"","J_neck",15,15,10,10,100,0,0,0,0
1002301,"","J_head",20,20,15,15,100,0,0,0,0
1002302,"","J_neck",15,15,20,20,100,0,0,0,0
1002311,"","J_head",40,40,20,20,100,0,0,0,0
1002321,"","J_head",40,40,15,15,100,0,0,0,0
1002331,"","J_head",40,40,20,20,100,0,0,0,0
1002351,"","J_head",10,10,10,10,100,0,0,0,0
1002352,"","J_neck",20,20,10,10,100,0,0,0,0
1002371,"","J_head",35,35,20,20,100,0,0,0,0
1002372,"","J_neck",25,25,10,10,100,0,0,0,0
1002391,"","J_head",70,70,45,45,100,0,0,0,0
1002392,"","J_neck",40,40,30,30,100,0,0,0,0
1002401,"","J_spine",30,30,25,25,100,0,0,0,0
1002411,"","J_center",20,20,0,0,100,0,0,0,0
1002421,"","J_center",40,40,10,10,100,0,0,0,0
1003031,"","J_center",50,50,35,35,100,0,0,0,0
1003041,"","J_kubi",5,5,0,0,100,0,0,0,0
1003042,"","J_mune",30,30,0,0,100,0,0,0,0
1003051,"","J_atama",20,20,35,35,100,0,0,0,0
1003052,"","J_kubi",10,10,10,10,100,0,0,0,0
1003061,"","J_atama",15,15,0,0,100,0,0,0,0
1003062,"","J_kubi",10,10,0,0,100,0,0,0,0
1003063,"","J_mune",30,30,0,0,100,0,0,0,0
1003071,"","J_atama",60,60,30,30,100,0,0,0,0
1003081,"","J_kubiB",90,90,45,45,100,0,0,0,0
1003091,"","J_head",15,15,10,10,100,0,0,0,0
1003092,"","J_body",25,25,10,10,100,0,0,0,0
1003101,"","J_kubiB",60,60,45,45,100,0,0,0,0
1003102,"","J_kubiA",15,15,20,20,100,0,0,0,0
1003111,"","J_kao",55,55,20,20,100,0,0,0,0
1003112,"","J_kubi",30,30,10,10,100,0,0,0,0
1003113,"","J_mune",10,10,5,5,100,0,0,0,0
1003121,"","J_kao",60,60,30,30,100,0,0,0,0
1003122,"","J_kubi",30,30,20,20,100,0,0,0,0
1003141,"","J_atama",40,40,20,20,100,0,0,0,0
1003151,"","J_atama",20,20,5,5,100,0,0,0,0
1003152,"","J_kubi",0,0,0,0,100,0,0,0,0
1003161,"","J_base",40,40,10,10,100,0,0,0,0
1003171,"","J_center",20,20,10,10,100,0,0,0,0
1003201,"","J_root",10,10,0,0,100,0,0,0,0
1003202,"","J_center",20,20,10,10,100,0,0,0,0
1003203,"","J_root",10,10,0,0,100,0,0,0,0
1003211,"","J_center",20,20,0,0,100,0,0,0,0
1003221,"","J_base",20,20,0,0,100,0,0,0,0
1003251,"","J_loot",40,40,0,0,100,0,0,0,0
1003281,"","J_head",30,30,15,15,100,0,0,0,0
1003282,"","J_neck",0,0,0,0,100,0,0,0,0
1003283,"","J_spine03",10,10,10,10,100,0,0,0,0
1003381,"","J_neck",5,5,10,10,100,0,0,0,0
1003382,"","J_spine02",15,15,5,5,100,0,0,0,0
1003421,"","J_kao",15,15,10,10,100,0,0,0,0
1003431,"","J_atama",90,90,45,45,100,0,0,0,0
1003441,"","J_atama",30,30,0,0,100,0,0,0,0
1003451,"","J_kao",40,40,25,25,100,0,0,0,0
1003452,"","J_kubi",20,20,10,10,100,0,0,0,0
1003461,"","J_atama",30,30,15,15,100,0,0,0,0
1003481,"","J_atama",180,180,35,35,100,0,0,0,0
1003491,"","J_atama",10,10,5,5,100,0,0,0,0
1003492,"","J_mune",10,10,5,5,100,0,0,0,0
1003591,"","J_atama",25,25,10,10,100,0,0,0,0
1003592,"","J_kubi",10,10,5,5,100,0,0,0,0
1003611,"","J_atama",75,75,45,45,100,0,0,0,0
1003631,"","J_atama",60,60,40,40,100,0,0,0,0
1003641,"","J_hed",30,30,15,15,100,0,0,0,0
1003651,"","J_head",30,30,20,20,100,0,0,0,0
1003652,"","J_neck",20,20,10,10,100,0,0,0,0
1003671,"","J_atama",65,65,70,100,100,0,0,0,0
1003672,"","J_mune",40,40,30,20,100,0,0,0,0
1003681,"","J_atama",40,40,45,45,100,0,0,0,0
1003691,"","J_atama",20,20,20,20,100,0,0,0,0
1003711,"","J_mune",25,25,10,10,100,0,0,0,0
1003721,"","J_atama",40,40,30,30,100,0,0,0,0
1003722,"","J_cubi",20,20,10,10,100,0,0,0,0
1003731,"","J_atama",30,30,15,15,100,0,0,0,0
1003741,"","J_root_074",15,15,0,0,100,0,0,0,0
1003751,"","J_root",15,15,0,0,100,0,0,0,0
1003761,"","J_atama",90,90,45,45,100,0,0,0,0
1003781,"","J_atama",20,20,5,5,100,0,0,0,0
1003791,"","J_root",15,15,0,0,100,0,0,0,0
1003801,"","J_root",40,40,0,0,100,0,0,0,0
1003821,"","J_head",90,90,45,45,100,0,0,0,0
1003822,"","J_neck",45,45,30,30,100,0,0,0,0
1003823,"","J_mune",30,30,20,20,100,0,0,0,0
1003831,"","J_head",40,40,30,30,100,0,0,0,0
1003832,"","J_neck1",30,30,20,20,100,0,0,0,0
1003851,"","J_atama",40,40,30,30,100,0,0,0,0
1003852,"","J_Kubi",30,30,20,20,100,0,0,0,0
1003871,"","J_body2",40,40,10,10,100,0,0,0,0
1003872,"","J_body1",30,30,10,10,100,0,0,0,0
1003881,"","J_mune",50,50,20,20,100,0,0,0,0
1003891,"","J_atama",50,50,20,20,100,0,0,0,0
1003901,"","J_head",10,10,10,10,100,0,0,0,0
1003902,"","J_neck",15,15,10,10,100,0,0,0,0
1003903,"","J_spine2",30,30,10,10,100,0,0,0,0
1003911,"","J_head",50,50,20,20,100,0,0,0,0
1003921,"","J_neck",90,90,45,45,100,0,0,0,0
1003931,"","J_root",15,15,0,0,100,0,0,0,0
1003951,"","J_head",30,30,45,45,100,0,0,0,0
1003952,"","J_neck",15,15,30,30,100,0,0,0,0
1003961,"","J_head",25,25,10,10,100,0,0,0,0
1003962,"","J_neck",20,20,0,0,100,0,0,0,0
1003963,"","J_spine2",20,20,10,10,100,0,0,0,0
1003971,"","J_head",50,50,30,30,100,0,0,0,0
1003972,"","J_spine2",30,30,20,20,100,0,0,0,0
1003981,"","J_head",60,60,45,45,100,0,0,0,0
1003982,"","J_spine2",20,20,5,5,100,0,0,0,0
1003991,"","J_atama",90,90,45,45,100,0,0,0,0
1004001,"","J_head",50,50,30,30,100,0,0,0,0
1004011,"","J_neck",40,40,60,60,100,0,0,0,0
1004012,"","J_spine2",30,30,60,60,100,0,0,0,0
1004031,"","J_head",20,20,45,45,100,0,0,0,0
1004032,"","J_spine2",15,15,30,30,100,0,0,0,0
1004033,"","J_spine1",25,25,20,20,100,0,0,0,0
1004041,"","J_kubi2",40,40,20,20,100,0,0,0,0
1004042,"","J_atama",20,20,15,15,100,0,0,0,0
1004051,"","J_head",60,60,40,40,100,0,0,0,0
1004061,"","J_head",60,60,40,40,100,0,0,0,0
1004062,"","J_neck",45,45,25,25,100,0,0,0,0
1004063,"","J_spine02",30,30,20,20,100,0,0,0,0
1004071,"","J_head",60,60,40,40,100,0,0,0,0
1004072,"","J_neck4",40,40,30,30,50,0,0,0,0
1004073,"","J_neck3",20,20,20,20,30,0,0,0,0
1004081,"","J_head",45,45,20,20,100,0,0,0,0
1004101,"","J_center",90,90,45,45,100,0,0,0,0
1004111,"","J_atama",60,60,45,45,100,0,0,0,0
1004112,"","J_mune",40,40,20,20,100,0,0,0,0
1004121,"","J_root",15,15,0,0,100,0,0,0,0
1004131,"","J_root",15,15,0,0,100,0,0,0,0
1004141,"","J_atama",25,25,15,15,100,0,0,0,0
1004161,"","J_head",40,40,20,20,100,0,0,0,0
1004171,"","J_head",55,55,30,30,100,0,0,0,0
1004191,"","J_head",75,75,40,40,100,0,0,0,0
1004201,"","J_head",75,75,30,30,100,0,0,0,0
1004211,"","J_head",10,10,0,0,100,0,0,0,0
1004212,"","J_neck",15,15,10,10,100,0,0,0,0
1004221,"","J_head",30,30,15,15,100,0,0,0,0
1004231,"","J_head",15,15,0,0,100,0,0,0,0
1004232,"","J_spine2",25,25,20,20,100,0,0,0,0
1004241,"","J_atama",50,50,50,90,100,0,0,0,0
1004261,"","J_head",60,60,40,40,100,0,0,0,0
