int 0,empty 1,int 2,empty 3,empty 4,empty 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,empty 15,empty 16,empty 17,int 18,int 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,empty 27,empty 28,empty 29,int 30,int 31,int 32,int 33,int 34,int 35,int 36,int 37,int 38,empty 39,empty 40,empty 41,int 42,int 43,int 44,int 45,int 46,int 47,int 48,int 49,int 50,empty 51,empty 52,empty 53,int 54,int 55,int 56,int 57,int 58,int 59,int 60,int 61,int 62,empty 63,empty 64,empty 65,int 66,int 67,int 68,int 69,int 70,int 71,int 72,int 73,int 74,string2 75,int 76,empty 77,int 78,empty 79,int 80,empty 81,bool 82,bool 83,bool 84,int 85
10330300,"",95401,"","","",100,2,35,75,75,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,7,"battle_10330300",-1,"",140,"",143,"",0,0,0,0
10350100,"",95201,"","","",100,2,12,57,57,0,0,1,95101,"","","",100,2,12,57,57,0,0,1,95301,"","","",100,2,12,57,57,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,50,"battle_10350100",-1,"",1,"",803,"",0,0,1,0
10360100,"",92601,"","","",100,2,15,60,60,0,0,1,-1,"","","",100,2,12,57,57,0,0,1,-1,"","","",100,2,12,57,57,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,9,"battle_10360100",-1,"",60,"",61,"",1,0,1,0
10400010,"",97901,"","","",100,2,15,60,60,0,0,1,96401,"","","",100,2,15,60,60,0,0,1,97901,"","","",100,2,15,60,60,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10400010",-1,"",1,"",803,"",0,0,0,0
10400020,"",97901,"","","",100,2,15,60,60,0,0,1,97901,"","","",100,2,15,60,60,0,0,1,-1,"","","",100,2,15,60,60,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,36,"battle_10400020",-1,"",1,"",803,"",0,0,0,0
10400030,"",98001,"","","",100,2,15,60,60,0,0,1,98001,"","","",100,2,15,60,60,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,36,"battle_10400030",-1,"",1,"",803,"",0,0,0,0
10400040,"",98101,"","","",100,2,15,60,60,0,0,1,98201,"","","",100,2,15,60,60,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10400040",-1,"",1,"",803,"",0,0,0,0
10400050,"",97901,"","","",100,2,16,61,61,0,0,1,97901,"","","",100,2,16,61,61,0,0,1,96401,"","","",100,2,16,61,61,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10400050",-1,"",1,"",803,"",0,0,0,0
10400060,"",97901,"","","",100,2,16,61,61,0,0,1,97901,"","","",100,2,16,61,61,0,0,1,96401,"","","",100,2,16,61,61,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10400060",-1,"",1,"",803,"",0,0,0,0
10400070,"",96401,"","","",100,2,16,61,61,0,0,1,97901,"","","",100,2,16,61,61,0,0,1,97901,"","","",100,2,16,61,61,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10400070",-1,"",1,"",803,"",0,0,0,0
10400100,"",91901,"","","",100,2,17,62,62,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,10,"battle_10400100",-1,"",50,"",51,"",1,0,1,0
10400200,"",88501,"","","",100,2,20,65,65,0,0,1,80101,"","","",100,2,20,65,65,0,0,1,80001,"","","",100,2,20,65,65,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,11,"battle_10400200",-1,"",20,"",21,"",1,0,1,0
10510100,"",70901,"","","",100,2,16,61,61,0,0,1,70901,"","","",75,2,16,61,61,0,0,1,70901,"","","",30,2,16,61,61,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"battle_10510100",-1,"",1,"",803,"",0,0,0,0
10510200,"",70901,"","","",100,2,16,61,61,0,0,1,70901,"","","",75,2,16,61,61,0,0,1,70901,"","","",30,2,16,61,61,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"battle_10510200",-1,"",1,"",803,"",0,0,0,0
10510300,"",70901,"","","",100,2,16,61,61,0,0,1,70901,"","","",75,2,16,61,61,0,0,1,70901,"","","",30,2,16,61,61,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"battle_10510300",-1,"",1,"",803,"",0,0,0,0
10510400,"",70901,"","","",100,2,16,61,61,0,0,1,70901,"","","",75,2,16,61,61,0,0,1,70901,"","","",30,2,16,61,61,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"battle_10510400",-1,"",1,"",803,"",0,0,0,0
10510500,"",70901,"","","",100,2,16,61,61,0,0,1,70901,"","","",75,2,16,61,61,0,0,1,70901,"","","",30,2,16,61,61,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"battle_10510500",-1,"",1,"",803,"",0,0,0,0
10510600,"",60601,"","","",100,2,17,62,62,0,0,1,12901,"","","",100,2,17,62,62,0,0,1,60601,"","","",100,2,17,62,62,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,26,"battle_10510600",-1,"",1,"",803,"",0,0,0,0
10510700,"",60601,"","","",100,2,17,62,62,0,0,1,60601,"","","",100,2,17,62,62,0,0,1,60601,"","","",100,2,17,62,62,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,26,"battle_10510700",-1,"",1,"",803,"",0,0,0,0
10510800,"",60601,"","","",100,2,18,63,63,0,0,1,12901,"","","",100,2,18,63,63,0,0,1,13001,"","","",100,2,18,63,63,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,26,"battle_10510800",-1,"",1,"",803,"",0,0,0,0
10510900,"",60601,"","","",100,2,18,63,63,0,0,1,98601,"","","",100,2,18,63,63,0,0,1,13001,"","","",100,2,18,63,63,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,26,"battle_10510900",-1,"",1,"",803,"",0,0,0,0
10520200,"",90601,"","","",100,2,23,68,68,0,0,1,60602,"","","",100,2,21,66,66,0,0,1,60602,"","","",100,2,21,66,66,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,12,"battle_10520200",-1,"",32,"",33,"",1,0,1,0
10600010,"",11101,"","","",100,2,14,59,59,0,0,1,11101,"","","",100,2,14,59,59,0,0,1,11101,"","","",100,2,14,59,59,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10600010",-1,"",1,"",803,"",0,0,0,0
10600020,"",57701,"","","",100,2,19,64,64,0,0,1,36701,"","","",100,2,16,61,61,0,0,1,11101,"","","",100,2,14,59,59,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10600020",-1,"",1,"",803,"",0,0,0,0
10600050,"",98501,"","","",100,2,22,67,67,0,0,1,-1,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,33,"battle_10600050",-1,"",10,"",11,"",1,0,0,0
10600100,"",95901,"","","",100,2,27,67,67,0,0,1,36701,"","","",100,2,24,69,69,0,0,1,36701,"","","",100,2,24,69,69,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10600100",-1,"",3,"",803,"",0,0,0,0
10700100,"",96201,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,14,"battle_10700100",-1,"",32,"",33,"",1,0,0,0
10700200,"",95202,"","","",100,2,25,70,70,0,0,1,95102,"","","",100,2,25,70,70,0,0,1,95302,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,50,"battle_10700200",-1,"",1,"",803,"",0,0,0,0
10800100,"",63002,"","","",100,2,25,70,70,0,0,1,12901,"","","",100,2,25,70,70,0,0,1,63002,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,36,"battle_10800100",-1,"",1,"",201,"",0,0,0,0
10810100,"",96301,"","","",100,2,26,66,66,0,0,1,96301,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,25,70,70,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10810100",-1,"",1,"",803,"",0,0,0,0
10810200,"",92901,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,8,"battle_10810200",-1,"",100,"",101,"",1,0,1,0
10900100,"",90901,"","","",100,2,32,72,72,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,15,"battle_10900100",-1,"",120,"",121,"",1,0,1,0
10930100,"",16201,"","","",100,2,34,74,74,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10930100",-1,"",1,"",803,"",0,0,1,0
10930200,"",95601,"","","",100,2,35,75,75,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,16,"battle_10930200",-1,"",3,"",805,"",1,0,1,0
11020010,"",72701,"","","",100,2,36,76,76,0,0,1,72701,"","","",100,2,36,76,76,0,0,1,72701,"","","",100,2,36,76,76,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11020010",-1,"",1,"",803,"",0,0,0,0
11020020,"",72701,"","","",100,2,36,76,76,0,0,1,72701,"","","",100,2,36,76,76,0,0,1,72701,"","","",100,2,36,76,76,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11020020",-1,"",1,"",803,"",0,0,0,0
11020030,"",98502,"","","",100,2,36,76,76,0,0,1,-1,"","","",100,2,36,76,76,0,0,1,-1,"","","",100,2,36,76,76,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,33,"battle_11020030",-1,"",10,"",11,"",0,0,0,0
11020100,"",60101,"","","",100,2,37,77,77,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,23,"battle_11020100",-1,"",1,"",805,"",1,0,1,0
11020200,"",87701,"","","",100,2,38,78,78,0,0,1,-1,"","","",100,2,37,77,77,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,45,"battle_11020200",-1,"",1,"",803,"",0,0,0,0
11110010,"",2003,"","","",100,2,39,79,79,0,0,1,75201,"","","",100,2,39,79,79,0,0,1,-1,"","","",100,2,39,79,79,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110010",-1,"",1,"",803,"",0,0,0,0
11110020,"",58401,"","","",100,2,39,79,79,0,0,1,58401,"","","",100,2,39,79,79,0,0,1,58401,"","","",100,2,39,79,79,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110020",-1,"",1,"",803,"",0,0,0,0
11110030,"",40502,"","","",100,2,39,79,79,0,0,1,72101,"","","",100,2,39,79,79,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110030",-1,"",1,"",803,"",0,0,1,0
11110040,"",12701,"","","",100,2,39,79,79,0,0,1,42901,"","","",100,2,39,79,79,0,0,1,7901,"","","",100,2,39,79,79,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110040",-1,"",1,"",803,"",0,0,1,0
11110100,"",40301,"","","",100,2,43,78,78,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,2,"battle_11110100",-1,"",1,"",803,"",0,0,0,0
11110110,"",3101,"","","",100,2,40,80,80,0,0,1,1702,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110110",-1,"",1,"",803,"",0,0,0,0
11110120,"",46102,"","","",100,2,40,80,80,0,0,1,42701,"","","",100,2,40,80,80,0,0,1,37602,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110120",-1,"",1,"",803,"",0,0,0,0
11110130,"",40604,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110130",-1,"",1,"",803,"",0,0,0,0
11110140,"",75001,"","","",100,2,40,80,80,0,0,1,70101,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11110140",-1,"",1,"",803,"",0,0,0,0
11110500,"",49201,"","","",100,2,45,80,80,0,0,1,-1,"","","",100,2,40,80,80,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,17,"battle_11110500",-1,"",30,"",38,"",1,0,1,0
11200010,"",91601,"","","",100,2,42,77,77,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,18,"battle_11200010",-1,"",140,"",141,"",1,0,1,0
11200020,"",22903,"","","",100,2,45,80,80,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11200020",-1,"",1,"",803,"",0,0,0,0
11200030,"",61701,"","","",100,2,45,80,80,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"",-1,"",1,"",803,"",0,0,0,0
11200040,"",88101,"","","",100,2,45,80,80,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,40,"battle_11200040",-1,"",2,"",805,"",0,0,1,0
11200050,"",5902,"","","",100,2,43,78,78,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11200050",-1,"",1,"",803,"",0,0,0,0
11200060,"",87901,"","","",100,2,43,78,78,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,14,"battle_11200060",-1,"",3,"",803,"",0,0,0,0
11200100,"",39901,"","","",100,2,30,70,70,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,2,"battle_11200100",-1,"",1,"",803,"",0,0,0,0
11500010,"",75902,"","","",100,2,50,85,85,0,0,1,4703,"","","",100,2,50,85,85,0,0,1,1001,"","","",100,2,50,85,85,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11500010",-1,"",1,"",803,"",0,0,0,0
11500100,"",97301,"","","",100,2,50,85,85,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,19,"battle_11500100",-1,"",140,"",141,"",1,0,1,0
11600200,"",80601,"","","",100,2,53,88,88,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,22,"battle_11600200",-1,"",37,"",38,"",0,0,1,0
11700010,"",34602,"","","",100,2,50,85,85,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_11700010",-1,"",1,"",803,"",0,0,0,0
11700100,"",99901,"","","",100,2,50,85,85,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,20,"battle_11700100",-1,"",140,"",143,"",1,0,1,0
11800010,"",88401,"","","",100,2,53,88,88,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"battle_11800010",-1,"",1,"",803,"",0,0,1,0
11800020,"",88401,"","","",100,2,53,88,88,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"battle_11800020",-1,"",1,"",807,"",0,0,1,0
