int 0,empty 1,int 2,empty 3,empty 4,int 5,empty 6,bool 7,bool 8,bool 9,int 10,int 11,float 12,float 13,string2 14,int 15,int 16,int 17,int 18,int 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,int 27,int 28,int 29,int 30,empty 31,int 32,int 33,int 34,int 35,int 36,int 37,empty 38,int 39,int 40,empty 41,int 42,int 43
5502,"",55,"","",5502,"",0,1,0,0,20,-1,0.1,"",0,0,950,220,400,130,250,120,280,0,50,0,0,0,0,0,"",0,250,0,40,4,30042,"",100,0,"",0,0
5601,"",56,"","",5601,"",0,1,0,0,20,-1,0.1,"",0,0,1000,270,1250,750,1270,800,660,30,50,120,20,120,20,100,"",0,24,4,40,4,22141,"",100,0,"",0,0
5602,"",56,"","",5601,"",0,1,0,0,20,-1,0.1,"",0,0,1,270,250,150,270,160,220,0,50,120,20,120,20,100,"",0,0,0,150,0,0,"",0,0,"",0,0
5701,"",57,"","",5701,"",0,1,0,0,20,-1,0.05,"",0,0,2340,1020,3070,1550,3400,1640,900,60,100,260,90,260,90,200,"",0,664,10,320,32,22115,"",100,0,"",0,0
5801,"",58,"","",5801,"",0,1,0,0,20,-1,0.05,"",0,0,1430,480,160,410,640,590,240,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
5901,"",59,"","",5901,"",0,1,0,0,20,-1,0.05,"",0,0,2210,450,2180,1060,860,780,680,50,80,210,50,210,50,160,"",0,664,8,160,16,0,"",0,0,"",0,10
5902,"",59,"","",5901,"",0,1,0,0,20,-1,0.05,"",0,0,5220,450,2180,960,860,680,680,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
6001,"",60,"","",6001,"",0,1,0,0,20,-1,0.05,"",0,0,2200,760,3240,1720,3010,1720,870,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
6002,"",60,"","",6001,"",0,1,0,0,20,-1,0.05,"",0,0,2200,760,1240,720,1010,720,870,60,100,260,90,260,90,200,"",0,0,0,0,0,0,"",0,0,"",0,0
6101,"",61,"","",6101,"",0,1,0,0,20,-1,0.05,"",0,0,2610,580,860,460,1010,560,570,50,80,210,50,210,50,160,"",0,564,8,160,16,0,"",0,0,"",0,10
6102,"",61,"","",6102,"",0,1,0,0,20,-1,0.05,"",0,0,2610,580,1860,1460,3010,2560,1570,150,80,160,80,160,80,160,"",0,264,8,160,16,0,"",0,0,"",0,0
6801,"",68,"","",6801,"",0,1,0,0,20,-1,0.05,"",0,0,660,480,390,180,410,210,430,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
6901,"",69,"","",6902,"",0,1,1,0,20,-1,0.05,"",0,0,1670,860,1060,2000,160,660,800,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
6902,"",69,"","",6901,"",0,1,0,0,20,-1,0.05,"",0,0,300,860,1120,4000,1160,4000,800,0,100,260,0,260,0,200,"",12,5000,0,50000,0,91,"",60,0,"",0,5
7001,"",70,"","",7001,"",0,1,0,0,20,-1,0.05,"",0,0,1660,400,260,300,200,220,250,40,60,170,40,170,40,130,"",0,42,3,80,4,1171,"",5,0,"",0,15
7002,"",70,"","",7002,"",0,1,0,0,1,-1,0.05,"",0,0,1200,400,460,560,400,560,350,40,60,130,60,130,60,130,"",0,83,0,80,8,0,"",0,0,"",0,0
7101,"",71,"","",7101,"",0,1,0,0,20,-1,0.05,"",0,0,2710,590,2320,1360,1430,1080,860,50,80,210,50,210,50,160,"",0,664,8,160,16,1173,"",5,0,"",0,10
7102,"",71,"","",7102,"",0,1,0,0,20,-1,0.05,"",0,0,2610,590,3320,1460,2430,1380,860,50,80,210,50,210,50,160,"",0,264,8,160,16,22114,"",100,0,"",0,0
7201,"",72,"","",7201,"",0,1,0,0,20,-1,0.05,"",0,0,1320,260,520,260,260,210,280,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
7301,"",73,"","",7301,"",0,1,0,0,20,-1,0.05,"",0,0,2060,890,680,780,1440,940,1010,50,80,210,50,210,50,160,"",0,264,8,160,16,1174,"",5,0,"",0,10
7401,"",74,"","",7401,"",0,1,0,0,20,-1,0.05,"",0,0,2480,530,1090,320,720,420,1020,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
7501,"",75,"","",7502,"",0,1,0,0,20,2.004,0.05,"",0,0,5560,960,4140,1460,3680,1320,1440,60,100,260,90,260,90,200,"",17,50000,24,6400,160,0,"",0,0,"",0,5
7502,"",75,"","",7502,"",0,1,1,0,20,-1,0.05,"",0,0,5560,960,3140,1460,2680,1320,990,60,100,200,100,200,100,200,"",0,664,10,320,32,0,"",0,0,"",0,5
7601,"",76,"","",7601,"",0,1,0,0,20,-1,0.05,"",0,0,1640,780,890,400,1160,510,830,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
7602,"",76,"","",7602,"",0,1,0,0,20,-1,0.05,"",0,0,1640,780,890,400,1160,510,830,50,80,160,80,160,80,160,"",0,264,8,160,16,0,"",0,0,"",0,10
7701,"",77,"","",7701,"",0,1,0,0,20,1.5,0.05,"",0,0,770,570,490,400,610,420,460,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,0
7801,"",78,"","",7801,"",0,1,0,0,20,-1,0.05,"",0,0,1320,340,520,220,250,190,350,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
7901,"",79,"","",7901,"",0,1,0,0,20,-1,0.05,"",0,0,2780,890,1840,1100,1360,1100,680,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
8001,"",80,"","",8001,"",0,1,0,0,20,-1,0.05,"",0,0,2430,720,1400,520,1240,580,1370,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
8002,"",80,"","",8001,"",0,1,0,0,20,-1,0.05,"",0,0,2430,720,1400,520,1240,580,1370,60,100,200,100,200,100,200,"",0,664,10,320,32,0,"",0,0,"",0,5
8101,"",81,"","",8101,"",0,1,0,0,20,-1,0.1,"",0,0,140,320,130,70,180,110,100,50,50,30,20,30,20,100,"",0,3,5,10,5,82,"",25,0,"",0,0
8102,"",81,"","",8101,"",0,1,0,0,20,-1,0.1,"",0,0,210,320,152,63,162,103,97,50,60,300,100,300,100,130,"",0,24,4,40,4,0,"",0,0,"",0,50
8103,"",81,"","",8101,"",0,1,0,0,20,-1,0.1,"",0,0,350,320,170,70,180,110,120,30,50,120,20,120,20,100,"",0,3,5,5,5,0,"",0,0,"",0,200
8201,"",82,"","",8201,"",0,1,0,0,20,-1,0.05,"",0,0,1510,1000,660,230,1350,440,860,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
8301,"",83,"","",8301,"",0,1,0,0,20,-1,0.05,"",0,0,1980,930,1130,410,1270,540,1140,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
8401,"",84,"","",8401,"",0,1,0,0,20,-1,0.05,"",0,0,3380,780,2860,2000,3080,1890,1010,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,0
8501,"",85,"","",8501,"",0,1,0,0,20,-1,0.05,"",0,0,1900,590,1970,520,2290,680,820,50,80,210,50,210,50,160,"",0,464,8,264,16,0,"",0,0,"",0,10
8502,"",85,"","",8501,"",0,1,1,0,20,-1,0.05,"",0,0,2200,590,970,520,1290,680,620,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
8601,"",86,"","",8601,"",0,1,0,0,20,-1,0.05,"",0,0,5050,930,3010,1680,3400,1750,2190,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
8701,"",87,"","",8701,"",0,1,0,0,20,-1,0.05,"",0,0,1000,390,460,180,570,250,290,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
8702,"",87,"","",8702,"",0,1,0,0,20,-1,0.05,"",0,0,1000,390,460,180,570,250,290,120,60,130,60,130,60,130,"",0,84,6,80,8,0,"",0,0,"",0,15
8801,"",88,"","",8801,"",0,1,0,0,20,-1,0.05,"",0,0,3450,790,1860,860,1510,750,1120,60,100,260,90,260,90,200,"",0,1364,12,350,35,0,"",0,0,"",0,5
9001,"",90,"","",9001,"",0,1,0,0,20,-1,0.1,"",0,0,1500,220,2500,1130,2140,100,1280,30,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,20
9002,"",90,"","",9002,"",0,0,1,0,20,-1,0.1,"",0,0,2800,220,850,400,280,270,280,30,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,0
9101,"",91,"","",9101,"",0,1,0,0,20,-1,0.05,"",0,0,1210,340,520,120,290,140,430,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
9201,"",92,"","",9201,"",0,1,0,0,20,-1,0.05,"",0,0,970,540,500,440,950,550,470,40,60,170,40,170,40,130,"",0,84,6,80,8,22138,"",100,0,"",0,0
9202,"",92,"","",9201,"",0,1,0,0,20,-1,0.05,"",0,0,970,540,200,140,650,250,370,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
9301,"",93,"","",9301,"",0,1,0,0,20,-1,0.05,"",0,0,1110,390,490,160,550,240,280,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
9302,"",93,"","",9301,"",0,1,1,0,20,-1,0.05,"",0,0,1110,390,490,160,550,240,280,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
9303,"",93,"","",9301,"",0,1,0,0,20,-1,0.05,"",0,0,1110,390,490,160,550,240,280,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
9401,"",94,"","",9401,"",0,1,0,0,20,-1,0.05,"",0,0,3800,760,1570,450,640,430,990,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
9501,"",95,"","",9501,"",0,1,0,0,20,-1,0.05,"",0,0,2630,760,1350,480,980,500,1190,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
9601,"",96,"","",9601,"",0,1,0,0,20,-1,0.1,"",0,0,800,360,210,110,390,160,240,30,50,120,20,120,20,100,"",0,4,1,10,1,0,"",0,0,"",0,20
9701,"",97,"","",9701,"",0,1,0,0,20,-1,0.1,"",0,0,740,300,360,130,240,120,300,40,50,130,30,130,30,100,"",0,12,2,20,2,0,"",0,0,"",0,20
9702,"",97,"","",9701,"",0,1,0,0,20,-1,0.1,"",0,0,1240,300,900,730,840,720,800,40,50,130,30,130,30,100,"",0,120,8,40,8,0,"",0,0,"",0,20
9801,"",98,"","",9801,"",0,1,0,0,20,-1,0.05,"",0,0,3460,560,3630,2550,3240,2550,750,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
10001,"",100,"","",10001,"",0,1,0,0,20,-1,0.05,"",0,0,5500,200,1000,510,260,570,300,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
10002,"",100,"","",10002,"",0,1,0,0,20,-1,0.05,"",0,0,5500,200,1000,510,260,570,300,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
10003,"",100,"","",10003,"",0,0,1,0,20,-1,0,"",0,0,3780,200,3060,1760,2260,1580,1360,40,60,170,40,170,40,130,"",0,400,0,80,8,0,"",0,0,"",0,0
10101,"",101,"","",10101,"",0,1,0,0,20,-1,0.05,"",0,0,1780,720,550,500,1440,630,620,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
10102,"",101,"","",10102,"",0,1,0,0,20,-1,0.05,"",0,0,2780,720,550,500,1440,630,620,50,80,210,50,210,50,160,"",19,264,8,160,16,0,"",0,0,"",0,0
10201,"",102,"","",10201,"",0,1,0,0,20,-1,0.05,"",0,0,1230,300,440,190,320,200,360,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
10301,"",103,"","",10301,"",0,0,0,0,20,-1,0.1,"",0,0,1220,220,450,320,230,240,220,30,50,120,20,120,20,100,"",0,24,6,40,4,0,"",0,0,"",0,20
10302,"",103,"","",10302,"",0,1,0,0,20,-1,0.1,"",0,0,880,220,950,660,800,750,800,30,50,120,20,120,20,100,"",0,24,6,40,4,0,"",0,0,"",0,0
10401,"",104,"","",10401,"",0,1,1,0,20,1.9,0.05,"",0,0,3720,1040,1590,820,1500,740,1170,60,100,260,90,260,90,200,"",0,1364,12,350,35,0,"",0,0,"",0,5
