int 0,empty 1,string 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,int 10,int 11,int 12,int 13
10574,"","bg_d0574",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10575,"","bg_d0575",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10576,"","bg_d0576",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10577,"","bg_d0577",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10578,"","bg_d0578",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10579,"","bg_d0579",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10580,"","bg_d0580",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10671,"","bg_d0671",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10672,"","bg_d0672",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10673,"","bg_d0673",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10674,"","bg_d0674",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10675,"","bg_d0675",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10676,"","bg_d0676",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10771,"","bg_d0771",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10772,"","bg_d0772",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10773,"","bg_d0773",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10871,"","bg_d0871",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10971,"","bg_d0971",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10972,"","bg_d0972",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10973,"","bg_d0973",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10974,"","bg_d0974",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10975,"","bg_d0975",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10976,"","bg_d0976",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10977,"","bg_d0977",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10978,"","bg_d0978",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10979,"","bg_d0979",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10980,"","bg_d0980",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10990,"","bg_d0990",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10991,"","bg_d0991",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11071,"","bg_d1071",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11072,"","bg_d1072",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11073,"","bg_d1073",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11171,"","bg_d1171",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11172,"","bg_d1172",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11173,"","bg_d1173",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11174,"","bg_d1174",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11271,"","bg_d1271",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11272,"","bg_d1272",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11273,"","bg_d1273",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11371,"","bg_d1371",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11372,"","bg_d1372",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11373,"","bg_d1373",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11471,"","bg_d1471",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11472,"","bg_d1472",-30,30,0.1,30,-30,30,0.1,24,24,24,0
11473,"","bg_d1473",-30,30,0.1,30,-30,30,0.1,24,24,24,0
15071,"","bg_d5071",-30,30,0.1,30,-30,30,0.1,24,24,24,0
15072,"","bg_d5072",-30,30,0.1,30,-30,30,0.1,24,24,24,0
15073,"","bg_d5073",-30,30,0.1,30,-30,30,0.1,24,24,24,0
15074,"","bg_d5074",-30,30,0.1,30,-30,30,0.1,24,24,24,0
15075,"","bg_d5075",-30,30,0.1,30,-30,30,0.1,24,24,24,0
15076,"","bg_d5076",-30,30,0.1,30,-30,30,0.1,24,24,24,0
15077,"","bg_d5077",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20171,"","bg_h0171",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20271,"","bg_h0271",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20272,"","bg_h0272",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20371,"","bg_h0371",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20372,"","bg_h0372",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20471,"","bg_h0471",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20472,"","bg_h0472",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20571,"","bg_h0571",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20671,"","bg_h0671",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20771,"","bg_h0771",-30,30,0.1,30,-30,30,0.1,24,24,24,0
20871,"","bg_h0871",-30,30,0.1,30,-30,30,0.1,24,24,24,0
