string2 0,float 1,float 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10
chr394,20,65,500,0,0,0,0,0,0,0
chr395,20,65,500,0,0,0,0,0,0,0
chr396,20,65,500,0,0,0,0,0,0,0
chr397,20,65,500,0,0,0,0,0,0,0
chr398,20,65,500,0,0,0,0,0,0,0
chr399,20,65,500,0,0,0,0,0,0,0
chr400,20,65,500,0,0,0,0,0,0,0
chr401,20,65,500,0,0,0,0,0,0,0
chr402,20,65,500,0,0,0,0,0,0,0
chr403,20,65,500,0,0,0,0,0,0,0
chr404,20,65,500,0,0,0,0,0,0,0
chr405,20,65,500,0,0,0,0,0,0,0
chr406,20,65,500,0,0,0,0,0,0,0
chr407,20,65,500,0,0,0,0,0,0,0
chr408,20,65,500,0,0,0,0,0,0,0
chr409,20,65,500,0,0,0,0,0,0,0
chr410,20,65,500,0,0,0,0,0,0,0
chr411,20,65,500,0,0,0,0,0,0,0
chr412,20,65,500,0,0,0,0,0,0,0
chr413,20,65,500,0,0,0,0,0,0,0
chr414,20,65,500,0,0,0,0,0,0,0
chr416,20,65,500,0,0,0,0,0,0,0
chr417,20,65,500,0,0,0,0,0,0,0
chr419,20,65,500,0,0,0,0,0,0,0
chr420,20,65,500,0,0,0,0,0,0,0
chr421,20,65,500,0,0,0,0,0,0,0
chr422,20,65,500,0,0,0,0,0,0,0
chr423,20,65,500,0,0,0,0,0,0,0
chr424,20,65,500,0,0,0,0,0,0,0
chr425,20,65,500,0,0,0,0,0,0,0
chr426,20,65,500,0,0,0,0,0,0,0
chr427,20,65,500,0,0,0,0,0,0,0
chr428,20,65,500,0,0,0,0,0,0,0
chr429,20,65,500,0,0,0,0,0,0,0
chr431,20,65,500,0,0,0,0,0,0,0
chr434,20,65,500,0,0,0,0,0,0,0
chr435,20,65,500,0,0,0,0,0,0,0
chr437,20,65,500,0,0,0,0,0,0,0
chr438,20,65,500,0,0,0,0,0,0,0
chr439,20,65,500,0,0,0,0,0,0,0
chr440,20,65,500,0,0,0,0,0,0,0
chr450,20,65,500,0,0,0,0,0,0,0
chr451,20,65,500,0,0,0,0,0,0,0
chr452,20,65,500,0,0,0,0,0,0,0
chr453,20,65,500,0,0,0,0,0,0,0
chr454,20,65,500,0,0,0,0,0,0,0
chr455,20,65,500,0,0,0,0,0,0,0
chr456,20,65,500,0,0,0,0,0,0,0
chr457,20,65,500,0,0,0,0,0,0,0
chr458,20,65,500,0,0,0,0,0,0,0
chr461,20,65,500,0,0,0,0,0,0,0
chr463,20,65,500,0,0,0,0,0,0,0
chr465,20,65,500,0,0,0,0,0,0,0
chr466,20,65,500,0,0,0,0,0,0,0
chr474,20,65,500,0,0,0,0,0,0,0
chr479,20,65,500,0,0,0,0,0,0,0
chr480,20,65,500,0,0,0,0,0,0,0
chr484,20,65,500,0,0,0,0,0,0,0
chr489,20,65,500,0,0,0,0,0,0,0
chr490,20,65,500,0,0,0,0,0,0,0
chr491,20,65,500,0,0,0,0,0,0,0
chr492,20,65,500,0,0,0,0,0,0,0
chr493,20,65,500,0,0,0,0,0,0,0
chr494,20,65,500,0,0,0,0,0,0,0
chr510,20,65,500,0,0,0,0,0,0,0
chr512,20,65,500,0,0,0,0,0,0,0
chr514,20,65,500,0,0,0,0,0,0,0
chr515,20,65,500,0,0,0,0,0,0,0
chr548,20,65,500,0,0,0,0,0,0,0
chr563,20,65,500,0,0,0,0,0,0,0
chr564,20,65,500,0,0,0,0,0,0,0
chr567,20,65,500,0,0,0,0,0,0,0
chr569,20,65,500,0,0,0,0,0,0,0
chr573,20,65,500,0,0,0,0,0,0,0
chr574,20,65,500,0,0,0,0,0,0,0
chr575,20,65,500,0,0,0,0,0,0,0
chr576,20,65,500,0,0,0,0,0,0,0
chr577,20,65,500,0,0,0,0,0,0,0
chr578,20,65,500,0,0,0,0,0,0,0
chr579,20,65,500,0,0,0,0,0,0,0
chr580,20,65,500,0,0,0,0,0,0,0
chr582,20,65,500,0,0,0,0,0,0,0
chr584,20,65,500,0,0,0,0,0,0,0
chr586,20,65,500,0,0,0,0,0,0,0
chr588,20,65,500,0,0,0,0,0,0,0
chr590,20,65,500,0,0,0,0,0,0,0
chr592,20,65,500,0,0,0,0,0,0,0
chr594,20,65,500,0,0,0,0,0,0,0
chr595,20,65,500,0,0,0,0,0,0,0
chr596,20,65,500,0,0,0,0,0,0,0
chr597,20,65,500,0,0,0,0,0,0,0
chr598,20,65,500,0,0,0,0,0,0,0
chr600,20,65,500,0,0,0,0,0,0,0
chr601,20,65,500,0,0,0,0,0,0,0
chr602,20,65,500,0,0,0,0,0,0,0
chr603,20,65,500,0,0,0,0,0,0,0
chr604,20,65,500,0,0,0,0,0,0,0
chr605,20,65,500,0,0,0,0,0,0,0
chr606,20,65,500,0,0,0,0,0,0,0
chr607,20,65,500,0,0,0,0,0,0,0
chr609,20,65,500,0,0,0,0,0,0,0
chr610,20,65,500,0,0,0,0,0,0,0
chr611,20,65,500,0,0,0,0,0,0,0
chr613,20,65,500,0,0,0,0,0,0,0
chr614,20,65,500,0,0,0,0,0,0,0
chr615,20,65,500,0,0,0,0,0,0,0
chr616,20,65,500,0,0,0,0,0,0,0
chr617,20,65,500,0,0,0,0,0,0,0
chr621,20,65,500,0,0,0,0,0,0,0
chr622,20,65,500,0,0,0,0,0,0,0
chr623,20,65,500,0,0,0,0,0,0,0
chr626,20,65,500,0,0,0,0,0,0,0
chr627,20,65,500,0,0,0,0,0,0,0
chr629,20,65,500,0,0,0,0,0,0,0
chr630,20,65,500,0,0,0,0,0,0,0
chr631,20,65,500,0,0,0,0,0,0,0
chr632,20,65,500,0,0,0,0,0,0,0
chr669,20,65,500,0,0,0,0,0,0,0
chr670,20,65,500,0,0,0,0,0,0,0
chr675,20,65,500,0,0,0,0,0,0,0
chr676,20,65,500,0,0,0,0,0,0,0
chr677,20,65,500,0,0,0,0,0,0,0
chr678,20,65,500,0,0,0,0,0,0,0
chr679,20,65,500,0,0,0,0,0,0,0
chr680,20,65,500,0,0,0,0,0,0,0
chr681,20,65,500,0,0,0,0,0,0,0
chr682,20,65,500,0,0,0,0,0,0,0
chr683,20,65,500,0,0,0,0,0,0,0
chr687,20,65,500,0,0,0,0,0,0,0
chr688,20,65,500,0,0,0,0,0,0,0
chr697,20,65,500,0,0,0,0,0,0,0
chr698,20,65,500,0,0,0,0,0,0,0
chr699,20,65,500,0,0,0,0,0,0,0
chr700,20,65,500,0,0,0,0,0,0,0
chr701,20,65,500,0,0,0,0,0,0,0
chr702,20,65,500,0,0,0,0,0,0,0
chr703,20,65,500,0,0,0,0,0,0,0
chr704,20,65,500,0,0,0,0,0,0,0
chr705,20,65,500,0,0,0,0,0,0,0
chr706,20,65,500,0,0,0,0,0,0,0
chr707,20,65,500,0,0,0,0,0,0,0
chr708,20,65,500,0,0,0,0,0,0,0
chr709,20,65,500,0,0,0,0,0,0,0
chr710,20,65,500,0,0,0,0,0,0,0
chr711,20,65,500,0,0,0,0,0,0,0
chr716,20,65,500,0,0,0,0,0,0,0
chr718,20,65,500,0,0,0,0,0,0,0
chr719,20,65,500,0,0,0,0,0,0,0
chr720,20,65,500,0,0,0,0,0,0,0
chr721,20,65,500,0,0,0,0,0,0,0
chr722,20,65,500,0,0,0,0,0,0,0
chr723,20,65,500,0,0,0,0,0,0,0
chr724,20,65,500,0,0,0,0,0,0,0
chr725,20,65,500,0,0,0,0,0,0,0
chr726,20,65,500,0,0,0,0,0,0,0
chr727,20,65,500,0,0,0,0,0,0,0
chr728,20,65,500,0,0,0,0,0,0,0
chr729,20,65,500,0,0,0,0,0,0,0
chr730,20,65,500,0,0,0,0,0,0,0
chr731,20,65,500,0,0,0,0,0,0,0
chr732,20,65,500,0,0,0,0,0,0,0
chr733,20,65,500,0,0,0,0,0,0,0
chr734,20,65,500,0,0,0,0,0,0,0
chr735,20,65,500,0,0,0,0,0,0,0
chr737,20,65,500,0,0,0,0,0,0,0
chr738,20,65,500,0,0,0,0,0,0,0
chr739,20,65,500,0,0,0,0,0,0,0
chr740,20,65,500,0,0,0,0,0,0,0
chr741,20,65,500,0,0,0,0,0,0,0
chr742,20,65,500,0,0,0,0,0,0,0
chr743,20,65,500,0,0,0,0,0,0,0
chr744,20,65,500,0,0,0,0,0,0,0
chr745,20,65,500,0,0,0,0,0,0,0
chr747,20,65,500,0,0,0,0,0,0,0
chr748,20,65,500,0,0,0,0,0,0,0
chr749,20,65,500,0,0,0,0,0,0,0
chr750,20,65,500,0,0,0,0,0,0,0
chr751,20,65,500,0,0,0,0,0,0,0
chr752,20,65,500,0,0,0,0,0,0,0
chr753,20,65,500,0,0,0,0,0,0,0
chr754,20,65,500,0,0,0,0,0,0,0
chr755,20,65,500,0,0,0,0,0,0,0
chr756,20,65,500,0,0,0,0,0,0,0
chr757,20,65,500,0,0,0,0,0,0,0
chr758,20,65,500,0,0,0,0,0,0,0
chr759,20,65,500,0,0,0,0,0,0,0
chr760,20,65,500,0,0,0,0,0,0,0
chr766,20,65,500,0,0,0,0,0,0,0
chr767,20,65,500,0,0,0,0,0,0,0
chr770,20,65,500,0,0,0,0,0,0,0
chr771,20,65,500,0,0,0,0,0,0,0
chr772,20,65,500,0,0,0,0,0,0,0
chr773,20,65,500,0,0,0,0,0,0,0
chr774,20,65,500,0,0,0,0,0,0,0
chr775,20,65,500,0,0,0,0,0,0,0
chr776,20,65,500,0,0,0,0,0,0,0
chr777,20,65,500,0,0,0,0,0,0,0
chr778,20,65,500,0,0,0,0,0,0,0
chr779,20,65,500,0,0,0,0,0,0,0
chr780,20,65,500,0,0,0,0,0,0,0
chr781,20,65,500,0,0,0,0,0,0,0
chr782,20,65,500,0,0,0,0,0,0,0
chr783,20,65,500,0,0,0,0,0,0,0
chr784,20,65,500,0,0,0,0,0,0,0
chr785,20,65,500,0,0,0,0,0,0,0
chr786,20,65,500,0,0,0,0,0,0,0
chr787,20,65,500,0,0,0,0,0,0,0
chr788,20,65,500,0,0,0,0,0,0,0
chr789,0,0,0,0,0,0,0,0,0,0
chr790,20,65,500,0,0,0,0,0,0,0
chr791,20,65,500,0,0,0,0,0,0,0
chr792,20,65,500,0,0,0,0,0,0,0
chr793,20,65,500,0,0,0,0,0,0,0
chr794,20,65,500,0,0,0,0,0,0,0
chr795,20,65,500,0,0,0,0,0,0,0
chr796,20,65,500,0,0,0,0,0,0,0
chr797,20,65,500,0,0,0,0,0,0,0
chr798,20,65,500,0,0,0,0,0,0,0
chr799,20,65,500,0,0,0,0,0,0,0
chr800,0,0,0,0,0,0,0,0,0,0
chr801,0,0,0,0,0,0,0,0,0,0
chr802,0,0,0,0,0,0,0,0,0,0
chr803,0,0,0,0,0,0,0,0,0,0
chr804,0,0,0,0,0,0,0,0,0,0
chr805,20,65,500,0,0,0,0,0,0,0
chr807a,0,0,0,0,0,0,0,0,0,0
chr809,0,0,0,0,0,0,0,0,0,0
chr810,0,0,0,0,0,0,0,0,0,0
chr811,0,0,0,0,0,0,0,0,0,0
chr812,20,65,500,0,0,0,0,0,0,0
chr813,20,65,500,0,0,0,0,0,0,0
chr814,20,65,500,0,0,0,0,0,0,0
chr815,20,65,500,0,0,0,0,0,0,0
chr816,20,65,500,0,0,0,0,0,0,0
chr817,20,65,500,0,0,0,0,0,0,0
chr818,20,65,500,0,0,0,0,0,0,0
chr819,20,65,500,0,0,0,0,0,0,0
chr820,20,65,500,0,0,0,0,0,0,0
chr821,20,65,500,0,0,0,0,0,0,0
chr822,20,65,500,0,0,0,0,0,0,0
chr823,0,0,0,0,0,0,0,0,0,0
chr824,40,65,500,0,0,0,0,0,0,0
chr825,0,0,0,0,0,0,0,0,0,0
chr826,0,0,0,0,0,0,0,0,0,0
chr827,20,65,500,0,0,0,0,0,0,0
chr828,0,0,0,0,0,0,0,0,0,0
chr829,20,65,500,0,0,0,0,0,0,0
chr830,0,0,0,0,0,0,0,0,0,0
chr831,20,65,500,0,0,0,0,0,0,0
chr832,0,0,0,0,0,0,0,0,0,0
chr833,0,0,0,0,0,0,0,0,0,0
chr834,0,0,0,0,0,0,0,0,0,0
chr835,0,0,0,0,0,0,0,0,0,0
chr836,0,0,0,0,0,0,0,0,0,0
chr837,0,0,0,0,0,0,0,0,0,0
chr838,20,65,500,0,0,0,0,0,0,0
chr839,0,0,0,0,0,0,0,0,0,0
chr840,0,0,0,0,0,0,0,0,0,0
chr841,0,0,0,0,0,0,0,0,0,0
chr842,0,0,0,0,0,0,0,0,0,0
chr843,20,65,500,0,0,0,0,0,0,0
chr844,0,0,0,0,0,0,0,0,0,0
chr845,20,65,500,0,0,0,0,0,0,0
chr846,0,0,0,0,0,0,0,0,0,0
chr864,0,0,0,0,0,0,0,0,0,0
chr865,0,0,0,0,0,0,0,0,0,0
chr866,0,0,0,0,0,0,0,0,0,0
chr874,0,0,0,0,0,0,0,0,0,0
chr875,0,0,0,0,0,0,0,0,0,0
chr876,0,0,0,0,0,0,0,0,0,0
chr877,0,0,0,0,0,0,0,0,0,0
chr878,0,0,0,0,0,0,0,0,0,0
chr879,0,0,0,0,0,0,0,0,0,0
chr880,0,0,0,0,0,0,0,0,0,0
chr881,0,0,0,0,0,0,0,0,0,0
chr882,0,0,0,0,0,0,0,0,0,0
chr883,0,0,0,0,0,0,0,0,0,0
chr884,0,0,0,0,0,0,0,0,0,0
chr885,0,0,0,0,0,0,0,0,0,0
chr886,0,0,0,0,0,0,0,0,0,0
chr887,0,0,0,0,0,0,0,0,0,0
chr888,0,0,0,0,0,0,0,0,0,0
chr889,0,0,0,0,0,0,0,0,0,0
chr890,0,0,0,0,0,0,0,0,0,0
chr891,0,0,0,0,0,0,0,0,0,0
chr892,0,0,0,0,0,0,0,0,0,0
chr893,0,0,0,0,0,0,0,0,0,0
chr894,0,0,0,0,0,0,0,0,0,0
chr895,0,0,0,0,0,0,0,0,0,0
chr896,0,0,0,0,0,0,0,0,0,0
chr897,0,0,0,0,0,0,0,0,0,0
chr898,0,0,0,0,0,0,0,0,0,0
chr899,0,0,0,0,0,0,0,0,0,0
chr900a,0,0,0,0,0,0,0,0,0,0
chr906,0,0,0,0,0,0,0,0,0,0
chr907,20,65,500,0,0,0,0,0,0,0
chr908,20,65,500,0,0,0,0,0,0,0
chr909,50,100,500,0,0,0,0,0,0,0
chr911,20,65,500,0,0,0,0,0,0,0
chr912,20,65,500,0,0,0,0,0,0,0
chr913,0,0,0,0,0,0,0,0,0,0
chr915,20,65,500,0,0,0,0,0,0,0
chr916,20,65,500,0,0,0,0,0,0,0
chr917,50,120,500,0,0,0,0,0,0,0
chr918,50,120,500,0,0,0,0,0,0,0
chr919,100,200,500,0,0,0,0,0,0,0
chr920,20,65,500,0,0,0,0,0,0,0
chr921,0,0,0,0,0,0,0,0,0,0
chr922,50,120,500,0,0,0,0,0,0,0
chr923,50,120,500,0,0,0,0,0,0,0
chr924,20,65,500,0,0,0,0,0,0,0
chr925,20,65,500,0,0,0,0,0,0,0
chr926,20,65,500,0,0,0,0,0,0,0
chr927,40,65,500,0,0,0,0,0,0,0
chr928,40,65,500,0,0,0,0,0,0,0
chr929,40,80,500,0,0,0,0,0,0,0
chr930,0,0,0,0,0,0,0,0,0,0
chr931,40,65,500,0,0,0,0,0,0,0
chr932,100,200,500,0,0,0,0,0,0,0
chr933,40,65,500,0,0,0,0,0,0,0
chr934,40,65,500,0,0,0,0,0,0,0
chr935,0,0,0,0,0,0,0,0,0,0
chr936,20,65,500,0,0,0,0,0,0,0
chr937,0,0,0,0,0,0,0,0,0,0
chr938,0,0,0,0,0,0,0,0,0,0
chr939,0,0,0,0,0,0,0,0,0,0
chr940,20,65,500,0,0,0,0,0,0,0
chr941,0,0,0,0,0,0,0,0,0,0
chr942,0,0,0,0,0,0,0,0,0,0
