int 0,int 1,empty 2,int 3,empty 4,int 5,int 6,int 7,int 8,int 9,int 10
138,27,"",753,"",0,-1,-1,-1,-1,-1
139,28,"",190,"",0,-1,-1,-1,-1,-1
140,28,"",406,"",0,-1,-1,-1,-1,-1
141,28,"",188,"",0,-1,-1,-1,-1,-1
142,28,"",139,"",0,-1,-1,-1,-1,-1
143,28,"",344,"",0,-1,-1,-1,-1,-1
144,28,"",389,"",0,-1,-1,-1,-1,-1
145,30,"",779,"",0,-1,-1,-1,-1,-1
146,30,"",727,"",0,-1,-1,-1,-1,-1
147,30,"",592,"",0,-1,-1,-1,-1,-1
148,30,"",960,"",0,-1,-1,-1,-1,-1
149,30,"",870,"",0,-1,-1,-1,-1,-1
150,30,"",91,"",0,-1,-1,-1,-1,-1
151,31,"",597,"",0,-1,-1,-1,-1,-1
152,31,"",316,"",0,-1,-1,-1,-1,-1
153,31,"",632,"",0,-1,-1,-1,-1,-1
154,31,"",718,"",0,-1,-1,-1,-1,-1
155,31,"",34,"",0,-1,-1,-1,-1,-1
156,31,"",700,"",0,-1,-1,-1,-1,-1
157,32,"",34,"",0,-1,-1,-1,-1,-1
158,32,"",731,"",0,-1,-1,-1,-1,-1
159,32,"",338,"",0,-1,-1,-1,-1,-1
160,32,"",745,"",0,-1,-1,-1,-1,-1
161,32,"",28,"",0,-1,-1,-1,-1,-1
162,32,"",168,"",0,-1,-1,-1,-1,-1
163,33,"",395,"",0,-1,-1,-1,-1,-1
164,33,"",138,"",0,-1,-1,-1,-1,-1
165,33,"",305,"",0,-1,-1,-1,-1,-1
166,33,"",805,"",0,-1,-1,-1,-1,-1
167,33,"",885,"",0,-1,-1,-1,-1,-1
168,33,"",461,"",0,-1,-1,-1,-1,-1
169,34,"",872,"",0,-1,-1,-1,-1,-1
170,34,"",936,"",0,-1,-1,-1,-1,-1
171,34,"",810,"",0,-1,-1,-1,-1,-1
172,34,"",735,"",0,-1,-1,-1,-1,-1
173,34,"",491,"",0,-1,-1,-1,-1,-1
174,34,"",209,"",0,-1,-1,-1,-1,-1
175,35,"",396,"",0,-1,-1,-1,-1,-1
176,35,"",939,"",0,-1,-1,-1,-1,-1
177,35,"",370,"",0,-1,-1,-1,-1,-1
178,35,"",707,"",0,-1,-1,-1,-1,-1
179,35,"",33,"",0,-1,-1,-1,-1,-1
180,35,"",226,"",0,-1,-1,-1,-1,-1
181,36,"",514,"",0,-1,-1,-1,-1,-1
182,36,"",77,"",0,-1,-1,-1,-1,-1
183,36,"",834,"",0,-1,-1,-1,-1,-1
184,36,"",149,"",0,-1,-1,-1,-1,-1
185,36,"",307,"",0,-1,-1,-1,-1,-1
186,36,"",741,"",0,-1,-1,-1,-1,-1
187,37,"",452,"",0,-1,-1,-1,-1,-1
188,37,"",135,"",0,-1,-1,-1,-1,-1
189,37,"",420,"",0,-1,-1,-1,-1,-1
190,37,"",113,"",0,-1,-1,-1,-1,-1
191,37,"",814,"",0,-1,-1,-1,-1,-1
192,37,"",126,"",0,-1,-1,-1,-1,-1
193,38,"",887,"",0,-1,-1,-1,-1,-1
194,38,"",71,"",0,-1,-1,-1,-1,-1
195,38,"",404,"",0,-1,-1,-1,-1,-1
196,38,"",342,"",0,-1,-1,-1,-1,-1
197,38,"",863,"",0,-1,-1,-1,-1,-1
198,38,"",941,"",0,-1,-1,-1,-1,-1
199,39,"",510,"",0,-1,-1,-1,-1,-1
200,39,"",760,"",0,-1,-1,-1,-1,-1
201,39,"",102,"",0,-1,-1,-1,-1,-1
202,39,"",81,"",0,-1,-1,-1,-1,-1
203,39,"",53,"",0,-1,-1,-1,-1,-1
204,39,"",78,"",0,-1,-1,-1,-1,-1
205,40,"",614,"",0,-1,-1,-1,-1,-1
206,40,"",138,"",0,-1,-1,-1,-1,-1
207,40,"",876,"",0,-1,-1,-1,-1,-1
208,40,"",701,"",0,-1,-1,-1,-1,-1
209,40,"",767,"",0,-1,-1,-1,-1,-1
210,40,"",873,"",0,-1,-1,-1,-1,-1
211,41,"",703,"",0,-1,-1,-1,-1,-1
212,41,"",3,"",0,-1,-1,-1,-1,-1
213,41,"",301,"",0,-1,-1,-1,-1,-1
214,41,"",412,"",0,-1,-1,-1,-1,-1
215,41,"",173,"",0,-1,-1,-1,-1,-1
216,41,"",322,"",0,-1,-1,-1,-1,-1
217,42,"",359,"",0,-1,-1,-1,-1,-1
218,42,"",312,"",0,-1,-1,-1,-1,-1
219,42,"",569,"",0,-1,-1,-1,-1,-1
220,42,"",731,"",0,-1,-1,-1,-1,-1
221,42,"",103,"",0,-1,-1,-1,-1,-1
222,42,"",515,"",0,-1,-1,-1,-1,-1
223,43,"",681,"",0,-1,-1,-1,-1,-1
224,43,"",865,"",0,-1,-1,-1,-1,-1
225,43,"",377,"",0,-1,-1,-1,-1,-1
226,43,"",87,"",0,-1,-1,-1,-1,-1
227,43,"",183,"",0,-1,-1,-1,-1,-1
228,43,"",731,"",0,-1,-1,-1,-1,-1
229,44,"",609,"",0,-1,-1,-1,-1,-1
230,44,"",25,"",0,-1,-1,-1,-1,-1
231,44,"",151,"",0,-1,-1,-1,-1,-1
232,44,"",882,"",0,-1,-1,-1,-1,-1
233,44,"",412,"",0,-1,-1,-1,-1,-1
234,44,"",699,"",0,-1,-1,-1,-1,-1
235,45,"",57,"",0,-1,-1,-1,-1,-1
236,45,"",177,"",0,-1,-1,-1,-1,-1
237,45,"",921,"",0,-1,-1,-1,-1,-1
238,45,"",84,"",0,-1,-1,-1,-1,-1
239,45,"",80,"",0,-1,-1,-1,-1,-1
240,45,"",423,"",0,-1,-1,-1,-1,-1
241,46,"",232,"",0,-1,-1,-1,-1,-1
242,46,"",455,"",0,-1,-1,-1,-1,-1
243,46,"",893,"",0,-1,-1,-1,-1,-1
244,46,"",908,"",0,-1,-1,-1,-1,-1
245,46,"",723,"",0,-1,-1,-1,-1,-1
246,46,"",777,"",0,-1,-1,-1,-1,-1
247,47,"",172,"",0,-1,-1,-1,-1,-1
248,47,"",379,"",0,-1,-1,-1,-1,-1
249,47,"",37,"",0,-1,-1,-1,-1,-1
250,47,"",52,"",0,-1,-1,-1,-1,-1
251,47,"",424,"",0,-1,-1,-1,-1,-1
252,47,"",41,"",0,-1,-1,-1,-1,-1
253,48,"",38,"",0,-1,-1,-1,-1,-1
254,48,"",81,"",0,-1,-1,-1,-1,-1
255,48,"",709,"",0,-1,-1,-1,-1,-1
256,48,"",76,"",0,-1,-1,-1,-1,-1
257,48,"",676,"",0,-1,-1,-1,-1,-1
258,48,"",198,"",0,-1,-1,-1,-1,-1
259,49,"",43,"",0,-1,-1,-1,-1,-1
260,49,"",213,"",0,-1,-1,-1,-1,-1
261,49,"",118,"",0,-1,-1,-1,-1,-1
262,49,"",892,"",0,-1,-1,-1,-1,-1
263,49,"",461,"",0,-1,-1,-1,-1,-1
264,49,"",144,"",0,-1,-1,-1,-1,-1
265,50,"",704,"",0,-1,-1,-1,-1,-1
266,50,"",194,"",0,-1,-1,-1,-1,-1
267,50,"",192,"",0,-1,-1,-1,-1,-1
268,50,"",214,"",0,-1,-1,-1,-1,-1
269,50,"",887,"",0,-1,-1,-1,-1,-1
270,50,"",46,"",0,-1,-1,-1,-1,-1
271,51,"",190,"",0,-1,-1,-1,-1,-1
272,51,"",750,"",0,-1,-1,-1,-1,-1
273,51,"",774,"",0,-1,-1,-1,-1,-1
274,51,"",194,"",0,-1,-1,-1,-1,-1
275,51,"",451,"",0,-1,-1,-1,-1,-1
276,51,"",405,"",0,-1,-1,-1,-1,-1
277,52,"",706,"",0,-1,-1,-1,-1,-1
278,52,"",990,"",0,-1,-1,-1,-1,-1
279,52,"",884,"",0,-1,-1,-1,-1,-1
280,52,"",215,"",0,-1,-1,-1,-1,-1
281,52,"",617,"",0,-1,-1,-1,-1,-1
282,52,"",993,"",0,-1,-1,-1,-1,-1
283,53,"",404,"",0,-1,-1,-1,-1,-1
284,53,"",14,"",0,-1,-1,-1,-1,-1
285,53,"",106,"",0,-1,-1,-1,-1,-1
286,53,"",630,"",0,-1,-1,-1,-1,-1
287,53,"",85,"",0,-1,-1,-1,-1,-1
288,53,"",43,"",0,-1,-1,-1,-1,-1
289,54,"",115,"",0,-1,-1,-1,-1,-1
290,54,"",579,"",0,-1,-1,-1,-1,-1
291,54,"",134,"",0,-1,-1,-1,-1,-1
292,54,"",128,"",0,-1,-1,-1,-1,-1
293,54,"",409,"",0,-1,-1,-1,-1,-1
294,54,"",770,"",0,-1,-1,-1,-1,-1
295,55,"",458,"",0,-1,-1,-1,-1,-1
296,55,"",750,"",0,-1,-1,-1,-1,-1
297,55,"",711,"",0,-1,-1,-1,-1,-1
298,55,"",739,"",0,-1,-1,-1,-1,-1
299,55,"",580,"",0,-1,-1,-1,-1,-1
300,55,"",732,"",0,-1,-1,-1,-1,-1
301,56,"",930,"",0,-1,-1,-1,-1,-1
302,56,"",610,"",0,-1,-1,-1,-1,-1
303,56,"",183,"",0,-1,-1,-1,-1,-1
304,56,"",749,"",0,-1,-1,-1,-1,-1
305,56,"",198,"",0,-1,-1,-1,-1,-1
306,56,"",837,"",0,-1,-1,-1,-1,-1
307,57,"",389,"",0,-1,-1,-1,-1,-1
308,57,"",494,"",0,-1,-1,-1,-1,-1
309,57,"",454,"",0,-1,-1,-1,-1,-1
310,57,"",576,"",0,-1,-1,-1,-1,-1
311,57,"",921,"",0,-1,-1,-1,-1,-1
312,57,"",810,"",0,-1,-1,-1,-1,-1
313,58,"",59,"",0,-1,-1,-1,-1,-1
314,58,"",898,"",0,-1,-1,-1,-1,-1
315,58,"",240,"",0,-1,-1,-1,-1,-1
316,58,"",13,"",0,-1,-1,-1,-1,-1
317,58,"",162,"",0,-1,-1,-1,-1,-1
318,58,"",574,"",0,-1,-1,-1,-1,-1
319,59,"",133,"",0,-1,-1,-1,-1,-1
320,59,"",681,"",0,-1,-1,-1,-1,-1
321,59,"",85,"",0,-1,-1,-1,-1,-1
322,59,"",985,"",0,-1,-1,-1,-1,-1
323,59,"",630,"",0,-1,-1,-1,-1,-1
324,59,"",977,"",0,-1,-1,-1,-1,-1
325,60,"",308,"",0,-1,-1,-1,-1,-1
326,60,"",47,"",0,-1,-1,-1,-1,-1
327,60,"",414,"",0,-1,-1,-1,-1,-1
328,60,"",802,"",0,-1,-1,-1,-1,-1
329,60,"",346,"",0,-1,-1,-1,-1,-1
330,60,"",925,"",0,-1,-1,-1,-1,-1
331,61,"",983,"",0,-1,-1,-1,-1,-1
332,61,"",47,"",0,-1,-1,-1,-1,-1
333,61,"",342,"",0,-1,-1,-1,-1,-1
334,61,"",970,"",0,-1,-1,-1,-1,-1
335,61,"",403,"",0,-1,-1,-1,-1,-1
336,61,"",869,"",0,-1,-1,-1,-1,-1
337,68,"",770,"",0,-1,-1,-1,-1,-1
338,68,"",943,"",0,-1,-1,-1,-1,-1
339,68,"",883,"",0,-1,-1,-1,-1,-1
340,68,"",461,"",0,-1,-1,-1,-1,-1
341,68,"",190,"",0,-1,-1,-1,-1,-1
342,68,"",87,"",0,-1,-1,-1,-1,-1
343,69,"",990,"",0,-1,-1,-1,-1,-1
344,69,"",595,"",0,-1,-1,-1,-1,-1
345,69,"",237,"",0,-1,-1,-1,-1,-1
346,69,"",90,"",0,-1,-1,-1,-1,-1
347,69,"",772,"",0,-1,-1,-1,-1,-1
348,69,"",924,"",0,-1,-1,-1,-1,-1
349,70,"",982,"",0,-1,-1,-1,-1,-1
350,70,"",103,"",0,-1,-1,-1,-1,-1
351,70,"",707,"",0,-1,-1,-1,-1,-1
352,70,"",626,"",0,-1,-1,-1,-1,-1
353,70,"",408,"",0,-1,-1,-1,-1,-1
354,70,"",750,"",0,-1,-1,-1,-1,-1
355,71,"",75,"",0,-1,-1,-1,-1,-1
356,71,"",933,"",0,-1,-1,-1,-1,-1
357,71,"",59,"",0,-1,-1,-1,-1,-1
358,71,"",771,"",0,-1,-1,-1,-1,-1
359,71,"",878,"",0,-1,-1,-1,-1,-1
360,71,"",411,"",0,-1,-1,-1,-1,-1
361,72,"",726,"",0,-1,-1,-1,-1,-1
362,72,"",325,"",0,-1,-1,-1,-1,-1
363,72,"",210,"",0,-1,-1,-1,-1,-1
364,72,"",920,"",0,-1,-1,-1,-1,-1
365,72,"",177,"",0,-1,-1,-1,-1,-1
366,72,"",458,"",0,-1,-1,-1,-1,-1
367,73,"",88,"",0,-1,-1,-1,-1,-1
368,73,"",451,"",0,-1,-1,-1,-1,-1
369,73,"",459,"",0,-1,-1,-1,-1,-1
370,73,"",93,"",0,-1,-1,-1,-1,-1
371,73,"",716,"",0,-1,-1,-1,-1,-1
372,73,"",349,"",0,-1,-1,-1,-1,-1
373,74,"",740,"",0,-1,-1,-1,-1,-1
374,74,"",142,"",0,-1,-1,-1,-1,-1
375,74,"",883,"",0,-1,-1,-1,-1,-1
376,74,"",361,"",0,-1,-1,-1,-1,-1
377,74,"",307,"",0,-1,-1,-1,-1,-1
378,74,"",50,"",0,-1,-1,-1,-1,-1
379,75,"",222,"",0,-1,-1,-1,-1,-1
380,75,"",326,"",0,-1,-1,-1,-1,-1
381,75,"",359,"",0,-1,-1,-1,-1,-1
382,75,"",363,"",0,-1,-1,-1,-1,-1
383,75,"",744,"",0,-1,-1,-1,-1,-1
384,75,"",951,"",0,-1,-1,-1,-1,-1
385,76,"",440,"",0,-1,-1,-1,-1,-1
386,76,"",697,"",0,-1,-1,-1,-1,-1
387,76,"",757,"",0,-1,-1,-1,-1,-1
388,76,"",906,"",0,-1,-1,-1,-1,-1
389,76,"",223,"",0,-1,-1,-1,-1,-1
390,76,"",899,"",0,-1,-1,-1,-1,-1
391,77,"",196,"",0,-1,-1,-1,-1,-1
392,77,"",872,"",0,-1,-1,-1,-1,-1
393,77,"",168,"",0,-1,-1,-1,-1,-1
394,77,"",393,"",0,-1,-1,-1,-1,-1
395,77,"",706,"",0,-1,-1,-1,-1,-1
396,77,"",893,"",0,-1,-1,-1,-1,-1
397,78,"",151,"",0,-1,-1,-1,-1,-1
398,78,"",595,"",0,-1,-1,-1,-1,-1
399,78,"",679,"",0,-1,-1,-1,-1,-1
400,78,"",380,"",0,-1,-1,-1,-1,-1
401,78,"",91,"",0,-1,-1,-1,-1,-1
402,78,"",727,"",0,-1,-1,-1,-1,-1
403,79,"",145,"",0,-1,-1,-1,-1,-1
404,79,"",113,"",0,-1,-1,-1,-1,-1
405,79,"",938,"",0,-1,-1,-1,-1,-1
406,79,"",915,"",0,-1,-1,-1,-1,-1
407,79,"",985,"",0,-1,-1,-1,-1,-1
408,79,"",880,"",0,-1,-1,-1,-1,-1
409,80,"",419,"",0,-1,-1,-1,-1,-1
410,80,"",810,"",0,-1,-1,-1,-1,-1
411,80,"",424,"",0,-1,-1,-1,-1,-1
412,80,"",771,"",0,-1,-1,-1,-1,-1
413,80,"",917,"",0,-1,-1,-1,-1,-1
414,80,"",607,"",0,-1,-1,-1,-1,-1
415,81,"",586,"",0,-1,-1,-1,-1,-1
416,81,"",962,"",0,-1,-1,-1,-1,-1
417,81,"",190,"",0,-1,-1,-1,-1,-1
418,81,"",835,"",0,-1,-1,-1,-1,-1
419,81,"",376,"",0,-1,-1,-1,-1,-1
420,81,"",883,"",0,-1,-1,-1,-1,-1
421,82,"",927,"",0,-1,-1,-1,-1,-1
422,82,"",27,"",0,-1,-1,-1,-1,-1
423,82,"",104,"",0,-1,-1,-1,-1,-1
424,82,"",836,"",0,-1,-1,-1,-1,-1
425,82,"",305,"",0,-1,-1,-1,-1,-1
426,82,"",738,"",0,-1,-1,-1,-1,-1
427,83,"",678,"",0,-1,-1,-1,-1,-1
428,83,"",681,"",0,-1,-1,-1,-1,-1
429,83,"",598,"",0,-1,-1,-1,-1,-1
430,83,"",210,"",0,-1,-1,-1,-1,-1
431,83,"",920,"",0,-1,-1,-1,-1,-1
432,83,"",79,"",0,-1,-1,-1,-1,-1
433,84,"",675,"",0,-1,-1,-1,-1,-1
434,84,"",103,"",0,-1,-1,-1,-1,-1
435,84,"",136,"",0,-1,-1,-1,-1,-1
436,84,"",20,"",0,-1,-1,-1,-1,-1
437,84,"",88,"",0,-1,-1,-1,-1,-1
438,84,"",406,"",0,-1,-1,-1,-1,-1
439,85,"",778,"",0,-1,-1,-1,-1,-1
440,85,"",704,"",0,-1,-1,-1,-1,-1
441,85,"",113,"",0,-1,-1,-1,-1,-1
442,85,"",326,"",0,-1,-1,-1,-1,-1
443,85,"",310,"",0,-1,-1,-1,-1,-1
444,85,"",757,"",0,-1,-1,-1,-1,-1
445,86,"",183,"",0,-1,-1,-1,-1,-1
446,86,"",40,"",0,-1,-1,-1,-1,-1
447,86,"",631,"",0,-1,-1,-1,-1,-1
448,86,"",995,"",0,-1,-1,-1,-1,-1
449,86,"",891,"",0,-1,-1,-1,-1,-1
450,86,"",983,"",0,-1,-1,-1,-1,-1
451,87,"",992,"",0,-1,-1,-1,-1,-1
452,87,"",171,"",0,-1,-1,-1,-1,-1
453,87,"",965,"",0,-1,-1,-1,-1,-1
454,87,"",72,"",0,-1,-1,-1,-1,-1
455,87,"",510,"",0,-1,-1,-1,-1,-1
456,87,"",342,"",0,-1,-1,-1,-1,-1
457,88,"",92,"",0,-1,-1,-1,-1,-1
458,88,"",82,"",0,-1,-1,-1,-1,-1
459,88,"",617,"",0,-1,-1,-1,-1,-1
460,88,"",306,"",0,-1,-1,-1,-1,-1
461,88,"",399,"",0,-1,-1,-1,-1,-1
462,88,"",474,"",0,-1,-1,-1,-1,-1
463,90,"",737,"",0,-1,-1,-1,-1,-1
464,90,"",82,"",0,-1,-1,-1,-1,-1
465,90,"",311,"",0,-1,-1,-1,-1,-1
466,90,"",51,"",0,-1,-1,-1,-1,-1
467,90,"",961,"",0,-1,-1,-1,-1,-1
468,90,"",440,"",0,-1,-1,-1,-1,-1
469,91,"",420,"",0,-1,-1,-1,-1,-1
470,91,"",95,"",0,-1,-1,-1,-1,-1
471,91,"",410,"",0,-1,-1,-1,-1,-1
472,91,"",745,"",0,-1,-1,-1,-1,-1
473,91,"",210,"",0,-1,-1,-1,-1,-1
474,91,"",766,"",0,-1,-1,-1,-1,-1
475,92,"",302,"",0,-1,-1,-1,-1,-1
476,92,"",678,"",0,-1,-1,-1,-1,-1
477,92,"",703,"",0,-1,-1,-1,-1,-1
478,92,"",174,"",0,-1,-1,-1,-1,-1
479,92,"",107,"",0,-1,-1,-1,-1,-1
480,92,"",687,"",0,-1,-1,-1,-1,-1
481,93,"",98,"",0,-1,-1,-1,-1,-1
482,93,"",895,"",0,-1,-1,-1,-1,-1
483,93,"",184,"",0,-1,-1,-1,-1,-1
484,93,"",605,"",0,-1,-1,-1,-1,-1
485,93,"",627,"",0,-1,-1,-1,-1,-1
486,93,"",812,"",0,-1,-1,-1,-1,-1
487,94,"",682,"",0,-1,-1,-1,-1,-1
488,94,"",326,"",0,-1,-1,-1,-1,-1
489,94,"",176,"",0,-1,-1,-1,-1,-1
490,94,"",144,"",0,-1,-1,-1,-1,-1
491,94,"",716,"",0,-1,-1,-1,-1,-1
492,94,"",228,"",0,-1,-1,-1,-1,-1
493,95,"",451,"",0,-1,-1,-1,-1,-1
494,95,"",51,"",0,-1,-1,-1,-1,-1
495,95,"",910,"",0,-1,-1,-1,-1,-1
496,95,"",93,"",0,-1,-1,-1,-1,-1
497,95,"",375,"",0,-1,-1,-1,-1,-1
498,95,"",994,"",0,-1,-1,-1,-1,-1
499,96,"",991,"",0,-1,-1,-1,-1,-1
500,96,"",891,"",0,-1,-1,-1,-1,-1
501,96,"",466,"",0,-1,-1,-1,-1,-1
502,96,"",743,"",0,-1,-1,-1,-1,-1
503,96,"",308,"",0,-1,-1,-1,-1,-1
504,96,"",958,"",0,-1,-1,-1,-1,-1
505,97,"",82,"",0,-1,-1,-1,-1,-1
506,97,"",957,"",0,-1,-1,-1,-1,-1
507,97,"",149,"",0,-1,-1,-1,-1,-1
508,97,"",760,"",0,-1,-1,-1,-1,-1
509,97,"",191,"",0,-1,-1,-1,-1,-1
510,97,"",78,"",0,-1,-1,-1,-1,-1
511,98,"",53,"",0,-1,-1,-1,-1,-1
512,98,"",111,"",0,-1,-1,-1,-1,-1
513,98,"",959,"",0,-1,-1,-1,-1,-1
514,98,"",987,"",0,-1,-1,-1,-1,-1
515,98,"",23,"",0,-1,-1,-1,-1,-1
