int 0,empty 1,int 2,int 3,int 4,int 5,int 6,int 7
376,"",97,491,219,215,211,914
377,"",19,223,317,426,423,687
378,"",573,343,36,896,737,229
379,"",389,140,187,582,115,452
380,"",676,36,614,322,410,491
382,"",972,772,88,675,188,759
383,"",942,889,361,326,989,986
385,"",118,961,385,910,740,965
387,"",404,912,915,189,312,91
388,"",898,83,310,708,59,887
389,"",491,576,413,896,113,96
390,"",147,148,579,578,214,435
391,"",437,321,680,4,514,422
392,"",774,867,147,611,883,343
393,"",719,364,928,943,191,50
394,"",957,978,374,12,621,892
395,"",141,79,700,577,192,439
396,"",20,702,995,317,343,890
397,"",804,76,13,2,609,231
398,"",740,162,592,409,935,100
399,"",873,76,767,134,6,74
400,"",878,105,920,198,92,101
401,"",150,388,132,749,732,925
402,"",23,174,306,242,918,990
403,"",735,399,423,162,888,452
404,"",755,222,899,213,490,39
405,"",575,428,92,397,921,147
406,"",96,311,454,728,489,6
407,"",956,602,868,3,615,811
408,"",870,390,374,877,725,776
409,"",382,919,913,241,317,941
410,"",172,217,778,421,94,197
411,"",944,590,622,393,767,907
412,"",308,10,450,309,71,74
413,"",988,944,54,964,393,365
414,"",756,345,605,924,435,30
416,"",423,969,592,34,198,173
417,"",941,489,580,677,389,363
419,"",413,596,344,595,97,405
420,"",412,687,920,776,626,434
421,"",142,326,875,416,975,435
422,"",837,403,113,106,465,145
423,"",980,173,172,6,309,965
424,"",804,731,778,867,322,194
425,"",425,927,2,627,219,882
426,"",942,494,86,128,343,419
427,"",891,877,197,936,739,912
428,"",933,185,14,872,622,91
429,"",104,380,941,220,397,35
431,"",84,431,607,151,921,812
434,"",578,609,97,412,878,90
435,"",387,12,234,993,148,41
437,"",959,213,228,229,724,892
438,"",931,439,435,916,181,805
439,"",380,307,766,162,876,128
440,"",871,707,211,921,112,116
450,"",965,234,610,437,754,231
451,"",584,349,461,926,756,734
452,"",484,778,189,56,215,925
453,"",885,128,933,308,959,179
454,"",920,963,490,890,937,322
455,"",79,419,611,191,577,240
456,"",189,603,383,363,136,697
457,"",459,748,899,21,611,811
458,"",79,929,25,28,707,883
459,"",756,174,880,930,31,229
461,"",43,402,834,431,2,210
463,"",81,344,594,215,877,31
465,"",928,191,569,348,138,440
466,"",963,377,209,95,169,391
474,"",908,408,376,466,700,2
479,"",918,49,192,429,892,604
484,"",933,877,809,872,116,220
489,"",592,596,956,215,877,718
490,"",514,975,378,925,976,875
491,"",868,974,95,576,103,579
492,"",602,752,927,466,461,984
494,"",382,574,82,924,869,86
510,"",112,31,60,698,116,149
512,"",871,729,306,135,388,188
514,"",886,46,868,489,492,47
515,"",416,890,140,461,874,70
548,"",426,82,578,43,490,939
563,"",748,118,305,622,707,879
564,"",707,347,623,742,458,31
567,"",574,417,93,132,510,172
569,"",766,171,192,969,892,976
573,"",83,383,729,348,36,597
574,"",590,489,935,964,88,33
575,"",102,576,307,235,965,972
576,"",402,162,604,137,69,149
577,"",185,614,874,578,1,924
578,"",69,815,45,459,976,4
579,"",326,750,770,188,977,802
580,"",224,876,242,512,926,419
582,"",174,364,966,940,967,28
584,"",3,607,871,804,457,171
586,"",90,71,102,188,144,964
588,"",982,609,573,24,94,177
590,"",2,629,116,112,687,397
592,"",305,68,193,455,995,82
594,"",427,809,815,621,191,145
595,"",346,774,844,95,586,463
596,"",944,745,921,383,576,409
597,"",708,677,915,184,403,703
598,"",450,385,361,677,970,605
600,"",317,373,228,304,811,982
601,"",316,61,986,917,961,383
602,"",234,872,176,891,103,134
603,"",987,928,111,6,242,883
604,"",962,927,402,567,975,752
605,"",303,738,180,994,385,886
606,"",704,77,59,301,872,997
607,"",144,106,368,369,396,133
609,"",43,606,578,710,956,107
610,"",169,376,891,390,305,242
611,"",79,178,398,3,341,484
613,"",210,740,85,965,103,465
614,"",939,740,404,410,148,51
615,"",920,743,747,956,226,603
616,"",33,20,884,424,94,235
617,"",463,899,52,322,305,682
621,"",309,937,38,116,754,314
622,"",745,81,316,392,26,117
623,"",627,193,865,759,399,700
626,"",312,738,966,610,490,951
627,"",453,716,810,428,700,987
629,"",676,800,452,960,702,176
630,"",709,144,58,984,800,117
631,"",878,920,586,582,306,142
632,"",578,960,106,454,740,985
669,"",326,168,757,25,490,994
670,"",440,52,322,140,35,25
675,"",491,596,191,146,722,880
676,"",914,886,974,911,422,172
677,"",459,968,107,683,463,423
678,"",239,804,756,146,188,407
679,"",196,987,31,346,834,95
680,"",878,866,344,897,632,951
681,"",104,232,184,778,964,459
682,"",145,214,151,702,199,136
683,"",989,378,776,429,412,972
687,"",882,426,895,69,968,772
688,"",926,723,149,222,240,230
697,"",814,177,898,303,382,424
698,"",882,39,708,139,976,90
699,"",952,733,147,455,390,490
700,"",230,234,728,35,434,889
701,"",965,928,191,687,580,603
702,"",726,777,884,960,730,183
703,"",363,170,863,424,753,400
704,"",45,974,55,706,731,409
705,"",873,303,699,960,891,564
706,"",27,142,806,91,621,346
707,"",876,725,811,771,391,872
708,"",577,894,895,863,380,574
709,"",79,890,590,721,188,510
710,"",180,733,382,718,757,724
711,"",749,706,980,403,881,703
716,"",990,703,237,390,53,322
718,"",915,596,222,209,934,215
719,"",365,626,461,320,151,573
720,"",12,184,716,185,395,69
721,"",169,92,564,234,412,592
722,"",51,38,80,390,880,812
723,"",705,632,138,963,208,465
724,"",368,5,756,590,603,406
725,"",748,698,81,871,574,752
726,"",211,218,423,134,13,753
727,"",683,978,240,757,778,174
728,"",429,709,148,976,918,94
729,"",750,580,844,169,885,115
730,"",32,303,346,802,44,890
731,"",104,924,870,729,387,439
732,"",19,78,579,395,49,342
733,"",941,975,188,934,944,965
734,"",458,777,988,744,622,778
735,"",317,964,9,889,190,52
737,"",241,50,73,809,177,726
738,"",48,754,724,804,49,376
739,"",379,680,575,753,91,630
740,"",745,117,592,214,359,313
741,"",126,942,877,145,208,983
742,"",424,569,953,403,36,729
743,"",395,90,722,233,42,576
744,"",455,409,117,130,213,439
745,"",677,392,873,778,316,408
747,"",964,103,623,325,147,180
748,"",317,429,942,373,998,704
749,"",383,30,919,707,313,188
750,"",6,758,2,46,19,32
751,"",573,479,338,680,401,670
752,"",899,586,309,921,180,402
753,"",392,804,414,48,57,369
754,"",170,490,804,876,574,345
755,"",627,677,457,675,17,218
756,"",920,998,41,383,36,393
757,"",980,382,812,151,776,958
758,"",107,232,704,962,86,930
759,"",894,428,600,422,725,935
760,"",431,116,303,103,199,90
766,"",226,146,174,424,149,217
767,"",965,179,54,397,237,576
770,"",881,704,102,183,977,39
771,"",610,725,934,48,605,924
772,"",28,458,609,866,399,774
773,"",393,569,188,72,59,725
774,"",617,191,463,9,422,883
775,"",180,183,461,222,387,454
776,"",457,222,229,604,85,698
777,"",932,573,189,999,757,192
778,"",218,574,33,895,426,970
779,"",910,392,773,43,208,802
800,"",738,990,94,894,952,933
801,"",239,345,777,103,755,752
802,"",926,224,733,320,997,514
804,"",116,881,890,316,391,779
805,"",23,94,606,595,416,226
806,"",376,773,220,87,73,698
809,"",455,994,741,682,466,54
810,"",463,411,171,44,601,46
811,"",393,193,395,484,225,116
812,"",42,138,359,401,397,805
813,"",463,235,4,218,312,396
814,"",933,190,611,967,943,723
815,"",730,364,90,747,1,939
834,"",866,130,726,548,185,359
835,"",401,427,191,208,484,382
836,"",401,992,710,411,181,111
837,"",616,754,953,885,90,75
844,"",474,421,738,219,873,148
863,"",915,836,133,721,242,31
864,"",187,394,195,891,61,614
865,"",321,952,228,55,93,975
866,"",228,144,35,98,13,883
867,"",301,700,232,705,91,777
868,"",102,129,232,866,621,136
869,"",128,968,385,613,453,979
870,"",409,969,191,869,429,742
871,"",708,60,779,401,804,80
872,"",346,874,744,189,926,347
873,"",988,2,753,874,305,966
874,"",139,17,69,313,96,314
875,"",223,728,870,582,388,147
876,"",95,744,193,894,601,172
877,"",933,962,217,32,987,313
878,"",757,814,896,941,46,222
879,"",231,137,453,680,68,887
880,"",431,427,484,451,815,747
881,"",592,596,36,311,184,454
882,"",740,326,710,305,906,42
883,"",219,756,377,913,23,134
884,"",239,731,82,25,137,906
885,"",725,56,130,778,421,876
886,"",466,400,146,399,918,683
887,"",60,106,416,347,180,176
888,"",756,931,835,135,494,994
889,"",147,223,777,564,361,888
890,"",82,734,834,10,814,338
891,"",981,148,40,751,81,987
892,"",601,325,811,79,314,397
893,"",313,133,326,616,137,88
894,"",9,453,883,431,60,675
895,"",876,934,730,439,128,813
896,"",466,678,988,869,463,981
897,"",883,463,742,971,338,31
898,"",349,677,55,897,34,514
899,"",588,985,927,91,390,130
906,"",128,389,310,101,967,999
907,"",988,312,866,942,310,837
908,"",239,964,79,869,338,385
909,"",676,594,367,130,708,60
910,"",145,805,185,104,934,25
911,"",235,918,865,132,913,237
912,"",716,983,863,19,474,363
913,"",982,737,317,438,37,758
914,"",68,801,396,870,186,716
915,"",466,181,750,218,942,231
916,"",361,621,1,105,749,456
917,"",231,491,209,208,490,423
918,"",806,31,185,57,921,979
919,"",702,98,805,104,706,753
920,"",729,957,5,178,835,211
921,"",908,189,670,931,388,427
924,"",342,627,213,718,377,325
925,"",382,407,224,884,170,811
926,"",112,171,305,138,930,223
927,"",343,966,363,150,614,181
928,"",84,863,938,631,964,148
929,"",865,87,984,181,147,38
930,"",716,21,424,231,899,489
931,"",184,47,961,345,172,348
932,"",575,367,813,623,956,770
933,"",174,697,958,80,49,134
934,"",886,115,21,866,112,682
935,"",127,747,896,921,629,11
936,"",391,230,101,971,579,126
937,"",146,87,413,400,621,864
938,"",914,703,45,938,170,592
939,"",676,223,416,887,194,750
940,"",192,149,622,722,802,220
941,"",737,348,10,602,222,149
942,"",877,944,320,438,401,767
943,"",368,2,716,884,548,775
944,"",774,699,405,369,741,605
951,"",229,214,915,439,112,866
952,"",802,702,48,711,756,194
953,"",932,598,407,313,90,935
954,"",172,224,457,756,396,810
956,"",96,405,961,630,738,844
957,"",891,773,606,915,184,190
958,"",304,929,837,586,144,392
959,"",32,100,725,914,419,734
960,"",711,679,811,607,627,404
961,"",961,364,614,772,892,343
962,"",239,344,484,391,986,811
963,"",722,13,393,197,750,41
964,"",399,631,317,232,11,981
965,"",711,80,91,213,208,303
966,"",111,986,126,151,722,214
967,"",778,189,586,112,414,114
968,"",868,810,306,737,938,309
969,"",613,404,91,908,345,225
970,"",670,600,328,681,896,975
971,"",180,579,815,895,709,995
972,"",767,963,341,984,987,959
973,"",1,168,942,621,703,834
974,"",943,801,586,147,41,389
975,"",225,78,91,752,361,440
976,"",614,878,369,863,223,749
977,"",367,222,993,237,720,617
978,"",918,70,720,419,88,564
979,"",146,435,936,461,342,302
980,"",898,878,347,588,402,707
981,"",889,927,938,241,461,864
982,"",425,321,224,435,492,132
983,"",435,744,91,398,405,34
984,"",895,702,74,304,810,703
985,"",601,307,982,391,759,742
986,"",942,88,957,372,681,906
987,"",775,379,349,169,231,235
988,"",586,390,92,776,136,105
989,"",1,187,965,811,592,455
990,"",720,994,23,737,584,944
991,"",321,215,871,968,909,187
992,"",239,113,874,172,776,145
993,"",980,873,972,114,168,961
994,"",742,957,607,392,610,897
995,"",952,677,114,17,147,586
996,"",908,592,678,770,162,986
997,"",149,440,771,92,1,757
998,"",425,737,417,3,107,226
999,"",94,837,934,998,710,186
