string3 0,string2 1,string2 2,string2 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int 11,float 12,string2 13,string2 14
"chr311","r311_fn01","r311_fw01","",12,0,1,10,20,-1,-1,0,12,"fe02","F01"
"chr394","r394_fn01","r394_fw01","",12,0,1,1,13,-1,-1,0,12,"fe02","F01"
"chr401","r401_fn01","r401_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr088","r088_fn01","r088_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr341","r341_fn01","r341_fw01","",12,0,1,1,11,-1,-1,0,12,"fe02","F01"
"chr068","r068_fn01","r068_fw01","",13,0,1,20,2,12,9,3,14,"fe02","F01"
"chr422","r422_fn01","r422_fw01","",9,0,1,13,2,-1,-1,0,12,"fe02","F01"
"chr772","r772_fn01","r772_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr118","r118_fn01","r118_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr304","r304_fn01","r304_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr492","r492_fn01","r492_fw01","",4.5,0,1,17,34,-1,-1,0,8,"fe02","F01"
"chr309","r309_fn01","r309_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr681","r681_fn01","r681_fw01","",14,0,1,-1,-1,-1,-1,1,14,"fe02","F01"
"chr012","r012_fn01","r012_fw01","",14,0,1,6,4,17,14,0,14,"fe02","F01"
"chr688","r688_fn01","r688_fw01","",9,0,1,3,15,-1,-1,0,12,"fe02","F01"
"chr194","r194_fn01","r194_fw01","",7,0,1,11,27,-1,-1,0,12,"fe02","F01"
"chr727","r727_fn01","r727_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr395","r395_fn01","r395_fw01","",14,0,1,2,8,15,20,3,14,"fe02","F01"
"chr127","r127_fn01","r127_fw01","",10,0,1,18,8,-1,-1,0,12,"fe02","F01"
"chr191","r191_fn01","r191_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr078","r078_fn01","r078_fw01","",9,0,1,20,4,-1,-1,0,12,"fe02","F01"
"chr211","r211_fn01","r211_fw01","",9,0,1,8,20,18,6,3,12,"fe02","F01"
"chr403","r403_fn01","r403_fw01","",12,0,1,8,18,-1,-1,0,12,"fe02","F01"
"chr423","r423_fn01","r423_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr032","r032_fn01","r032_fw01","",10,0,1,17,12,6,0,3,14,"fe02","F01"
"chr704","r704_fn01","r704_fw01","",14,0,1,-1,-1,-1,-1,1,14,"fe02","F01"
"chr235","r235_fn01","r235_fw01","",10,0,1,1,21,16,14,3,14,"fe02","F01"
"chr083","r083_fn01","r083_fw01","",9,0,1,9,14,19,17,3,14,"fe02","F01"
"chr326","r326_fn01","r326_fw01","",5,0,1,11,27,-1,-1,0,8,"fe02","F01"
"chr491","r491_fn01","r491_fw01","",6,0,1,20,5,-1,-1,0,12,"fe02","F01"
"chr734","r734_fn01","r734_fw01","",9,0,1,20,4,-1,-1,0,12,"fe02","F01"
"chr197","r197_fn01","r197_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr367","r367_fn01","r367_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr774","r774_fn01","r774_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr735","r735_fn01","r735_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr223","r223_fn01","r223_fw01","",14,0,1,16,12,1,2,3,14,"fe02","F01"
"chr176","r176_fn01","r176_fw01","",11,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr372","r372_fn01","r372_fw01","",11,0,1,11,6,2,1,3,14,"fe02","F01"
"chr005","r005_fn01","r005_fw01","",6,0,1,4,19,-1,-1,0,8,"fe02","F01"
"chr048","r048_fn01","r048_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr424","r424_fn01","r424_fw01","",14,0,1,1,3,10,6,3,14,"fe02","F01"
"chr719","r719_fn01","r719_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr145","r145_fn01","r145_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr030","r030_fn01","r030_fw01","",14,0,1,12,1,1,2,3,14,"fe02","F01"
"chr225","r225_fn01","r225_fw01","",14,0,1,6,2,3,1,3,14,"fe02","F01"
"chr094","r094_fn01","r094_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr723","r723_fn01","r723_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr098","r098_fn01","r098_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr379","r379_fn01","r379_fw01","",6,0,1,1,11,7,17,3,8,"fe02","F01"
"chr239","r239_fn01","r239_fw01","",9,0,1,4,7,14,19,3,14,"fe02","F01"
"chr461","r461_fn01","r461_fw01","",3,0,1,4,24,8,28,3,7.5,"fe02","F01"
"chr104","r104_fn01","r104_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr091","r091_fn01","r091_fw01","",10.5,0,1,1,11,-1,-1,0,12,"fe02","F01"
"chr345","r345_fn01","r345_fw01","",8,0,1,15,1,-1,-1,0,8,"fe02","F01"
"chr698","r698_fn01","r698_fw01","",14,0,1,12,13,15,2,3,14,"fe02","F01"
"chr086","r086_fn01","r086_fw01","",10,0,1,-1,-1,-1,-1,4,16,"fe02","F01"
"chr213","r213_fn01","r213_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr741","r741_fn01","r741_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr771","r771_fn01","r771_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr440","r440_fn01","r440_fw01","",8,0,1,12,27,-1,-1,0,8,"fe02","F01"
"chr128","r128_fn01","r128_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr129","r129_fn01","r129_fw01","",9,0,1,5,22,-1,-1,0,12,"fe02","F01"
"chr598","r598_fn01","r598_fw01","",9,0,1,12,24,-1,-1,0,12,"fe02","F01"
"chr770","r770_fn01","r770_fw01","",6,0,1,-1,-1,-1,-1,1,14,"fe02","F01"
"chr621","r621_fn01","r621_fw01","",6,0,1,-1,-1,-1,-1,1,14,"fe02","F01"
"chr084","r084_fn01","r084_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr632","r632_fn01","r632_fw01","",4,0,1,20,40,37,17,3,8,"fe02","F01"
"chr023","r023_fn01","r023_fw01","",14,0,1,-1,-1,-1,-1,6,14,"fe02","F01"
"chr363","r363_fn01","r363_fw01","",9,0,1,14,2,-1,-1,0,12,"fe02","F01"
"chr038","r038_fn01","r038_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr406","r406_fn01","r406_fw01","",9,0,1,12,27,-1,-1,0,12,"fe02","F01"
"chr738","r738_fn01","r738_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr739","r739_fn01","r739_fw01","",9,0,1,24,10,-1,-1,0,12,"fe02","F01"
"chr743","r743_fn01","r743_fw01","",12,0,1,13,12,21,1,3,14,"fe02","F01"
"chr222","r222_fn01","r222_fw01","",14,0,1,14,12,1,2,3,14,"fe02","F01"
"chr592","r592_fn01","r592_fw01","",12,0,1,12,6,18,24,3,12,"fe02","F01"
"chr349","r349_fn01","r349_fw01","",12,0,1,10,20,-1,-1,0,12,"fe02","F01"
"chr033","r033_fn01","r033_fw01","",9,0,1,1,15,-1,-1,0,12,"fe02","F01"
"chr373","r373_fn01","r373_fw01","",11,0,1,17,7,11,1,3,14,"fe02","F01"
"chr396","r396_fn01","r396_fw01","",14,0,1,12,2,-1,-1,0,14,"fe02","F01"
"chr019","r019_fn01","r019_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr718","r718_fn01","r718_fw01","",9,0,1,26,11,-1,-1,0,12,"fe02","F01"
"chr147","r147_fn01","r147_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr075","r075_fn01","r075_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr308","r308_fn01","r308_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr426","r426_fn01","r426_fw01","",12,0,1,12,2,-1,-1,0,12,"fe02","F01"
"chr408","r408_fn01","r408_fw01","",12,0,1,8,20,-1,-1,0,12,"fe02","F01"
"chr060","r060_fn01","r060_fw01","",9,0,1,2,14,-1,-1,0,12,"fe02","F01"
"chr041","r041_fn01","r041_fw01","",12,0,1,13,5,-1,-1,0,12,"fe02","F01"
"chr049","r049_fn01","r049_fw01","",3,0,1,18,2,-1,-1,0,3,"fe02","F01"
"chr082","r082_fn01","r082_fw01","",11,0,1,9,13,19,16,3,14,"fe02","F01"
"chr137","r137_fn01","r137_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr227","r227_fn01","r227_fw01","",12,0,1,-1,-1,-1,-1,0,12,"fe02","F01"
"chr397","r397_fn01","r397_fw01","",9,0,1,12,24,-1,-1,0,12,"fe02","F01"
"chr463","r463_fn01","r463_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr450","r450_fn01","r450_fw01","",12,0,1,-1,-1,-1,-1,-1,12,"fe02","F01"
"chr146","r146_fn01","r146_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr702","r702_fn01","r702_fw01","",9,0,1,7,18,-1,-1,0,14,"fe02","F01"
"chr306","r306_fn01","r306_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr233","r233_fn01","r233_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr035","r035_fn01","r035_fw01","",20,0,1,-1,-1,-1,-1,2,20,"fe02","F01"
"chr775","r775_fn01","r775_fw01","",20,0,1,-1,-1,-1,-1,2,20,"fe02","F01"
"chr040","r040_fn01","r040_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr439","r439_fn01","r439_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr310","r310_fn01","r310_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr021","r021_fn01","r021_fw01","",14,0,1,-1,-1,-1,-1,-1,14,"fe02","F01"
"chr059","r059_fn01","r059_fw01","",9,0,1,2,14,-1,-1,0,12,"fe02","F01"
"chr141","r141_fn01","r141_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr431","r431_fn01","r431_fw01","",9,0,1,15,28,-1,-1,0,12,"fe02","F01"
"chr382","r382_fn01","r382_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr074","r074_fn01","r074_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr174","r174_fn01","r174_fw01","",10.5,0,1,6,16,-1,-1,0,12,"fe02","F01"
"chr588","r588_fn01","r588_fw01","",3.5,0,1,1,20,10,30,3,8,"fe02","F01"
"chr017","r017_fn01","r017_fw01","",10.5,0,1,12,24,-1,-1,0,12,"fe02","F01"
"chr385","r385_fn01","r385_fw01","",8,0,1,15,2,-1,-1,0,8,"fe02","F01"
"chr615","r615_fn01","r615_fw01","",12,0,1,1,11,-1,-1,0,12,"fe02","F01"
"chr047","r047_fn01","r047_fw01","",6,0,1,-1,-1,-1,-1,0,8,"fe02","F01"
"chr312","r312_fn01","r312_fw01","",9,0,1,2,14,-1,-1,0,12,"fe02","F01"
"chr135","r135_fn01","r135_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr302","r302_fn01","r302_fw01","",9,0,1,2,14,-1,-1,0,12,"fe02","F01"
"chr364","r364_fn01","r364_fw01","",6,0,1,14,2,-1,-1,0,8,"fe02","F01"
"chr080","r080_fn01","r080_fw01","",10,0,1,9,21,-1,-1,0,16,"fe02","F01"
"chr371","r371_fn01","r371_fw01","",12,0,1,10,28,-1,-1,0,12,"fe02","F01"
"chr369","r369_fn01","r369_fw01","",14,0,1,9,6,14,11,3,14,"fe02","F01"
"chr061","r061_fn01","r061_fw01","",9,0,1,17,5,-1,-1,0,12,"fe02","F01"
"chr721","r721_fn01","r721_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr370","r370_fn01","r370_fw01","",9,0,1,14,2,-1,-1,0,12,"fe02","F01"
"chr548","r548_fn01","r548_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr139","r139_fn01","r139_fw01","",14,0,1,17,19,5,4,3,14,"fe02","F01"
"chr383","r383_fn01","r383_fw01","",4,0,1,33,13,-1,-1,0,8,"fe02","F01"
"chr025","r025_fn01","r025_fw01","",12,0,1,8,18,-1,-1,0,14,"fe02","F01"
"chr037","r037_fn01","r037_fw01","",4.5,0,1,15,8,5,15,3,8,"fe02","F01"
"chr039","r039_fn01","r039_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr072","r072_fn01","r072_fw01","",9,0,1,22,10,-1,-1,0,12,"fe02","F01"
"chr077","r077_fn01","r077_fw01","",14,0,1,7,5,2,1,0,14,"fe02","F01"
"chr479","r479_fn01","r479_fw01","",7,0,1,-1,-1,-1,-1,1,14,"fe02","F01"
"chr703","r703_fn01","r703_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr198","r198_fn01","r198_fw01","",14,0,1,-1,-1,-1,-1,1,14,"fe02","F01"
"chr140","r140_fn01","r140_fw01","",12,0,1,7,17,-1,-1,0,12,"fe02","F01"
"chr454","r454_fn01","r454_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
