string3 0,string3 1,string3 2,string3 3,float 4,float 5,float 6,float 7,float 8,int 9,float 10,float 11,float 12,float 13,int 14
"chr184aduct","fg04_fn01","fg04_fn01","fg04_fn01",1.5,4.8,1,-1,-1,1,-1,-1,-1,-1,-1
"chr184aup_stairs","fn01_01","fw01_01","fr01_01b",1,3,1,-1,-1,0,10,25,-1,-1,-1
"chr184adown_stairs","fn01_01","fw01_01","fr01_01b",1,3,1,-1,-1,0,10,25,-1,-1,-1
"chr185a","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr185aplayer","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr185awalk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr185aslow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr185abrisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr185arun","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr186a","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr186aplayer","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr186awalk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr186aslow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr186abrisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr186arun","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr187a","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr187aplayer","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr187awalk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr187aslow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr187abrisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr187arun","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr188a","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr188aplayer","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr188awalk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr188aslow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr188abrisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr188arun","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"npc001a","fn01_01","fw01_01","fr01_01",1.5,7,1,-1,-1,0,9,24,-1,-1,-1
"npc001abag","fn01_01_bag","fw01_01_bag","fr01_01_bag",1.05,4.8,1.5,-1,-1,0,9,24,-1,-1,-1
"npc002a","fn01_01","fw01_01","fr01_01",1.5,7,1,-1,-1,0,10,25,-1,-1,-1
"npc003a","fn01_01","fw01_01","fr01_01",1.5,7,1,-1,-1,0,9,24,-1,-1,-1
"npc003abag","fn01_01_bag","fw01_01_bag","fr01_01_bag",1.05,4.8,1.5,-1,-1,0,9,24,-1,-1,-1
"npc003b","fn01_01","fw01_01","fr01_01",1.05,4.8,1.5,-1,-1,0,9,24,-1,-1,-1
"npc003bbag","fn01_01_bag","fw01_01_bag","fr01_01_bag",1.05,4.8,1.5,-1,-1,0,9,24,-1,-1,-1
"npc004a","fn01_01","fw01_01","fr01_01",1.05,4.8,1,-1,-1,0,9,24,-1,-1,-1
"npc005a","fn01_01","fw01_01","fr01_01",1.5,7,1,-1,-1,0,9,24,-1,-1,-1
"npc006a","fn01_01","fw01_01","fr01_01",1.05,4.8,1.5,-1,-1,0,9,24,-1,-1,-1
"npc007a","fn01_01","fw01_01","fr01_01",1.5,7,1,-1,-1,0,9,24,-1,-1,-1
"npc009a","fs01_01","","",1,1,1,-1,-1,0,-1,-1,-1,-1,-1
"npc010a","fs01_01","","",1,1,1,-1,-1,0,-1,-1,-1,-1,-1
"npc011a","fs01_01","","",1,1,1,-1,-1,0,-1,-1,-1,-1,-1
"npc012a","fn01_01","","",1.05,4.8,1.5,-1,-1,0,9,24,-1,-1,-1
"npc013a","fn01_01","fw01_01","",1.05,4.8,1.5,-1,-1,0,9,24,-1,-1,-1
"npc017a","fn01_01","fw01_01","",1.5,7,1,-1,-1,0,15,30,-1,-1,-1
"npc101a","fn01_01","fw01_01","fr01_01b",1.05,4.8,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc101aignore","fn01_01","fw01_01","fr01_01b",1.05,4.8,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc102a","fn01_01","fw01_01","fr01_01b",1.2,4,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc102atest","fn01_01","fw01_01","fr01_01b",0,4,1.5,-1,-1,0,1,1,-1,-1,-1
"npc102aignore","fn01_01","fw01_01","fr01_01b",1.2,4,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc104a","fn01_01","fw01_01","fr01_01b",1.2,3.8,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc104aignore","fn01_01","fw01_01","fr01_01b",1.2,3.8,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc105a","fn01_01","fw01_01","fr01_01b",1.2,4.3,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc105aignore","fn01_01","fw01_01","fr01_01b",1.2,4.3,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc106a","fn01_01","fw01_01","fr01_01b",1.05,2.84,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc106aignore","fn01_01","fw01_01","fr01_01b",1.05,2.84,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc106at30","fn01_01","fw02_01","",0.9,2.84,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc107a","fn01_01","fw01_01","",0.3,1.1,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc107aignore","fn01_01","fw01_01","fr01_01b",0.3,1.1,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc109a","fn01_01","fw01_01","fr01_01b",0.9,3.6,1.5,-1,-1,0,9,24,-1,-1,-1
"npc109aignore","fn01_01","fw01_01","fr01_01b",0.9,3.6,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc110a","fn01_01","fw01_01","fr01_01b",0.9,3.6,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc110aignore","fn01_01","fw01_01","fr01_01b",0.9,3.6,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc112a","fn01_01","fw01_01","fr01_01b",1.2,4,1.5,-1,-1,0,-1,-1,-1,-1,-1
"npc112aignore","fn01_01","fw01_01","fr01_01b",1.2,4,1.5,-1,-1,0,-1,-1,-1,-1,-1
"mob001","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob001fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob001signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob001ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob002","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob002fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob002signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob002ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob003","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob003fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob003signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob003ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob004","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob004fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob004signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob004ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob005","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob005fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob005signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob005ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob006","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob006fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob006signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob006ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob007","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob007fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob007signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob007ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob008","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob008fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob008signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob008ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob009","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob009fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob009signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob009ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob010","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob010fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob010signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob010ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob011","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob011fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob011signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob011ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob012","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob012fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob012signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob012ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob013","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob013fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob013signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob013ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob014","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob014fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob014signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob014ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob015","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob015fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob015signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob015ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob016","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob016fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob016signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob016ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob017","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob017fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob017signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob017ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob035","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob043","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob043fast","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob043signal","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"mob043ignore","fn01","fw01","",1.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"f00ambulance00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00bus00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00bus01","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00car00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car01","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car02","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car03","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car04","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car05","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car06","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car07","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car08","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00car09","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00fireengin00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00patrolcar00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00taxi00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00taxi01","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00taxi02","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,8
"f00truck00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00truck01","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00truck02","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00truck03","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00truck04","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00truck05","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00truck06","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00truck07","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00wagon00","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00wagon01","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00wagon02","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00wagon03","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00wagon04","wait","move","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,9
"f00train00","","","",5.04,0,1,-1,-1,0,-1,-1,-1,-1,11
"chr001","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr001symbol01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr001walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr001slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr001brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr001run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr002","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr002walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr002slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr002brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr002run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr003","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr003walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr003slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr003brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr003run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr004","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr004walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr004slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr004brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr004run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr005","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr005symbol01","bn01","br01","",4.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr005walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr005slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr005brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr005run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr006","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr006symbol01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr006walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr006slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr006brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr006run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr009","bn01","bn01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr009sp01","bn01","bn01","",1.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr009mob01","bn01","bn01","",1.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr009mob02","bn01","br01","",9,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr009symbol01","bn01","br01","",9,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr009walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr009slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr009brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr009run","bn01","br01","",6,0,1,6,12,0,-1,-1,-1,-1,-1
"chr010","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr010symbol01","bn01","br01","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr010walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr010slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr010brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr010run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr011","bn01","br01","",5.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr011symbol01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr011mob01","bn01","f000","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr011walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr011slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr011brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr011run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr012","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr012walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr012slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr012brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr012run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr013","bn01","br01","",7.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr013symbol01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr013walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr013slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr013brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
