int 0,empty 1,empty 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,empty 10,empty 11,empty 12
1130200,"","",11302,0,-1,5,25,801,-1,"","",""
1130300,"","",11303,0,-1,5,25,801,-1,"","",""
1140100,"","",11401,0,-1,2,3,801,-1,"","",""
1140200,"","",11402,0,-1,2,3,801,-1,"","",""
1140300,"","",11403,0,-1,2,3,801,-1,"","",""
1140400,"","",11404,0,-1,2,3,801,-1,"","",""
1140500,"","",11405,0,-1,2,3,801,-1,"","",""
1140600,"","",11406,0,-1,2,3,801,-1,"","",""
1140700,"","",11407,0,-1,2,3,801,-1,"","",""
2010100,"","",20101,0,-1,3,12,801,-1,"","",""
2010200,"","",20102,0,-1,4,15,801,-1,"","",""
2010300,"","",20103,0,-1,3,24,801,-1,"","",""
2010400,"","",20104,0,-1,3,24,801,-1,"","",""
2010500,"","",20105,0,-1,3,24,801,-1,"","",""
2020100,"","",20201,0,-1,3,24,801,-1,"","",""
2020200,"","",20202,0,-1,3,24,801,-1,"","",""
2020300,"","",20203,0,-1,3,24,801,-1,"","",""
2020400,"","",20204,0,-1,3,24,801,-1,"","",""
2020500,"","",20205,0,-1,3,24,801,-1,"","",""
2021000,"","",20210,0,-1,3,15,801,-1,"","",""
2021100,"","",20211,0,-1,3,20,801,-1,"","",""
2021200,"","",20212,0,-1,3,25,801,-1,"","",""
2021300,"","",20213,0,-1,3,30,801,-1,"","",""
2021400,"","",20214,0,-1,3,35,801,-1,"","",""
2021500,"","",20215,0,-1,3,40,801,-1,"","",""
2021600,"","",20216,0,-1,3,15,801,-1,"","",""
2021700,"","",20217,0,-1,3,20,801,-1,"","",""
2021800,"","",20218,0,-1,3,25,801,-1,"","",""
2021900,"","",20219,0,-1,3,30,801,-1,"","",""
2030100,"","",20301,0,-1,3,35,801,-1,"","",""
2030200,"","",20302,0,-1,3,40,801,-1,"","",""
2030300,"","",20303,0,-1,3,24,801,-1,"","",""
2030400,"","",20304,0,-1,3,24,801,-1,"","",""
2030500,"","",20305,0,-1,3,24,801,-1,"","",""
2031000,"","",20310,0,-1,3,15,801,-1,"","",""
2031100,"","",20311,0,-1,3,20,801,-1,"","",""
2031200,"","",20312,0,-1,3,25,801,-1,"","",""
2031300,"","",20313,0,-1,3,30,801,-1,"","",""
2031400,"","",20314,0,-1,3,35,801,-1,"","",""
2031500,"","",20315,0,-1,3,40,801,-1,"","",""
2031600,"","",20316,0,-1,3,15,801,-1,"","",""
2031700,"","",20317,0,-1,3,20,801,-1,"","",""
2031800,"","",20318,0,-1,3,25,801,-1,"","",""
2031900,"","",20319,0,-1,3,30,801,-1,"","",""
2040100,"","",20401,0,-1,3,24,801,-1,"","",""
2040200,"","",20402,0,-1,3,24,801,-1,"","",""
2040300,"","",20403,0,-1,3,24,801,-1,"","",""
2040400,"","",20404,0,-1,3,24,801,-1,"","",""
2040500,"","",20405,0,-1,3,24,801,-1,"","",""
2041000,"","",20410,0,-1,3,15,801,-1,"","",""
2041100,"","",20411,0,-1,3,20,801,-1,"","",""
2041200,"","",20412,0,-1,3,25,801,-1,"","",""
2041300,"","",20413,0,-1,3,30,801,-1,"","",""
2041400,"","",20414,0,-1,3,35,801,-1,"","",""
2041500,"","",20415,0,-1,3,40,801,-1,"","",""
2041600,"","",20416,0,-1,3,15,801,-1,"","",""
2041700,"","",20417,0,-1,3,20,801,-1,"","",""
2041800,"","",20418,0,-1,3,25,801,-1,"","",""
2041900,"","",20419,0,-1,3,30,801,-1,"","",""
2050100,"","",20501,0,-1,3,24,801,-1,"","",""
2050200,"","",20502,0,-1,3,24,801,-1,"","",""
2050300,"","",20503,0,-1,3,24,801,-1,"","",""
2050400,"","",20504,0,-1,3,24,801,-1,"","",""
2050500,"","",20505,0,-1,3,24,801,-1,"","",""
2051000,"","",20510,0,-1,3,15,801,-1,"","",""
2051100,"","",20511,0,-1,3,20,801,-1,"","",""
2051200,"","",20512,0,-1,3,25,801,-1,"","",""
2051300,"","",20513,0,-1,3,30,801,-1,"","",""
2051400,"","",20514,0,-1,3,35,801,-1,"","",""
2051500,"","",20515,0,-1,3,40,801,-1,"","",""
2051600,"","",20516,0,-1,3,15,801,-1,"","",""
2051700,"","",20517,0,-1,3,20,801,-1,"","",""
2051800,"","",20518,0,-1,3,25,801,-1,"","",""
2051900,"","",20519,0,-1,3,30,801,-1,"","",""
2060100,"","",20601,0,-1,3,24,801,-1,"","",""
2060200,"","",20602,0,-1,3,24,801,-1,"","",""
2060300,"","",20603,0,-1,3,24,801,-1,"","",""
2060400,"","",20604,0,-1,3,24,801,-1,"","",""
2060500,"","",20605,0,-1,3,24,801,-1,"","",""
2070100,"","",20701,0,-1,3,24,801,-1,"","",""
2070200,"","",20702,0,-1,3,24,801,-1,"","",""
2070300,"","",20703,0,-1,3,24,801,-1,"","",""
2070400,"","",20704,0,-1,3,24,801,-1,"","",""
2070500,"","",20705,0,-1,3,24,801,-1,"","",""
2080100,"","",20801,0,-1,3,24,801,-1,"","",""
2080200,"","",20802,0,-1,3,24,801,-1,"","",""
2080300,"","",20803,0,-1,3,24,801,-1,"","",""
2080400,"","",20804,0,-1,3,24,801,-1,"","",""
2080500,"","",20805,0,-1,3,24,801,-1,"","",""
2081000,"","",20810,0,-1,3,15,801,-1,"","",""
2081100,"","",20811,0,-1,3,20,801,-1,"","",""
2081200,"","",20812,0,-1,3,25,801,-1,"","",""
2081300,"","",20813,0,-1,3,30,801,-1,"","",""
2081400,"","",20814,0,-1,3,35,801,-1,"","",""
2081500,"","",20815,0,-1,3,40,801,-1,"","",""
2081600,"","",20816,0,-1,3,15,801,-1,"","",""
2081700,"","",20817,0,-1,3,20,801,-1,"","",""
2081800,"","",20818,0,-1,3,25,801,-1,"","",""
2081900,"","",20819,0,-1,3,30,801,-1,"","",""
