int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
1040732,"rumor_0032","chr375",0,0,"","","f000","",0,0,99,32,32,-5.347,0.188,-30.159,48.419,0,0,1,1,6,25,0,-1,"","",""
1040733,"rumor_0033","chr232",0,0,"","","e013","",0,0,5,0,0,-0.857,-0.001,18.399,175.289,0,0,1,1,0,0,0,-1,"","",""
1040734,"rumor_0034","chr042",0,0,"","","bn01","",0,0,1,34,34,-32.589,9.866,-9.138,72.841,0,0,1,1,6,44,-5.5,-1,"","",""
1040735,"rumor_0035","chr042",0,0,"","","bn01","",0,0,1,35,35,-33.877,16.799,-19.485,72.841,0,0,1,1,6,44,-9.5,-1,"","",""
1040736,"rumor_0036","chr042",0,0,"","","bn01","",0,0,1,36,36,-24.894,13.978,-26.624,72.841,0,0,1,1,6,44,-5.5,-1,"","",""
1040737,"rumor_0037","chr042",0,0,"","","bn01","",0,0,1,37,37,-20.545,10.005,-32.297,72.841,0,0,1,1,6,44,-5.5,-1,"","",""
1040738,"rumor_0038","chr042",0,0,"","","bn01","",0,0,1,38,38,-15.436,18.124,-34.25,72.841,0,0,1,1,6,44,-9,-1,"","",""
1040739,"rumor_0039","chr042",0,0,"","","bn01","",0,0,1,39,39,-7.632,13.121,-31.919,5.423,0,0,1,1,6,44,-8,-1,"","",""
1040740,"rumor_0040","chr042",0,0,"","","bn01","",0,0,1,40,40,5.287,14.976,-32.429,-44.806,0,0,1,1,6,44,-9,-1,"","",""
1040741,"rumor_0041","chr042",0,0,"","","bn01","",0,0,1,41,41,15.849,19.145,-31.795,-6.941,0,0,1,1,6,44,-12,-1,"","",""
1040742,"rumor_0042","chr042",0,0,"","","bn01","",0,0,1,42,42,22.536,14.345,-21.839,26.919,0,0,1,1,6,44,-9,-1,"","",""
1040743,"rumor_0043","chr042",0,0,"","","bn01","",0,0,1,43,43,30.693,18.982,-15.345,-87.369,0,0,1,1,6,44,-12,-1,"","",""
1040744,"rumor_0044","chr042",0,0,"","","bn01","",0,0,1,44,44,29.588,12.17,-9.977,72.841,0,0,1,1,6,44,-9,-1,"","",""
1040745,"rumor_0045","chr042",0,0,"","","bn01","",0,0,1,45,45,34.053,15.047,-5.036,72.841,0,0,1,1,6,44,-8.5,-1,"","",""
1040746,"rumor_0046","chr042",0,0,"","","bn01","",0,0,1,46,46,31.078,10.012,2.491,-73.245,0,0,1,1,6,44,-6.5,-1,"","",""
1040747,"rumor_0047","chr042",0,0,"","","bn01","",0,0,1,47,47,30.861,14.345,6.906,-69.964,0,0,1,1,6,44,-8,-1,"","",""
1040748,"rumor_0048","chr042",0,0,"","","bn01","",0,0,1,48,48,27.04,11.123,14.623,-77.843,0,0,1,1,6,44,-4.5,-1,"","",""
1040749,"rumor_0049","chr042",0,0,"","","bn01","",0,0,1,49,49,26.956,11.091,23.308,-77.843,0,0,1,1,6,44,-5.5,-1,"","",""
1040750,"rumor_0050","chr042",0,0,"","","bn01","",0,0,1,50,50,21.32,14.92,27.153,-77.843,0,0,1,1,6,44,-7,-1,"","",""
1040751,"rumor_0051","chr042",0,0,"","","bn01","",0,0,1,51,51,9.064,11.687,28.922,-135.897,0,0,1,1,6,44,-9,-1,"","",""
1040752,"rumor_0052","chr042",0,0,"","","bn01","",0,0,1,52,52,-8.483,10.363,33.744,-193.21,0,0,1,1,6,44,-6,-1,"","",""
1040753,"rumor_0053","chr042",0,0,"","","bn01","",0,0,1,53,53,-15.724,10.6,27.85,-213.255,0,0,1,1,6,44,-5.5,-1,"","",""
1040754,"rumor_0054","chr042",0,0,"","","bn01","",0,0,1,54,54,-24.875,18.294,27.101,-231.928,0,0,1,1,6,44,-9,-1,"","",""
1040755,"rumor_0055","chr042",0,0,"","","bn01","",0,0,1,55,55,-28.968,15.456,19.782,-135.897,0,0,1,1,6,44,-11,-1,"","",""
1040756,"rumor_0056","chr042",0,0,"","","bn01","",0,0,1,56,56,-30.337,12.937,7.572,-135.897,0,0,1,1,6,44,-5.5,-1,"","",""
1040757,"rumor_0057","chr042",0,0,"","","bn01","",0,0,1,57,57,-30.833,10.402,-0.099,-135.897,0,0,1,1,6,44,-5.5,-1,"","",""
1040758,"rumor_0058","chr042",0,0,"","","bn01","",0,0,2,58,58,-32.589,9.866,-9.138,72.841,0,0,1,1,6,44,-5.5,-1,"","",""
1040759,"rumor_0059","chr042",0,0,"","","bn01","",0,0,2,59,59,-33.877,16.799,-19.485,72.841,0,0,1,1,6,44,-9.5,-1,"","",""
1040760,"rumor_0060","chr042",0,0,"","","bn01","",0,0,2,60,60,-24.894,13.978,-26.624,72.841,0,0,1,1,6,44,-5.5,-1,"","",""
1040761,"rumor_0061","chr042",0,0,"","","bn01","",0,0,2,61,61,-20.545,10.005,-32.297,72.841,0,0,1,1,6,44,-5.5,-1,"","",""
1040762,"rumor_0062","chr042",0,0,"","","bn01","",0,0,2,62,62,-15.436,18.124,-34.25,72.841,0,0,1,1,6,44,-9,-1,"","",""
1040763,"rumor_0063","chr042",0,0,"","","bn01","",0,0,2,63,63,-7.632,13.121,-31.919,5.423,0,0,1,1,6,44,-8,-1,"","",""
1040764,"rumor_0064","chr042",0,0,"","","bn01","",0,0,2,64,64,5.287,14.976,-32.429,-44.806,0,0,1,1,6,44,-9,-1,"","",""
1040765,"rumor_0065","chr042",0,0,"","","bn01","",0,0,2,65,65,15.849,19.145,-31.795,-6.941,0,0,1,1,6,44,-12,-1,"","",""
1040766,"rumor_0066","chr042",0,0,"","","bn01","",0,0,2,66,66,22.536,14.345,-21.839,26.919,0,0,1,1,6,44,-9,-1,"","",""
1040767,"rumor_0067","chr042",0,0,"","","bn01","",0,0,2,67,67,30.693,18.982,-15.345,-87.369,0,0,1,1,6,44,-12,-1,"","",""
1040768,"rumor_0068","chr042",0,0,"","","bn01","",0,0,2,68,68,29.588,12.17,-9.977,72.841,0,0,1,1,6,44,-9,-1,"","",""
1040769,"rumor_0069","chr042",0,0,"","","bn01","",0,0,2,69,69,34.053,15.047,-5.036,72.841,0,0,1,1,6,44,-8.5,-1,"","",""
1040770,"rumor_0070","chr042",0,0,"","","bn01","",0,0,2,70,70,31.078,10.012,2.491,-73.245,0,0,1,1,6,44,-6.5,-1,"","",""
1040771,"rumor_0071","chr042",0,0,"","","bn01","",0,0,2,71,71,30.861,14.345,6.906,-69.964,0,0,1,1,6,44,-8,-1,"","",""
1040772,"rumor_0072","chr042",0,0,"","","bn01","",0,0,2,72,72,27.04,11.123,14.623,-77.843,0,0,1,1,6,44,-4.5,-1,"","",""
1040773,"rumor_0073","chr042",0,0,"","","bn01","",0,0,2,73,73,26.956,11.091,23.308,-77.843,0,0,1,1,6,44,-5.5,-1,"","",""
1040774,"rumor_0074","chr042",0,0,"","","bn01","",0,0,2,74,74,21.32,14.92,27.153,-77.843,0,0,1,1,6,44,-7,-1,"","",""
1040775,"rumor_0075","chr042",0,0,"","","bn01","",0,0,2,75,75,9.064,11.687,28.922,-135.897,0,0,1,1,6,44,-9,-1,"","",""
1040776,"rumor_0076","chr042",0,0,"","","bn01","",0,0,2,76,76,-8.483,10.363,33.744,-193.21,0,0,1,1,6,44,-6,-1,"","",""
1040777,"rumor_0077","chr042",0,0,"","","bn01","",0,0,2,77,77,-15.724,10.6,27.85,-213.255,0,0,1,1,6,44,-5.5,-1,"","",""
1040778,"rumor_0078","chr042",0,0,"","","bn01","",0,0,2,78,78,-24.875,18.294,27.101,-231.928,0,0,1,1,6,44,-9,-1,"","",""
1040779,"rumor_0079","chr042",0,0,"","","bn01","",0,0,2,79,79,-28.968,15.456,19.782,-135.897,0,0,1,1,6,44,-11,-1,"","",""
1040780,"rumor_0080","chr042",0,0,"","","bn01","",0,0,2,80,80,-30.337,12.937,7.572,-135.897,0,0,1,1,6,44,-5.5,-1,"","",""
1040781,"rumor_0081","chr042",0,0,"","","bn01","",0,0,2,81,81,-30.833,10.402,-0.099,-135.897,0,0,1,1,6,44,-5.5,-1,"","",""
