int32 0,empty 1,empty 2,empty 3,string2 4,int32 5,string2 6,int32 7,float 8,int32 9,int32 10,int32 11,int32 12,bool 13,empty 14
20372,,,,"ef_b_chr037_bs02",1,"",3,0,1,0,-1,-1,false,
20381,,,,"ef_b_chr038_bs01",1,"",3,0,1,0,-1,-1,false,
20391,,,,"ef_b_chr039_bs01",1,"",3,0,1,0,0,-1,false,
20392,,,,"ef_b_chr039_bs02",1,"",3,0,1,0,0,-1,false,
20401,,,,"ef_b_chr040_bs01",1,"",3,0,1,0,-1,-1,false,
20402,,,,"ef_b_chr040_bs02",1,"",3,0,1,0,-1,-1,false,
20411,,,,"ef_b_chr041_bs01",1,"",3,0,1,0,-1,-1,false,
20421,,,,"ef_b_chr042_bs01",1,"",3,0,1,0,-1,-1,false,
20431,,,,"ef_b_chr043_bs01",1,"",3,0,1,0,-1,-1,false,
20441,,,,"ef_b_chr044_bs01",1,"",3,0,1,0,-1,-1,false,
20442,,,,"ef_b_chr044_bs02",1,"",3,0,1,0,-1,-1,false,
20451,,,,"ef_b_chr045_bs01",1,"",3,0,1,0,0,-1,false,
20452,,,,"ef_b_chr045_bs02",1,"",3,0,1,0,-1,-1,false,
20461,,,,"ef_b_chr046_bs01",1,"",3,0,1,0,0,-1,false,
20462,,,,"ef_b_chr046_bs02",1,"",3,0,1,0,0,-1,false,
20471,,,,"ef_b_chr047_bs01",1,"",3,0,1,0,-1,-1,false,
20472,,,,"ef_b_chr047_bs02",1,"",3,0,1,0,-1,-1,false,
20481,,,,"ef_b_chr048_bs01",1,"",3,0,1,0,-1,-1,false,
20491,,,,"ef_b_chr049_bs01",1,"",3,0,1,0,-1,-1,false,
20492,,,,"ef_b_chr049_bs02",1,"",3,0,1,0,-1,-1,false,
20501,,,,"ef_b_chr050_bs01",1,"",3,0,1,0,-1,-1,false,
20511,,,,"ef_b_chr051_bs01",1,"",3,0,1,0,-1,-1,false,
20521,,,,"ef_b_chr052_bs01",1,"",3,0,1,0,-1,-1,false,
20531,,,,"ef_b_chr053_bs01",1,"",3,0,1,0,-1,-1,false,
20541,,,,"ef_b_chr054_bs01",1,"",3,0,1,0,-1,-1,false,
20551,,,,"ef_b_chr055_bs01",1,"",3,0,1,0,-1,-1,false,
20561,,,,"ef_b_chr056_bs01",1,"",3,0,1,0,-1,-1,false,
20571,,,,"ef_b_chr057_bs01",1,"",3,0,1,0,-1,-1,false,
20572,,,,"ef_b_chr057_bs02",1,"",3,0,1,0,0,-1,false,
20581,,,,"ef_b_chr058_bs01",1,"",3,0,1,0,-1,-1,false,
20591,,,,"ef_b_chr059_bs01",1,"",3,0,1,0,-1,-1,false,
20601,,,,"ef_b_chr060_bs01",1,"",3,0,1,0,0,-1,false,
20602,,,,"ef_b_chr060_bs02",1,"",3,0,1,0,0,-1,false,
20611,,,,"ef_b_chr061_bs01",1,"",3,0,1,0,-1,-1,false,
20681,,,,"ef_b_chr068_bs01",1,"",3,0,1,0,-1,-1,false,
20691,,,,"ef_b_chr069_bs01",1,"",3,0,1,0,-1,-1,false,
20692,,,,"ef_b_chr069_bs02",1,"",3,0,1,0,-1,-1,false,
20701,,,,"ef_b_chr070_bs01",1,"",3,0,1,0,-1,-1,false,
20711,,,,"ef_b_chr071_bs01",1,"",3,0,1,0,-1,-1,false,
20721,,,,"ef_b_chr072_bs01",1,"",3,0,1,0,-1,-1,false,
20731,,,,"ef_b_chr073_bs01",1,"",3,0,1,0,-1,-1,false,
20741,,,,"ef_b_chr074_bs01",1,"",3,0,1,0,-1,-1,false,
20751,,,,"ef_b_chr075_bs01",1,"",3,0,1,0,0,-1,false,
20752,,,,"ef_b_chr075_bs02",1,"",3,0,1,0,0,-1,false,
20761,,,,"ef_b_chr076_bs01",1,"",3,0,1,0,-1,-1,false,
20771,,,,"ef_b_chr077_bs01",1,"",3,0,1,0,-1,-1,false,
20781,,,,"ef_b_chr078_bs01",1,"",3,0,1,0,-1,-1,false,
20791,,,,"ef_b_chr079_bs01",1,"",3,0,1,0,-1,-1,false,
20801,,,,"ef_b_chr080_bs01",1,"",3,0,1,0,-1,-1,false,
20802,,,,"ef_b_chr080_bs02",1,"",3,0,1,0,-1,-1,false,
20803,,,,"ef_b_chr080_bs01",1,"",3,0,1,0,-1,-1,false,
20811,,,,"ef_b_chr081_bs01",1,"",3,0,1,0,-1,-1,false,
20821,,,,"ef_b_chr082_bs01",1,"",3,0,1,0,-1,-1,false,
20831,,,,"ef_b_chr083_bs01",1,"",3,0,1,0,-1,-1,false,
20841,,,,"ef_b_chr084_bs01",1,"",3,0,1,0,-1,-1,false,
20851,,,,"ef_b_chr085_bs01",1,"",3,0,1,0,-1,-1,false,
20861,,,,"ef_b_chr086_bs01",1,"",3,0,1,0,-1,-1,false,
20862,,,,"ef_b_chr086_bs02",1,"",3,0,1,0,-1,-1,false,
20871,,,,"ef_b_chr087_bs01",1,"",3,0,1,0,-1,-1,false,
20881,,,,"ef_b_chr088_bs01",1,"",3,0,1,0,0,-1,false,
20882,,,,"ef_b_chr088_bs02",1,"",3,0,1,0,-1,-1,false,
20883,,,,"ef_b_bar_122",1,"",3,0,1,0,-1,-1,false,
20901,,,,"ef_b_chr090_bs01",1,"",3,0,1,0,-1,-1,false,
20911,,,,"ef_b_chr091_bs01",1,"",3,0,1,0,-1,-1,false,
20921,,,,"ef_b_chr092_bs01",1,"",3,0,1,0,-1,-1,false,
20931,,,,"ef_b_chr093_bs01",1,"",3,0,1,0,-1,-1,false,
20941,,,,"ef_b_chr094_bs01",1,"",3,0,1,0,0,-1,false,
20942,,,,"ef_b_chr094_bs02",1,"",3,0,1,0,-1,-1,false,
20951,,,,"ef_b_chr095_bs01",1,"",3,0,1,0,-1,-1,false,
20952,,,,"ef_b_chr095_bs02",1,"",3,0,1,0,-1,-1,false,
20961,,,,"ef_b_chr096_bs01",1,"",3,0,1,0,-1,-1,false,
20971,,,,"ef_b_chr097_bs01",1,"",3,0,1,0,-1,-1,false,
20981,,,,"ef_b_chr098_bs01",1,"",3,0,1,0,-1,-1,false,
20982,,,,"ef_b_chr098_bs02",1,"",3,0,1,0,-1,-1,false,
21001,,,,"ef_b_chr100_bs01",1,"",3,0,1,0,-1,-1,false,
21011,,,,"ef_b_chr101_bs01",1,"",3,0,1,0,-1,-1,false,
21021,,,,"ef_b_chr102_bs01",1,"",3,0,1,0,-1,-1,false,
21031,,,,"ef_b_chr103_bs01",1,"",3,0,1,0,-1,-1,false,
21041,,,,"ef_b_chr104_bs01",1,"",3,0,1,0,0,-1,false,
21042,,,,"ef_b_chr104_bs02",1,"",3,0,1,0,0,-1,false,
21051,,,,"ef_b_chr105_bs01",1,"",3,0,1,0,0,-1,false,
21052,,,,"ef_b_chr105_bs02",1,"",3,0,1,0,-1,-1,false,
21061,,,,"ef_b_chr106_bs01",1,"",3,0,1,0,-1,-1,false,
21062,,,,"ef_b_chr106_bs02",1,"",3,0,1,0,0,-1,false,
21071,,,,"ef_b_chr107_bs01",1,"",3,0,1,0,-1,-1,false,
21111,,,,"ef_b_chr111_bs01",1,"",3,0,1,0,-1,-1,false,
21121,,,,"ef_b_chr112_bs01",1,"",3,0,1,0,-1,-1,false,
21131,,,,"ef_b_chr113_bs01",1,"",3,0,1,0,-1,-1,false,
21141,,,,"ef_b_chr114_bs01",1,"",3,0,1,0,-1,-1,false,
21151,,,,"ef_b_chr115_bs01",1,"",3,0,1,0,-1,-1,false,
21161,,,,"ef_b_chr116_bs01",1,"",3,0,1,0,-1,-1,false,
21171,,,,"ef_b_chr117_bs01",1,"",3,0,1,0,0,-1,false,
21172,,,,"ef_b_chr117_bs02",1,"",3,0,1,0,-1,-1,false,
21181,,,,"ef_b_chr118_bs01",1,"",3,0,1,0,0,-1,false,
21182,,,,"ef_b_chr118_bs02",1,"",3,0,1,0,-1,-1,false,
21261,,,,"ef_b_chr126_bs01",1,"",3,0,1,0,-1,-1,false,
21262,,,,"ef_b_chr126_bs02",1,"",3,0,1,0,-1,-1,false,
21271,,,,"ef_b_chr127_bs01",1,"",3,0,1,0,-1,-1,false,
21281,,,,"ef_b_chr128_bs01",1,"",3,0,1,0,0,-1,false,
21282,,,,"ef_b_chr128_bs02",1,"",3,0,1,0,-1,-1,false,
21291,,,,"ef_b_chr129_bs01",1,"",3,0,1,0,-1,-1,false,
21301,,,,"ef_b_chr130_bs01",1,"",3,0,1,0,-1,-1,false,
21321,,,,"ef_b_chr132_bs01",1,"",3,0,1,0,-1,-1,false,
21331,,,,"ef_b_chr133_bs01",1,"",3,0,1,0,-1,-1,false,
21341,,,,"ef_b_chr134_bs01",1,"",3,0,1,0,-1,-1,false,
21351,,,,"ef_b_chr135_bs01",1,"",3,0,1,0,-1,-1,false,
21352,,,,"ef_b_chr135_bs03",1,"",3,0,1,0,-1,-1,false,
21361,,,,"ef_b_chr136_bs01",1,"",3,0,1,0,-1,-1,false,
21371,,,,"ef_b_chr137_bs01",1,"",3,0,1,0,-1,-1,false,
21381,,,,"ef_b_chr138_bs01",1,"",3,0,1,0,-1,-1,false,
21391,,,,"ef_b_chr139_bs01",1,"",3,0,1,0,-1,-1,false,
21401,,,,"ef_b_chr140_bs01",1,"",3,0,1,0,-1,-1,false,
21411,,,,"ef_b_chr141_bs01",1,"",3,0,1,0,-1,-1,false,
21422,,,,"ef_b_chr142_bs01",1,"",3,0,1,0,-1,-1,false,
21441,,,,"ef_b_chr144_bs01",1,"",3,0,1,0,-1,-1,false,
21451,,,,"ef_b_chr145_bs01",1,"",3,0,1,0,0,-1,false,
21461,,,,"ef_b_chr146_bs01",1,"",3,0,1,0,-1,-1,false,
21471,,,,"ef_b_chr147_bs01",1,"",3,0,1,0,-1,-1,false,
21481,,,,"ef_b_chr148_bs01",1,"",3,0,1,0,-1,-1,false,
21491,,,,"ef_b_chr149_bs01",1,"",3,0,1,0,-1,-1,false,
21501,,,,"ef_b_chr150_bs03",1,"",3,0,1,0,-1,-1,false,
21502,,,,"ef_b_chr150_bs02",1,"",3,0,1,0,-1,-1,false,
21511,,,,"ef_b_chr151_bs01",1,"",3,0,1,0,-1,-1,false,
21621,,,,"ef_b_chr162_bs01",1,"",3,0,1,0,-1,-1,false,
21631,,,,"ef_b_chr163_bs01",1,"",3,0,1,0,-1,-1,false,
21681,,,,"ef_b_chr168_bs01",1,"",3,0,1,0,0,-1,false,
21682,,,,"ef_b_chr168_bs02",1,"",3,0,1,0,0,-1,false,
21691,,,,"ef_b_chr169_bs01",1,"",3,0,1,0,0,-1,false,
21692,,,,"ef_b_chr169_bs02",1,"",3,0,1,0,0,-1,false,
21693,,,,"ef_b_chr935_bs01",1,"",3,0,1,0,0,-1,false,
21694,,,,"ef_b_chr935_bs02",1,"",3,0,1,0,0,-1,false,
21701,,,,"ef_b_chr170_bs01",1,"",3,0,1,0,-1,-1,false,
21702,,,,"ef_b_chr170_bs02",1,"",3,0,1,0,-1,-1,false,
21711,,,,"ef_b_chr171_bs01",1,"",3,0,1,0,-1,-1,false,
21712,,,,"ef_b_chr171_bs02",1,"",3,0,1,0,-1,-1,false,
21721,,,,"ef_b_chr172_bs01",1,"",3,0,1,0,-1,-1,false,
21722,,,,"ef_b_chr172_bs02",1,"",3,0,1,0,-1,-1,false,
21731,,,,"ef_b_chr173_bs01",1,"",3,0,1,0,-1,-1,false,
21732,,,,"ef_b_chr173_bs02",1,"",3,0,1,0,0,-1,false,
21741,,,,"ef_b_chr174_bs01",1,"",3,0,1,0,-1,-1,false,
21742,,,,"ef_b_chr174_bs02",1,"",3,0,1,0,-1,-1,false,
21761,,,,"ef_b_chr176_bs01",1,"",3,0,1,0,0,-1,false,
21762,,,,"ef_b_chr176_bs02",1,"",3,0,1,0,0,-1,false,
21771,,,,"ef_b_chr177_bs01",1,"",3,0,1,0,-1,-1,false,
21781,,,,"ef_b_chr178_bs01",1,"",3,0,1,0,0,-1,false,
21782,,,,"ef_b_chr178_bs02",1,"",3,0,1,0,-1,-1,false,
21783,,,,"ef_b_chr178_bs03",1,"",3,0,1,0,-1,-1,false,
21784,,,,"ef_b_chr178_bs04",1,"",3,0,1,0,-1,-1,false,
21791,,,,"ef_b_chr179_bs01",1,"",3,0,1,0,-1,-1,false,
21792,,,,"ef_b_chr179_bs02",1,"",3,0,1,0,-1,-1,false,
21801,,,,"ef_b_chr180_bs01",1,"",3,0,1,0,-1,-1,false,
21802,,,,"ef_b_chr180_bs02",1,"",3,0,1,0,0,-1,false,
21811,,,,"ef_b_chr181_bs01",1,"",3,0,1,0,-1,-1,false,
21812,,,,"ef_b_chr181_bs02",1,"",3,0,1,0,-1,-1,false,
21831,,,,"ef_b_chr183_bs01",1,"",3,0,1,0,-1,-1,false,
21832,,,,"ef_b_chr183_bs02",1,"",3,0,1,0,-1,-1,false,
21833,,,,"ef_b_bos_450",1,"",3,0,1,0,-1,-1,false,
21834,,,,"ef_b_bos_451",1,"",3,0,1,0,-1,-1,false,
21841,,,,"ef_b_chr184_bs01",1,"",3,0,1,0,-1,-1,false,
21842,,,,"ef_b_chr184_bs02",1,"",3,0,1,0,-1,-1,false,
21851,,,,"ef_b_chr185_bs01",1,"",3,0,1,0,-1,-1,false,
21852,,,,"ef_b_chr185_bs02",1,"",3,0,1,0,-1,-1,false,
21861,,,,"ef_b_chr186_bs01",1,"",3,0,1,0,-1,-1,false,
21862,,,,"ef_b_chr186_bs02",1,"",3,0,1,0,-1,-1,false,
21871,,,,"ef_b_chr187_bs01",1,"",3,0,1,0,-1,-1,false,
21872,,,,"ef_b_chr187_bs02",1,"",3,0,1,0,-1,-1,false,
21881,,,,"ef_b_chr188_bs01",1,"",3,0,1,0,-1,-1,false,
21882,,,,"ef_b_chr188_bs02",1,"",3,0,1,0,-1,-1,false,
21891,,,,"ef_b_chr189_bs01",1,"",3,0,1,0,-1,-1,false,
21901,,,,"ef_b_chr190_bs01",1,"",3,0,1,0,-1,-1,false,
21911,,,,"ef_b_chr191_bs01",1,"",3,0,1,0,-1,-1,false,
21921,,,,"ef_b_chr192_bs01",1,"",3,0,1,0,0,-1,false,
21931,,,,"ef_b_chr193_bs01",1,"",3,0,1,0,0,-1,false,
21932,,,,"ef_b_chr193_bs02",1,"",3,0,1,0,0,-1,false,
21941,,,,"ef_b_chr194_bs01",1,"",3,0,1,0,-1,-1,false,
21942,,,,"ef_b_chr194_bs02",1,"",3,0,1,0,-1,-1,false,
21951,,,,"ef_b_chr195_bs01",1,"",3,0,1,0,-1,-1,false,
21952,,,,"ef_b_chr195_bs02",1,"",3,0,1,0,-1,-1,false,
21961,,,,"ef_b_chr196_bs01",1,"",3,0,1,0,-1,-1,false,
21971,,,,"ef_b_chr197_bs01",1,"",3,0,1,0,-1,-1,false,
21972,,,,"ef_b_chr197_bs02",1,"",3,0,1,0,-1,-1,false,
21981,,,,"ef_b_chr198_bs01",1,"",3,0,1,0,-1,-1,false,
21991,,,,"ef_b_chr199_bs01",1,"",3,0,1,0,-1,-1,false,
22081,,,,"ef_b_chr208_bs01",1,"",3,0,1,0,-1,-1,false,
22091,,,,"ef_b_chr209_bs01",1,"",3,0,1,0,-1,-1,false,
22101,,,,"ef_b_chr210_bs01",1,"",3,0,1,0,-1,-1,false,
22111,,,,"ef_b_chr211_bs01",1,"",3,0,1,0,-1,-1,false,
22131,,,,"ef_b_chr213_bs01",1,"",3,0,1,0,-1,-1,false,
22132,,,,"ef_b_chr213_bs02",1,"",3,0,1,0,-1,-1,false,
22133,,,,"ef_b_chr213_bs03",1,"",3,0,1,0,-1,-1,false,
22141,,,,"ef_b_chr214_bs01",1,"",3,0,1,0,-1,-1,false,
22142,,,,"ef_b_chr214_bs02",1,"",3,0,1,0,-1,-1,false,
22151,,,,"ef_b_chr215_bs01",1,"",3,0,1,0,0,-1,false,
22152,,,,"ef_b_chr215_bs02",1,"",3,0,1,0,0,-1,false,
22171,,,,"ef_b_chr217_bs01",1,"",3,0,1,0,-1,-1,false,
22181,,,,"ef_b_chr218_bs01",1,"",3,0,1,0,-1,-1,false,
22191,,,,"ef_b_chr219_bs01",1,"",3,0,1,0,-1,-1,false,
22201,,,,"ef_b_chr220_bs01",1,"",3,0,1,0,0,-1,false,
22221,,,,"ef_b_chr222_bs01",1,"",3,0,1,0,-1,-1,false,
22231,,,,"ef_b_chr223_bs01",1,"",3,0,1,0,-1,-1,false,
22241,,,,"ef_b_chr224_bs01",1,"",3,0,1,0,0,-1,false,
22251,,,,"ef_b_chr225_bs01",1,"",3,0,1,0,-1,-1,false,
22252,,,,"ef_b_chr225_bs02",1,"",3,0,1,0,-1,-1,false,
22261,,,,"ef_b_chr226_bs01",1,"",3,0,1,0,-1,-1,false,
22271,,,,"ef_b_chr227_bs01",1,"",3,0,1,0,-1,-1,false,
22281,,,,"ef_b_chr228_bs01",1,"",3,0,1,0,-1,-1,false,
22291,,,,"ef_b_chr229_bs01",1,"",3,0,1,0,-1,-1,false,
22301,,,,"ef_b_chr230_bs01",1,"",3,0,1,0,0,-1,false,
22311,,,,"ef_b_chr231_bs01",1,"",3,0,1,0,-1,-1,false,
22321,,,,"ef_b_chr232_bs01",1,"",3,0,1,0,-1,-1,false,
22322,,,,"ef_b_chr232_bs02",1,"",3,0,1,0,-1,-1,false,
22323,,,,"ef_b_chr232_bs03",1,"",3,0,1,0,-1,-1,false,
22331,,,,"ef_b_chr233_bs01",1,"",3,0,1,0,-1,-1,false,
22332,,,,"ef_b_chr233_bs02",1,"",3,0,1,0,-1,-1,false,
22341,,,,"ef_b_chr234_bs01",1,"",3,0,1,0,-1,-1,false,
22351,,,,"ef_b_chr235_bs01",1,"",3,0,1,0,-1,-1,false,
22371,,,,"ef_b_chr237_bs01",1,"",3,0,1,0,-1,-1,false,
22391,,,,"ef_b_chr239_bs01",1,"",3,0,1,0,-1,-1,false,
22401,,,,"ef_b_chr240_bs01",1,"",3,0,1,0,-1,-1,false,
22411,,,,"ef_b_chr241_bs01",1,"",3,0,1,0,-1,-1,false,
22421,,,,"ef_b_chr242_bs01",1,"",3,0,1,0,-1,-1,false,
23011,,,,"ef_b_chr301_bs01",1,"",3,0,1,0,-1,-1,false,
23021,,,,"ef_b_chr302_bs01",1,"",3,0,1,0,-1,-1,false,
23031,,,,"ef_b_chr303_bs01",1,"",3,0,1,0,-1,-1,false,
23041,,,,"ef_b_chr304_bs01",1,"",3,0,1,0,-1,-1,false,
23051,,,,"ef_b_chr305_bs01",1,"",3,0,1,0,-1,-1,false,
23061,,,,"ef_b_chr306_bs01",1,"",3,0,1,0,-1,-1,false,
23071,,,,"ef_b_chr307_bs01",1,"",3,0,1,0,-1,-1,false,
23081,,,,"ef_b_chr308_bs01",1,"",3,0,1,0,-1,-1,false,
23091,,,,"ef_b_chr309_bs01",1,"",3,0,1,0,-1,-1,false,
23101,,,,"ef_b_chr310_bs01",1,"",3,0,1,0,-1,-1,false,
23111,,,,"ef_b_chr311_bs01",1,"",3,0,1,0,-1,-1,false,
23121,,,,"ef_b_chr312_bs01",1,"",3,0,1,0,-1,-1,false,
23131,,,,"ef_b_chr313_bs01",1,"",3,0,1,0,-1,-1,false,
