int 0,empty 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,empty 18,int 19,int 20,int 21,int 22,empty 23,int 24,empty 25,int 26,int 27,empty 28,int 29
54,"",3,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
55,"",1,0,0,0,210,0,0,0,210,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
56,"",1,0,500,0,0,0,0,160,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
57,"",7,0,0,2350,1290,0,1500,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
58,"",3,0,0,360,0,0,630,480,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
59,"",5,0,2080,0,980,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
60,"",7,0,0,0,1430,1790,0,1730,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
61,"",5,0,2080,0,0,0,0,1140,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
68,"",3,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
69,"",7,0,0,0,0,2220,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
70,"",3,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
71,"",5,0,0,0,940,0,0,0,980,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
72,"",3,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
73,"",5,0,0,0,880,0,1260,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
74,"",5,0,1800,0,0,0,0,0,1060,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
75,"",7,0,0,1190,1940,0,0,1710,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
76,"",5,0,1630,0,0,0,0,0,980,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
77,"",3,0,820,0,0,0,0,540,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
78,"",3,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
79,"",5,0,0,0,980,1020,0,980,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
80,"",7,0,0,0,1150,0,0,0,2100,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
81,"",1,0,0,400,0,0,270,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
82,"",5,0,0,0,0,0,1050,0,1020,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
83,"",7,0,0,1160,0,0,0,0,1750,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
84,"",5,0,0,0,900,0,900,0,1100,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
85,"",5,0,1650,0,0,0,950,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
86,"",7,0,0,0,0,1730,1800,0,2060,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
87,"",3,0,0,730,0,0,540,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
88,"",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",27,"",3,135,"",11
90,"",1,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
91,"",3,0,0,0,500,0,0,590,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
92,"",3,0,820,0,0,0,0,540,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
93,"",3,0,0,640,0,0,0,0,430,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
94,"",7,0,2300,0,2360,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
95,"",7,0,2470,0,0,0,0,0,1790,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
96,"",1,0,0,600,0,0,360,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
97,"",1,0,0,0,230,0,350,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
98,"",7,0,2010,0,0,1740,0,1870,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
100,"",3,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
101,"",5,0,0,910,0,0,1270,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
102,"",3,0,820,380,530,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
103,"",1,0,0,0,150,160,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
104,"",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",677,"",2,678,"",11
105,"",8,0,0,0,2810,0,3170,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
106,"",8,0,4450,0,3980,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
107,"",5,0,1290,0,0,0,770,0,830,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
111,"",1,0,500,0,0,200,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
112,"",1,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
113,"",3,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
114,"",1,0,0,0,280,0,0,0,170,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
115,"",3,0,0,0,700,0,0,540,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
116,"",5,0,0,0,1020,0,0,890,1060,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
117,"",7,0,0,0,0,0,1800,1750,1640,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
118,"",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",49,"",3,117,"",10
126,"",7,0,0,0,1800,0,0,2240,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
127,"",7,0,0,0,1640,1790,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
128,"",7,0,2500,0,1490,0,0,0,1620,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
129,"",5,0,0,820,0,0,930,940,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
130,"",3,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
132,"",5,0,0,900,0,0,1040,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
133,"",5,0,1680,0,0,0,1200,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
134,"",5,0,1730,0,0,1060,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
135,"",7,0,0,1700,960,0,0,0,1850,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
136,"",1,0,0,0,220,190,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
137,"",3,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
138,"",5,0,1860,0,980,890,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
139,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,902,"",0,"",0,0,"",0
140,"",5,0,1840,0,990,0,0,0,1090,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
141,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,903,"",0,"",0,0,"",0
142,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,904,"",0,"",0,0,"",0
144,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,905,"",0,"",0,0,"",0
145,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,906,"",0,"",0,0,"",0
146,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,907,"",0,"",0,0,"",0
147,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,908,"",0,"",0,0,"",0
148,"",5,0,0,0,0,0,970,910,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
149,"",5,0,1960,0,780,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
150,"",7,0,0,0,1870,0,1430,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
151,"",1,0,0,230,250,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
162,"",3,0,0,1580,0,0,1130,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
163,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
168,"",9,0,0,0,0,0,0,0,0,0,0,46,46,46,46,0,"",0,0,0,0,"",0,"",0,0,"",0
169,"",9,0,4020,0,3200,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
170,"",7,0,0,1100,0,0,1370,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
171,"",7,0,0,0,0,0,3380,2920,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
172,"",7,0,0,1170,0,0,0,2040,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
173,"",7,0,0,0,2220,0,0,1810,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
174,"",7,0,0,960,2220,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
176,"",7,0,2470,0,0,0,0,2190,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
177,"",5,0,1370,1020,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
178,"",7,0,0,0,0,1700,0,1820,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
179,"",7,0,2880,0,1790,0,1510,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
180,"",7,0,2010,0,2220,0,1700,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
181,"",8,0,0,0,3470,0,0,0,2960,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
183,"",9,0,0,470,0,0,0,0,0,0,0,46,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
184,"",9,0,0,0,1100,0,0,0,1090,0,0,46,46,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
185,"",9,0,0,0,3070,0,2980,0,0,0,0,46,0,46,46,0,"",0,0,0,0,"",0,"",0,0,"",0
186,"",9,0,0,0,0,0,2980,2890,0,0,0,46,46,46,0,0,"",0,0,0,0,"",0,"",0,0,"",0
187,"",9,0,0,1820,3070,0,0,0,0,0,0,46,0,46,0,0,"",0,0,0,0,"",0,"",0,0,"",0
188,"",9,0,4620,0,0,0,0,0,2910,0,0,46,0,0,46,0,"",0,0,0,0,"",0,"",0,0,"",0
189,"",7,0,0,1670,0,0,2500,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
190,"",1,0,520,0,250,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
191,"",3,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
192,"",5,0,0,0,900,960,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
193,"",7,0,1850,0,2150,1860,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
194,"",7,0,0,1300,2130,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
195,"",7,0,2200,1380,1600,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
196,"",7,0,2690,0,1790,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
197,"",7,0,2260,0,0,1720,0,2060,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
198,"",5,0,1650,0,0,980,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
199,"",5,0,0,0,1110,0,0,0,1060,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
208,"",1,0,0,0,270,0,0,0,170,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
209,"",3,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
210,"",5,0,1760,0,0,0,0,0,1020,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
211,"",5,0,2120,0,740,870,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
213,"",7,0,0,0,2280,0,0,0,2280,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
214,"",7,0,1920,0,1920,1570,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
215,"",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",213,"",3,214,"",4
217,"",5,0,0,970,900,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
218,"",3,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
219,"",1,0,0,0,0,220,0,140,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
220,"",3,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
222,"",3,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
223,"",5,0,0,620,940,0,0,0,890,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
224,"",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
225,"",7,0,2380,0,1960,0,0,0,1060,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
226,"",5,0,0,530,0,920,0,870,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
227,"",7,0,2460,0,0,0,1360,1820,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
228,"",3,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
229,"",5,0,2030,0,1350,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
230,"",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",385,"",4,229,"",11
231,"",1,0,0,360,0,0,220,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
232,"",5,0,1530,0,0,0,0,1020,910,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
233,"",7,0,2200,0,2140,0,2770,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
234,"",1,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
235,"",3,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
237,"",5,0,0,0,1070,0,1030,940,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
239,"",5,0,0,0,0,1100,0,0,740,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
240,"",3,0,1010,0,0,430,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
241,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
242,"",1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
301,"",5,0,0,0,1050,0,0,940,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
302,"",5,0,1480,0,1300,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
303,"",1,0,0,0,0,170,250,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
304,"",3,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
305,"",5,0,0,620,0,1020,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
306,"",7,0,0,0,0,2280,1570,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
307,"",1,0,0,270,0,0,240,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
308,"",3,0,0,540,0,0,540,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
309,"",5,0,0,0,0,0,1060,0,980,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
310,"",7,0,0,1260,0,0,2350,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
311,"",5,0,1730,0,0,0,0,940,860,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
312,"",7,0,2470,0,0,2010,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
313,"",3,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
314,"",3,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
315,"",7,0,0,1380,0,0,1990,1730,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
316,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
317,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
320,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
321,"",1,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
322,"",1,0,350,0,150,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
325,"",1,0,0,400,0,0,0,0,150,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
326,"",3,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
328,"",8,0,0,0,2660,0,3100,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
338,"",7,0,0,0,0,0,3100,2090,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
341,"",3,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
342,"",5,0,0,0,0,810,0,1040,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
343,"",1,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
344,"",3,0,1120,0,440,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
345,"",5,0,1730,0,930,940,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
346,"",7,0,3180,0,1930,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
347,"",3,0,890,0,0,0,420,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
348,"",1,0,0,0,220,0,220,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
349,"",3,0,840,0,0,410,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
359,"",5,0,0,960,0,0,0,830,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
361,"",1,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
363,"",3,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
364,"",5,0,0,0,740,1060,0,820,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
