int 0,int 1,empty 2,string2 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,int 18,int 19
40,90,"","bv01",0,2,68,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
41,90,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
42,95,"","bs01",0,0,21,1,56,3,0,-1,0,-1,0,-1,0,-1,0,-1
43,96,"","bs01",0,0,19,1,36,0,0,-1,0,-1,0,-1,0,-1,0,-1
44,97,"","bs01",0,0,15,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
45,107,"","bs01",0,0,33,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
46,107,"","bv01",0,0,23,3,51,0,0,-1,0,-1,0,-1,0,-1,0,-1
47,114,"","bs01",0,3,15,1,43,0,0,-1,0,-1,0,-1,0,-1,0,-1
48,114,"","bv01",0,0,45,1,72,2,0,-1,0,-1,0,-1,0,-1,0,-1
49,117,"","bs01",0,0,49,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
50,136,"","bg01",0,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
51,138,"","bs01",0,1,10,0,30,3,0,-1,0,-1,0,-1,0,-1,0,-1
52,138,"","bv01",0,1,20,0,40,3,0,-1,0,-1,0,-1,0,-1,0,-1
53,151,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
54,151,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
55,151,"","bs02",0,0,27,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
56,170,"","bs01",0,3,15,3,65,0,84,3,0,-1,0,-1,0,-1,0,-1
57,170,"","bs02",0,0,35,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
58,170,"","bv01",0,2,35,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
59,178,"","bv01",0,3,43,1,78,0,0,-1,0,-1,0,-1,0,-1,0,-1
60,208,"","bs01",0,0,24,1,57,3,0,-1,0,-1,0,-1,0,-1,0,-1
61,208,"","bv01",0,0,49,2,116,0,0,-1,0,-1,0,-1,0,-1,0,-1
62,213,"","bv01",0,1,30,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
63,222,"","bs01",0,0,25,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
64,226,"","bv01",0,2,90,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
65,231,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
66,232,"","bv01",0,0,57,3,58,2,0,-1,0,-1,0,-1,0,-1,0,-1
67,232,"","bs02",0,0,8,1,25,0,0,-1,0,-1,0,-1,0,-1,0,-1
68,232,"","bs03",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
69,234,"","bv01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
70,241,"","bs01",0,0,27,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
71,302,"","bv01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
72,313,"","bv01",0,1,36,0,58,2,0,-1,0,-1,0,-1,0,-1,0,-1
73,316,"","bs01",0,0,19,1,31,3,0,-1,0,-1,0,-1,0,-1,0,-1
74,316,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
75,321,"","bv01",0,2,20,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
76,322,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
77,344,"","bs01",0,0,24,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
78,348,"","bv01",0,2,29,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
79,359,"","bv01",0,2,63,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
80,373,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
81,374,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
82,377,"","bv01",0,1,10,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
83,378,"","bs01",0,0,40,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
84,378,"","bv01",0,2,60,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
85,380,"","bv01",0,2,33,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
86,387,"","bs01",0,0,14,3,52,0,0,-1,0,-1,0,-1,0,-1,0,-1
87,387,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
88,388,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
89,388,"","bv01",0,2,30,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
90,389,"","bs01",0,3,26,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
91,389,"","bv01",0,2,48,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
92,390,"","bs01",0,0,9,1,86,0,0,-1,0,-1,0,-1,0,-1,0,-1
93,392,"","bs01",0,2,8,1,22,3,0,-1,0,-1,0,-1,0,-1,0,-1
94,392,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
95,394,"","bs01",0,0,6,3,31,0,0,-1,0,-1,0,-1,0,-1,0,-1
96,396,"","bs01",0,0,60,3,80,0,0,-1,0,-1,0,-1,0,-1,0,-1
97,396,"","bv01",0,0,25,2,73,0,0,-1,0,-1,0,-1,0,-1,0,-1
98,399,"","bs01",0,3,7,1,28,3,0,-1,0,-1,0,-1,0,-1,0,-1
99,405,"","bv01",0,0,23,1,47,0,0,-1,0,-1,0,-1,0,-1,0,-1
100,412,"","bs01",0,0,23,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
101,412,"","bv01",0,0,27,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
102,413,"","bs01",0,3,43,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
103,413,"","bv01",0,0,39,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
104,428,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
105,428,"","bv01",0,0,30,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
106,429,"","bv01",0,0,16,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
107,438,"","bs01",0,2,25,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
108,439,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
109,439,"","bs02",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
110,456,"","bs01",0,0,34,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
111,459,"","bs01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
112,466,"","bv01",0,0,40,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
113,491,"","bs01",0,0,50,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
114,510,"","bs01",0,0,9,2,42,0,0,-1,0,-1,0,-1,0,-1,0,-1
115,510,"","bv01",0,0,4,2,23,0,0,-1,0,-1,0,-1,0,-1,0,-1
116,512,"","bs01",0,0,22,3,50,0,0,-1,0,-1,0,-1,0,-1,0,-1
117,512,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
118,514,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
119,515,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
120,574,"","bv01",0,3,38,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
121,584,"","bs01",0,0,30,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
122,600,"","bs01",0,0,84,2,99,3,0,-1,0,-1,0,-1,0,-1,0,-1
123,600,"","bv01",0,0,48,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
124,601,"","bv01",0,0,38,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
125,607,"","bs01",0,0,23,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
126,607,"","bv01",0,0,6,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
127,609,"","bv01",0,2,48,0,88,1,0,-1,0,-1,0,-1,0,-1,0,-1
128,611,"","bv01",0,0,43,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
129,623,"","bs01",0,1,16,0,65,3,0,-1,0,-1,0,-1,0,-1,0,-1
130,623,"","bs02",0,1,16,0,65,3,0,-1,0,-1,0,-1,0,-1,0,-1
131,670,"","bs01",0,1,49,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
132,682,"","bs01",0,1,4,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
133,697,"","bs01",0,0,40,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
134,701,"","bs01",0,3,57,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
135,701,"","bs02",0,0,20,1,35,3,0,-1,0,-1,0,-1,0,-1,0,-1
136,701,"","bv01",0,2,29,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
137,701,"","bv02",0,2,29,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
138,701,"","bv03",0,2,29,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
139,705,"","bs01",0,0,28,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
140,707,"","bs01",0,0,23,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
141,707,"","bv01",0,0,35,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
142,709,"","bs01",0,0,32,2,52,3,0,-1,0,-1,0,-1,0,-1,0,-1
143,709,"","bv01",0,0,16,1,43,0,63,2,0,-1,0,-1,0,-1,0,-1
144,710,"","bs01",0,0,38,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
145,710,"","bv01",0,2,52,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
146,741,"","bs01",0,0,67,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
147,741,"","bs02",0,0,30,1,52,3,0,-1,0,-1,0,-1,0,-1,0,-1
148,743,"","bs02",0,3,37,1,70,3,0,-1,0,-1,0,-1,0,-1,0,-1
149,743,"","bv01",0,0,37,1,70,0,0,-1,0,-1,0,-1,0,-1,0,-1
150,752,"","bv01",0,1,36,0,58,2,0,-1,0,-1,0,-1,0,-1,0,-1
151,770,"","bs01",0,0,25,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
152,770,"","bv01",0,3,58,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
