int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,bool 11,bool 12,int32 13,empty 14,int32 15,int32 16,int32 17,int32 18,string2 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,string2 27
33,,,,33,0,1,57,87,700,140,true,false,80034,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
34,,,,34,0,1,57,88,700,140,true,false,80035,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
35,,,,35,0,1,57,89,700,140,true,false,80036,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
36,,,,36,0,1,57,90,700,140,true,false,80037,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
37,,,,37,0,1,57,91,700,140,true,false,80038,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
38,,,,38,0,1,57,92,4500,900,true,false,80039,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
39,,,,39,0,1,57,93,4500,900,true,false,80040,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
40,,,,40,40,1,59,52,-1,10,false,true,0,,3,5000,-1,-1,"",0,0,0,-1,-1,-1,-1,""
41,,,,41,41,1,59,53,-1,10,false,true,0,,3,10000,-1,-1,"",0,0,0,-1,-1,-1,-1,""
42,,,,42,42,1,59,54,-1,10,false,true,0,,3,25000,-1,-1,"",0,0,0,-1,-1,-1,-1,""
43,,,,43,43,1,59,55,-1,10,false,true,0,,3,50000,-1,-1,"",0,0,0,-1,-1,-1,-1,""
44,,,,44,44,1,59,56,-1,10,false,true,0,,3,100000,-1,-1,"",0,0,0,-1,-1,-1,-1,""
45,,,,45,45,1,60,57,-1,10,false,true,0,,4,300,-1,-1,"",0,0,0,-1,-1,-1,-1,""
46,,,,46,46,1,60,58,-1,10,false,true,0,,4,500,-1,-1,"",0,0,0,-1,-1,-1,-1,""
47,,,,47,47,1,60,59,-1,10,false,true,0,,4,100,-1,-1,"",0,0,0,-1,-1,-1,-1,""
59,,,,59,59,1,62,61,100000,20000,false,true,0,,-1,-1,12,2,"",0,0,0,-1,-1,-1,-1,""
60,,,,60,60,1,62,62,200000,40000,false,true,0,,-1,-1,12,5,"",0,0,0,-1,-1,-1,-1,""
61,,,,61,61,1,62,63,10000,2000,false,true,0,,13,50,-1,-1,"",0,0,0,-1,-1,-1,-1,""
62,,,,62,62,1,62,64,20000,4000,false,true,0,,13,150,-1,-1,"",0,0,0,-1,-1,-1,-1,""
63,,,,63,63,1,62,65,30000,6000,false,true,0,,13,300,-1,-1,"",0,0,0,-1,-1,-1,-1,""
64,,,,64,64,1,62,66,10000,2000,false,true,0,,14,50,-1,-1,"",0,0,0,-1,-1,-1,-1,""
65,,,,65,65,1,62,67,20000,4000,false,true,0,,14,150,-1,-1,"",0,0,0,-1,-1,-1,-1,""
66,,,,66,66,1,62,68,30000,6000,false,true,0,,14,300,-1,-1,"",0,0,0,-1,-1,-1,-1,""
67,,,,67,67,1,62,69,10000,2000,false,true,0,,15,30,-1,-1,"",0,0,0,-1,-1,-1,-1,""
68,,,,68,68,1,62,70,20000,4000,false,true,0,,15,50,-1,-1,"",0,0,0,-1,-1,-1,-1,""
69,,,,69,69,1,62,71,30000,6000,false,true,0,,15,100,-1,-1,"",0,0,0,-1,-1,-1,-1,""
70,,,,70,70,1,62,72,10000,2000,false,true,0,,16,30,-1,-1,"",0,0,0,-1,-1,-1,-1,""
71,,,,71,71,1,62,73,20000,4000,false,true,0,,16,50,-1,-1,"",0,0,0,-1,-1,-1,-1,""
72,,,,72,72,1,62,74,30000,6000,false,true,0,,16,100,-1,-1,"",0,0,0,-1,-1,-1,-1,""
73,,,,73,73,1,62,75,10000,2000,false,true,0,,17,30,-1,-1,"",0,0,0,-1,-1,-1,-1,""
74,,,,74,74,1,62,76,20000,4000,false,true,0,,17,50,-1,-1,"",0,0,0,-1,-1,-1,-1,""
75,,,,75,75,1,62,77,30000,6000,false,true,0,,17,100,-1,-1,"",0,0,0,-1,-1,-1,-1,""
76,,,,76,76,1,62,78,10000,2000,false,true,0,,18,30,-1,-1,"",0,0,0,-1,-1,-1,-1,""
77,,,,77,77,1,62,79,20000,4000,false,true,0,,18,50,-1,-1,"",0,0,0,-1,-1,-1,-1,""
78,,,,78,78,1,62,80,30000,6000,false,true,0,,18,100,-1,-1,"",0,0,0,-1,-1,-1,-1,""
79,,,,79,79,1,62,81,10000,2000,false,true,0,,19,30,-1,-1,"",0,0,0,-1,-1,-1,-1,""
80,,,,80,80,1,62,82,20000,4000,false,true,0,,19,50,-1,-1,"",0,0,0,-1,-1,-1,-1,""
81,,,,81,81,1,62,83,30000,6000,false,true,0,,19,100,-1,-1,"",0,0,0,-1,-1,-1,-1,""
82,,,,82,82,2,63,1,2500,500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
83,,,,83,83,2,63,2,4000,800,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
84,,,,84,84,2,63,3,6500,1300,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
85,,,,85,85,2,63,4,10000,2000,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
86,,,,86,86,2,63,5,17500,3500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
87,,,,87,87,2,63,6,30000,6000,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
88,,,,88,88,2,63,7,50000,10000,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
89,,,,89,89,2,63,8,90000,18000,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
90,,,,90,90,2,63,9,150000,30000,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
91,,,,91,91,2,63,10,250000,50000,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
92,,,,92,0,0,40,14,300,60,true,true,81001,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
93,,,,93,0,0,41,18,900,180,true,true,81002,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
94,,,,94,0,0,42,22,600,120,true,true,81003,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
95,,,,95,0,0,43,26,1200,240,true,true,81004,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
96,,,,96,0,0,55,47,2000,400,true,false,81005,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
101,,,,101,0,0,45,32,150,30,true,false,81006,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
102,,,,102,0,0,47,34,150,30,true,false,81007,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
103,,,,103,0,0,48,36,150,30,true,false,81008,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
104,,,,104,0,0,49,38,150,30,true,false,81009,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
105,,,,105,105,6,30,247,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
106,,,,106,106,6,81,249,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
107,,,,107,107,6,34,253,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
108,,,,108,108,6,35,251,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
109,,,,109,109,6,37,255,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
110,,,,110,110,6,38,257,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
203,,,,203,203,6,30,248,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
210,,,,210,210,6,34,254,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
211,,,,211,211,6,35,252,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
213,,,,213,213,6,37,256,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
222,,,,222,222,6,81,250,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
223,,,,223,223,6,38,258,200,40,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
301,,,,301,301,5,64,215,100,20,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
302,,,,302,302,5,64,216,500,100,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
303,,,,303,303,5,64,217,2500,500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
311,,,,311,311,5,65,218,100,20,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
312,,,,312,312,5,65,219,500,100,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
313,,,,313,313,5,65,220,2500,500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
321,,,,321,321,5,66,221,100,20,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
322,,,,322,322,5,66,222,500,100,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
323,,,,323,323,5,66,223,2500,500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
331,,,,331,331,5,67,224,100,20,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
332,,,,332,332,5,67,225,500,100,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
333,,,,333,333,5,67,226,2500,500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
341,,,,341,341,5,68,227,100,20,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
342,,,,342,342,5,68,228,500,100,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
343,,,,343,343,5,68,229,2500,500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
351,,,,351,351,5,69,230,100,20,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
352,,,,352,352,5,69,231,500,100,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
353,,,,353,353,5,69,232,2500,500,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
354,,,,354,354,5,73,233,50,10,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
361,,,,361,361,5,73,238,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
362,,,,362,362,5,73,239,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
363,,,,363,363,5,73,242,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
364,,,,364,364,5,73,241,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
365,,,,365,365,5,73,243,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
366,,,,366,366,5,73,244,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
367,,,,367,367,5,73,237,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
368,,,,368,368,5,73,240,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
369,,,,369,369,5,73,245,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
370,,,,370,370,5,73,235,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
371,,,,371,371,5,73,236,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
372,,,,372,372,5,73,234,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
373,,,,373,373,5,73,246,100,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
721,,,,721,0,2,73,11,500,-1,true,false,80042,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
723,,,,723,723,4,73,110,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
724,,,,724,724,4,73,111,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
725,,,,725,725,4,73,112,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
726,,,,726,726,4,73,113,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
727,,,,727,727,8,73,374,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
728,,,,728,728,8,73,376,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
729,,,,729,729,8,73,377,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
730,,,,730,730,8,73,378,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
731,,,,731,731,8,73,382,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
732,,,,732,732,2,73,12,300,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
733,,,,733,733,8,73,389,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
734,,,,734,734,8,73,379,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
750,,,,750,750,8,73,375,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
759,,,,759,759,8,73,390,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
762,,,,762,762,8,73,391,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
763,,,,763,763,8,73,392,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
765,,,,765,765,8,73,408,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
766,,,,766,766,8,73,412,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
767,,,,767,767,8,73,393,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
768,,,,768,768,8,73,394,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
769,,,,769,769,8,73,395,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
770,,,,770,770,8,73,396,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
771,,,,771,771,8,73,397,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
773,,,,773,773,8,73,398,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
774,,,,774,774,8,73,399,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
779,,,,779,779,8,73,400,500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
780,,,,780,780,8,73,401,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
781,,,,781,781,8,73,402,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
782,,,,782,782,8,73,403,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
784,,,,784,784,8,73,404,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
789,,,,789,789,8,73,381,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
790,,,,790,790,8,73,380,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
791,,,,791,791,8,73,385,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
792,,,,792,792,8,73,386,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
793,,,,793,793,8,73,384,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
794,,,,794,794,8,73,383,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
795,,,,795,795,8,73,387,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
796,,,,796,796,8,73,388,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
797,,,,797,797,2,73,405,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
798,,,,798,798,2,73,406,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
799,,,,799,799,2,73,407,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
800,,,,800,800,8,73,42,-1,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
801,,,,801,801,7,78,20000,1000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,0,""
802,,,,802,802,7,78,20001,1000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,1,""
803,,,,803,803,7,78,20002,1000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,2,""
804,,,,804,804,7,78,20019,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,3,""
806,,,,806,806,7,78,20005,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,5,""
807,,,,807,807,7,78,20020,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,6,""
808,,,,808,808,7,78,20021,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,7,""
809,,,,809,809,7,78,20022,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,8,""
810,,,,810,810,7,78,20023,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,9,""
811,,,,811,811,7,78,20024,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,10,""
812,,,,812,812,7,78,20025,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,11,""
813,,,,813,813,7,78,20026,3000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,12,""
814,,,,814,814,7,78,20009,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,13,""
815,,,,815,815,7,78,20010,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,14,""
816,,,,816,816,7,78,20011,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,15,""
817,,,,817,817,7,78,20012,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,16,""
818,,,,818,818,7,78,20013,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,17,""
819,,,,819,819,7,78,20014,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,18,""
820,,,,820,820,7,78,20015,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,19,""
821,,,,821,821,7,78,20016,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,20,""
822,,,,822,822,7,78,20017,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,21,""
823,,,,823,823,7,78,20018,1500,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,22,""
825,,,,825,825,7,78,20006,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,24,""
826,,,,826,826,7,78,20007,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,25,""
827,,,,827,827,7,78,20008,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,26,""
828,,,,828,828,7,78,20027,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,27,""
829,,,,829,829,7,78,20028,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,28,""
830,,,,830,830,7,78,20029,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,29,""
831,,,,831,831,7,78,20030,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,30,""
832,,,,832,832,7,78,20031,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,31,""
833,,,,833,833,7,78,20032,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,32,""
834,,,,834,834,7,78,20033,1000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,33,""
835,,,,835,835,7,78,20034,5000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,34,""
901,,,,901,901,1,72,94,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
902,,,,902,902,1,72,95,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
903,,,,903,903,1,72,96,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
904,,,,904,904,1,72,97,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
905,,,,905,905,1,72,98,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
906,,,,906,906,1,72,99,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
907,,,,907,907,1,72,100,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
908,,,,908,908,1,72,101,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
909,,,,909,909,1,72,103,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
910,,,,910,910,1,72,104,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
911,,,,911,911,1,72,102,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
912,,,,912,912,1,72,105,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
913,,,,913,913,1,72,106,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
914,,,,914,914,1,72,107,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
915,,,,915,915,1,72,108,10000,-1,false,false,0,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
