int 0,empty 1,int 2,empty 3,int 4,int 5,int 6,string3 7
213010011,"",2,"",1,3,1,"0"
214010010,"",4,"",1,1,1,"1"
214010020,"",10,"",1,1,1,"1"
214020010,"",341,"",1,5,7,"0"
214020011,"",342,"",1,5,6,"0"
214020012,"",301,"",1,5,7,"0"
214020013,"",302,"",1,5,6,"0"
214020014,"",31,"",1,2,2,"0"
214020015,"",7,"",1,1,1,"0"
214030010,"",341,"",1,5,10,"0"
214030011,"",342,"",1,5,10,"0"
214030012,"",301,"",1,5,10,"0"
214030013,"",302,"",1,5,10,"0"
214030014,"",15,"",1,2,3,"0"
214030020,"",70,"",1,1,1,"1"
214050010,"",301,"",1,5,4,"0"
214050011,"",19,"",1,2,2,"0"
214050020,"",7,"",1,1,1,"1"
214060010,"",341,"",1,5,12,"0"
214060011,"",15,"",1,2,5,"0"
214060012,"",30,"",1,2,4,"0"
214060020,"",79,"",1,1,1,"1"
303010010,"",341,"",1,3,7,"0"
303010011,"",341,"",1,5,4,"0"
303010012,"",342,"",1,2,6,"0"
303010013,"",342,"",1,4,2,"0"
303010014,"",343,"",1,1,2,"0"
303010015,"",343,"",1,2,1,"0"
303010020,"",301,"",1,3,7,"0"
303010021,"",301,"",1,5,4,"0"
303010022,"",302,"",1,2,6,"0"
303010023,"",302,"",1,4,2,"0"
303010024,"",303,"",1,1,2,"0"
303010025,"",303,"",1,2,1,"0"
303010030,"",351,"",1,3,7,"0"
303010031,"",351,"",1,5,4,"0"
303010032,"",352,"",1,2,6,"0"
303010033,"",352,"",1,4,2,"0"
303010034,"",353,"",1,1,2,"0"
303010035,"",353,"",1,2,1,"0"
303010040,"",82,"",1,1,9,"0"
303010041,"",83,"",1,1,1,"0"
303020010,"",311,"",1,3,7,"0"
303020011,"",311,"",1,5,4,"0"
303020012,"",312,"",1,2,6,"0"
303020013,"",312,"",1,4,2,"0"
303020014,"",313,"",1,1,2,"0"
303020015,"",313,"",1,2,1,"0"
303020020,"",321,"",1,3,7,"0"
303020021,"",321,"",1,5,4,"0"
303020022,"",322,"",1,2,6,"0"
303020023,"",322,"",1,4,2,"0"
303020024,"",323,"",1,1,2,"0"
303020025,"",323,"",1,2,1,"0"
303020030,"",331,"",1,3,7,"0"
303020031,"",331,"",1,5,4,"0"
303020032,"",332,"",1,2,6,"0"
303020033,"",332,"",1,4,2,"0"
303020034,"",333,"",1,1,2,"0"
303020035,"",333,"",1,2,1,"0"
303020040,"",84,"",1,1,9,"0"
303020041,"",85,"",1,1,1,"0"
303030010,"",341,"",1,3,7,"0"
303030011,"",341,"",1,5,4,"0"
303030012,"",342,"",1,2,6,"0"
303030013,"",342,"",1,4,2,"0"
303030014,"",343,"",1,1,2,"0"
303030015,"",343,"",1,2,1,"0"
303030020,"",321,"",1,3,7,"0"
303030021,"",321,"",1,5,4,"0"
303030022,"",322,"",1,2,6,"0"
303030023,"",322,"",1,4,2,"0"
303030024,"",323,"",1,1,2,"0"
303030025,"",323,"",1,2,1,"0"
303030030,"",351,"",1,3,7,"0"
303030031,"",351,"",1,5,4,"0"
303030032,"",352,"",1,2,6,"0"
303030033,"",352,"",1,4,2,"0"
303030034,"",353,"",1,1,2,"0"
303030035,"",353,"",1,2,1,"0"
303030040,"",86,"",1,1,9,"0"
303030041,"",87,"",1,1,1,"0"
303040010,"",311,"",1,3,7,"0"
303040011,"",311,"",1,5,4,"0"
303040012,"",312,"",1,2,6,"0"
303040013,"",312,"",1,4,2,"0"
303040014,"",313,"",1,1,2,"0"
303040015,"",313,"",1,2,1,"0"
303040020,"",301,"",1,3,7,"0"
303040021,"",301,"",1,5,4,"0"
303040022,"",302,"",1,2,6,"0"
303040023,"",302,"",1,4,2,"0"
303040024,"",303,"",1,1,2,"0"
303040025,"",303,"",1,2,1,"0"
303040030,"",331,"",1,3,7,"0"
303040031,"",331,"",1,5,4,"0"
303040032,"",332,"",1,2,6,"0"
303040033,"",332,"",1,4,2,"0"
303040034,"",333,"",1,1,2,"0"
303040035,"",333,"",1,2,1,"0"
303040040,"",88,"",1,1,9,"0"
303040041,"",89,"",1,1,1,"0"
304150010,"",61,"",1,1,3,"0"
304150011,"",64,"",1,1,3,"0"
304150012,"",67,"",1,1,3,"0"
304150013,"",70,"",1,1,3,"0"
304150014,"",73,"",1,1,3,"0"
304150015,"",76,"",1,1,3,"0"
304150016,"",79,"",1,1,3,"0"
304150017,"",62,"",1,1,1,"0"
304150018,"",65,"",1,1,1,"0"
304150019,"",68,"",1,1,1,"0"
304160010,"",61,"",1,1,3,"0"
304160011,"",64,"",1,1,3,"0"
304160012,"",67,"",1,1,3,"0"
304160013,"",70,"",1,1,3,"0"
304160014,"",73,"",1,1,3,"0"
304160015,"",76,"",1,1,3,"0"
304160016,"",79,"",1,1,3,"0"
304160017,"",71,"",1,1,1,"0"
304160018,"",74,"",1,1,1,"0"
304160019,"",77,"",1,1,1,"0"
304170010,"",61,"",1,1,3,"0"
304170011,"",64,"",1,1,3,"0"
304170012,"",67,"",1,1,3,"0"
304170013,"",70,"",1,1,3,"0"
304170014,"",73,"",1,1,3,"0"
304170015,"",76,"",1,1,3,"0"
304170016,"",79,"",1,1,3,"0"
304170017,"",63,"",1,1,1,"0"
304170018,"",66,"",1,1,1,"0"
304170019,"",69,"",1,1,1,"0"
304180010,"",61,"",1,1,3,"0"
304180011,"",64,"",1,1,3,"0"
304180012,"",67,"",1,1,3,"0"
304180013,"",70,"",1,1,3,"0"
304180014,"",73,"",1,1,3,"0"
304180015,"",76,"",1,1,3,"0"
304180016,"",79,"",1,1,3,"0"
304180017,"",72,"",1,1,1,"0"
304180018,"",75,"",1,1,1,"0"
304180019,"",78,"",1,1,1,"0"
409820010,"",341,"",1,2,75,"0"
409820011,"",342,"",1,2,25,"0"
409200010,"",351,"",1,2,75,"0"
409200011,"",352,"",1,2,25,"0"
409210010,"",223,"",1,1,2,"0"
409210011,"",18,"",1,1,1,"0"
