int 0,empty 1,string2 2,string2 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,empty 18,bool 19,bool 20,bool 21,bool 22,bool 23,bool 24,bool 25,bool 26,bool 27,bool 28,bool 29,bool 30,bool 31,bool 32,bool 33,bool 34,bool 35,bool 36,bool 37,bool 38,bool 39,bool 40,bool 41,bool 42,bool 43,bool 44,bool 45,bool 46,bool 47,bool 48,bool 49,bool 50,int 51,bool 52,bool 53,bool 54,bool 55,bool 56,bool 57,bool 58,bool 59,bool 60,int 61,int 62,int 63,int 64,int 65,int 66,int 67,int 68,int 69,int 70,int 71,int 72,empty 73,int 74,int 75,empty 76,int 77,int 78,empty 79,int 80,int 81,empty 82,int 83,int 84,empty 85,int 86,int 87,empty 88,int 89,int 90,empty 91,int 92,int 93,empty 94,int 95,int 96,empty 97,int 98,int 99,empty 100,int 101,int 102,empty 103,int 104,int 105,empty 106,int 107,int 108,empty 109,int 110,int 111,empty 112,int 113,int 114,empty 115,int 116,int 117,empty 118,int 119,int 120,int 121,int 122,float 123,bool 124,bool 125,int 126,empty 127,int 128,int 129,int 130,int 131,int 132,int 133,int 134,int 135
13,"","char_BAKEMON","chr013",4,0,2,3,1,0,0,0,0,0,0,0,1,3,"",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,99,492,555,93,214,565,411,345,10,23951,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30081,"",2,21971,"",15,24561,"",25,0,"",1,2,1,1,0,1,0,20131,"",238,237,232,161,13,-1,0,-1
14,"","char_STARMON","chr014",4,0,1,0,0,0,0,1,0,3,1,3,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,99,772,308,330,277,316,320,255,13,24571,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30111,"",2,24661,"",15,23021,"",25,0,"",1,2,1,1,0,1,0,20141,"",168,185,199,124,14,-1,0,-1
15,"","char_AQUILAMON","chr015",4,0,3,3,1,0,1,3,3,1,3,1,0,0,"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,99,398,346,365,178,175,247,336,7,21062,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27732,"",2,21932,"",15,21111,"",25,0,"",1,2,2,3,0,1,0,20151,"",167,77,68,173,15,-1,0,-1
16,"","char_STRIKEDRAMON","chr016",4,0,0,0,3,1,0,3,0,0,0,0,0,1,"",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,99,811,309,469,185,208,324,267,1,24101,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27531,"",2,26691,"",15,25691,"",25,0,"",1,2,2,3,0,1,0,20161,"",113,108,144,93,16,-1,0,-1
17,"","char_MINOTAURMON","chr017",4,0,2,0,1,0,0,0,0,1,3,0,0,3,"",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,99,769,296,433,397,147,174,172,1,30041,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,25921,"",2,20851,"",15,24252,"",25,0,"",1,2,2,8,0,1,0,20171,"",142,83,43,168,17,-1,0,-1
19,"","char_DORUGORAMON","chr019",6,0,1,1,3,0,1,0,0,0,0,3,0,3,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,99,1829,590,1585,927,315,584,661,1,23491,"",1,20961,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,24211,"",2,20011,"",25,26751,"",35,30012,"",45,3,2,3,0,1,0,20191,"",223,223,225,358,19,-1,0,-1
20,"","char_TYUMON","chr020",3,0,2,0,1,0,0,3,0,0,3,0,1,0,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,99,407,435,158,140,222,171,231,10,31031,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,21762,"",2,29071,"",10,0,"",0,0,"",1,1,1,1,0,1,0,20201,"",230,129,169,69,20,-1,0,-1
21,"","char_WHAMON","chr021",5,0,0,0,0,4,3,0,0,1,0,1,0,0,"",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,99,1990,524,678,473,1004,655,629,4,21941,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27751,"",2,30311,"",20,21711,"",30,27331,"",40,2,2,8,0,1,0,20211,"",66,93,127,220,21,-1,0,-1
23,"","char_DINOBEEMON","chr023",5,0,3,1,3,1,1,3,0,3,1,0,0,3,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,99,1062,433,1229,818,582,401,601,1,24172,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,23851,"",2,21842,"",20,23091,"",30,21181,"",40,2,2,8,0,1,0,20231,"",42,101,53,302,23,-1,0,-1
24,"","char_MARINEANGEMON","chr024",6,0,0,0,0,3,0,1,0,0,0,0,3,1,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,99,1469,1593,187,311,1787,1272,994,4,31012,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,32221,"",2,26101,"",25,23411,"",35,20721,"",45,3,3,2,0,1,0,20241,"",252,221,226,338,24,-1,0,-1
25,"","char_RAPTORDRAMON","chr025",4,0,0,1,0,0,0,0,3,1,0,3,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,99,1015,276,579,199,132,281,196,1,30034,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30153,"",2,30183,"",15,30041,"",25,0,"",1,2,2,3,0,1,0,20251,"",100,86,90,107,25,-1,0,-1
26,"","char_GRADEMON","chr026",5,0,0,3,1,0,0,0,1,3,0,0,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,99,1633,697,810,319,384,488,897,7,20131,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,21863,"",2,23152,"",20,32031,"",30,21031,"",40,2,2,3,0,1,0,20261,"",156,117,24,206,26,-1,0,-1
27,"","char_WARGREYMON","chr027",6,0,0,0,3,1,0,0,0,0,3,0,0,1,"",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,99,1426,732,989,1074,816,708,981,1,27423,"",1,24941,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,20841,"",2,24892,"",25,20472,"",35,21861,"",45,3,2,3,0,1,0,20271,"",241,223,75,312,27,-1,0,-1
28,"","char_BIGMAMEMON","chr028",5,0,1,1,1,0,0,0,3,0,0,3,3,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,99,2915,369,400,1013,640,734,532,13,23751,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27002,"",2,24211,"",20,20271,"",30,23931,"",40,2,1,1,0,1,0,20281,"",99,96,94,252,28,-1,0,-1
30,"","char_SANGLOUPMON","chr030",4,0,2,0,1,0,3,0,0,0,0,0,1,3,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,99,671,423,330,208,219,333,388,1,26701,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,21841,"",2,30122,"",15,21481,"",25,0,"",1,2,2,3,0,1,0,20301,"",106,102,150,153,30,-1,0,-1
31,"","char_MATADRMON","chr031",5,0,2,0,0,0,0,1,0,1,3,0,0,3,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,99,1825,641,721,440,499,1026,1141,7,30183,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,21732,"",2,20411,"",20,26171,"",30,21881,"",40,2,2,3,0,1,0,20311,"",181,33,114,290,31,-1,0,-1
32,"","char_GRANDDRACUMON","chr032",6,0,2,0,0,0,3,0,1,0,0,0,1,3,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,99,1539,1110,1079,599,1174,887,856,4,26991,"",1,23462,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,22131,"",2,24171,"",25,22221,"",35,28441,"",45,3,2,3,0,1,0,20321,"",80,90,155,379,32,-1,0,-1
33,"","char_TRICERAMON","chr033",5,0,1,0,0,0,1,3,0,1,3,0,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,99,940,460,821,903,481,929,373,13,30071,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,20361,"",2,20761,"",20,30323,"",30,27001,"",40,2,2,8,0,1,0,20331,"",65,69,36,246,33,-1,0,-1
34,"","char_LILITHMON","chr034",6,0,2,3,0,0,0,0,0,0,0,1,2,4,"",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,1024,1070,457,398,1858,852,667,10,22252,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30151,"",2,23031,"",25,21742,"",35,20311,"",45,3,3,4,0,1,0,20341,"",143,101,168,414,34,-1,0,-1
35,"","char_BEELZEBUMON","chr035",6,0,2,3,0,1,0,0,0,0,0,0,2,4,"",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,99,2152,588,1010,566,658,751,1093,7,29211,"",1,21771,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30051,"",2,31042,"",25,21732,"",35,25151,"",45,3,2,3,0,1,0,20351,"",96,75,145,401,35,-1,0,-1
36,"","char_BARBAMON","chr036",6,0,2,0,3,1,0,0,0,0,0,0,2,4,"",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,1657,922,312,704,1469,1014,657,4,27381,"",1,27231,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30082,"",2,24261,"",25,27771,"",35,23822,"",45,3,4,5,0,1,0,20361,"",230,76,59,391,36,-1,0,-1
37,"","char_LEVIAMON","chr037",6,0,2,0,0,4,0,0,0,2,0,0,2,4,"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,99,2034,983,936,817,668,573,864,1,20021,"",1,21961,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,22142,"",2,20452,"",25,27772,"",35,30032,"",45,3,2,8,0,1,0,20371,"",197,86,82,413,37,-1,0,-1
38,"","char_DEMON","chr038",6,0,2,0,3,0,1,0,0,0,0,0,2,4,"",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,1429,865,1314,501,910,637,644,4,22271,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,32211,"",2,27221,"",25,21762,"",35,20261,"",45,3,2,3,0,1,0,20381,"",113,57,101,387,38,-1,0,-1
39,"","char_LUCEMON_FM","chr039",5,0,2,1,0,0,0,0,0,0,0,1,3,3,"",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,1201,641,1032,529,1861,851,722,4,27752,"",1,21011,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,21931,"",2,23911,"",20,25841,"",30,27493,"",40,4,2,3,0,1,0,20391,"",221,193,72,296,39,-1,0,-1
40,"","char_BELPHEMON_RM","chr040",7,0,2,0,3,0,1,0,0,0,0,3,2,4,"",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,99,2495,776,2412,1136,506,708,815,1,27431,"",1,27791,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30061,"",2,30013,"",25,20351,"",35,27291,"",45,4,2,8,0,1,0,20401,"",64,56,56,445,40,-1,0,-1
41,"","char_PANDAMON","chr041",5,0,1,0,1,0,0,3,1,0,0,3,0,0,"",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,99,1315,684,610,581,724,770,414,13,21842,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30334,"",2,27394,"",20,31031,"",30,21161,"",40,2,2,3,0,1,0,20411,"",219,221,226,250,41,-1,0,-1
42,"","char_FUNBEEMON","chr042",3,0,2,0,1,0,0,3,3,0,1,0,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,99,384,229,253,176,294,160,342,10,29121,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30062,"",2,20372,"",10,0,"",0,0,"",1,1,3,2,0,1,0,20421,"",252,208,95,73,42,-1,0,-1
43,"","char_BLACKTAILMON","chr043",4,0,2,0,0,0,3,0,0,1,0,0,1,3,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,332,518,224,160,407,228,387,4,32241,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27061,"",2,24061,"",15,27321,"",25,0,"",1,2,3,2,0,1,0,20431,"",68,61,64,166,43,-1,0,-1
44,"","char_CATCHMAMEMON","chr044",5,0,1,1,0,3,3,0,0,1,0,0,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,99,1891,725,454,942,477,757,523,13,22261,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,31012,"",2,23451,"",20,21481,"",30,25971,"",40,2,1,1,0,1,0,20441,"",151,156,151,236,44,-1,0,-1
45,"","char_CHRONOMON","chr045",6,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,99,1434,1442,453,497,996,900,540,4,26171,"",1,22311,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,30304,"",2,30064,"",25,32011,"",35,30223,"",45,3,2,3,0,1,0,20451,"",0,0,0,318,45,-1,0,-1
46,"","char_CHRONOMON_DESTROY","chr046",6,0,2,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,99,1342,1046,1376,722,561,387,979,1,20281,"",1,23171,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,26751,"",2,21863,"",25,27441,"",35,27431,"",45,3,2,3,0,1,0,20461,"",153,56,45,380,46,-1,0,-1
47,"","char_MEGIDRAMON","chr047",6,0,2,0,3,1,1,0,0,0,0,0,0,3,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,99,2963,814,1508,903,610,596,969,1,20192,"",1,32061,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,23721,"",2,20931,"",25,23981,"",35,21371,"",45,3,2,8,0,1,0,20471,"",0,0,0,407,47,-1,0,-1
48,"","char_GODDRAMON","chr048",6,0,0,1,0,0,0,0,0,0,3,0,4,2,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,1688,562,687,1085,983,1062,646,4,27221,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,21951,"",2,30152,"",25,26981,"",35,30203,"",45,3,2,3,0,1,0,20481,"",214,204,93,321,48,-1,0,-1
