int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,float 20,int32 21,string2 22,string2 23,int32 24,int32 25,int32 26,string2 27,int32 28,string2 29,string2 30,string2 31,int32 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49,empty 50
10130,10,,130,30,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,10080,"d1001","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","",,
10140,10,,140,35,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,10090,"d1001","evt_1001",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","",,
20010,20,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20010,"d1001","npc_0010",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","",,
20020,20,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20020,"d1001","gim_0004",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","",,
20030,20,,30,10,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20030,"d1001","gim_0004",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","",,
20040,20,,40,13,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20040,"d1002","evt_1000",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","",,
20050,20,,50,15,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20040,"d1002","gim_9000",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","",,
20060,20,,60,16,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20040,"d1002","gim_9001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20070,20,,70,17,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20040,"d1002","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20080,20,,80,18,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20040,"d1401","",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20090,20,,90,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20050,"d1401","evt_2000",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20100,20,,100,25,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20060,"d1401","gim_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20110,20,,110,60,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20090,"d1403","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20120,20,,120,65,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20095,"d1403","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20130,20,,130,70,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20090,"d1403","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20140,20,,140,72,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20090,"d1403","gim_9000",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20150,20,,150,75,-1,-1,-1,-1,76,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20100,"d1403","gim_9001",-1,0,10,"gim_9001",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20160,20,,160,76,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20100,"d1403","rumor_d1403_piyomon01",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20170,20,,170,80,-1,-1,-1,-1,85,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20110,"d1403","gim_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20180,20,,180,85,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20120,"d1405","evt_0003",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20190,20,,190,90,-1,-1,-1,-1,95,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20120,"d1405","evt_9008",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20200,20,,200,95,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20120,"d1405","fa_0005",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20210,20,,210,100,-1,-1,-1,-1,102,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20120,"d1406","evt_0003",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20220,20,,220,102,-1,-1,-1,-1,105,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20120,"d1406","evt_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
20230,20,,230,105,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,20120,"d1407","evt_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","",,
30010,30,,10,1,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,30010,"d0802","black_shadow",-1,0,0,"",0,"","","",-1,"A2020_dbef_30","","","","","","","","","","","","","","","",,
40010,40,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,40010,"t0302","",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","",,
40020,40,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,40020,"t0303","father02",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","",,
40030,40,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,40030,"t0303","gim_0001",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","",,
40040,40,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,40040,"t0303","father01",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","",,
40050,40,,50,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,40050,"d1102","",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","",,
40060,40,,60,25,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,40060,"d1102","",-1,0,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","",,
50010,50,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50010,"t0403","npc_0020",-1,0,0,"",0,"404","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50020,50,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50020,"t0402","npc_0001",-1,1,0,"",0,"401","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50030,50,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50030,"t0104","gim_9000",-1,1,0,"",0,"152","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50040,50,,40,15,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50040,"t0108","evt_2000",-1,1,0,"",0,"153","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50050,50,,50,16,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50060,"t0302","gim_9003",-1,1,0,"",0,"302","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50060,50,,60,18,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50070,"t0109","gim_8000",-1,0,15,"gim_8000",0,"103","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50070,50,,70,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50080,"t3001","farm_0001",-1,1,0,"",0,"155","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50080,50,,80,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50090,"t0109","",-1,1,0,"",0,"404","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50090,50,,90,30,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50100,"t0404","gim_0001",-1,1,0,"",0,"401","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50100,50,,100,35,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50110,"t0404","gim_0005",-1,1,0,"",0,"401","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
50110,50,,110,40,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,50120,"t0404","gim_0001",-1,1,0,"",0,"401","","",-1,"A2020_dbef_50","A2020_dbef_51","","","","","","","","","","","","","","",,
60010,60,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60010,"t0403","gim_9005",-1,0,0,"",0,"404","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60020,60,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60020,"t0403","npc_0402",-1,1,0,"",0,"404","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60030,60,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60030,"t0109","hiroko",-1,1,0,"",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60040,60,,40,15,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60040,"d1101","npc_elecmon",-1,1,0,"",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60050,60,,50,16,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60040,"d1101","obj_0011",-1,0,10,"obj_0011",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60060,60,,60,17,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60040,"d1101","npc_elecmon",-1,1,0,"",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60070,60,,70,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60050,"d1101","gim_0001",-1,1,0,"",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60080,60,,80,25,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60060,"d1101","npc_elecmon",-1,1,0,"",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60090,60,,90,27,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60060,"d1103","gim_8000",-1,0,15,"gim_8000",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60100,60,,100,30,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60070,"d1103","gim_8001",-1,0,11,"gim_8001",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
60110,60,,110,35,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60080,"d1103","elecmon_003",-1,1,0,"",0,"155","","",-1,"A2020_dbef_60","A2020_dbef_61","","","","","","","","","","","","","","",,
70010,70,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,70010,"t0403","gim_9006",-1,1,0,"",0,"404","","",-1,"A2020_dbef_70","A2020_dbef_71","","","","","","","","","","","","","","",,
70020,70,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,70020,"t0302","evt_7000",-1,1,0,"",0,"302","","",-1,"A2020_dbef_70","A2020_dbef_71","","","","","","","","","","","","","","",,
70030,70,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,70030,"t0303","gim_9002",-1,1,0,"",0,"302","","",-1,"A2020_dbef_70","A2020_dbef_71","","","","","","","","","","","","","","",,
70040,70,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,70040,"t0404","gim_0001",-1,1,0,"",0,"401","","",-1,"A2020_dbef_70","A2020_dbef_71","","","","","","","","","","","","","","",,
80010,80,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80010,"t0403","gim_9007",-1,1,0,"",0,"404","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80020,80,,20,5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80020,"t0302","npc_mother",-1,0,0,"",0,"302","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80030,80,,30,6,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80030,"t0302","gim_9002",-1,0,7,"gim_9002",0,"302","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80040,80,,40,10,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80040,"t0303","gim_9001",-1,0,8,"gim_9001",0,"302","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80050,80,,50,11,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80040,"t0303","gim_9001",-1,0,8,"gim_9001",0,"302","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80060,80,,60,12,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80050,"t0303","gim_9001",-1,0,8,"gim_9001",0,"302","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80070,80,,70,15,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80060,"d1102","obj_1001",-1,1,0,"",0,"302","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80080,80,,80,16,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80063,"d1102","obj_1002",-1,1,0,"",0,"301","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80090,80,,90,18,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80063,"d1102","obj_1003",-1,0,8,"gim_9003",0,"301","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80100,80,,100,19,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80063,"d1102","gim_9004",-1,0,8,"gim_9004",0,"301","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80110,80,,110,20,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80070,"h0201","sp_0001",-1,1,0,"",0,"301","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80120,80,,120,21,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80070,"h0201","boss",-1,1,0,"",0,"301","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80130,80,,130,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80090,"t0403","npc_0030",-1,1,0,"",0,"404","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
80140,80,,140,30,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,80100,"t0408","",-1,1,0,"",0,"401","","",-1,"A2020_dbef_80","A2020_dbef_82","","","","","","","","","","","","","","",,
90010,90,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90010,"t0403","gim_9008",-1,0,0,"",0,"404","","",-1,"A2020_dbef_90","A2020_dbef_91","","","","","","","","","","","","","","",,
90020,90,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90020,"t0103","npc_0001",-1,1,0,"",0,"103","","",-1,"A2020_dbef_90","A2020_dbef_91","","","","","","","","","","","","","","",,
90030,90,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90025,"t0103","npc_0001",-1,1,0,"",0,"103","","",-1,"A2020_dbef_90","A2020_dbef_91","","","","","","","","","","","","","","",,
90040,90,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90025,"t0103","npc_0002",-1,1,0,"",0,"103","","",-1,"A2020_dbef_90","A2020_dbef_91","","","","","","","","","","","","","","",,
90050,90,,50,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90025,"t0103","npc_0003",-1,1,0,"",0,"103","","",-1,"A2020_dbef_90","A2020_dbef_91","","","","","","","","","","","","","","",,
90060,90,,60,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90025,"t0103","gim_9000",-1,1,0,"",0,"103","","",-1,"A2020_dbef_90","A2020_dbef_91","","","","","","","","","","","","","","",,
90070,90,,70,30,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90030,"t0403","evt_1003",-1,1,0,"",0,"401","","",-1,"A2020_dbef_90","A2020_dbef_91","","","","","","","","","","","","","","",,
100010,100,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100010,"t0403","evt_0003",-1,1,0,"",0,"404","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100020,100,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100020,"t0302","npc_0316",-1,1,0,"",0,"302","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100030,100,,30,10,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100025,"t0110","map_0001",-1,1,0,"",0,"151","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100040,100,,40,13,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100030,"t0201","",-1,0,0,"",0,"201","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100041,100,,41,13,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100031,"t0201","",-1,0,0,"",0,"201","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100050,100,,50,14,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100035,"t0203","gim_9001",-1,0,10,"gim_9001",0,"201","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100060,100,,60,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100040,"t0105","npc_0001",-1,1,0,"",0,"101","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100070,100,,70,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100050,"d1001","evt_1013",-1,1,0,"",0,"101","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100080,100,,80,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100060,"h0301","evt_9500",-1,1,0,"",0,"101","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100090,100,,90,30,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100070,"h0301","",-1,1,0,"",0,"101","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100100,100,,100,35,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100080,"h0301","evt_9500",-1,1,0,"",0,"101","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
100110,100,,110,40,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100090,"t0302","npc_0317",-1,1,0,"",0,"302","","",-1,"A2020_dbef_100","A2020_dbef_101","","","","","","","","","","","","","","",,
110010,110,,10,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110010,"t0404","gim_0001",-1,1,0,"",0,"404","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
110020,110,,20,3,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110020,"t0403","",-1,1,0,"",0,"404","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
110030,110,,30,5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110030,"t0105","evt_4000",-1,0,0,"",0,"101","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
110040,110,,40,6,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110030,"t0105","evt_4001",-1,0,0,"",0,"101","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
110050,110,,50,7,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110030,"t0105","evt_4002",-1,1,0,"",0,"101","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
110060,110,,60,10,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110040,"d1103","evt_5000",-1,1,0,"",0,"101","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
110070,110,,70,11,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110040,"d1103","evt_5001",-1,1,0,"",0,"101","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
110080,110,,80,12,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,110040,"d1103","evt_5002",-1,1,0,"",0,"101","","",-1,"A2020_dbef_110","A2020_dbef_111","","","","","","","","","","","","","","",,
