string2 0,int32 1,empty 2,empty 3,empty 4,empty 5,empty 6,empty 7,empty 8,empty 9,empty 10,empty 11,empty 12,empty 13,empty 14,empty 15,empty 16,empty 17,empty 18,empty 19,empty 20,int8 21,int8 22,int8 23,int8 24,int8 25,int8 26
"aigiog_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"aigiog_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"aigiod_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"aigiod_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"aigiod_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"aigiod_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"aigiod_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"aigioh_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"aigioh_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"aigioh_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"aigioh_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"aigioh_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"Seire_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Seire_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"Seire_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"Seire_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"Seire_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"loco_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"loco_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"loco_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"loco_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"loco_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"yupi_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"yupi_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"yupi_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"yupi_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"yupi_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"yupira_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"yupira_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"yupira_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"yupira_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"yupira_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"mars_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"mars_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"mars_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"mars_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"mars_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"mel_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"mel_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"mel_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"mel_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"mel_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"nep_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"nep_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"nep_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"nep_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"nep_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"mine_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"mine_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"mine_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"mine_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"mine_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"meruv_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"meruv_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"meruv_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"meruv_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"meruv_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"apollo_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"apollo_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"apollo_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"apollo_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"apollo_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"diana_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"diana_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"diana_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"diana_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"diana_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"vulca_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"vulca_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"vulca_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"vulca_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"vulca_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"venus_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"venus_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"venus_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"venus_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"venus_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"bacc_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"bacc_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"bacc_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"bacc_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"bacc_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"yuno_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"yuno_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"yuno_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"yuno_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"yuno_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"yunoh_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"yunoh_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"yunoh_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"yunoh_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"yunoh_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"cere_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"cere_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"cere_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"cere_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"cere_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"cerem_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"cerem_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"cerem_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"cerem_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"cerem_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"pluto_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"pluto_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"pluto_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"pluto_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"pluto_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"zplu_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"zplu_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"zplu_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"zplu_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"zplu_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"gnov_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"gnov_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"gnov_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"gnov_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"gnov_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"gloco_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"gloco_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"gloco_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"gloco_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"gloco_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"omega_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"omega_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"omega_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"omega_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"omega_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"gob_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"gob_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"gob_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"gob_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"gob_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"oga_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"oga_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"oga_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"oga_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"oga_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"fuga_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"fuga_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"fuga_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"fuga_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"fuga_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"hyoga_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"hyoga_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"hyoga_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"hyoga_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"hyoga_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"gray_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"gray_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"gray_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"gray_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"gray_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"tita_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"tita_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"tita_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"tita_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"tita_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"chro_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"chro_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"chro_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"chro_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"chro_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"chdes_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"chdes_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"chdes_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"chdes_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"chdes_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"puka_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"puka_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"puka_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"puka_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"puka_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"otama_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"otama_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"otama_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"otama_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"otama_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"syako_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"syako_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"syako_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"syako_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"syako_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"goma_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"goma_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"goma_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"goma_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"goma_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"gani_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"gani_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"gani_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"gani_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"gani_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"kame_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"kame_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"kame_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"kame_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"kame_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"seado_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"seado_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"seado_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"seado_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"seado_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"octa_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"octa_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"octa_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"octa_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"octa_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"gawa_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"gawa_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"gawa_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"gawa_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"gawa_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"hoe_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"hoe_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"hoe_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"hoe_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"hoe_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"megas_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"megas_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"megas_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"megas_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"megas_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"warus_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"warus_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"warus_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"warus_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"warus_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"dago_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"dago_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"dago_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"dago_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"dago_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"shaw_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"shaw_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"shaw_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"shaw_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"shaw_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"metals_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"metals_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"metals_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"metals_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"metals_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"presi_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"presi_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"presi_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"presi_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"presi_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"mari_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"mari_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"mari_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"mari_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"mari_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"jagame_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"jagame_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"jagame_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"jagame_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"jagame_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"bab_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"bab_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"bab_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"bab_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"bab_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"pyoko_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"pyoko_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"pyoko_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"pyoko_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"pyoko_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"mochi_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"mochi_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"mochi_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"mochi_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"mochi_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"tane_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"tane_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"tane_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"tane_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"tane_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"piyo_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"piyo_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"piyo_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"piyo_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"piyo_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"tent_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"tent_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"tent_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"tent_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"tent_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"fanbi_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"fanbi_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"fanbi_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"fanbi_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"fanbi_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"flo_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"flo_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"flo_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"flo_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"flo_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"mash_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"mash_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"mash_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
