int 0,string2 1,empty 2,int 3,int 4,int 5,empty 6,string2 7,bool 8,string2 9,empty 10,string2 11,string2 12,empty 13,string2 14,string2 15,empty 16,string2 17,string2 18,empty 19,string2 20,string2 21,empty 22,string2 23,string2 24,empty 25,string2 26,string2 27,empty 28,string2 29,string2 30,empty 31,string2 32,string2 33,empty 34,string2 35,string2 36,empty 37,string2 38,string2 39,empty 40,empty 41,empty 42
1020,"tutorial_title_ActionOrder_01","",0,12020,4520,"","",1,"tutorial_exp_ActionOrder_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1021,"tutorial_title_WeakPointAttack_01","",0,11060,4521,"","",1,"tutorial_exp_WeakPointAttack_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1022,"tutorial_title_SpecialSkills_01","",0,12060,4522,"","",1,"tutorial_exp_SpecialSkills_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1023,"tutorial_title_FusionSkills_01","",0,12070,4523,"","",1,"tutorial_exp_FusionSkills_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1024,"tutorial_title_SurpriseAttack_01","",2,31060,4524,"","",1,"tutorial_exp_SurpriseAttack_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1025,"tutorial_title_BattleCommand_01","",0,13020,4525,"","",1,"tutorial_exp_BattleCommand_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1026,"tutorial_title_BattleCommand_02","",0,13030,4526,"","",1,"tutorial_exp_BattleCommand_02_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1027,"tutorial_title_BattleCommand_03","",0,13050,4527,"","",1,"tutorial_exp_BattleCommand_03_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1028,"tutorial_title_BattleCommand_04","",0,13060,4528,"","",1,"tutorial_exp_BattleCommand_04_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1029,"tutorial_title_BattleCommand_05","",0,13090,4529,"","",1,"tutorial_exp_BattleCommand_05_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030,"tutorial_title_SkillDisc_01","",0,12040,4530,"","",1,"tutorial_exp_SkillDisc_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1031,"tutorial_title_BuffDebuff_01","",0,12210,4531,"","",1,"tutorial_exp_BuffDebuff_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1032,"tutorial_title_AbnormalStatus_01","",0,12220,4532,"","",1,"tutorial_exp_AbnormalStatus_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1033,"tutorial_title_AbnormalStatus_02","",0,12150,4533,"","",1,"tutorial_exp_AbnormalStatus_02_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1034,"tutorial_title_AbnormalStatus_03","",0,12160,4534,"","",1,"tutorial_exp_AbnormalStatus_03_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1035,"tutorial_title_AbnormalStatus_04","",0,12170,4535,"","",1,"tutorial_exp_AbnormalStatus_04_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1036,"tutorial_title_AbnormalStatus_05","",0,12180,4536,"","",1,"tutorial_exp_AbnormalStatus_05_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1037,"tutorial_title_AbnormalStatus_06","",0,12190,4537,"","",1,"tutorial_exp_AbnormalStatus_06_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1038,"tutorial_title_RushOut_01","",0,13110,4538,"","",1,"tutorial_exp_RushOut_01_001","","","tutorial_exp_RushOut_01_002","","tutorial_exp_RushOut_01_002","tutorial_exp_RushOut_01_003","","tutorial_exp_RushOut_01_003","tutorial_exp_RushOut_01_004","","tutorial_exp_RushOut_01_004","tutorial_exp_RushOut_01_005","","tutorial_exp_RushOut_01_005","","","","","","","","","","","","","","","","","","",""
1039,"tutorial_title_AbnormalStatus_07","",0,12175,4539,"","",1,"tutorial_exp_AbnormalStatus_07_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1040,"tutorial_title_AbnormalStatus_08","",0,12225,4540,"","",1,"tutorial_exp_AbnormalStatus_08_001","","","tutorial_exp_AbnormalStatus_08_002","","","tutorial_exp_AbnormalStatus_08_003","","","tutorial_exp_AbnormalStatus_08_004","","","tutorial_exp_AbnormalStatus_08_005","","","","","","","","","","","","","","","","","","","","",""
1041,"tutorial_title_AbnormalStatus_09","",0,12145,4541,"","",1,"tutorial_exp_AbnormalStatus_09_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2002,"tutorial_title_Status_01","",0,12030,4602,"","",1,"tutorial_exp_Status_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2003,"tutorial_title_Convert_01","",1,22010,4603,"","",1,"tutorial_exp_Convert_01_001","","tutorial_exp_Convert_01_001","tutorial_exp_Convert_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2004,"tutorial_title_Change_01","",0,13010,4604,"","",1,"tutorial_exp_Change_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2005,"tutorial_title_Evolution_01","",1,22020,4605,"","",1,"tutorial_exp_Evolution_01_001","","tutorial_exp_Evolution_01_001","tutorial_exp_Evolution_01_002","","","tutorial_exp_Evolution_01_003","","tutorial_exp_Evolution_01_003","tutorial_exp_Evolution_01_004","","","tutorial_exp_Evolution_01_005","","","","","","","","","","","","","","","","","","","","",""
2006,"tutorial_title_SkillChange_01","",0,12050,4606,"","",1,"tutorial_exp_SkillChange_01_001","","","tutorial_exp_SkillChange_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2007,"tutorial_title_EquipmentChange_01","",0,12080,4607,"","",1,"tutorial_exp_EquipmentChange_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2008,"tutorial_title_Personality_01","",1,21010,4608,"","",1,"tutorial_exp_Personality_01_001","","","tutorial_exp_Personality_01_002","","","tutorial_exp_Personality_01_003","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2009,"tutorial_title_PersonalitySkill_01","",1,21030,4609,"","",1,"tutorial_exp_PersonalitySkill_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2010,"tutorial_title_PersonalityChange_01","",1,21020,4610,"","",1,"tutorial_exp_PersonalityChange_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2011,"tutorial_title_PersonalitySkillChange_01","",1,21040,4611,"","",1,"tutorial_exp_PersonalitySkillChange_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2012,"tutorial_title_DataReturn_01","",1,23020,4612,"","",1,"tutorial_exp_DataReturn_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2013,"tutorial_title_Synthetic_01","",1,23010,4613,"","",1,"tutorial_exp_Synthetic_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2016,"tutorial_title_Friendship_01","",1,22045,4616,"","",1,"tutorial_exp_Friendship_01_001","","","tutorial_exp_Friendship_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2017,"tutorial_title_Talent_01","",1,22030,4617,"","",1,"tutorial_exp_Talent_01_001","","","tutorial_exp_Talent_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2018,"tutorial_title_BondsPoint_01","",1,22050,4618,"","",1,"tutorial_exp_BondsPoint_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2019,"tutorial_title_BondsSkill_01","",1,22060,4619,"","",1,"tutorial_exp_BondsSkill_01_001","","tutorial_exp_BondsSkill_01_001","tutorial_exp_BondsSkill_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2020,"tutorial_title_CrossArtsChange_01","",0,12100,4620,"","",1,"tutorial_exp_CrossArtsChange_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2021,"tutorial_title_AgentLevel_01","",1,22070,4621,"","",1,"tutorial_exp_AgentLevel_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2023,"tutorial_title_Status_02","",0,12010,4623,"","",1,"tutorial_exp_Status_02_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2024,"tutorial_title_Status_03","",0,11010,4624,"","",1,"tutorial_exp_Status_03_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2025,"tutorial_title_Status_04","",0,11020,4625,"","",1,"tutorial_exp_Status_04_001","","tutorial_exp_Status_04_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2028,"tutorial_title_Accumulation_01","",1,22040,4628,"","",1,"tutorial_exp_Accumulation_01_001","","","tutorial_exp_Accumulation_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3001,"tutorial_title_Encounter_01","",2,31050,4701,"","",1,"tutorial_exp_Encounter_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3002,"tutorial_title_FieldAttack_01","",2,31030,4702,"","",1,"tutorial_exp_FieldAttack_01_001","","tutorial_exp_FieldAttack_01_001","tutorial_exp_FieldAttack_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3003,"tutorial_title_FieldAttack_02","",2,31040,4703,"","",1,"tutorial_exp_FieldAttack_02_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3006,"tutorial_title_Treasurechest_01","",2,32040,4706,"","",0,"tutorial_exp_Treasurechest_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3010,"tutorial_title_DigimonRide_01","",2,32010,4710,"","",1,"tutorial_exp_DigimonRide_01_001","","","tutorial_exp_DigimonRide_01_002","","tutorial_exp_DigimonRide_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3012,"tutorial_title_OutoRecovery_01","",2,31070,4712,"","",1,"tutorial_exp_OutoRecovery_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3013,"tutorial_title_FieldAnalysis_01","",2,31020,4713,"","",1,"tutorial_exp_FieldAnalysis_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3015,"tutorial_title_Destination_01","",2,31010,4715,"","",0,"tutorial_exp_Destination_01_001","","tutorial_exp_Destination_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3024,"tutorial_title_PictureBook_01","",2,33050,4724,"","",1,"tutorial_exp_PictureBook_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3025,"tutorial_title_MeinQuest_01","",2,32050,4725,"","",0,"tutorial_exp_MeinQuest_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3029,"tutorial_title_Digitter_01","",2,31080,4729,"","",0,"tutorial_exp_Digitter_01_001","","tutorial_exp_Digitter_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3034,"tutorial_title_Items_01","",2,32030,4734,"","",1,"tutorial_exp_Items_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5001,"tutorial_title_WorldView_001","",3,41030,4901,"","",0,"tutorial_exp_WorldView_001_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5002,"tutorial_title_WorldView_002","",3,41010,4902,"","",0,"tutorial_exp_WorldView_002_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5003,"tutorial_title_WorldView_003","",3,41040,4903,"","",1,"tutorial_exp_WorldView_003_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5004,"tutorial_title_WorldView_004","",3,41050,4904,"","",0,"tutorial_exp_WorldView_004_001","","","tutorial_exp_WorldView_004_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5005,"tutorial_title_WorldView_005","",3,41020,4905,"","",0,"tutorial_exp_WorldView_005_001","","","tutorial_exp_WorldView_005_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
