string2 0,string2 1,string2 2,string2 3,float 4,float 5,float 6,float 7,int 8
"chr082_bd03_chr082_damaged","chr082","bd03","chr082_damaged",0,0,-1,1,0
"chr083_bd03_chr083_damaged","chr083","bd03","chr083_damaged",0,0,-1,1,0
"chr010_bd03_chr010_damaged","chr010","bd03","chr010_damaged",0,0,-1,1,0
"chr424_bd03_chr424_damaged","chr424","bd03","chr424_damaged",0,0,-1,1,0
"chr307_bd03_chr307_damaged","chr307","bd03","chr307_damaged",0,0,-1,1,0
"chr918_bn01_chr918_stop","chr918","bn01","chr918_stop",0,0,-1,1,0
"chr609_f001_chr609_attack","chr609","f001","chr609_attack",0,0,-1,1,0
"chr609_fe04_chr609_attack01","chr609","fe04","chr609_attack01",30,30,-1,1,0
"chr609_bn01_chr609_pose01","chr609","bn01","chr609_pose01",50,50,-1,1,0
"chr609_fe02_chr609_pose02","chr609","fe02","chr609_pose02",7,7,-1,1,0
"chr609_bd02_chr609_pose03","chr609","bd02","chr609_pose03",1,1,-1,1,0
"chr609_br01_chr609_pose04","chr609","br01","chr609_pose04",10,10,-1,1,0
"chr609_bs01_chr609_pose05","chr609","bs01","chr609_pose05",44,44,-1,1,0
"chr111_bd02_chr111_damaged01","chr111","bd02","chr111_damaged01",6,6,-1,1,0
"chr111_bd03_chr111_damaged","chr111","bd03","chr111_damaged",0,0,-1,1,0
"chr111_bs03_chr111_attack","chr111","bs03","chr111_attack",58.7,58.7,-1,1,0
"chr052_f002_chr052_f002","chr052","f002","chr052_f002",30,30,-1,1,0
"chr052_f004_chr052_f004","chr052","f004","chr052_f004",5,5,-1,1,0
"chr052_ba02_chr052_ba02","chr052","ba02","chr052_ba02",20,20,-1,1,0
"chr398_fe02_chr398_fe02","chr398","fe02","chr398_fe02",40,40,-1,1,0
"chr398_fe04_chr398_fe04","chr398","fe04","chr398_fe04",37,37,-1,1,0
"chr009_fe03_chr009_fe03","chr009","fe03","chr009_fe03",60,60,-1,1,0
"chr241_bn01_chr241_bn01","chr241","bn01","chr241_bn01",10,10,-1,1,0
"chr242_fe02_chr242_fe02","chr242","fe02","chr242_fe02",20,20,-1,1,0
"chr242_bn01_chr242_bn01","chr242","bn01","chr242_bn01",0,0,-1,1,0
"chr595_fe03_chr595_fe03","chr595","fe03","chr595_fe03",50,50,-1,1,0
"chr621_fe02_chr621_fe02","chr621","fe02","chr621_fe02",30,30,-1,1,0
"chr615_bs01_chr615_bs01","chr615","bs01","chr615_bs01",50,50,-1,1,0
"chr615_fe01_chr615_fe01","chr615","fe01","chr615_fe01",15,15,-1,1,0
"chr615_fq01_chr615_fq01","chr615","fq01","chr615_fq01",10,10,-1,1,0
"chr178_b1_bn03_chr178_stop","chr178","b1_bn03","chr178_stop",0,0,-1,1,0
"chr178_bf01_chr178_attack","chr178","bf01","chr178_attack",13,13,-1,1,0
"chr178_e008_chr178_pose","chr178","e008","chr178_pose",60,60,-1,1,0
"chr178_bs02_chr178_kazi","chr178","bs02","chr178_kazi",0,0,-1,1,0
"chr800_bs01_chr800_attack","chr800","bs01","chr800_attack",45,45,-1,1,0
"chr801_fe04_chr801_attack","chr801","fe04","chr801_attack",30,30,-1,1,0
"chr718_bd03_chr718_damaged","chr718","bd03","chr718_damaged",0,0,-1,1,0
"chr220_bd03_chr220_damaged","chr220","bd03","chr220_damaged",0,0,-1,1,0
"chr220_bv01_chr220_sit","chr220","bv01","chr220_sit",60,60,-1,1,0
"chr431_bn02_chr431_stop","chr431","bn02","chr431_stop",0,0,-1,1,0
"chr178_bd03_chr178_damaged","chr178","bd03","chr178_damaged",0,0,-1,1,0
"chr013_bd03_chr013_damaged","chr013","bd03","chr013_damaged",0,0,-1,1,0
"chr017_bd03_chr017_damaged","chr017","bd03","chr017_damaged",0,0,-1,1,0
"chr393_bd03_chr393_damaged","chr393","bd03","chr393_damaged",0,0,-1,1,0
"chr598_bd03_chr598_damaged","chr598","bd03","chr598_damaged",0,0,-1,1,0
"chr630_bd03_chr630_damaged","chr630","bd03","chr630_damaged",0,0,-1,1,0
"chr548_bd03_chr548_damaged","chr548","bd03","chr548_damaged",0,0,-1,1,0
"chr592_bd03_chr592_damaged","chr592","bd03","chr592_damaged",0,0,-1,1,0
"chr028_bd03_chr028_damaged","chr028","bd03","chr028_damaged",0,0,-1,1,0
"chr044_bd03_chr044_damaged","chr044","bd03","chr044_damaged",0,0,-1,1,0
"chr059_bd03_chr059_damaged","chr059","bd03","chr059_damaged",0,0,-1,1,0
"chr100_bd03_chr100_damaged","chr100","bd03","chr100_damaged",0,0,-1,1,0
"chr364_bd03_chr364_damaged","chr364","bd03","chr364_damaged",0,0,-1,1,0
"chr214_bd03_chr214_damaged","chr214","bd03","chr214_damaged",0,0,-1,1,0
"chr006_bd03_chr006_damaged","chr006","bd03","chr006_damaged",0,0,-1,1,0
"chr720_bd03_chr_720damaged","chr720","bd03","chr_720damaged",0,0,-1,1,0
"chr209_bd03_chr_209damaged","chr209","bd03","chr_209damaged",0,0,-1,1,0
"chr363_bd03_chr_363damaged","chr363","bd03","chr_363damaged",0,0,-1,1,0
"chr093_bd03_chr_093damaged","chr093","bd03","chr_093damaged",0,0,-1,1,0
"chr072_bd03_chr_072damaged","chr072","bd03","chr_072damaged",0,0,-1,1,0
"chr097_bd03_chr_097damaged","chr097","bd03","chr_097damaged",0,0,-1,1,0
"chr011_bd03_chr_011damaged","chr011","bd03","chr_011damaged",0,0,-1,1,0
"chr586_bd03_chr_586damaged","chr586","bd03","chr_586damaged",0,0,-1,1,0
"chr590_bd03_chr_590damaged","chr590","bd03","chr_590damaged",0,0,-1,1,0
"chr068_bd03_chr_068damaged","chr068","bd03","chr_068damaged",0,0,-1,1,0
"chr429_bd03_chr_429damaged","chr429","bd03","chr_429damaged",0,0,-1,1,0
"chr367_bd03_chr_367damaged","chr367","bd03","chr_367damaged",0,0,-1,1,0
"chr228_bd03_chr_228damaged","chr228","bd03","chr_228damaged",0,0,-1,1,0
"chr616_bd03_chr616damaged","chr616","bd03","chr616damaged",0,0,-1,1,0
"chr406_bd03_chr_406damaged","chr406","bd03","chr_406damaged",0,0,-1,1,0
"chr588_bd03_chr_588damaged","chr588","bd03","chr_588damaged",0,0,-1,1,0
"chr218_bd03_chr_218damaged","chr218","bd03","chr_218damaged",0,0,-1,1,0
"chr344_bd03_chr_344damaged","chr344","bd03","chr_344damaged",0,0,-1,1,0
"chr345_bd03_chr_345damaged","chr345","bd03","chr_345damaged",0,0,-1,1,0
"chr370_bd03_chr_370damaged","chr370","bd03","chr_370damaged",0,0,-1,1,0
"chr371_bd03_chr_371damaged","chr371","bd03","chr_371damaged",0,0,-1,1,0
"chr758_bd03_chr_758damaged","chr758","bd03","chr_758damaged",0,0,-1,1,0
"chr394_bd03_chr394damaged","chr394","bd03","chr394damaged",0,0,-1,1,0
"chr087_bd03_chr087damaged","chr087","bd03","chr087damaged",0,0,-1,1,0
"chr723_bd03_chr723damaged","chr723","bd03","chr723damaged",0,0,-1,1,0
"chr410_bd03_chr410damaged","chr410","bd03","chr410damaged",0,0,-1,1,0
"chr613_bd03_chr613damaged","chr613","bd03","chr613damaged",0,0,-1,1,0
"chr613_bn02_chr613stopped","chr613","bn02","chr613stopped",0,0,-1,1,0
"chr614_bd03_chr614damaged","chr614","bd03","chr614damaged",0,0,-1,1,0
"chr084_bd03_chr084damaged","chr084","bd03","chr084damaged",0,0,-1,1,0
"chr148_bd03_chr148damaged","chr148","bd03","chr148damaged",0,0,-1,1,0
"chr101_bd03_chr101damaged","chr101","bd03","chr101damaged",0,0,-1,1,0
"chr438_fe02_chr438fe02","chr438","fe02","chr438fe02",0,0,-1,1,0
"chr466_fe02_chr466fe02","chr466","fe02","chr466fe02",0,0,-1,1,0
"chr438_fe04_chr438fe04","chr438","fe04","chr438fe04",20,20,-1,1,0
"chr438_bn01_chr438bn01","chr438","bn01","chr438bn01",0,0,-1,1,0
"chr466_bn01_chr466bn01","chr466","bn01","chr466bn01",0,0,-1,1,0
"chr601_bn01_chr601bn01","chr601","bn01","chr601bn01",0,0,-1,1,0
"chr613_bn01_chr613bn01","chr613","bn01","chr613bn01",0,0,-1,1,0
"chr180_bd03_chr180damaged","chr180","bd03","chr180damaged",0,0,-1,1,0
"chr132_bd03_chr132damaged","chr132","bd03","chr132damaged",0,0,-1,1,0
"chr092_bd03_chr092damaged","chr092","bd03","chr092damaged",0,0,-1,1,0
"pc001a_ff01_01_ff01_01pose","pc001a","ff01_01","ff01_01pose",0,0,-1,1,0
"pc001a_ba01_pc001aba01","pc001a","ba01","pc001aba01",30,30,-1,1,0
"pc002a_ff01_01_ff01_01pose","pc002a","ff01_01","ff01_01pose",0,0,-1,1,0
"pc002a_bs01_pc002abs01","pc002a","bs01","pc002abs01",40,40,-1,1,0
"chr183a_fr01_01_chr183fr01_01","chr183a","fr01_01","chr183fr01_01",5,5,-1,1,0
"chr183a_bd02_chr183bd02","chr183a","bd02","chr183bd02",20,20,-1,1,0
"chr183a_e516_chr183e516","chr183a","e516","chr183e516",40,40,-1,1,0
"chr183a_e053_chr183e053","chr183a","e053","chr183e053",20,20,-1,1,0
"chr805_bn01_chr805bn01","chr805","bn01","chr805bn01",10,10,-1,1,0
"chr183a_fe04_chr183fe04_01","chr183a","fe04","chr183fe04_01",40,40,-1,1,0
"chr183a_bn02_chr183bn02_01","chr183a","bn02","chr183bn02_01",0,0,-1,1,0
"chr183a_e543_chr183e543_01","chr183a","e543","chr183e543_01",0,0,-1,1,0
"chr183a_e013_chr183e013_01","chr183a","e013","chr183e013_01",20,20,-1,1,0
"chr183a_e031_chr183e031_01","chr183a","e031","chr183e031_01",30,30,-1,1,0
"chr183a_fd01_02_chr183fd01_02_01","chr183a","fd01_02","chr183fd01_02_01",0,0,-1,1,0
"chr183a_fs03_01_chr183fs03_01_01","chr183a","fs03_01","chr183fs03_01_01",0,0,-1,1,0
"npc001a_e004_npc001ae004","npc001a","e004","npc001ae004",30,30,-1,1,0
"npc001a_fr01_01_npc001afr01_01","npc001a","fr01_01","npc001afr01_01",10,10,-1,1,0
"npc001a_e017_npc001ae017","npc001a","e017","npc001ae017",10,10,-1,1,0
"npc001a_e051_npc001ae051","npc001a","e051","npc001ae051",0,0,-1,1,0
"npc009a_fs01_01_npc009afs01_01","npc009a","fs01_01","npc009afs01_01",0,0,-1,1,0
"npc010a_fs01_01_npc010afs01_01","npc010a","fs01_01","npc010afs01_01",0,0,-1,1,0
"npc011a_fs01_01_npc011afs01_01","npc011a","fs01_01","npc011afs01_01",0,0,-1,1,0
"d06searcheye01_e001_Lighting","d06searcheye01","e001","Lighting",15,15,-1,1,0
"chr075_ba02_chr075ba02","chr075","ba02","chr075ba02",22,22,-1,1,0
"chr172_bs02_chr172bs02","chr172","bs02","chr172bs02",94,94,-1,1,0
"chr179_bs02_chr179bs02","chr179","bs02","chr179bs02",72,72,-1,1,0
"chr174_bs02_chr174bs02","chr174","bs02","chr174bs02",93,93,-1,1,0
"chr080_bs01_chr080bs01","chr080","bs01","chr080bs01",54,54,-1,1,0
"chr178_e505_chr178e505","chr178","e505","chr178e505",73,73,-1,1,0
"chr733_bv01_chr733bv01","chr733","bv01","chr733bv01",90,90,-1,1,0
"chr173_bs02_chr173bs02","chr173","bs02","chr173bs02",106,106,-1,1,0
"chr747_bs01_chr747bs01","chr747","bs01","chr747bs01",20,20,-1,1,0
"chr170_ba02_chr170ba02","chr170","ba02","chr170ba02",41,41,-1,1,0
"chr176_fe01_chr176fe01","chr176","fe01","chr176fe01",18,18,-1,1,0
"chr189_ba01_chr189ba01","chr189","ba01","chr189ba01",18,18,-1,1,0
"chr168_bs02_chr168bs02","chr168","bs02","chr168bs02",51,51,-1,1,0
"chr311_fe02_chr311fe02","chr311","fe02","chr311fe02",60,60,-1,1,0
"chr311_bd02_chr311bd02","chr311","bd02","chr311bd02",34,34,-1,1,0
"d0505hatch00_e001_d0505hatch00e001","d0505hatch00","e001","d0505hatch00e001",30,30,-1,1,0
"npc005aa010101_e570_npc005e570","npc005aa010101","e570","npc005e570",70,140,-1,1,1
"chr213_bd02_chr213bd02","chr213","bd02","chr213bd02",40,40,-1,1,0
"chr596_bd02_chr596bd02","chr596","bd02","chr596bd02",28,28,-1,1,0
"chr510_bd03_chr399_damaged","chr510","bd03","chr399_damaged",0,0,-1,1,0
