int32 0,empty 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,empty 9,int32 10,empty 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int16 27,int16 28,int16 29,int16 30,int16 31,int16 32,int32 33,int16 34,int16 35,int8 36,int8 37,int8 38,int8 39,int8 40,int8 41,int8 42,int8 43,int8 44,int8 45,int8 46,int8 47,int32 array 48,int32 array 49,int32 array 50,int32 array 51,int32 array 52,int32 array 53,int32 array 54,int32 array 55,int32 56,int32 57,empty 58,int32 59,int32 60,int32 61,int16 62,int16 63,int32 array 64,int32 65,int32 66
10026,,,24,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10027,,,25,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10028,,,26,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10029,,,27,-1,0,1,1,0,,10012,,0,,5,6,0,0,0,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10030,,,28,-1,0,0,1,0,,10022,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10031,,,29,-1,0,0,1,0,,10023,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10032,,,-1,-1,0,0,1,0,,10024,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10033,,,-1,-1,0,0,1,0,,10025,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20011,,,20011,20011,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20021,,,20021,20021,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20031,,,20031,20031,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20041,,,20041,20041,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20051,,,20051,20051,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20061,,,20061,20061,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20091,,,20091,20091,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,10,-1,1,1,1,5,5,0,2,0,0,0,-1,0,1,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20101,,,20101,20101,0,3,1,0,,0,,0,,0,1,1,80,200,1,0,0,1,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,9,10,30,0,0,0,-1,,0,0,0,0,0,0,0,0
20111,,,20111,20111,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20121,,,20121,20121,0,3,1,20121,,12003,,0,,0,1,1,85,200,1,0,0,1,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,13,10,10,0,0,0,-1,,0,0,0,0,0,0,0,0
20131,,,20131,20131,0,3,1,0,,0,,0,,0,1,4,10,100,1,0,0,10,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20141,,,20141,20141,0,3,1,0,,0,,0,,0,1,1,40,200,1,0,0,0,-1,4,1,1,10,5,0,2,0,0,0,-1,0,0,90,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20151,,,20151,20151,0,3,1,0,,0,,0,,0,1,1,85,200,1,0,0,7,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20161,,,20161,20161,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20191,,,20191,20191,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20201,,,20201,20201,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20211,,,20211,20211,0,3,1,0,,0,,0,,0,1,2,65,150,1,0,0,4,-1,4,1,1,15,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20221,,,20221,20221,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20222,,,20222,20222,0,4,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20231,,,20231,20231,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20241,,,20241,20241,0,3,1,0,,0,,0,,0,2,7,30,25,1,0,0,4,11,5,1,1,20,5,0,2,0,0,0,-1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 2 3 4 5 6 7 24,0,0,-1,,0,0,0,0,0,0,0,0
20251,,,20251,20251,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20261,,,20261,20261,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20271,,,20271,20271,0,3,1,0,,0,,0,,0,1,1,90,200,1,0,0,1,-1,4,1,1,20,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,9,20,30,0,0,0,-1,,0,0,0,0,0,0,0,0
20272,,,20272,20272,0,4,1,0,,0,,0,,0,1,1,2,100,1,0,2,1,-1,1,1,1,40,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20281,,,20281,20281,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20301,,,20301,20301,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20311,,,20311,20311,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20321,,,20321,20321,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20322,,,20322,20322,0,4,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20331,,,20331,20331,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20341,,,20341,20341,0,3,1,0,,0,,0,,0,1,2,3,100,1,0,2,10,-1,1,1,1,50,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20351,,,20351,20351,0,3,1,0,,0,,0,,0,1,1,20,200,1,0,0,10,-1,1,8,8,25,5,0,2,0,0,0,-1,0,0,90,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20361,,,20361,20361,0,3,1,0,,0,,0,,0,1,2,80,150,1,0,0,10,-1,4,1,1,25,5,0,2,0,0,0,-1,0,0,100,1,5,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20371,,,20371,20371,0,3,1,0,,0,,0,,0,1,1,145,200,1,0,0,0,-1,1,1,1,25,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20381,,,20381,20381,0,3,1,0,,0,,0,,0,1,2,90,150,1,0,0,1,-1,4,1,1,25,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20391,,,20391,20391,0,3,1,0,,0,,0,,0,1,2,110,150,1,0,0,0,-1,1,1,1,25,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,3 4 5 6 7 2,0 0 0 0 0 0,10 10 10 10 10 5,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20401,,,20401,20401,0,3,1,0,,0,,0,,0,1,1,3,100,1,0,2,10,-1,1,1,1,60,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20411,,,20411,20411,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20421,,,20421,20421,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20431,,,20431,20431,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20431,,,20431,20431,0,3,1,0,,0,,0,,0,1,3,150,100,1,0,0,0,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,4,0,60,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20431,,,20431,20431,0,3,1,0,,0,,0,,0,1,3,150,100,1,0,0,0,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,4,0,60,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20441,,,20441,20441,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20471,,,20471,20471,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20481,,,20481,20481,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20491,,,20491,20491,0,3,1,0,,0,,0,,0,1,1,130,200,1,0,0,9,-1,1,1,1,20,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,5,0,50,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20501,,,20501,20501,0,3,1,20501,,12003,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20511,,,20511,20511,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20521,,,20521,20521,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20531,,,20531,20531,0,3,1,0,,0,,0,,0,1,2,65,150,1,0,0,9,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20541,,,20541,20541,0,3,1,0,,0,,0,,0,1,1,45,200,1,0,0,1,-1,4,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20551,,,20551,20551,0,3,1,0,,0,,0,,0,1,1,20,200,1,0,0,0,-1,4,2,2,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20561,,,20561,20561,0,3,1,0,,0,,0,,0,1,1,15,200,1,0,0,3,-1,4,2,2,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20571,,,20571,20571,0,3,1,0,,0,,0,,0,1,1,120,200,1,0,0,3,-1,1,1,1,20,5,0,2,0,0,0,-1,0,0,100,1,5,50,0,50,0,50,0,0,0,5,0,15,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20581,,,20581,20581,0,3,1,0,,0,,0,,0,1,2,80,150,1,0,0,9,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20591,,,20591,20591,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20601,,,20601,20601,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20611,,,20611,20611,0,3,1,0,,0,,0,,0,1,2,1,100,1,0,2,0,-1,1,1,1,30,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20621,,,20621,20621,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20631,,,20631,20631,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20641,,,20641,20641,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20651,,,20651,20651,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20661,,,20661,20661,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20671,,,20671,20671,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20681,,,20681,20681,0,3,1,0,,0,,0,,0,1,1,90,200,1,0,0,7,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20691,,,20691,20691,0,3,1,0,,0,,0,,0,1,1,30,200,1,0,0,8,-1,1,4,4,20,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,17,10,30,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20701,,,20701,20701,0,3,1,0,,0,,0,,0,1,1,75,200,1,0,0,8,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,17,10,30,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20711,,,20711,20711,0,3,1,0,,0,,0,,0,1,1,40,200,1,0,0,1,-1,1,3,3,15,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20721,,,20721,20721,0,3,1,0,,0,,0,,0,1,1,95,200,1,0,0,8,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20731,,,20731,20731,0,3,1,0,,0,,0,,0,1,2,60,150,1,0,0,3,-1,4,1,1,15,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20741,,,20741,20741,0,3,1,0,,0,,0,,0,1,1,115,200,1,0,0,0,-1,1,1,1,15,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20751,,,20751,20751,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20761,,,20761,20761,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20771,,,20771,20771,0,3,1,0,,0,,0,,0,1,1,30,200,1,0,0,0,-1,1,2,4,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20781,,,20781,20781,0,3,1,0,,0,,0,,0,1,1,85,200,1,0,0,1,-1,1,1,1,10,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,9,10,10,0,0,0,-1,,0,0,0,0,0,0,0,0
20791,,,20791,20791,0,3,1,0,,0,,0,,0,1,1,110,200,1,0,0,9,-1,1,1,1,15,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20801,,,20801,20801,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
20811,,,20811,20811,0,3,1,0,,0,,0,,0,1,3,100,100,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,30,0,0,0,-1,,0,0,0,0,0,0,0,0
20821,,,20821,20821,0,3,1,0,,0,,0,,0,1,1,70,200,1,0,0,1,-1,1,1,1,5,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
