string2 0,string2 1,int 2,int 3
"A2028_daft_240","A2028_daft",240,1
"A2028_daft_250","A2028_daft",250,1
"A2028_daft_260","A2028_daft",260,1
"A2028_daft_270","A2028_daft",270,1
"A2028_daft_280","A2028_daft",280,1
"A2028_daft_290","A2028_daft",290,1
"A2028_daft_300","A2028_daft",300,1
"A2028_daft_310","A2028_daft",310,1
"A2028_daft_311","A2028_daft",311,1
"A2028_daft_320","A2028_daft",320,1
"A2028_daft_330","A2028_daft",330,1
"A2028_daft_340","A2028_daft",340,1
"A2028_daft_341","A2028_daft",341,1
"A2028_daft_342","A2028_daft",342,1
"A2028_daft_350","A2028_daft",350,1
"A2028_daft_360","A2028_daft",360,1
"A2028_daft_361","A2028_daft",361,1
"A2028_daft_370","A2028_daft",370,1
"A2028_daft_380","A2028_daft",380,1
"A2028_daft_390","A2028_daft",390,1
"A2028_daft_400","A2028_daft",400,1
"A2028_daft_410","A2028_daft",410,1
"A2028_daft_419","A2028_daft",419,1
"A2028_daft_420","A2028_daft",420,1
"A2028_daft_430","A2028_daft",430,1
"A2028_daft_440","A2028_daft",440,1
"A2028_daft_450","A2028_daft",450,1
"A2028_daft_460","A2028_daft",460,1
"A2028_daft_470","A2028_daft",470,1
"A2028_daft_480","A2028_daft",480,1
"A2028_daft_490","A2028_daft",490,1
"A2028_daft_10000","A2028_daft",10000,1
"P2020_dbef_0","P2020_dbef",0,0
"P2020_dbef_10","P2020_dbef",10,0
"P2020_dbef_20","P2020_dbef",20,0
"P2020_dbef_30","P2020_dbef",30,0
"P2020_dbef_40","P2020_dbef",40,0
"P2020_dbef_50","P2020_dbef",50,0
"P2020_dbef_60","P2020_dbef",60,0
"P2020_dbef_70","P2020_dbef",70,0
"P2020_dbef_80","P2020_dbef",80,0
"P2020_dbef_90","P2020_dbef",90,0
"P2020_dbef_100","P2020_dbef",100,0
"P2020_dbef_110","P2020_dbef",110,0
"P2020_dbef_120","P2020_dbef",120,0
"P2020_dbef_130","P2020_dbef",130,0
"P2020_dbef_140","P2020_dbef",140,0
"P2020_dbef_150","P2020_dbef",150,0
"P2020_dbef_160","P2020_dbef",160,0
"P2020_dbef_170","P2020_dbef",170,0
"P2020_dbef_180","P2020_dbef",180,0
"P2020_dbef_190","P2020_dbef",190,0
"P2020_dbef_200","P2020_dbef",200,0
"P2020_dbef_210","P2020_dbef",210,0
"P2020_dbef_220","P2020_dbef",220,0
"P2020_dbef_230","P2020_dbef",230,0
"P2020_dbef_240","P2020_dbef",240,0
"P2020_dbef_250","P2020_dbef",250,0
"P2020_dbef_260","P2020_dbef",260,0
"P2020_dbef_270","P2020_dbef",270,0
"P2020_dbef_280","P2020_dbef",280,0
"P2020_dbef_290","P2020_dbef",290,0
"P2020_dbef_300","P2020_dbef",300,0
"P2020_dbef_310","P2020_dbef",310,0
"P2020_dbef_320","P2020_dbef",320,0
"P2020_dbef_330","P2020_dbef",330,0
"P2020_dbef_340","P2020_dbef",340,0
"P2020_dbef_350","P2020_dbef",350,0
"P2020_dbef_360","P2020_dbef",360,0
"P2020_dbef_370","P2020_dbef",370,0
"P2020_dbef_380","P2020_dbef",380,0
"P2020_dbef_390","P2020_dbef",390,0
"P2020_dbef_400","P2020_dbef",400,0
"P2020_dbef_410","P2020_dbef",410,0
"P2020_dbef_420","P2020_dbef",420,0
"P2020_dbef_430","P2020_dbef",430,0
"P2020_dbef_440","P2020_dbef",440,0
"P2020_dbef_450","P2020_dbef",450,0
"P2020_dbef_460","P2020_dbef",460,0
"P2020_dbef_470","P2020_dbef",470,0
"P2020_dbef_480","P2020_dbef",480,0
"P2020_dbef_490","P2020_dbef",490,0
"P2020_dbef_10000","P2020_dbef",10000,0
"P2028_daft_0","P2028_daft",0,1
"P2028_daft_10","P2028_daft",10,1
"P2028_daft_20","P2028_daft",20,1
"P2028_daft_30","P2028_daft",30,1
"P2028_daft_40","P2028_daft",40,1
"P2028_daft_50","P2028_daft",50,1
"P2028_daft_60","P2028_daft",60,1
"P2028_daft_70","P2028_daft",70,1
"P2028_daft_80","P2028_daft",80,1
"P2028_daft_90","P2028_daft",90,1
"P2028_daft_100","P2028_daft",100,1
"P2028_daft_110","P2028_daft",110,1
"P2028_daft_120","P2028_daft",120,1
"P2028_daft_130","P2028_daft",130,1
"P2028_daft_140","P2028_daft",140,1
"P2028_daft_150","P2028_daft",150,1
"P2028_daft_160","P2028_daft",160,1
"P2028_daft_170","P2028_daft",170,1
"P2028_daft_180","P2028_daft",180,1
"P2028_daft_190","P2028_daft",190,1
"P2028_daft_200","P2028_daft",200,1
"P2028_daft_210","P2028_daft",210,1
"P2028_daft_220","P2028_daft",220,1
"P2028_daft_230","P2028_daft",230,1
"P2028_daft_240","P2028_daft",240,1
"P2028_daft_250","P2028_daft",250,1
"P2028_daft_260","P2028_daft",260,1
"P2028_daft_270","P2028_daft",270,1
"P2028_daft_280","P2028_daft",280,1
"P2028_daft_290","P2028_daft",290,1
"P2028_daft_300","P2028_daft",300,1
"P2028_daft_310","P2028_daft",310,1
"P2028_daft_320","P2028_daft",320,1
"P2028_daft_330","P2028_daft",330,1
"P2028_daft_340","P2028_daft",340,1
"P2028_daft_350","P2028_daft",350,1
"P2028_daft_360","P2028_daft",360,1
"P2028_daft_361","P2028_daft",361,1
"P2028_daft_370","P2028_daft",370,1
"P2028_daft_380","P2028_daft",380,1
"P2028_daft_390","P2028_daft",390,1
"P2028_daft_400","P2028_daft",400,1
"P2028_daft_410","P2028_daft",410,1
"P2028_daft_420","P2028_daft",420,1
"P2028_daft_430","P2028_daft",430,1
"P2028_daft_440","P2028_daft",440,1
"P2028_daft_441","P2028_daft",441,1
"P2028_daft_442","P2028_daft",442,1
"P2028_daft_443","P2028_daft",443,1
"P2028_daft_444","P2028_daft",444,1
"P2028_daft_445","P2028_daft",445,1
"P2028_daft_446","P2028_daft",446,1
"P2028_daft_447","P2028_daft",447,1
"P2028_daft_450","P2028_daft",450,1
"P2028_daft_460","P2028_daft",460,1
"P2028_daft_470","P2028_daft",470,1
"P2028_daft_480","P2028_daft",480,1
"P2028_daft_490","P2028_daft",490,1
"P2028_daft_10000","P2028_daft",10000,1
"X2028_daft_0","X2028_daft",0,2
"X2028_daft_10","X2028_daft",10,2
"X2028_daft_11","X2028_daft",11,2
"X2028_daft_12","X2028_daft",12,2
"X2028_daft_20","X2028_daft",20,2
"X2028_daft_21","X2028_daft",21,2
"X2028_daft_22","X2028_daft",22,2
"X2028_daft_23","X2028_daft",23,2
"X2028_daft_30","X2028_daft",30,2
"X2028_daft_40","X2028_daft",40,2
"X2028_daft_50","X2028_daft",50,2
"X2028_daft_60","X2028_daft",60,2
"X2028_daft_70","X2028_daft",70,2
"X2028_daft_80","X2028_daft",80,2
"X2028_daft_90","X2028_daft",90,2
"X2028_daft_100","X2028_daft",100,2
"X2028_daft_110","X2028_daft",110,2
"X2028_daft_120","X2028_daft",120,2
"X2028_daft_130","X2028_daft",130,2
"X2028_daft_140","X2028_daft",140,2
"X2028_daft_150","X2028_daft",150,2
"X2028_daft_160","X2028_daft",160,2
"X2028_daft_170","X2028_daft",170,2
"X2028_daft_180","X2028_daft",180,2
"X2028_daft_190","X2028_daft",190,2
"X2028_daft_200","X2028_daft",200,2
"X2028_daft_210","X2028_daft",210,2
"X2028_daft_220","X2028_daft",220,2
"X2028_daft_230","X2028_daft",230,2
"X2028_daft_240","X2028_daft",240,2
"X2028_daft_250","X2028_daft",250,2
"X2028_daft_260","X2028_daft",260,2
"X2028_daft_270","X2028_daft",270,2
"X2028_daft_280","X2028_daft",280,2
"X2028_daft_290","X2028_daft",290,2
"X2028_daft_300","X2028_daft",300,2
"X2028_daft_310","X2028_daft",310,2
"X2028_daft_320","X2028_daft",320,2
"X2028_daft_330","X2028_daft",330,2
"X2028_daft_340","X2028_daft",340,2
"X2028_daft_350","X2028_daft",350,2
"X2028_daft_360","X2028_daft",360,2
"X2028_daft_370","X2028_daft",370,2
"X2028_daft_380","X2028_daft",380,2
"X2028_daft_390","X2028_daft",390,2
"X2028_daft_400","X2028_daft",400,2
"X2028_daft_410","X2028_daft",410,2
"X2028_daft_420","X2028_daft",420,2
"X2028_daft_430","X2028_daft",430,2
"X2028_daft_440","X2028_daft",440,2
"X2028_daft_450","X2028_daft",450,2
"X2028_daft_460","X2028_daft",460,2
"X2028_daft_470","X2028_daft",470,2
"X2028_daft_480","X2028_daft",480,2
"X2028_daft_490","X2028_daft",490,2
"X2028_daft_10000","X2028_daft",10000,2
"Z2028_daft_0","Z2028_daft",0,2
"Z2028_daft_10","Z2028_daft",10,2
"Z2028_daft_20","Z2028_daft",20,2
"Z2028_daft_30","Z2028_daft",30,2
"Z2028_daft_40","Z2028_daft",40,2
"Z2028_daft_50","Z2028_daft",50,2
"Z2028_daft_60","Z2028_daft",60,2
"Z2028_daft_70","Z2028_daft",70,2
"Z2028_daft_80","Z2028_daft",80,2
"Z2028_daft_90","Z2028_daft",90,2
"Z2028_daft_100","Z2028_daft",100,2
"Z2028_daft_110","Z2028_daft",110,2
"Z2028_daft_120","Z2028_daft",120,2
"Z2028_daft_130","Z2028_daft",130,2
"Z2028_daft_140","Z2028_daft",140,2
"Z2028_daft_150","Z2028_daft",150,2
"Z2028_daft_160","Z2028_daft",160,2
"Z2028_daft_170","Z2028_daft",170,2
"Z2028_daft_180","Z2028_daft",180,2
"Z2028_daft_190","Z2028_daft",190,2
"Z2028_daft_200","Z2028_daft",200,2
"Z2028_daft_210","Z2028_daft",210,2
"Z2028_daft_220","Z2028_daft",220,2
"Z2028_daft_230","Z2028_daft",230,2
"Z2028_daft_240","Z2028_daft",240,2
"Z2028_daft_250","Z2028_daft",250,2
"Z2028_daft_260","Z2028_daft",260,2
"Z2028_daft_270","Z2028_daft",270,2
"Z2028_daft_280","Z2028_daft",280,2
"Z2028_daft_290","Z2028_daft",290,2
"Z2028_daft_300","Z2028_daft",300,2
"Z2028_daft_310","Z2028_daft",310,2
"Z2028_daft_320","Z2028_daft",320,2
"Z2028_daft_330","Z2028_daft",330,2
"Z2028_daft_340","Z2028_daft",340,2
"Z2028_daft_350","Z2028_daft",350,2
"Z2028_daft_360","Z2028_daft",360,2
"Z2028_daft_370","Z2028_daft",370,2
"Z2028_daft_380","Z2028_daft",380,2
"Z2028_daft_390","Z2028_daft",390,2
"Z2028_daft_400","Z2028_daft",400,2
"Z2028_daft_410","Z2028_daft",410,2
"Z2028_daft_420","Z2028_daft",420,2
"Z2028_daft_430","Z2028_daft",430,2
"Z2028_daft_440","Z2028_daft",440,2
"Z2028_daft_450","Z2028_daft",450,2
"Z2028_daft_460","Z2028_daft",460,2
"Z2028_daft_470","Z2028_daft",470,2
"Z2028_daft_480","Z2028_daft",480,2
"Z2028_daft_490","Z2028_daft",490,2
"Z2028_daft_10000","Z2028_daft",10000,2
