string3 0,string3 1
chr092_ba02,ba02
chr093_ba01,ba01
chr093_ba02,ba02
chr094_ba01,ba01
chr094_ba02,ba02
chr096_ba01,ba01
chr096_ba02,ba02
chr097_ba01,ba01
chr097_ba02,ba02
chr097_m010_130_c05_chr097,m010_130_c05_chr097
chr100_ba01,ba01
chr100_ba02,ba02
chr102_ba01,ba01
chr102_ba02,ba02
chr103_ba01,ba01
chr103_ba02,ba02
chr107_ba01,ba01
chr107_ba02,ba02
chr111_ba01,ba01
chr111_ba02,ba02
chr112_ba01,ba01
chr112_ba02,ba02
chr112_d340_021_c01,d340_021_c01
chr112_d340_021_c09,d340_021_c09
chr112_d340_021_c11,d340_021_c11
chr112_d340_021_c15,d340_021_c15
chr112_d340_023_c01,d340_023_c01
chr112_d340_023_c02,d340_023_c02
chr112_d340_023_c04,d340_023_c04
chr112_d340_023_c05,d340_023_c05
chr112_d340_023_c06,d340_023_c06
chr112_d340_023_c07,d340_023_c07
chr112_d340_023_c08,d340_023_c08
chr113_ba01,ba01
chr113_ba02,ba02
chr114_ba01,ba01
chr114_ba02,ba02
chr114_bs01,bs01
chr115_ba01,ba01
chr115_ba02,ba02
chr130_ba01,ba01
chr130_ba02,ba02
chr132_ba01,ba01
chr132_ba02,ba02
chr136_ba01,ba01
chr136_ba02,ba02
chr136_m030_060_c10,m030_060_c10
chr137_ba01,ba01
chr137_ba02,ba02
chr140_ba01,ba01
chr140_ba02,ba02
chr146_ba01,ba01
chr146_ba02,ba02
chr151_ba01,ba01
chr151_ba02,ba02
chr151_bs01,bs01
chr163_ba01,ba01
chr163_ba02,ba02
chr163_bb01,bb01
chr163_bb02,bb02
chr163_bb03,bb03
chr163_bb04,bb04
chr163_bb05,bb05
chr183a_ba01,ba01
chr183a_ba02,ba02
chr183a_e505,e505
chr183a_fg01_d01,fg01_d01
chr183a_fg01_d02,fg01_d02
chr183a_fg01_d03,fg01_d03
chr183a_fg01_d04,fg01_d04
chr183a_fg01_d05,fg01_d05
chr183a_fg01_u01,fg01_u01
chr183a_fg01_u02,fg01_u02
chr183a_fg01_u03,fg01_u03
chr183a_fg01_u04,fg01_u04
chr183a_fg01_u05,fg01_u05
chr183a_fg02_d01,fg02_d01
chr183a_fg02_d02,fg02_d02
chr183a_fg02_fn01,fg02_fn01
chr183a_fg02_fw01b,fg02_fw01b
chr183a_fg03_l01,fg03_l01
chr183a_fg03_l02,fg03_l02
chr183a_fg03_l03,fg03_l03
chr183a_fg03_l04,fg03_l04
chr183a_fg03_r01,fg03_r01
chr183a_fg03_r02,fg03_r02
chr183a_fg03_r03,fg03_r03
chr183a_fg03_r04,fg03_r04
chr183a_fg04_fn01,fg04_fn01
chr183a_fg05_n01,fg05_n01
chr183a_fg05_w01,fg05_w01
chr183a_fg06_w01,fg06_w01
chr183a_fg09_n01,fg09_n01
chr183a_fg09_w01,fg09_w01
chr183a_fn01_01,fn01_01
chr183a_fr01_01b,fr01_01b
chr183a_fs01_01,fs01_01
chr183a_fw01_01,fw01_01
chr190_ba01,ba01
chr190_ba02,ba02
chr191_ba01,ba01
chr191_ba02,ba02
chr192_ba01,ba01
chr192_ba02,ba02
chr199_ba01,ba01
chr199_ba02,ba02
chr208_ba01,ba01
chr208_ba02,ba02
chr209_ba01,ba01
chr209_ba02,ba02
chr218_ba01,ba01
chr218_ba02,ba02
chr219_ba01,ba01
chr219_ba02,ba02
chr220_ba01,ba01
chr220_ba02,ba02
chr222_ba01,ba01
chr222_ba02,ba02
chr226_ba01,ba01
chr226_ba02,ba02
chr228_ba01,ba01
chr228_ba02,ba02
chr231_ba01,ba01
chr231_ba02,ba02
chr234_ba01,ba01
chr234_ba02,ba02
chr235_ba01,ba01
chr235_ba02,ba02
chr237_ba01,ba01
chr237_ba02,ba02
chr240_ba01,ba01
chr240_ba02,ba02
chr241_ba01,ba01
chr241_ba02,ba02
chr242_ba01,ba01
chr242_ba02,ba02
chr302_ba01,ba01
chr302_ba02,ba02
chr302_m010_180_c03,m010_180_c03
chr302_m010_180_c04,m010_180_c04
chr302_m010_180_c05,m010_180_c05
chr302_m010_190_c01,m010_190_c01
chr302_m010_190_c05,m010_190_c05
chr302_m010_190_c06,m010_190_c06
chr302_m010_190_c07,m010_190_c07
chr302_m010_190_c10,m010_190_c10
chr302_m010_190_c11,m010_190_c11
chr302_m010_190_c12,m010_190_c12
chr302_m020_030_c02,m020_030_c02
chr302_m020_030_c03,m020_030_c03
chr302_m020_030_c04,m020_030_c04
chr302_m020_030_c05,m020_030_c05
chr302_m020_030_c07,m020_030_c07
chr302_m020_030_c09,m020_030_c09
chr302_m020_030_c13,m020_030_c13
chr303_ba01,ba01
chr303_ba02,ba02
chr304_ba01,ba01
chr304_ba02,ba02
chr307_ba01,ba01
chr307_ba02,ba02
chr308_ba01,ba01
chr308_ba02,ba02
chr308_m340_040_c01,m340_040_c01
chr308_m340_040_c03,m340_040_c03
chr308_m420_020_c07,m420_020_c07
chr308_m420_020_c08,m420_020_c08
chr308_m420_020_c09,m420_020_c09
chr308_m420_020_c10,m420_020_c10
chr308_m420_020_c11,m420_020_c11
chr311_ba01,ba01
chr311_ba02,ba02
chr313_ba01,ba01
chr313_ba02,ba02
chr314_ba01,ba01
chr314_ba02,ba02
chr316_ba01,ba01
chr316_ba02,ba02
chr317_ba01,ba01
chr317_ba02,ba02
chr320_ba01,ba01
chr320_ba02,ba02
chr321_ba01,ba01
chr321_ba02,ba02
chr322_ba01,ba01
chr322_ba02,ba02
chr325_ba01,ba01
chr325_ba02,ba02
chr326_ba01,ba01
chr326_ba02,ba02
chr341_ba01,ba01
chr341_ba02,ba02
chr342_ba01,ba01
chr342_ba02,ba02
chr343_ba01,ba01
chr343_ba02,ba02
chr344_ba01,ba01
chr344_ba02,ba02
chr345_ba01,ba01
chr345_ba02,ba02
chr348_ba01,ba01
chr348_ba02,ba02
chr349_ba01,ba01
chr349_ba02,ba02
chr359_ba01,ba01
chr359_ba02,ba02
chr359_f000,f000
chr359_f001,f001
chr359_f002,f002
chr361_ba01,ba01
chr361_ba02,ba02
chr363_ba01,ba01
chr363_ba02,ba02
chr365_ba01,ba01
chr365_ba02,ba02
chr367_ba01,ba01
chr367_ba02,ba02
chr368_ba01,ba01
chr368_ba02,ba02
chr369_ba01,ba01
chr369_ba02,ba02
chr370_ba01,ba01
chr370_ba02,ba02
chr371_ba01,ba01
chr371_ba02,ba02
chr372_ba01,ba01
chr372_ba02,ba02
chr373_ba01,ba01
chr373_ba02,ba02
chr374_ba01,ba01
chr374_ba02,ba02
chr375_ba01,ba01
chr375_ba02,ba02
chr377_ba01,ba01
chr377_ba02,ba02
chr378_ba01,ba01
chr378_ba02,ba02
chr380_ba01,ba01
chr380_ba02,ba02
chr387_ba01,ba01
chr387_ba02,ba02
chr388_ba01,ba01
chr388_ba02,ba02
chr389_ba01,ba01
chr389_ba02,ba02
chr390_ba01,ba01
chr390_ba02,ba02
chr391_ba01,ba01
chr391_ba02,ba02
chr392_ba01,ba01
chr392_ba02,ba02
chr393_ba01,ba01
chr393_ba02,ba02
chr394_ba01,ba01
chr394_ba02,ba02
chr395_ba01,ba01
chr395_ba02,ba02
chr396_ba01,ba01
chr396_ba02,ba02
chr397_ba01,ba01
chr397_ba02,ba02
chr398_ba01,ba01
chr398_ba02,ba02
chr399_ba01,ba01
chr399_ba02,ba02
chr408_ba01,ba01
chr408_ba02,ba02
chr410_ba01,ba01
chr410_ba02,ba02
chr411_ba01,ba01
chr411_ba02,ba02
chr412_ba01,ba01
chr412_ba02,ba02
chr413_ba01,ba01
chr413_ba02,ba02
chr422_ba01,ba01
chr422_ba02,ba02
chr428_ba01,ba01
chr428_ba02,ba02
chr429_ba01,ba01
chr429_ba02,ba02
chr437_ba01,ba01
chr437_ba02,ba02
chr438_ba01,ba01
chr438_ba02,ba02
chr452_ba01,ba01
chr452_ba02,ba02
chr452_m060_120_c04,m060_120_c04
chr454_ba01,ba01
chr454_ba02,ba02
chr455_ba01,ba01
chr455_ba02,ba02
chr455_f001,f001
chr456_ba01,ba01
chr456_ba02,ba02
chr457_ba01,ba01
chr457_ba02,ba02
chr457_f000,f000
chr458_ba01,ba01
chr458_ba02,ba02
chr463_ba01,ba01
chr463_ba02,ba02
chr463_m150_050_c01,m150_050_c01
chr463_m150_050_c02,m150_050_c02
chr463_m150_050_c03,m150_050_c03
chr466_ba01,ba01
chr466_ba02,ba02
chr474_ba01,ba01
chr474_ba02,ba02
chr474_f000,f000
chr510_ba01,ba01
chr510_ba02,ba02
chr512_ba01,ba01
chr512_ba02,ba02
chr514_ba01,ba01
chr514_ba02,ba02
chr515_ba01,ba01
chr515_ba02,ba02
chr548_ba01,ba01
chr548_ba02,ba02
chr563_ba01,ba01
chr563_ba02,ba02
chr564_ba01,ba01
chr564_ba02,ba02
chr567_ba01,ba01
chr567_ba02,ba02
chr569_ba01,ba01
chr569_ba02,ba02
chr573_ba01,ba01
chr573_ba02,ba02
chr574_ba01,ba01
chr574_ba02,ba02
chr576_ba01,ba01
chr576_ba02,ba02
chr582_ba01,ba01
chr582_ba02,ba02
chr584_ba01,ba01
chr584_ba02,ba02
chr586_ba01,ba01
chr586_ba02,ba02
chr590_ba01,ba01
chr590_ba02,ba02
chr592_ba01,ba01
chr592_ba02,ba02
chr594_ba01,ba01
chr594_ba02,ba02
chr595_ba01,ba01
chr595_ba02,ba02
chr596_ba01,ba01
chr596_ba02,ba02
chr597_ba01,ba01
chr597_ba02,ba02
chr598_ba01,ba01
chr598_ba02,ba02
chr601_ba01,ba01
chr601_ba02,ba02
chr601_bb01,bb01
chr607_ba01,ba01
chr607_ba02,ba02
chr609_ba01,ba01
chr609_ba02,ba02
chr609_f001,f001
chr610_ba01,ba01
chr610_ba02,ba02
chr611_ba01,ba01
chr611_ba02,ba02
chr615_ba01,ba01
chr615_ba02,ba02
chr621_ba01,ba01
chr621_ba02,ba02
chr623_ba01,ba01
chr623_ba02,ba02
chr626_ba01,ba01
chr626_ba02,ba02
chr629_ba01,ba01
chr629_ba02,ba02
chr630_ba01,ba01
chr630_ba02,ba02
chr631_ba01,ba01
chr631_ba02,ba02
chr676_ba01,ba01
chr676_ba02,ba02
chr680_ba01,ba01
chr680_ba02,ba02
chr682_ba01,ba01
chr682_ba02,ba02
chr687_ba01,ba01
chr687_ba02,ba02
chr687_bs01,bs01
chr697_ba01,ba01
chr697_ba02,ba02
chr698_ba01,ba01
chr698_ba02,ba02
chr701_ba01,ba01
chr701_ba02,ba02
chr702_ba01,ba01
chr702_ba02,ba02
chr705_ba01,ba01
chr705_ba02,ba02
chr706_ba01,ba01
chr706_ba02,ba02
chr707_ba01,ba01
chr707_ba02,ba02
chr708_ba01,ba01
chr708_ba02,ba02
chr709_ba01,ba01
chr709_ba02,ba02
chr710_ba01,ba01
chr710_ba02,ba02
chr711_ba01,ba01
chr711_ba02,ba02
chr718_ba01,ba01
chr718_ba02,ba02
chr720_ba01,ba01
chr720_ba02,ba02
chr723_ba01,ba01
chr723_ba02,ba02
chr747_ba01,ba01
chr747_ba02,ba02
chr747_bs02,bs02
chr747_ev015_1_c01,ev015_1_c01
chr747_ev015_1_c02,ev015_1_c02
chr747_ev015_2_c01,ev015_2_c01
chr747_ev015_2_c02,ev015_2_c02
chr747_ev015_2_c03,ev015_2_c03
chr747_ev015_2_c04,ev015_2_c04
chr747_ev015_2_c05,ev015_2_c05
chr747_ev015_2_c06,ev015_2_c06
chr747_ev015_3_c01,ev015_3_c01
chr747_ev015_3_c02,ev015_3_c02
chr747_ev015_3_c03,ev015_3_c03
chr747_ev015_3_c04,ev015_3_c04
chr747_ev015_3_c05,ev015_3_c05
chr747_ev015_4_c01,ev015_4_c01
chr747_ev015_4_c02,ev015_4_c02
chr747_ev015_4_c03,ev015_4_c03
chr747_ev015_5_c01,ev015_5_c01
chr747_ev015_6_c01,ev015_6_c01
chr747_ev018_01,ev018_01
chr747_ev018_02,ev018_02
chr747_ev018_03,ev018_03
chr747_ev018_05,ev018_05
chr747_ev018_06,ev018_06
chr747_ev019_01,ev019_01
chr747_ev019_04,ev019_04
chr747_fs01_01,fs01_01
chr747_m030_060_c10,m030_060_c10
chr758_ba01,ba01
chr758_ba02,ba02
chr770_ba01,ba01
chr770_ba02,ba02
chr802_m020_120_c01,m020_120_c01
chr802_m020_120_c04,m020_120_c04
chr802_m020_120_c07,m020_120_c07
chr802_m020_180_c15,m020_180_c15
chr802_m020_180_c17,m020_180_c17
chr805_ba01,ba01
chr805_ba02,ba02
npc001a_fs01_01,fs01_01
npc013a_fs01_01,fs01_01
npc101a_fs01_01,fs01_01
npc101a_fs01_02,fs01_02
npc102a_fs01_01,fs01_01
npc102a_fs01_02,fs01_02
npc105a_bg01,bg01
npc105a_bn01,bn01
npc105a_fs01_01,fs01_01
npc105a_fs01_02,fs01_02
npc106a_fs01_01,fs01_01
npc106a_fs01_02,fs01_02
npc107a_fs01_01,fs01_01
npc107a_fs01_02,fs01_02
npc107a_fs01_03,fs01_03
pc001a_fg01_d01,fg01_d01
pc001a_fg01_d02,fg01_d02
pc001a_fg01_d03,fg01_d03
pc001a_fg01_d04,fg01_d04
pc001a_fg01_d05,fg01_d05
pc001a_fg01_u01,fg01_u01
pc001a_fg01_u02,fg01_u02
pc001a_fg01_u03,fg01_u03
pc001a_fg01_u04,fg01_u04
pc001a_fg01_u05,fg01_u05
pc001a_fg02_d01,fg02_d01
pc001a_fg02_d02,fg02_d02
pc001a_fg02_fn01,fg02_fn01
pc001a_fg02_fw01b,fg02_fw01b
pc001a_fg03_f01,fg03_f01
pc001a_fg03_f02,fg03_f02
pc001a_fg03_f03,fg03_f03
pc001a_fg03_f04,fg03_f04
pc001a_fg03_l01,fg03_l01
pc001a_fg03_l02,fg03_l02
pc001a_fg03_l03,fg03_l03
pc001a_fg03_l04,fg03_l04
pc001a_fg03_r01,fg03_r01
pc001a_fg03_r02,fg03_r02
pc001a_fg03_r03,fg03_r03
pc001a_fg03_r04,fg03_r04
pc001a_fg04_fn01,fg04_fn01
pc001a_fg05_n01,fg05_n01
pc001a_fg05_w01,fg05_w01
pc001a_fg06_w01,fg06_w01
pc001a_fg09_n01,fg09_n01
pc001a_fg09_w01,fg09_w01
pc001a_fn01_01,fn01_01
pc001a_fr01_01b,fr01_01b
pc001a_fw01_01,fw01_01
pc001a_r142_loop01,r142_loop01
pc002a_fg01_d01,fg01_d01
pc002a_fg01_d02,fg01_d02
pc002a_fg01_d03,fg01_d03
pc002a_fg01_d04,fg01_d04
pc002a_fg01_d05,fg01_d05
pc002a_fg01_u01,fg01_u01
pc002a_fg01_u02,fg01_u02
pc002a_fg01_u03,fg01_u03
pc002a_fg01_u04,fg01_u04
pc002a_fg01_u05,fg01_u05
pc002a_fg02_d01,fg02_d01
pc002a_fg02_d02,fg02_d02
pc002a_fg02_fn01,fg02_fn01
pc002a_fg02_fw01b,fg02_fw01b
pc002a_fg03_f01,fg03_f01
pc002a_fg03_f02,fg03_f02
pc002a_fg03_f03,fg03_f03
pc002a_fg03_f04,fg03_f04
pc002a_fg03_l01,fg03_l01
pc002a_fg03_l02,fg03_l02
pc002a_fg03_l03,fg03_l03
pc002a_fg03_l04,fg03_l04
pc002a_fg03_r01,fg03_r01
pc002a_fg03_r02,fg03_r02
pc002a_fg03_r03,fg03_r03
pc002a_fg03_r04,fg03_r04
pc002a_fg04_fn01,fg04_fn01
pc002a_fg05_n01,fg05_n01
pc002a_fg05_w01,fg05_w01
pc002a_fg06_w01,fg06_w01
pc002a_fg09_n01,fg09_n01
pc002a_fg09_w01,fg09_w01
pc002a_fn01_01,fn01_01
pc002a_fr01_01b,fr01_01b
pc002a_fw01_01,fw01_01
pc002a_r142_loop01,r142_loop01
chr143_ba01,ba01
chr143_ba02,ba02
