int 0,string3 1,string3 2,float 3,int 4,int 5,int 6,int 7,int 8
10303,"d0303_railmove","d0303_railmove",180,6,1,3,6,0
10304,"d0304_railmove","d0304_railmove",180,10,1,3,6,0
10305,"","",180,10,1,3,6,0
10306,"d0306_railmove","d0306_railmove",180,10,1,3,6,0
10308,"","",180,10,1,3,0,0
10401,"d0401_railmove","d0401_railmove",180,9,1,4,7,0
10402,"d0402_railmove","d0402_railmove",180,8,1,4,7,0
10403,"d0403_railmove","d0403_railmove",180,10,1,4,7,0
10404,"d0404_railmove","d0404_railmove",180,10,1,4,7,0
10405,"d0405_railmove","d0405_railmove",180,4,1,4,7,0
10406,"","",180,10,1,4,7,0
10407,"","",180,10,1,4,7,0
10501,"d0501_railmove","d0501_railmove",180,6,1,5,9,0
10502,"d0502_railmove","d0502_railmove",180,8,1,5,9,0
10503,"d0503_railmove","d0503_railmove",180,3,1,5,10,0
10504,"d0504_railmove","d0504_railmove",180,2,1,5,10,0
10505,"","",180,10,1,5,0,0
10506,"","",180,10,1,5,11,0
10507,"","",180,10,1,5,11,0
10508,"","",180,10,1,5,11,0
10509,"","",180,10,1,5,11,0
10510,"","",180,10,1,5,11,0
10511,"","",180,10,1,5,11,0
10512,"","",180,10,1,5,11,0
10513,"","",180,10,1,5,11,0
10550,"","",180,10,1,5,11,0
10551,"","",180,10,1,5,11,0
10552,"","",180,10,1,5,11,0
10601,"","",180,10,1,6,13,0
10602,"","",180,10,1,6,13,0
10603,"d0603_railmove","d0603_railmove",180,7,1,6,13,0
10604,"d0604_railmove","d0604_railmove",180,9,1,6,13,0
10605,"","",180,10,1,6,13,0
10606,"d0606_railmove","d0606_railmove",90,10,1,6,12,0
10607,"","",180,10,1,6,12,0
10608,"","",180,10,1,6,12,0
10609,"","d0609_railmove",180,10,1,6,12,0
10701,"d0701_railmove","d0701_railmove",180,8,1,7,0,0
10702,"","",180,3,1,7,0,0
10703,"","",180,8,1,7,0,0
10801,"","",180,10,1,8,0,0
10802,"d0802_railmove","d0802_railmove",180,10,1,8,0,0
10900,"","",180,10,1,9,0,0
10901,"","",180,10,1,9,0,0
10902,"","",180,10,1,9,0,0
10903,"d0903_railmove","d0903_railmove",180,10,1,9,0,0
10904,"d0904_railmove","d0904_railmove",180,10,1,9,0,0
10905,"d0905_railmove","d0905_railmove",180,10,1,9,0,0
10906,"","d0906_railmove",180,10,1,9,0,0
10907,"d0907_railmove","d0907_railmove",180,10,1,9,0,0
11001,"","d1001_railmove",180,3,2,10,0,0
11002,"","",180,2,2,10,0,0
11003,"","",180,10,2,10,0,0
11101,"d1101_railmove","d1101_railmove",180,9,2,11,0,0
11102,"d1102_railmove","d1102_railmove",180,8,2,11,0,0
11103,"d1103_railmove","d1103_railmove",180,10,2,11,0,0
11104,"d1104_railmove","d1104_railmove",180,10,2,11,0,0
11201,"","",180,10,2,12,0,0
11202,"d1202_railmove","d1202_railmove",180,10,2,12,0,0
11203,"","",180,10,2,12,0,0
11204,"d1204_railmove","d1204_railmove",180,10,2,12,0,0
11205,"","",180,10,2,12,0,0
11206,"","",180,10,2,12,0,0
11301,"d1301_railmove","d1301_railmove",180,10,2,13,0,0
11302,"d1302_railmove","d1302_railmove",90,10,2,13,0,0
11303,"","",180,10,2,13,0,0
11304,"d1304_railmove","d1304_railmove",180,10,2,13,0,0
11305,"","",180,10,2,13,0,0
11401,"","d1401_railmove",180,10,2,14,0,0
11402,"","d1402_railmove",180,5,2,14,0,0
11403,"d1403_railmove","",180,4,2,14,0,0
11404,"","",180,10,2,14,0,0
11405,"d1405_railmove","d1405_railmove",180,3,2,14,0,0
11406,"d1406_railmove","d1406_railmove",180,3,2,14,0,0
11407,"","",180,10,2,14,0,0
11408,"","",180,10,2,14,0,0
15001,"","",180,10,1,0,0,0
15002,"","",180,10,1,0,0,0
15003,"","",180,10,1,0,0,0
15004,"d5004_railmove","d5004_railmove",180,10,1,0,0,0
15005,"d5005_railmove","d5005_railmove",180,10,1,0,0,0
15006,"d5006_railmove","d5006_railmove",180,10,1,0,0,0
15007,"d5007_railmove","d5007_railmove",180,10,1,0,0,0
15008,"d5008_railmove","d5008_railmove",180,10,1,0,0,0
19001,"d9001_railmove","d9001_railmove",180,10,0,0,0,0
19002,"d9002_railmove","d9002_railmove",180,10,0,0,0,0
19003,"d9003_railmove","d9003_railmove",180,10,0,0,0,0
19004,"d9004_railmove","d9004_railmove",180,10,0,0,0,0
20101,"","",180,10,1,20,0,0
20201,"h0201_railmove","h0201_railmove",180,10,1,20,0,0
20210,"h0210_railmove","h0210_railmove",180,10,1,20,0,-1
20211,"h0210_railmove","h0210_railmove",180,10,1,20,0,-1
20212,"h0210_railmove","h0210_railmove",180,10,1,20,0,-1
20213,"h0210_railmove","h0210_railmove",180,10,1,20,0,-1
20220,"","",30,10,1,20,0,-1
20221,"","",30,10,1,20,0,-1
20222,"","",30,10,1,20,0,-1
20301,"h0301_railmove","h0301_railmove",180,10,1,20,0,0
20310,"h0310_railmove","h0310_railmove",180,10,1,20,0,-1
20311,"h0310_railmove","h0310_railmove",180,10,1,20,0,-1
20312,"h0310_railmove","h0310_railmove",180,10,1,20,0,-1
20313,"h0310_railmove","h0310_railmove",180,10,1,20,0,-1
20401,"","",180,10,1,20,0,0
20415,"h0415_railmove","h0415_railmove",180,5,1,20,0,-1
20416,"h0415_railmove","h0415_railmove",180,5,1,20,0,-1
20417,"h0415_railmove","h0415_railmove",180,5,1,20,0,-1
20418,"h0415_railmove","h0415_railmove",180,5,1,20,0,-1
20420,"h0420_railmove","h0420_railmove",180,5,1,20,0,-1
20421,"h0420_railmove","h0420_railmove",180,5,1,20,0,-1
20422,"h0420_railmove","h0420_railmove",180,5,1,20,0,-1
20423,"h0420_railmove","h0420_railmove",180,5,1,20,0,-1
20501,"","",180,10,1,20,0,0
20510,"h0510_railmove","h0510_railmove",180,10,1,20,0,-1
20511,"h0510_railmove","h0510_railmove",180,10,1,20,0,-1
20512,"h0510_railmove","h0510_railmove",180,10,1,20,0,-1
20513,"h0510_railmove","h0510_railmove",180,10,1,20,0,-1
20520,"","",180,10,1,20,0,-1
20601,"h0601_railmove","h0601_railmove",180,10,1,20,0,0
20701,"","",180,10,1,20,0,0
20801,"","",180,10,1,20,0,0
20810,"","",180,10,1,20,0,-1
20811,"","",180,10,1,20,0,-1
20812,"","",180,10,1,20,0,-1
20813,"","",180,10,1,20,0,-1
30001,"","",0,10,1,0,0,-1
30002,"","",0,10,1,0,0,-1
30003,"","",0,10,1,2,3,-1
30004,"","",0,10,2,17,0,-1
30005,"","",0,10,1,6,0,-1
30006,"","",0,10,2,14,0,-1
30007,"","",0,10,1,20,0,-1
30008,"","",0,10,1,20,0,-1
40001,"","",0,10,1,0,0,-1
40002,"","",0,10,2,0,0,-1
