int32 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string3 17,int32 18,int32 19,int32 20,string2 21,string2 22,string2 23,int32 24,int32 25,float 26,string3 27,string3 28,string3 29,string3 30,string3 31,string3 32,float 33,float 34,float 35,float 36,float 37,float 38,float 39,float 40,float 41,float 42,float 43,float 44,bool 45,bool 46,int32 47,int32 48,string2 49,float 50,int32 51,float 52,float 53,float 54,float 55,int32 56,float 57,float 58,float 59,float 60,bool 61,bool 62
10107,"A2020_dbef_80","A2020_dbef_100","","","","","","","","","","","","","","","bg_t0101",1,1,1,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10108,"A2020_dbef_101","","","","","","","","","","","","","","","","bg_t0101",1,2,2,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10109,"A2020_dbef_110","","","","","","","","","","","","","","","","bg_t0101",1,2,2,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10110,"A2020_dbef_111","","","","","","","","","","","","","","","","bg_t0101",1,3,3,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10111,"A2020_dbef_200","","","","","","","","","","","","","","","","bg_t0131",1,2,8,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc_A20_200_210","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10112,"A2020_dbef_201","A2020_dbef_210","","","","","","","","","","","","","","","bg_t0131",1,2,8,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc_A20_200_210","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10113,"A2028_daft_220","A2028_daft_230","","","","","","","","","","","","","","","bg_t0101",2,1,9,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10114,"A2028_daft_240","A2028_daft_420","","","","","","","","","","","","","","","bg_t0101",2,1,4,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10115,"P2028_daft_320","P2028_daft_10000","","","","","","","","","","","","","","","bg_t0101",2,1,4,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10116,"Z2028_daft_390","","","","","","","","","","","","","","","","bg_t0101",2,1,4,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10117,"P2020_dbef_450","","","","","","","","","","","","","","","","bg_t0101",1,1,1,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10118,"A2020_dbef_119","","","","","","","","","","","","","","","","bg_t0101",1,1,1,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10119,"A2028_daft_419","","","","","","","","","","","","","","","","bg_t0101",2,1,4,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10200,"FirstPast","FinalPast","","","","","","","","","","","","","","","bg_t0102",1,1,1,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10201,"FirstPresent","FinalPresent","","","","","","","","","","","","","","","bg_t0102",2,1,4,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10202,"X2028_daft_0","X2028_daft_20","","","","","","","","","","","","","","","bg_t0102",2,0,9,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10203,"A2020_dbef_0","A2020_dbef_50","","","","","","","","","","","","","","","bg_t0102",1,1,1,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10204,"A2020_dbef_51","","","","","","","","","","","","","","","","bg_t0102",1,2,2,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10205,"A2020_dbef_60","A2020_dbef_70","","","","","","","","","","","","","","","bg_t0102",1,1,1,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10206,"A2020_dbef_71","","","","","","","","","","","","","","","","bg_t0102",1,2,2,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10207,"A2020_dbef_80","A2020_dbef_100","","","","","","","","","","","","","","","bg_t0102",1,1,1,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10208,"A2020_dbef_101","","","","","","","","","","","","","","","","bg_t0102",1,2,2,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10209,"A2020_dbef_110","","","","","","","","","","","","","","","","bg_t0102",1,2,2,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10210,"A2020_dbef_111","","","","","","","","","","","","","","","","bg_t0102",1,3,3,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10211,"A2020_dbef_200","","","","","","","","","","","","","","","","bg_t0132",1,2,8,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc_A20_200_210","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10212,"A2020_dbef_201","A2020_dbef_210","","","","","","","","","","","","","","","bg_t0132",1,2,8,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc_A20_200_210","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10213,"A2028_daft_220","A2028_daft_230","","","","","","","","","","","","","","","bg_t0102",2,1,9,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10214,"A2028_daft_240","A2028_daft_420","","","","","","","","","","","","","","","bg_t0102",2,1,4,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10215,"P2028_daft_320","P2028_daft_10000","","","","","","","","","","","","","","","bg_t0102",2,1,4,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10216,"Z2028_daft_390","","","","","","","","","","","","","","","","bg_t0102",2,1,4,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10217,"A2020_dbef_119","","","","","","","","","","","","","","","","bg_t0102",1,1,1,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10218,"A2028_daft_419","","","","","","","","","","","","","","","","bg_t0102",2,1,4,"","cam01_railcam","t0102p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10300,"FirstPast","FinalPast","","","","","","","","","","","","","","","bg_t0103",1,1,1,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10301,"FirstPresent","FinalPresent","","","","","","","","","","","","","","","bg_t0103",2,1,4,"","cam01_railcam","t0103p",1,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10302,"X2028_daft_0","X2028_daft_20","","","","","","","","","","","","","","","bg_t0103",2,1,4,"","cam01_railcam","t0103p",1,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10303,"A2020_dbef_0","A2020_dbef_50","","","","","","","","","","","","","","","bg_t0103",1,1,1,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10304,"A2020_dbef_51","","","","","","","","","","","","","","","","bg_t0103",1,2,2,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10305,"A2020_dbef_60","A2020_dbef_70","","","","","","","","","","","","","","","bg_t0103",1,1,1,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10306,"A2020_dbef_71","","","","","","","","","","","","","","","","bg_t0103",1,2,2,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10307,"A2020_dbef_80","","","","","","","","","","","","","","","","bg_t0103",1,1,1,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",80,100,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10308,"A2020_dbef_90","A2020_dbef_100","","","","","","","","","","","","","","","bg_t0103",1,1,8,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",80,100,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10309,"A2020_dbef_101","","","","","","","","","","","","","","","","bg_t0103",1,2,2,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10310,"A2020_dbef_110","","","","","","","","","","","","","","","","bg_t0103",1,2,2,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10311,"A2020_dbef_111","","","","","","","","","","","","","","","","bg_t0103",1,3,3,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10312,"A2020_dbef_200","A2020_dbef_210","","","","","","","","","","","","","","","bg_t0133",1,2,7,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc_A20_200_210","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10313,"A2028_daft_220","A2028_daft_230","","","","","","","","","","","","","","","bg_t0103",2,1,9,"","cam01_railcam","t0103p",2,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10314,"A2028_daft_240","A2028_daft_420","","","","","","","","","","","","","","","bg_t0103",2,1,4,"","cam01_railcam","t0103p",2,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10315,"P2028_daft_420","P2028_daft_10000","","","","","","","","","","","","","","","bg_t0103",2,1,4,"","cam01_railcam","t0103p",2,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10316,"Z2028_daft_390","","","","","","","","","","","","","","","","bg_t0103",2,1,4,"","cam01_railcam","t0103p",2,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10317,"P2028_daft_320","P2028_daft_10000","","","","","","","","","","","","","","","bg_t0103",2,1,4,"","cam01_railcam","t0103p",2,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10318,"A2020_dbef_119","","","","","","","","","","","","","","","","bg_t0103",1,1,1,"","cam01_railcam","t0103p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10319,"A2028_daft_419","","","","","","","","","","","","","","","","bg_t0103",2,1,4,"","cam01_railcam","t0103p",2,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
