int 0,int 1,int 2,int 3,int 4,int 5,int 6,empty 7,int 8,empty 9,int 10,empty 11,empty 12,int 13,empty 14,empty 15,int 16,empty 17,empty 18,int 19,empty 20,empty 21,int 22,bool 23,bool 24,int 25,int 26,int 27,int 28,int 29,int 30,int 31,empty 32
42,4,-1,20,49,34,42,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
43,4,-1,20,50,38,43,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
44,4,-1,20,51,42,44,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
45,4,-1,20,50,46,45,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
46,4,-1,20,53,50,46,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
47,4,-1,20,56,54,47,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
48,4,-1,20,55,58,48,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
49,4,-1,20,54,62,49,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
50,4,-1,20,57,66,50,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
51,4,-1,20,58,70,51,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
63,5,-1,10,70,0,63,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
64,5,-1,10,60,36,64,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
65,5,-1,10,63,40,65,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
66,5,-1,10,62,44,66,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
67,5,-1,10,61,48,67,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
68,5,-1,10,64,52,68,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
69,5,-1,10,67,56,69,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
70,5,-1,10,66,60,70,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
71,5,-1,10,65,64,71,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
72,5,-1,10,68,68,72,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
73,5,-1,10,69,72,73,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
85,8,-1,100,36,74,85,"",-1,"",10090,"","",10190,"","",-1,"","",10290,"","",12085,0,0,0,1,1,1,0,0,0,""
86,8,-1,100,37,74,86,"",-1,"",10091,"","",10191,"","",-1,"","",10291,"","",12086,0,0,0,1,1,1,0,0,0,""
87,7,-1,100,38,75,87,"",-1,"",10030,"","",10130,"","",-1,"","",10230,"","",12087,0,0,0,1,1,1,0,0,0,""
88,7,-1,100,39,75,88,"",-1,"",10031,"","",10131,"","",-1,"","",10231,"","",12088,0,0,0,1,1,1,0,0,0,""
89,9,-1,100,40,76,89,"",-1,"",34071,"","",0,"","",-1,"","",0,"","",12089,0,1,0,2,3,3,0,0,0,""
90,9,-1,100,41,77,90,"",-1,"",34081,"","",0,"","",-1,"","",0,"","",12090,0,1,0,2,3,3,0,0,0,""
91,9,-1,100,42,78,91,"",-1,"",34091,"","",0,"","",-1,"","",0,"","",12091,0,1,0,0,-1,-1,0,0,0,""
92,6,-1,100,43,0,-1,"",-1,"",10014,"","",10114,"","",-1,"","",10214,"","",12092,0,0,0,1,1,1,0,0,0,""
94,10,-1,20,44,79,94,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,0,""
96,10,-1,20,45,79,96,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,0,""
97,4,-1,20,-1,0,97,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,0,""
99,4,-1,20,-1,0,99,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,0,""
101,10,-1,100,46,80,101,"",-1,"",34021,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,0,""
102,10,-1,100,47,80,102,"",-1,"",34031,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,0,""
103,10,-1,100,48,81,103,"",-1,"",34011,"","",0,"","",-1,"","",0,"","",-1,0,0,0,1,1,1,0,0,0,""
105,10,-1,100,-1,0,105,"",-1,"",10036,"","",0,"","",-1,"","",0,"","",12105,1,1,0,2,1,1,2,0,0,""
106,10,-1,100,-1,83,106,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,0,0,1,1,1,0,0,0,""
107,10,-1,100,-1,84,107,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,0,0,1,1,1,0,0,0,""
108,10,-1,100,-1,0,108,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,0,0,0,-1,-1,0,0,0,""
109,10,-1,100,-1,0,109,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,0,0,0,-1,-1,0,0,0,""
112,0,-1,-1,-1,0,112,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
113,0,-1,-1,-1,0,113,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
114,0,-1,-1,-1,0,114,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
115,0,-1,-1,-1,0,115,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
116,0,-1,-1,-1,0,116,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
118,2,-1,33,12,10,118,"",10015,"",33081,"","",0,"","",-1,"","",0,"","",-1,1,1,0,2,3,3,2,0,0,""
119,2,-1,32,13,11,119,"",10016,"",33091,"","",0,"","",-1,"","",0,"","",-1,1,1,0,2,3,3,2,0,0,""
120,10,-1,100,-1,0,120,"",-1,"",10036,"","",0,"","",-1,"","",0,"","",12106,1,1,0,2,2,2,2,0,0,""
121,10,-1,20,-1,0,121,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
122,10,-1,20,-1,0,122,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
123,10,-1,20,-1,0,123,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
124,10,-1,999,-1,0,124,"",-1,"",60002,"","",0,"","",-1,"","",0,"","",12107,0,1,0,2,4,4,0,4,0,""
125,10,-1,999,-1,0,125,"",-1,"",60003,"","",0,"","",-1,"","",0,"","",12108,1,1,0,2,3,3,0,3,0,""
126,10,-1,100,-1,0,126,"",-1,"",32131,"","",0,"","",39002,"","",0,"","",12126,1,1,0,2,5,5,2,0,0,""
127,10,-1,999,94,0,-1,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,1,0,0,-1,-1,0,0,0,""
128,10,-1,999,-1,0,-1,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,1,0,2,0,0,0,0,0,""
129,10,-1,-1,-1,0,-1,"",-1,"",10018,"","",0,"","",-1,"","",10218,"","",-1,1,0,0,0,-1,-1,0,0,1,""
130,10,-1,-1,-1,0,-1,"",-1,"",10018,"","",0,"","",-1,"","",10217,"","",-1,1,0,0,0,-1,-1,0,0,1,""
131,10,-1,-1,-1,0,-1,"",-1,"",10018,"","",0,"","",-1,"","",10219,"","",-1,1,0,0,0,-1,-1,0,0,1,""
132,6,-1,100,43,0,132,"",-1,"",10014,"","",10114,"","",-1,"","",10214,"","",12132,0,0,0,1,1,1,0,0,0,""
133,10,-1,100,-1,0,133,"",-1,"",12014,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
325,4,-1,20,16,14,25,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
326,4,-1,20,18,15,26,"",-1,"",32021,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
327,4,-1,20,20,16,27,"",-1,"",32031,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
328,4,-1,20,22,17,28,"",-1,"",32041,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
329,4,-1,20,24,18,29,"",-1,"",32051,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
330,4,-1,20,26,19,30,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
331,4,-1,20,28,20,31,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
332,4,-1,20,30,21,32,"",-1,"",32061,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,1,""
333,5,-1,10,17,24,33,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
334,5,-1,10,19,25,34,"",-1,"",32141,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
335,5,-1,10,21,26,35,"",-1,"",32151,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
336,5,-1,10,23,27,36,"",-1,"",32161,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
337,5,-1,10,25,28,37,"",-1,"",32171,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
338,5,-1,10,27,29,38,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
339,5,-1,10,29,30,39,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
340,5,-1,10,31,31,40,"",-1,"",32181,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,1,""
341,4,-1,20,59,0,41,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
342,4,-1,20,49,34,42,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
343,4,-1,20,52,38,43,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
344,4,-1,20,51,42,44,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
345,4,-1,20,50,46,45,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
346,4,-1,20,53,50,46,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
347,4,-1,20,56,54,47,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
348,4,-1,20,55,58,48,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
349,4,-1,20,54,62,49,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
350,4,-1,20,57,66,50,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
351,4,-1,20,58,70,51,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,1,""
390,9,-1,100,41,77,90,"",-1,"",34081,"","",0,"","",-1,"","",0,"","",12390,0,1,0,2,3,3,0,0,1,""
394,10,-1,20,44,79,94,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,1,""
396,10,-1,20,45,79,96,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,0,2,3,3,0,0,1,""
422,10,-1,-1,-1,0,-1,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,1,""
