string3 0,string3 1
"chr228","chr228LOC"
"chr231","chr231LOC"
"chr234","chr234LOC"
"chr235","chr235LOC"
"chr237","chr237LOC"
"chr240","chr240LOC"
"chr241","chr241LOC"
"chr242","chr242LOC"
"chr302","chr302LOC"
"chr303","chr303LOC"
"chr304","chr304LOC"
"chr307","chr307LOC"
"chr308","chr308LOC"
"chr311","chr311LOC"
"chr313","chr313LOC"
"chr314","chr314LOC"
"chr316","chr316LOC"
"chr317","chr317LOC"
"chr320","chr320LOC"
"chr321","chr321LOC"
"chr322","chr322LOC"
"chr325","chr325LOC"
"chr326","chr326LOC"
"chr341","chr341LOC"
"chr342","chr342LOC"
"chr343","chr343LOC"
"chr344","chr344LOC"
"chr345","chr345LOC"
"chr348","chr348LOC"
"chr349","chr349LOC"
"chr359","chr359LOC"
"chr361","chr361LOC"
"chr363","chr363LOC"
"chr365","chr365LOC"
"chr367","chr367LOC"
"chr368","chr368LOC"
"chr369","chr369LOC"
"chr370","chr370LOC"
"chr371","chr371LOC"
"chr372","chr372LOC"
"chr373","chr373LOC"
"chr374","chr374LOC"
"chr375","chr375LOC"
"chr377","chr377LOC"
"chr378","chr378LOC"
"chr380","chr380LOC"
"chr387","chr387LOC"
"chr388","chr388LOC"
"chr389","chr389LOC"
"chr390","chr390LOC"
"chr391","chr391LOC"
"chr392","chr392LOC"
"chr393","chr393LOC"
"chr394","chr394LOC"
"chr395","chr395LOC"
"chr396","chr396LOC"
"chr397","chr397LOC"
"chr398","chr398LOC"
"chr399","chr399LOC"
"chr408","chr408LOC"
"chr410","chr410LOC"
"chr411","chr411LOC"
"chr412","chr412LOC"
"chr413","chr413LOC"
"chr422","chr422LOC"
"chr428","chr428LOC"
"chr429","chr429LOC"
"chr437","chr437LOC"
"chr438","chr438LOC"
"chr452","chr452LOC"
"chr454","chr454LOC"
"chr455","chr455LOC"
"chr456","chr456LOC"
"chr457","chr457LOC"
"chr458","chr458LOC"
"chr463","chr463LOC"
"chr466","chr466LOC"
"chr474","chr474LOC"
"chr510","chr510LOC"
"chr512","chr512LOC"
"chr514","chr514LOC"
"chr515","chr515LOC"
"chr548","chr548LOC"
"chr563","chr563LOC"
"chr564","chr564LOC"
"chr567","chr567LOC"
"chr569","chr569LOC"
"chr573","chr573LOC"
"chr574","chr574LOC"
"chr576","chr576LOC"
"chr582","chr582LOC"
"chr584","chr584LOC"
"chr586","chr586LOC"
"chr590","chr590LOC"
"chr592","chr592LOC"
"chr594","chr594LOC"
"chr595","chr595LOC"
"chr596","chr596LOC"
"chr597","chr597LOC"
"chr598","chr598LOC"
"chr601","chr601LOC"
"chr607","chr607LOC"
"chr609","chr609LOC"
"chr610","chr610LOC"
"chr611","chr611LOC"
"chr615","chr615LOC"
"chr621","chr621LOC"
"chr623","chr623LOC"
"chr626","chr626LOC"
"chr629","chr629LOC"
"chr630","chr630LOC"
"chr631","chr631LOC"
"chr676","chr676LOC"
"chr680","chr680LOC"
"chr682","chr682LOC"
"chr687","chr687LOC"
"chr697","chr697LOC"
"chr698","chr698LOC"
"chr701","chr701LOC"
"chr702","chr702LOC"
"chr705","chr705LOC"
"chr706","chr706LOC"
"chr707","chr707LOC"
"chr708","chr708LOC"
"chr709","chr709LOC"
"chr710","chr710LOC"
"chr711","chr711LOC"
"chr718","chr718LOC"
"chr720","chr720LOC"
"chr723","chr723LOC"
"chr747","chr747LOC"
"chr758","chr758LOC"
"chr770","chr770LOC"
"chr802","chr802LOC"
"chr805","chr805LOC"
"npc001a","npc001aLOC"
"npc002a","npc002aLOC"
"npc003a","npc003aLOC"
"npc006a","npc006aLOC"
"npc007a","npc007aLOC"
"npc009a","npc009aLOC"
"npc010a","npc010aLOC"
"npc011a","npc011aLOC"
"npc013a","npc013aLOC"
"npc101a","npc101aLOC"
"npc102a","npc102aLOC"
"npc105a","npc105aLOC"
"npc106a","npc106aLOC"
"npc107a","npc107aLOC"
"pc001a","pc001aLOC"
"pc002a","pc002aLOC"
