int 0,empty 1,string2 2,int 3,empty 4,string2 5,string2 6,int 7,float 8,int 9,int 10,float 11,int 12,int 13,int 14,int 15,bool 16,int 17,empty 18,int 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,int 27,int 28,int 29,int 30,int 31,int 32,int 33,empty 34,int 35,int 36,int 37
21731,"","char_APOLLOMON",973,"","","",2,1,0,2,-1,0,0,0,0,1,21731,"",55,9999,9999,4045,2005,3820,1830,745,0,0,100,100,100,100,100,"",36,11027,11047
21732,"","char_APOLLOMON",973,"","","",2,1,0,2,-1,0,0,0,0,1,21732,"",60,9999,9999,4045,2005,3820,1830,745,0,0,100,100,100,100,100,"",38,11027,11047
21741,"","char_MARSMON",174,"","","",2,1,0,2,-1,0,0,0,0,1,21741,"",35,9999,9999,2190,800,590,715,975,0,0,100,100,100,100,100,"",38,11027,11047
21742,"","char_MARSMON",174,"","","",2,1,0,2,-1,0,0,0,0,1,21742,"",60,9999,9999,4621,2637,1786,1858,853,0,0,100,100,100,100,100,"",38,11027,11047
21761,"","char_CERESMON_BIG",176,"","","",2,1,0,2,-1,0,0,0,0,0,21761,"",60,1729,1040,615,1050,770,1050,750,0,0,100,100,100,100,100,"",38,11027,11042
21791,"","char_BACCHUSMON",179,"","","",2,1,0,2,-1,0,0,0,0,1,21791,"",40,9999,9999,2990,2320,2960,2410,720,0,0,100,100,100,100,100,"",38,11027,11047
21792,"","char_BACCHUSMON",179,"","","",2,1,0,2,-1,0,0,0,0,1,21792,"",60,9999,9999,4575,2320,3069,2410,720,0,0,100,100,100,100,100,"",38,11027,11047
21801,"","char_PLUTOMON",180,"","","",2,1,0,2,-1,0,0,0,0,1,21801,"",55,9999,9999,1230,765,1065,740,810,0,0,100,100,100,100,100,"",38,11027,11047
21802,"","char_PLUTOMON",180,"","","",2,1,0,2,-1,0,0,0,0,1,21802,"",60,9999,9999,4843,2359,3572,1902,708,0,0,100,100,100,100,100,"",38,11027,11047
21511,"","char_GABUMON",151,"","","",2,1,0,2,-1,0,0,0,0,1,21511,"",1,9999,9999,320,180,390,200,230,0,0,100,100,100,100,100,"",38,11027,11036
21811,"","char_MERVAMON",181,"","","",2,1,0,2,-1,0,0,0,0,1,21811,"",65,9999,9999,4690,1810,3000,1685,1210,0,0,100,100,100,100,100,"",38,11027,11037
21951,"","char_BEELSTARMON",195,"","","",2,1,0,2,-1,0,0,0,0,1,21951,"",45,9999,9999,990,650,1100,760,790,0,0,100,100,100,100,100,"",38,11027,11047
22151,"","char_EXAMON",215,"","","",2,1,0,2,-1,0,0,0,0,1,22151,"",60,9999,9999,1325,920,1080,740,1070,0,0,100,100,100,100,100,"",38,11027,11047
22152,"","char_EXAMON_SMALL",987,"","","",2,1,0,2,-1,0,0,0,0,1,22152,"",60,9999,9999,1325,920,1080,740,1070,0,0,100,100,100,100,100,"",38,11027,11047
22191,"","char_KOTEMON",219,"","","",2,1,0,2,-1,0,0,0,0,1,22191,"",1,9999,9999,480,510,320,420,330,0,0,100,100,100,100,100,"",38,11027,11036
22201,"","char_MUSYAMON",220,"","","",2,1,0,2,-1,0,0,0,0,1,22201,"",20,9999,9999,400,330,290,270,260,0,0,100,100,100,100,100,"",38,11027,11047
22341,"","char_BEARMON",234,"","","",2,1,0,2,-1,0,0,0,0,1,22341,"",1,9999,9999,660,400,210,310,380,0,0,100,100,100,100,100,"",38,11027,11047
22321,"","char_SIRENMON",232,"","","",2,1,0,2,-1,0,0,0,0,1,22321,"",25,9999,9999,250,425,1265,845,500,0,0,100,100,100,100,100,"",38,11027,11042
23041,"","char_KABUTERIMON",304,"","","",2,1,0,0,-1,0,0,0,0,1,0,"",10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",10,11027,11042
23081,"","char_BIRDRAMON",308,"","","",2,1,0,2,-1,0,0,0,0,1,23081,"",45,9999,9999,225,175,375,260,325,0,0,100,100,100,100,100,"",38,11027,11028
23131,"","char_SUKAMON",313,"","","",2,1,0,0,-1,0,0,0,0,1,0,"",10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",10,11027,11037
23481,"","char_PALMON",348,"","","",2,1,0,2,-1,0,0,0,0,1,23481,"",20,9999,9999,550,410,430,340,390,0,0,100,100,100,100,100,"",38,11027,11036
23711,"","char_MOJYAMON",371,"","","",2,1,0,2,-1,0,0,0,0,1,23711,"",50,9999,9999,355,290,325,240,315,0,0,100,100,100,100,100,"",38,11027,11028
23731,"","char_DRIMOGEMON",373,"","","",2,1,0,2,-1,0,0,0,0,1,0,"",10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",38,11027,11047
23732,"","char_DRIMOGEMON_OB",373,"","","",2,1,0,2,-1,0,0,0,0,1,0,"",22,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",38,11027,11047
23733,"","char_DRIMOGEMON_YB",373,"","","",2,1,0,2,-1,0,0,0,0,1,0,"",20,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",38,11027,11047
23751,"","char_NANIMON",375,"","","",2,1,0,2,-1,0,0,0,0,1,23751,"",60,9999,9999,275,350,280,315,210,0,0,100,100,100,100,100,"",38,11027,11047
23821,"","char_MAGNAMON",991,"","","",2,1,0,2,-1,0,0,0,0,1,23821,"",60,9999,9999,990,1250,975,820,735,0,0,100,100,100,100,100,"",38,11027,11047
23822,"","char_MAGNAMON",991,"","","",2,1,0,2,-1,0,0,0,0,1,23822,"",60,9999,9999,990,1250,975,820,735,0,0,100,100,100,100,100,"",38,11027,11047
23941,"","char_ORGEMON",394,"","","",2,1,0,2,-1,0,0,0,0,1,23941,"",55,9999,9999,460,300,155,235,240,0,0,100,100,100,100,100,"",38,11027,11047
23991,"","char_GEKOMON",399,"","","",2,1,0,2,-1,0,0,0,0,1,23991,"",30,9999,9999,550,410,430,340,390,0,0,100,100,100,100,100,"",38,11027,11042
24031,"","char_GRAPLEOMON",403,"","","",2,1,0,2,-1,0,0,0,0,1,24031,"",30,9999,9999,885,485,445,590,750,0,0,100,100,100,100,100,"",38,11027,11047
24161,"","char_ALPHAMON",998,"","","",2,1,0,2,-1,0,0,0,0,1,24161,"",60,9999,9999,955,985,1030,980,785,0,0,100,100,100,100,100,"",38,11027,11035
24171,"","char_ULFORCEVDRAMON",992,"","","",2,1,0,2,-1,0,0,0,0,1,24171,"",60,9999,9999,1080,560,700,665,1205,0,0,100,100,100,100,100,"",38,11027,11047
24381,"","char_TUNOMON_TITAMON",459,"","","",2,1,0,2,-1,0,0,0,0,1,24381,"",55,9999,9999,205,150,100,115,140,0,0,100,100,100,100,100,"",38,11027,11041
24661,"","char_DORIMON",466,"","","",2,1,0,2,-1,0,0,0,0,1,24661,"",55,9999,9999,170,130,130,125,130,0,0,100,100,100,100,100,"",38,11027,11047
24921,"","char_CHARISMON",492,"","","",2,1,0,2,-1,0,0,0,0,1,24921,"",55,9999,9999,1250,560,730,565,1045,0,0,100,100,100,100,100,"",38,11027,11047
25791,"","char_FUGAMON",579,"","","",2,1,0,2,-1,0,0,0,0,1,25791,"",55,9999,9999,405,225,245,260,220,0,0,100,100,100,100,100,"",38,11027,11037
25801,"","char_HYOUGAMON",580,"","","",2,1,0,2,-1,0,0,0,0,1,25801,"",55,9999,9999,425,290,230,250,240,0,0,100,100,100,100,100,"",38,11027,11037
25961,"","char_PUMPMON",596,"","","",2,1,0,2,-1,0,0,0,0,1,25961,"",42,9999,9999,620,485,775,605,590,0,0,100,100,100,100,100,"",38,11027,11042
26011,"","char_WITCHMON",601,"","","",2,1,0,2,-1,0,0,0,0,1,26011,"",45,9999,9999,155,180,565,345,310,0,0,100,100,100,100,100,"",38,11027,11042
26012,"","char_WITCHMON",601,"","","",2,1,0,2,-1,0,0,0,0,1,26012,"",45,9999,9999,155,180,565,345,310,0,0,100,100,100,100,100,"",38,11027,11042
26061,"","char_HANGYOMON_SCARF",984,"","","",2,1,0,2,-1,0,0,0,0,1,26061,"",25,9999,9999,1500,1060,1080,830,200,0,0,100,100,100,100,100,"",38,11027,11047
26062,"","char_HANGYOMON_SCAR",983,"","","",2,1,0,2,-1,0,0,0,0,1,26062,"",25,9999,9999,1500,1060,1080,830,200,0,0,100,100,100,100,100,"",38,11027,11047
26091,"","char_KOKUWAMON",609,"","","",2,1,0,0,-1,0,0,0,0,1,0,"",10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",37,11027,11047
26092,"","char_KOKUWAMON_A",609,"","","",2,1,0,2,-1,0,0,0,0,1,26091,"",10,9999,9999,490,420,450,410,170,0,0,100,100,100,100,100,"",38,11027,11047
26093,"","char_KOKUWAMON_UN",609,"","","",2,1,0,2,-1,0,0,0,0,1,26091,"",10,9999,9999,490,420,450,410,150,0,0,100,100,100,100,100,"",38,11027,11047
26821,"","char_SHOUTMON",682,"","","",2,1,0,2,-1,0,0,0,0,1,26821,"",35,9999,9999,1360,480,1115,300,420,0,0,100,100,100,100,100,"",38,11027,11047
26881,"","char_GANKOOMON",688,"","","",2,1,0,2,-1,0,0,0,0,1,26881,"",60,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",38,11027,11047
27031,"","char_LOADKNIGHTMON",989,"","","",2,1,0,2,-1,0,0,0,0,1,27031,"",60,9999,9999,820,775,1025,825,1120,0,0,100,100,100,100,100,"",38,11027,11047
27061,"","char_HAWKMON",706,"","","",2,1,0,2,-1,0,0,0,0,1,27061,"",45,9999,9999,275,165,240,150,280,0,0,100,100,100,100,100,"",38,11027,11038
27181,"","char_KNIGHTMON",718,"","","",2,1,0,2,-1,0,0,0,0,1,27181,"",35,9999,9999,1725,840,1775,725,470,0,0,100,100,100,100,100,"",38,11027,11047
27211,"","char_YATAGARAMON",721,"","","",2,1,0,0,-1,0,0,0,0,1,0,"",10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",10,11027,11035
27261,"","char_WISEMON",726,"","","",2,1,0,0,-1,0,0,0,0,0,27261,"",1,9999,9999,2680,1390,1900,740,1600,0,0,100,100,100,100,100,"",10,11027,11042
27331,"","char_DIANAMON",999,"","","",2,1,0,2,-1,0,0,0,0,1,27331,"",47,9999,9999,330,850,1455,1095,1080,0,0,100,100,100,100,100,"",38,11027,11042
27332,"","char_DIANAMON",999,"","","",2,1,0,2,-1,0,0,0,0,1,27332,"",55,9999,9999,2950,1850,4155,2095,1080,0,0,100,100,100,100,100,"",38,11027,11042
27333,"","char_DIANAMON",999,"","","",2,1,0,2,-1,0,0,0,0,1,27333,"",60,9999,9999,3250,1850,4455,2095,1080,0,0,100,100,100,100,100,"",38,11027,11042
27341,"","char_CRANIAMON",993,"","","",2,1,0,2,-1,0,0,0,0,1,27341,"",60,9999,9999,690,1250,970,950,735,0,0,100,100,100,100,100,"",38,11027,11028
27381,"","char_DYNASMON",990,"","","",2,1,0,2,-1,0,0,0,0,1,27381,"",35,9999,9999,1295,735,595,625,1035,0,0,100,100,100,100,100,"",38,11027,11042
27382,"","char_DYNASMON",990,"","","",2,1,0,2,-1,0,0,0,0,1,27382,"",60,9999,9999,1295,735,595,625,1035,0,0,100,100,100,100,100,"",38,11027,11042
27391,"","char_DUFTMON",995,"","","",2,1,0,2,-1,0,0,0,0,1,27391,"",60,9999,9999,735,605,1295,850,1120,0,0,100,100,100,100,100,"",38,11027,11047
27421,"","char_LOTOSMON",968,"","","",2,1,0,2,-1,0,0,0,0,1,27421,"",40,9999,9999,2300,2120,2620,2365,950,0,0,100,100,100,100,100,"",38,11027,11042
27422,"","char_LOTOSMON",968,"","","",2,1,0,2,-1,0,0,0,0,1,27422,"",60,9999,9999,3300,2120,3620,2365,950,0,0,100,100,100,100,100,"",38,11027,11042
27471,"","char_MINERVAMON",747,"","","",1,1,0,2,-1,0,0,0,0,1,27471,"",1,9999,9999,1800,725,825,775,280,0,0,100,100,100,100,100,"",38,11027,11037
27472,"","char_MINERVAMON",747,"","","",1,1,0,2,-1,0,0,0,0,1,27472,"",1,9999,9999,1800,725,825,775,300,0,0,100,100,100,100,100,"",38,11027,11037
27473,"","char_MINERVAMON",747,"","","",2,1,0,2,-1,0,0,0,0,1,27473,"",60,9999,9999,4200,1725,3825,1775,600,0,0,100,100,100,100,100,"",38,11027,11037
27474,"","char_MINERVAMON",747,"","","",2,1,0,2,-1,0,0,0,0,1,27474,"",60,9999,9999,4200,1725,3825,1775,600,0,0,100,100,100,100,100,"",38,11027,11037
27491,"","char_JESMON",997,"","","",2,1,0,2,-1,0,0,0,0,1,27491,"",60,9999,9999,1165,905,805,775,950,0,0,100,100,100,100,100,"",38,11027,11036
27671,"","char_BACCHUSMON_DRUNK",767,"","","",2,1,0,2,-1,0,0,0,0,1,27671,"",35,9999,9999,2490,880,1980,705,720,0,0,100,100,100,100,100,"",38,11027,11047
28671,"","char_VULCANUSMON",867,"","","",2,1,0,2,-1,0,0,0,0,1,28671,"",60,9999,9999,3840,2230,3840,2020,695,0,0,100,100,100,100,100,"",38,11027,11029
28672,"","char_VULCANUSMON",867,"","","",2,1,0,2,-1,0,0,0,0,1,28672,"",60,9999,9999,4440,2230,4440,2020,695,0,0,100,100,100,100,100,"",38,11027,11029
29241,"","char_BEARMON_OB",924,"","","",2,1,0,2,-1,0,0,0,0,1,29241,"",25,9999,9999,330,200,130,155,190,0,0,100,100,100,100,100,"",38,11027,11047
29251,"","char_BEARMON_YB",925,"","","",2,1,0,2,-1,0,0,0,0,1,29251,"",25,9999,9999,300,220,130,155,170,0,0,100,100,100,100,100,"",38,11027,11047
30021,"","char_HEROINES_FATHER",0,"","npc002aa010101","",1,1,0,0,-1,0,0,0,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
30031,"","char_HIROKO",0,"","npc003aa010101","",1,1,0,0,-1,0,0,0,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
30041,"","char_SIMMONS",0,"","npc004aa010101","",1,1,0,0,-1,0,0,0,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
30531,"","char_HIROKO_8YEARSLATER",0,"","npc053aa010101","",1,1,0,0,-1,0,0,0,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
30061,"","char_SUMERAGI",0,"","npc101aa010101","",1,1,0,1,-1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
30071,"","char_MAN_OF_PUBLIC_SECURITY",0,"","npc006aa010101","",1,1,0,0,-1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
30081,"","char_WOMAN_OF_PUBLIC_SECURITY",0,"","npc007aa010101","",1,1,0,0,-1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
30121,"","char_MIREI",0,"","npc012aa010101","",1,1,0,1,-1,0,0,0,0,0,30121,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
31011,"","char_PUBLICSAFETY_MOB_B",0,"","npc101aa010101","",0,1,0,2,-1,0,0,0,0,0,31011,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
