string2 0,string2 1,string2 2,int 3,string2 4,string2 5
"E10_M07","e10","m07",-1,"",""
"E10_M08","e10","m08",-1,"",""
"E10_M09","e10","m09",-1,"",""
"E10_M10","e10","m10",-1,"",""
"E10_M11","e10","m11",-1,"",""
"E10_M12","e10","m12",-1,"",""
"E10_M13","e10","m13",-1,"",""
"E10_M14","e10","m14",-1,"",""
"E10_M15","e10","m15",-1,"",""
"E10_M16","e10","m16",-1,"",""
"E11_M01","e11","m01",-1,"",""
"E11_M02","e11","m02",-1,"",""
"E11_M03","e11","m03",-1,"",""
"E11_M04","e11","m04",-1,"",""
"E11_M05","e11","m05",-1,"",""
"E11_M06","e11","m06",-1,"",""
"E11_M07","e11","m07",-1,"",""
"E11_M08","e11","m08",-1,"",""
"E11_M09","e11","m09",-1,"",""
"E11_M10","e11","m10",-1,"",""
"E11_M11","e11","m11",-1,"",""
"E11_M12","e11","m12",-1,"",""
"E11_M13","e11","m13",-1,"",""
"E11_M14","e11","m14",-1,"",""
"E11_M15","e11","m15",-1,"",""
"E11_M16","e11","m16",-1,"",""
"E12_M01","e12","m01",-1,"",""
"E12_M02","e12","m02",-1,"",""
"E12_M03","e12","m03",-1,"",""
"E12_M04","e12","m04",-1,"",""
"E12_M05","e12","m05",-1,"",""
"E12_M06","e12","m06",-1,"",""
"E12_M07","e12","m07",-1,"",""
"E12_M08","e12","m08",-1,"",""
"E12_M09","e12","m09",-1,"",""
"E12_M10","e12","m10",-1,"",""
"E12_M11","e12","m11",-1,"",""
"E12_M12","e12","m12",-1,"",""
"E12_M13","e12","m13",-1,"",""
"E12_M14","e12","m14",-1,"",""
"E12_M15","e12","m15",-1,"",""
"E12_M16","e12","m16",-1,"",""
"E13_M01","e13","m01",-1,"",""
"E13_M02","e13","m02",-1,"",""
"E13_M03","e13","m03",-1,"",""
"E13_M04","e13","m04",-1,"",""
"E13_M05","e13","m05",-1,"",""
"E13_M06","e13","m06",-1,"",""
"E13_M07","e13","m07",-1,"",""
"E13_M08","e13","m08",-1,"",""
"E13_M09","e13","m09",-1,"",""
"E13_M10","e13","m10",-1,"",""
"E13_M11","e13","m11",-1,"",""
"E13_M12","e13","m12",-1,"",""
"E13_M13","e13","m13",-1,"",""
"E13_M14","e13","m14",-1,"",""
"E13_M15","e13","m15",-1,"",""
"E13_M16","e13","m16",-1,"",""
"E14_M01","e14","m01",-1,"",""
"E14_M02","e14","m02",-1,"",""
"E14_M03","e14","m03",-1,"",""
"E14_M04","e14","m04",-1,"",""
"E14_M05","e14","m05",-1,"",""
"E14_M06","e14","m06",-1,"",""
"E14_M07","e14","m07",-1,"",""
"E14_M08","e14","m08",-1,"",""
"E14_M09","e14","m09",-1,"",""
"E14_M10","e14","m10",-1,"",""
"E14_M11","e14","m11",-1,"",""
"E14_M12","e14","m12",-1,"",""
"E14_M13","e14","m13",-1,"",""
"E14_M14","e14","m14",-1,"",""
"E14_M15","e14","m15",-1,"",""
"E14_M16","e14","m16",-1,"",""
"E15_M01","e15","m01",-1,"",""
"E15_M02","e15","m02",-1,"",""
"E15_M03","e15","m03",-1,"",""
"E15_M04","e15","m04",-1,"",""
"E15_M05","e15","m05",-1,"",""
"E15_M06","e15","m06",-1,"",""
"E15_M07","e15","m07",-1,"",""
"E15_M08","e15","m08",-1,"",""
"E15_M09","e15","m09",-1,"",""
"E15_M10","e15","m10",-1,"",""
"E15_M11","e15","m11",-1,"",""
"E15_M12","e15","m12",-1,"",""
"E15_M13","e15","m13",-1,"",""
"E15_M14","e15","m14",-1,"",""
"E15_M15","e15","m15",-1,"",""
"E15_M16","e15","m16",-1,"",""
"E16_M01","e16","m01",-1,"",""
"E16_M02","e16","m02",-1,"",""
"E16_M03","e16","m03",-1,"",""
"E16_M04","e16","m04",-1,"",""
"E16_M05","e16","m05",-1,"",""
"E16_M06","e16","m06",-1,"",""
"E16_M07","e16","m07",-1,"",""
"E16_M08","e16","m08",-1,"",""
"E16_M09","e16","m09",-1,"",""
"E16_M10","e16","m10",-1,"",""
"E16_M11","e16","m11",-1,"",""
"E16_M12","e16","m12",-1,"",""
"E16_M13","e16","m13",-1,"",""
"E16_M14","e16","m14",-1,"",""
"E16_M15","e16","m15",-1,"",""
"E16_M16","e16","m16",-1,"",""
"E50_M01","e50","m01",-1,"",""
"E50_M02","e50","m02",-1,"",""
"E50_M03","e50","m03",-1,"",""
"E50_M04","e50","m04",-1,"",""
"E50_M05","e50","m05",-1,"",""
"E50_M06","e50","m06",-1,"",""
"E50_M07","e50","m07",-1,"",""
"E50_M08","e50","m08",-1,"",""
"E50_M09","e50","m09",-1,"",""
"E50_M10","e50","m10",-1,"",""
"E50_M11","e50","m11",-1,"",""
"E50_M12","e50","m12",-1,"",""
"E50_M13","e50","m13",-1,"",""
"E50_M14","e50","m14",-1,"",""
"E50_M15","e50","m15",-1,"",""
"E50_M16","e50","m16",-1,"",""
"E50_M50","e50","m50",-1,"",""
