int32 0,string2 1,empty 2,int32 3,int32 4,float 5,int32 6,int32 7,string2 8,string2 9,int32 10,string2 11,int32 12,int32 13,int32 14,int32 15,int32 16,string2 17,int32 18,string2 19,string2 20,int32 21,string2 22,string2 23,int32 24,string2 25,string2 26,int32 27,string2 28,string2 29,int32 30,int32 31,int32 32,int32 33
1060080010,"main_060_080_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_060_080_010",2,"FLAG_MAIN_03_080","FLAG_MAIN_03_090",0,"","",0,"","",0,"","",3,0,0,2
1060080011,"main_060_080_011",,1,4,30,0,0,"char_OPERATOR","d",1060080010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1060080012,"main_060_080_012",,1,5,0,0,0,"char_OPERATOR","d",1060080011,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1060080020,"main_060_090_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_060_080_020",1,"","DIGITTER_FLAG_MAIN_060_080_020",0,"","",0,"","",0,"","",3,0,0,2
1060080021,"main_060_090_020",,1,5,0,0,0,"char_OPERATOR","d",1060080020,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1060080022,"main_060_090_030",,1,5,0,0,0,"char_OPERATOR","d",1060080021,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1060080030,"main_060_090_040",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_060_080_030",1,"","DIGITTER_FLAG_MAIN_060_080_030",0,"","",0,"","",0,"","",3,0,0,2
1060080031,"main_060_090_050",,1,4,30,0,0,"char_OPERATOR","d",1060080030,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1060080040,"main_060_090_060",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_060_080_040",1,"","DIGITTER_FLAG_MAIN_060_080_040",0,"","",0,"","",0,"","",3,0,0,2
1060080041,"main_060_090_070",,1,4,30,0,0,"char_OPERATOR","d",1060080040,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1070010010,"main_070_010_010",,1,2,0,0,0,"char_INORI","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_070_010_010",2,"FLAG_MAIN_03_120","FLAG_MAIN_03_125",0,"","",0,"","",0,"","",3,0,0,2
1070010011,"main_070_010_011",,1,4,60,0,0,"char_INORI","d",1070010010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1070010012,"main_070_010_012",,1,5,0,0,0,"char_INORI","d",1070010011,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1070020010,"main_070_020_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_070_020_010",2,"FLAG_MAIN_03_125","FLAG_MAIN_03_130",0,"","",0,"","",0,"","",3,0,0,2
1070020011,"main_070_020_011",,1,4,30,0,0,"char_OPERATOR","d",1070020010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1070020012,"main_070_020_012",,1,5,0,0,0,"char_OPERATOR","d",1070020011,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1070020013,"main_070_020_013",,1,5,0,0,0,"char_OPERATOR","d",1070020012,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1070040010,"main_070_040_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_070_040_010",2,"FLAG_MAIN_03_130","FLAG_MAIN_03_140",0,"","",0,"","",0,"","",3,0,0,2
1070040011,"main_070_040_011",,1,5,0,0,0,"char_OPERATOR","d",1070040010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1070040012,"main_070_040_012",,1,5,0,0,0,"char_OPERATOR","d",1070040011,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1070090010,"main_070_090_010",,1,0,0,0,0,"char_INORI","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_070_090_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1070090011,"main_070_090_011",,1,5,0,0,0,"char_INORI","d",1070090010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1080060010,"main_080_060_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_080_060_010",2,"FLAG_MAIN_03_200","FLAG_MAIN_03_210",0,"","",0,"","",0,"","",3,0,0,2
1080060011,"main_080_060_011",,1,5,0,0,0,"char_OPERATOR","d",1080060010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1080060012,"main_080_060_012",,1,5,0,0,0,"char_OPERATOR","d",1080060011,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1080060013,"main_080_060_013",,1,5,0,0,0,"char_OPERATOR","d",1080060012,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1080060014,"main_080_060_014",,1,5,0,0,0,"char_OPERATOR","d",1080060013,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1090060010,"main_090_060_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_090_060_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1090060011,"main_090_060_011",,1,5,0,0,0,"char_OPERATOR","d",1090060010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1090060012,"main_090_060_012",,1,5,0,0,0,"char_OPERATOR","d",1090060011,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1090080010,"main_090_080_010",,1,2,0,0,0,"char_HIROKO","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_090_080_010",2,"FLAG_MAIN_03_300","FLAG_MAIN_03_310",0,"","",0,"","",0,"","",3,0,0,2
1090080011,"main_090_080_011",,1,5,0,0,0,"char_HIROKO","d",1090080010,"",-1,-1,-1,0,0,"",1,"FLAG_MAIN_03_300","FLAG_MAIN_03_310",0,"","",0,"","",0,"","",3,0,0,2
1090080012,"main_090_080_012",,1,5,0,0,0,"char_HIROKO","d",1090080011,"",-1,-1,-1,0,0,"",1,"FLAG_MAIN_03_300","FLAG_MAIN_03_310",0,"","",0,"","",0,"","",3,0,0,2
1090080013,"main_090_080_013",,1,5,0,0,0,"char_HIROKO","d",1090080012,"",-1,-1,-1,0,0,"",1,"FLAG_MAIN_03_300","FLAG_MAIN_03_310",0,"","",0,"","",0,"","",3,0,0,2
1100050010,"main_100_050_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_100_050_010",2,"FLAG_MAIN_03_350","FLAG_MAIN_03_360",0,"","DIGITTER_FLAG_MAIN_03_350",0,"","",0,"","",3,0,0,2
1100050011,"main_100_050_011",,1,5,0,0,0,"char_OPERATOR","d",1100050010,"",-1,-1,-1,0,0,"",1,"FLAG_MAIN_03_355","FLAG_MAIN_03_360",0,"","",0,"","",0,"","",3,0,0,2
1033510,"main_03_351_0",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_03_351",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1110030010,"main_110_030_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_110_030_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1110030011,"main_110_030_011",,1,4,30,0,0,"char_OPERATOR","d",1110030010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1110030012,"main_110_030_012",,1,5,0,0,0,"char_OPERATOR","d",1110030011,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1120090010,"main_120_090_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_120_090_010",2,"FLAG_MAIN_03_510","FLAG_MAIN_03_520",0,"","",0,"","",0,"","",3,0,0,2
1120090011,"main_120_090_011",,1,4,180,0,0,"char_OPERATOR","d",1120090010,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_03_510","FLAG_MAIN_03_520",0,"","",0,"","",0,"","",3,0,0,2
1130030010,"main_130_030_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_130_030_010",2,"FLAG_MAIN_03_620","FLAG_MAIN_03_630",0,"","",0,"","",0,"","",3,0,0,2
1130030011,"main_130_030_011",,1,4,180,0,0,"char_OPERATOR","d",1130030010,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_03_620","FLAG_MAIN_03_630",0,"","",0,"","",0,"","",3,0,0,2
1150010010,"main_150_010_010",,1,2,180,0,0,"char_OPERATOR","d",1130030010,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_04_010","FLAG_MAIN_04_020",0,"","",0,"","",0,"","",3,0,0,2
1150010011,"main_150_010_011",,1,4,30,0,0,"char_OPERATOR","d",1150010010,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_03_620","FLAG_MAIN_03_630",0,"","",0,"","",0,"","",3,0,0,2
1170010010,"main_170_010_010",,1,0,180,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_170_010_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1170010011,"main_170_010_011",,1,4,30,0,0,"char_OPERATOR","d",1170010010,"",-1,-1,-1,0,0,"",2,"","",0,"","",0,"","",0,"","",3,0,0,2
1170010012,"main_170_010_012",,1,5,30,0,0,"char_OPERATOR","d",1170010011,"",-1,-1,-1,0,0,"",2,"","",0,"","",0,"","",0,"","",3,0,0,2
1170010013,"main_170_010_013",,1,5,30,0,0,"char_OPERATOR","d",1170010012,"",-1,-1,-1,0,0,"",2,"","",0,"","",0,"","",0,"","",3,0,0,2
1180010010,"main_180_010_010",,1,0,180,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_180_010_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1180010011,"main_180_010_011",,1,4,30,0,0,"char_OPERATOR","d",1180010010,"",-1,-1,-1,0,0,"",2,"","",0,"","",0,"","",0,"","",3,0,0,2
1180010012,"main_180_010_012",,1,5,30,0,0,"char_OPERATOR","d",1180010011,"",-1,-1,-1,0,0,"",2,"","",0,"","",0,"","",0,"","",3,0,0,2
1200030010,"main_200_030_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_200_030_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1200030011,"main_200_030_011",,1,4,180,0,0,"char_OPERATOR","d",1200030010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210010010,"main_210_010_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_010_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210010011,"main_210_010_011",,1,4,180,0,0,"char_OPERATOR","d",1210010010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210010020,"main_210_010_020",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_010_020",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020010,"main_210_020_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020020,"main_210_020_020",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_020",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020030,"main_210_020_030",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_030",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020040,"main_210_020_040",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_040",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020041,"main_210_020_041",,1,4,180,0,0,"char_OPERATOR","d",1210020040,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020050,"main_210_020_050",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_050",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020060,"main_210_020_060",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_060",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020070,"main_210_020_070",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_070",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020080,"main_210_020_080",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_080",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020081,"main_210_020_081",,1,4,180,0,0,"char_OPERATOR","d",1210020080,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020090,"main_210_020_090",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_090",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020100,"main_210_020_100",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_100",1,"","DIGITTER_FLAG_MAIN_210_020_100",0,"","",0,"","",0,"","",3,0,0,2
1210020101,"main_210_020_101",,1,4,20,0,0,"char_OPERATOR","d",1210020100,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020110,"main_210_020_110",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_110",1,"","DIGITTER_FLAG_MAIN_210_020_110",0,"","",0,"","",0,"","",3,0,0,2
1210020111,"main_210_020_111",,1,4,20,0,0,"char_OPERATOR","d",1210020110,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020120,"main_210_020_120",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_120",1,"","DIGITTER_FLAG_MAIN_210_020_120",0,"","",0,"","",0,"","",3,0,0,2
1210020121,"main_210_020_121",,1,4,20,0,0,"char_OPERATOR","d",1210020120,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020122,"main_210_020_122",,1,4,40,0,0,"char_OPERATOR","d",1210020121,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020130,"main_210_020_130",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_130",1,"","DIGITTER_FLAG_MAIN_210_020_130",0,"","",0,"","",0,"","",3,0,0,2
1210020131,"main_210_020_131",,1,4,20,0,0,"char_OPERATOR","d",1210020130,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020132,"main_210_020_132",,1,4,40,0,0,"char_OPERATOR","d",1210020131,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020140,"main_210_020_140",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_140",1,"","DIGITTER_FLAG_MAIN_210_020_140",0,"","",0,"","",0,"","",3,0,0,2
1210020141,"main_210_020_141",,1,4,20,0,0,"char_OPERATOR","d",1210020140,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020142,"main_210_020_142",,1,4,40,0,0,"char_OPERATOR","d",1210020141,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020150,"main_210_020_150",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_210_020_150",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1210020151,"main_210_020_151",,1,4,30,0,0,"char_OPERATOR","d",1210020150,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1230010010,"main_230_010_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_230_010_010",2,"FLAG_MAIN_08_000","FLAG_MAIN_08_005",0,"","",0,"","",0,"","",3,0,0,2
1230010011,"main_230_010_011",,1,4,30,0,0,"char_OPERATOR","d",1230010010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1230010012,"main_230_010_012",,1,5,0,0,0,"char_OPERATOR","d",1230010011,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1235040010,"main_235_040_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_235_040_010",2,"FLAG_MAIN_08_030","FLAG_MAIN_08_035",0,"","",0,"","",0,"","",3,0,0,2
1235040011,"main_235_040_011",,1,5,0,0,0,"char_OPERATOR","d",1235040010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1235040012,"main_235_040_012",,1,5,0,0,0,"char_OPERATOR","d",1235040011,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1235040013,"main_235_040_013",,1,5,0,0,0,"char_OPERATOR","d",1235040012,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1260050010,"main_260_050_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_260_050_010",2,"FLAG_MAIN_09_029","FLAG_MAIN_09_030",0,"","",0,"","",0,"","",3,0,0,2
1260050011,"main_260_050_011",,1,5,0,0,0,"char_OPERATOR","d",1260050010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1260050012,"main_260_050_012",,1,5,0,0,0,"char_OPERATOR","d",1260050011,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
