string2 0,int 1,int 2,int 3,empty 4,empty 5,empty 6,string 7
"DIGITTER_FLAG_MAIN_210_020_040",1480,-1,0,"","","","210 2か所目に向かう"
"DIGITTER_FLAG_MAIN_210_020_050",1490,-1,0,"","","","210 新宿駅に向かう"
"DIGITTER_FLAG_MAIN_210_020_060",1500,-1,0,"","","","210 新宿駅の線路に降りるゲートを超えた"
"DIGITTER_FLAG_MAIN_210_020_070",1510,-1,0,"","","","210 大空洞ゲート前"
"DIGITTER_FLAG_MAIN_210_020_080",1520,-1,0,"","","","210 大空洞階段付近"
"DIGITTER_FLAG_MAIN_210_020_090",1530,-1,0,"","","","210 地下水路北ブロック到着"
"DIGITTER_FLAG_MAIN_210_020_100",1540,210,16,"","","","210 地下水路北～新宿公園まで1"
"DIGITTER_FLAG_MAIN_210_020_110",1550,210,16,"","","","210 地下水路北～新宿公園まで2"
"DIGITTER_FLAG_MAIN_210_020_120",1560,210,16,"","","","210 地下水路北～新宿公園まで3"
"DIGITTER_FLAG_MAIN_210_020_130",1570,210,16,"","","","210 地下水路北～新宿公園まで4"
"DIGITTER_FLAG_MAIN_210_020_140",1580,210,16,"","","","210 地下水路北～新宿公園まで5"
"DIGITTER_FLAG_MAIN_210_020_150",1590,-1,0,"","","","210 新宿公園でのシモンズとの会話後"
"DIGITTER_FLAG_MAIN_310_020_010",1600,-1,0,"","","","310 シネマ座通り　屋上到着時"
"DIGITTER_FLAG_MAIN_310_020_020",1610,-1,0,"","","","310 シネマ座通り（t0401）に移動したら"
"DIGITTER_FLAG_MAIN_320_010_010",1620,-1,0,"","","","320 天空闘技場通路前"
"DIGITTER_FLAG_MAIN_330_000_010",1630,-1,0,"","","","330 リベリオン・ビレッジ"
"DIGITTER_FLAG_MAIN_340_000_010",1640,-1,0,"","","","340 リベリオン・ビレッジ"
"DIGITTER_FLAG_MAIN_340_000_020",1645,-1,0,"","","","340 きぼうの壁"
"DIGITTER_FLAG_MAIN_340_000_030",1646,-1,0,"","","","340 きぼうの壁　その２"
"DIGITTER_FLAG_MAIN_290_020_010",1650,-1,0,"","","","290 パルモンライド初回"
"DIGITTER_FLAG_MAIN_290_030_010",1651,290,40,"","","","290 キャノンビーモン戦後"
"DIGITTER_FLAG_MAIN_290_040_010",1652,290,40,"","","","290 d0405移動後"
"DIGITTER_FLAG_MAIN_290_050_010",1653,290,40,"","","","290 d0405 パルモンライド後"
"DIGITTER_FLAG_MAIN_290_060_010",1654,290,40,"","","","290 d0405 坂を上り切った後"
"DIGITTER_FLAG_MAIN_290_070_010",1655,290,50,"","","","290 玉座を調べた後"
"DIGITTER_FLAG_MAIN_300_000_010",1660,-1,0,"","","","300 パルモンライド初回"
"DIGITTER_FLAG_MAIN_310_010_010",1661,-1,0,"","","","310 デジッター"
"DIGITTER_FLAG_MAIN_310_015_010",1662,-1,0,"","","","310 デジッター"
"DIGITTER_FLAG_MAIN_310_018_010",1663,-1,0,"","","","310 デジッター"
"DIGITTER_FLAG_MAIN_320_015_010",1664,-1,0,"","","","320 デジッター"
"DIGITTER_FLAG_MAIN_350_010_020",1665,-1,0,"","","","m350 メルクリモン デジッター"
"DIGITTER_FLAG_MAIN_400_000_010",1668,-1,0,"","","","m400 シモンズ デジッター"
"DIGITTER_FLAG_MAIN_440_070_010",1670,-1,0,"","","","440迷いの森1"
"DIGITTER_FLAG_MAIN_440_070_015",1675,-1,0,"","","","440迷いの森2"
"DIGITTER_FLAG_MAIN_440_070_020",1680,-1,0,"","","","440迷いの森3"
"DIGITTER_FLAG_MAIN_440_070_025",1685,-1,0,"","","","440迷いの森4"
"DIGITTER_FLAG_MAIN_440_070_030",1690,-1,0,"","","","440迷いの森5"
"DIGITTER_FLAG_MAIN_440_070_035",1695,-1,0,"","","","440迷いの森6"
"DIGITTER_FLAG_MAIN_440_070_040",1700,-1,0,"","","","440迷いの森7"
"DIGITTER_FLAG_MAIN_440_070_045",1705,-1,0,"","","","440迷いの森8"
"DIGITTER_FLAG_MAIN_440_070_050",1710,-1,0,"","","","440迷いの森9"
"DIGITTER_FLAG_MAIN_440_070_055",1715,-1,0,"","","","440迷いの森10"
"DIGITTER_FLAG_MAIN_440_070_060",1716,-1,0,"","","","440迷いの森11"
"DIGITTER_FLAG_MAIN_440_070_065",1717,-1,0,"","","","440迷いの森12"
"DIGITTER_FLAG_MAIN_390_010_010",1720,-1,0,"","","","390 研究所メモ捜索中 シモンズ"
"DIGITTER_FLAG_MAIN_390_010_020",1725,-1,0,"","","","390 研究所メモ捜索中 シモンズ"
"DIGITTER_FLAG_MAIN_390_010_030",1730,-1,0,"","","","390 研究所メモ捜索中 シモンズ"
"DIGITTER_FLAG_MAIN_170_010_010",1735,-1,0,"","","","170 「海エリア集落到着」後、オペレーター会話1"
"DIGITTER_FLAG_MAIN_180_010_010",1740,-1,0,"","","","180 「森エリア到着」後、オペレーター会話1"
"DIGITTER_FLAG_MAIN_260_080_010",1745,-1,0,"","","","260「海の医者の家の中」後、シモンズ会話1"
"DIGITTER_FLAG_MAIN_290_080_010",1750,-1,0,"","","","260「海の医者の家の中」後、シモンズ会話1"
"DIGITTER_FLAG_MAIN_060_080_020",1755,-1,0,"","","","060「エレキモンを追いかけるシーン」ヒロコのセリフ後　オペレーター会話①"
"DIGITTER_FLAG_MAIN_060_080_030",1756,-1,0,"","","","060「エレキモンを追いかけるシーン」ヒロコのセリフ後　オペレーター会話②"
"DIGITTER_FLAG_MAIN_060_080_040",1757,-1,0,"","","","060「エレキモンを追いかけるシーン」ヒロコのセリフ後　オペレーター会話③"
"DIGITTER_FLAG_TUT_2006",2000,-1,0,"","","","ディスク初回入手後のアタッチメントスキルチュートリアル2006通知"
"DIGITTER_FLAG_SUB_001_010",3000,-1,0,"","","",""
"DIGITTER_FLAG_SUB_002_010",3010,-1,0,"","","",""
"DIGITTER_FLAG_SUB_003_010",3020,-1,0,"","","",""
"DIGITTER_FLAG_SUB_011_010",3030,-1,0,"","","",""
"DIGITTER_FLAG_SUB_012_010",3040,-1,0,"","","",""
"DIGITTER_FLAG_SUB_013_010",3050,-1,0,"","","",""
"DIGITTER_FLAG_SUB_014_010",3060,-1,0,"","","",""
"DIGITTER_FLAG_SUB_015_010",3070,-1,0,"","","",""
"DIGITTER_FLAG_SUB_016_010",3080,-1,0,"","","",""
"DIGITTER_FLAG_SUB_018_010",3090,-1,0,"","","",""
"DIGITTER_FLAG_SUB_019_010",3100,-1,0,"","","",""
"DIGITTER_FLAG_SUB_024_010",3110,-1,0,"","","",""
"DIGITTER_FLAG_SUB_026_010",3120,-1,0,"","","",""
"DIGITTER_FLAG_SUB_027_010",3130,-1,0,"","","",""
"DIGITTER_FLAG_SUB_028_010",3140,-1,0,"","","",""
"DIGITTER_FLAG_SUB_029_010",3150,-1,0,"","","",""
"DIGITTER_FLAG_SUB_030_010",3160,-1,0,"","","",""
"DIGITTER_FLAG_SUB_031_010",3170,-1,0,"","","",""
"DIGITTER_FLAG_SUB_032_010",3180,-1,0,"","","",""
"DIGITTER_FLAG_SUB_033_010",3190,-1,0,"","","",""
"DIGITTER_FLAG_SUB_038_010",3200,-1,0,"","","",""
"DIGITTER_FLAG_SUB_039_010",3210,-1,0,"","","",""
"DIGITTER_FLAG_SUB_040_010",3220,-1,0,"","","",""
"DIGITTER_FLAG_SUB_041_010",3230,-1,0,"","","",""
"DIGITTER_FLAG_SUB_042_010",3240,-1,0,"","","",""
"DIGITTER_FLAG_SUB_043_010",3250,-1,0,"","","",""
"DIGITTER_FLAG_SUB_044_010",3260,-1,0,"","","",""
"DIGITTER_FLAG_SUB_045_010",3270,-1,0,"","","",""
"DIGITTER_FLAG_SUB_046_010",3280,-1,0,"","","",""
"DIGITTER_FLAG_SUB_047_010",3290,-1,0,"","","",""
"DIGITTER_FLAG_SUB_048_010",3300,-1,0,"","","",""
"DIGITTER_FLAG_SUB_049_010",3310,-1,0,"","","",""
"DIGITTER_FLAG_SUB_050_010",3320,-1,0,"","","",""
"DIGITTER_FLAG_SUB_052_010",3330,-1,0,"","","",""
"DIGITTER_FLAG_SUB_053_010",3340,-1,0,"","","",""
"DIGITTER_FLAG_SUB_055_010",3350,-1,0,"","","",""
"DIGITTER_FLAG_SUB_056_010",3360,-1,0,"","","",""
"DIGITTER_FLAG_SUB_056_020",3361,-1,0,"","","",""
"DIGITTER_FLAG_SUB_057_010",3370,-1,0,"","","",""
"DIGITTER_FLAG_SUB_059_010",3380,-1,0,"","","",""
"DIGITTER_FLAG_SUB_060_010",3390,-1,0,"","","",""
"DIGITTER_FLAG_SUB_061_010",3400,-1,0,"","","",""
"DIGITTER_FLAG_SUB_062_010",3410,-1,0,"","","",""
"DIGITTER_FLAG_SUB_063_010",3420,-1,0,"","","",""
"DIGITTER_FLAG_SUB_070_010",3430,-1,0,"","","",""
"DIGITTER_FLAG_SUB_071_010",3440,-1,0,"","","",""
"DIGITTER_FLAG_SUB_071_020",3441,-1,0,"","","",""
"DIGITTER_FLAG_SUB_072_010",3450,-1,0,"","","",""
"DIGITTER_FLAG_SUB_073_010",3460,-1,0,"","","",""
"DIGITTER_FLAG_SUB_074_010",3470,-1,0,"","","",""
"DIGITTER_FLAG_SUB_077_010",3480,-1,0,"","","",""
"DIGITTER_FLAG_SUB_078_010",3490,-1,0,"","","",""
"DIGITTER_FLAG_SUB_082_010",3500,-1,0,"","","",""
"DIGITTER_FLAG_SUB_083_010",3510,-1,0,"","","",""
"DIGITTER_FLAG_SUB_084_010",3520,-1,0,"","","",""
"DIGITTER_FLAG_SUB_087_010",3530,-1,0,"","","",""
"DIGITTER_FLAG_SUB_088_010",3540,-1,0,"","","",""
"DIGITTER_FLAG_SUB_089_010",3550,-1,0,"","","",""
"DIGITTER_FLAG_SUB_090_010",3560,-1,0,"","","",""
"DIGITTER_FLAG_SUB_091_010",3570,-1,0,"","","",""
"DIGITTER_FLAG_SUB_092_010",3580,-1,0,"","","",""
"DIGITTER_FLAG_SUB_093_010",3590,-1,0,"","","",""
"DIGITTER_FLAG_SUB_094_010",3600,-1,0,"","","",""
"DIGITTER_FLAG_SUB_095_010",3610,-1,0,"","","",""
"DIGITTER_FLAG_SUB_098_010",3620,-1,0,"","","",""
"DIGITTER_FLAG_SUB_099_010",3630,-1,0,"","","",""
"DIGITTER_FLAG_SUB_100_010",3640,-1,0,"","","",""
"DIGITTER_FLAG_SUB_101_010",3650,-1,0,"","","",""
"DIGITTER_FLAG_SUB_102_010",3660,-1,0,"","","",""
"DIGITTER_FLAG_SUB_103_010",3670,-1,0,"","","",""
"DIGITTER_FLAG_SUB_104_010",3680,-1,0,"","","",""
"DIGITTER_FLAG_SUB_105_010",3690,-1,0,"","","",""
"DIGITTER_FLAG_SUB_106_010",3700,-1,0,"","","",""
"DIGITTER_FLAG_SUB_108_010",3710,-1,0,"","","",""
"DIGITTER_FLAG_SUB_109_010",3720,-1,0,"","","",""
"DIGITTER_FLAG_SUB_111_010",3730,-1,0,"","","",""
"DIGITTER_FLAG_SUB_112_010",3740,-1,0,"","","",""
"DIGITTER_FLAG_SUB_113_010",3750,-1,0,"","","",""
"DIGITTER_FLAG_SUB_114_010",3760,-1,0,"","","",""
"DIGITTER_FLAG_SUB_116_010",3770,-1,0,"","","",""
"DIGITTER_FLAG_SUB_117_010",3780,-1,0,"","","",""
"DIGITTER_FLAG_SUB_146_010",3790,-1,0,"","","",""
"DIGITTER_FLAG_SUB_147_010",3800,-1,0,"","","",""
"DIGITTER_FLAG_SUB_148_010",3810,-1,0,"","","",""
"DIGITTER_FLAG_SUB_149_010",3820,-1,0,"","","",""
"DIGITTER_FLAG_SUB_150_010",3830,-1,0,"","","",""
"DIGITTER_FLAG_SUB_151_010",3840,-1,0,"","","",""
"DIGITTER_FLAG_SUB_152_010",3850,-1,0,"","","",""
"DIGITTER_FLAG_SUB_153_010",3860,-1,0,"","","",""
"DIGITTER_FLAG_SUB_154_010",3870,-1,0,"","","",""
"DIGITTER_FLAG_SUB_154_020",3871,-1,0,"","","",""
"DIGITTER_FLAG_SUB_155_010",3880,-1,0,"","","",""
"DIGITTER_FLAG_SUB_156_010",3890,-1,0,"","","",""
"DIGITTER_FLAG_SUB_157_010",3900,-1,0,"","","",""
"DIGITTER_FLAG_SUB_158_010",3910,-1,0,"","","",""
"DIGITTER_FLAG_SUB_159_010",3920,-1,0,"","","",""
"DIGITTER_FLAG_SUB_160_010",3930,-1,0,"","","",""
"DIGITTER_FLAG_SUB_161_010",3940,-1,0,"","","",""
"DIGITTER_FLAG_SUB_162_010",3950,-1,0,"","","",""
"DIGITTER_FLAG_SUB_163_010",3960,-1,0,"","","",""
"DIGITTER_FLAG_SUB_163_020",3961,-1,0,"","","",""
"DIGITTER_FLAG_SUB_164_010",3970,-1,0,"","","",""
"DIGITTER_FLAG_SUB_164_020",3971,-1,0,"","","",""
"DIGITTER_FLAG_SUB_165_010",3980,-1,0,"","","",""
"DIGITTER_FLAG_SUB_165_020",3981,-1,0,"","","",""
"DIGITTER_FLAG_SUB_166_010",3990,-1,0,"","","",""
"DIGITTER_FLAG_SUB_166_020",3991,-1,0,"","","",""
"DIGITTER_FLAG_SUB_167_010",4000,-1,0,"","","",""
"DIGITTER_FLAG_SUB_168_010",4010,-1,0,"","","",""
"DIGITTER_FLAG_SUB_169_010",4020,-1,0,"","","",""
"DIGITTER_FLAG_SUB_170_010",4030,-1,0,"","","",""
"DIGITTER_FLAG_SUB_171_010",4040,-1,0,"","","",""
"DIGITTER_FLAG_SUB_211_010",4500,-1,0,"","","",""
"DIGITTER_FLAG_SUB_216_010",4505,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_001",5000,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_002",5001,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_003",5002,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_004",5003,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_005",5004,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_006",5005,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_007",5006,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_008",5007,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_009",5008,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_010",5009,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_011",5010,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_012",5011,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_013",5012,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_014",5013,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_015",5014,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_016",5015,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_017",5016,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_018",5017,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_019",5018,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_020",5019,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_021",5020,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_022",5021,-1,0,"","","",""
"DIGITTER_FLAG_ARENA_023",5022,-1,0,"","","",""
"DIGITTER_FLAG_DLC_000_010",6000,-1,0,"","","",""
"DIGITTER_FLAG_DLC_010_010",6001,-1,0,"","","",""
"DIGITTER_FLAG_DLC_020_010",6002,-1,0,"","","",""
"DIGITTER_FLAG_DLC_030_010",6003,-1,0,"","","",""
