string3 0,string3 1,int32 2,string3 3,string3 4,string3 5,string3 6,empty 7
"*HirokoFuture_0","*HirokoFuture",0,"npc053aa010101","npc053ca010101","","npc053ca010101",
"*Simmons_0","*Simmons",0,"npc004aa010101","npc004ca010101","","npc004ca010101",
"*Aegiomon_0","*Aegiomon",0,"chr183aa010101","chr183aa010101","chr183ba010101","chr183ca010101",
"*Aegiomon_24","*Aegiomon",24,"chr183na010101","chr183oa010101","","chr183oa010101",
"*Aegiomon_25","*Aegiomon",25,"chr183qa010101","chr183ra010101","","chr183ra010101",
"*Aegiomon_26","*Aegiomon",26,"chr183ta010101","chr183ta010101","","chr183ta010101",
"*AegiomonNoCap_0","*AegiomonNoCap",0,"chr183da010101","","","",
"*AegiomonNoCap_24","*AegiomonNoCap",24,"chr183pa010101","","","",
"*AegiomonNoCap_25","*AegiomonNoCap",25,"chr183sa010101","","","",
"*AegiomonNoCap_26","*AegiomonNoCap",26,"chr183va010101","","","",
"*AegiomonHat_0","*AegiomonHat",0,"ATChat00chr183b","","","",
"*AegiomonHat_24","*AegiomonHat",24,"ATChat00chr183n","","","",
"*AegiomonHat_25","*AegiomonHat",25,"ATChat00chr183q","","","",
"*AegiomonHat_26","*AegiomonHat",26,"ATChat00chr183b","","","",
"*MalePlayer_34","*MalePlayer",34,"pc001ea280101","pc001fa280101","","pc001fa280101",
"*FemalePlayer_34","*FemalePlayer",34,"pc002ea280101","pc002fa280101","","pc002fa280101",
