string2 0,empty 1,empty 2,int 3,int 4,string2 5
"npc007a_e006","","",15,79,"fn01_01"
"npc007a_e007","","",22,67,"fn01_01"
"npc007a_e008","","",30,100,"fn01_01"
"npc007a_e012","","",30,100,"fn01_01"
"npc007a_e013","","",31,106,"fn01_01"
"npc007a_e018","","",30,100,"fn01_01"
"npc007a_e020","","",30,100,"fn01_01"
"npc007a_e247","","",52,132,"fn01_01"
"npc007a_e500","","",30,90,"fn01_01"
"npc012a_e002","","",115,175,"fn01_01"
"npc012a_e550","","",65,135,"fn01_01"
"npc013a_e002","","",115,190,"fn01_01"
"npc013a_e004","","",30,96,"fn01_01"
"npc013a_e005","","",30,96,"fn01_01"
"npc013a_e006","","",20,86,"fn01_01"
"npc013a_e007","","",35,101,"fn01_01"
"npc013a_e008","","",30,96,"fn01_01"
"npc013a_e009","","",25,91,"fn01_01"
"npc013a_e011","","",25,91,"fn01_01"
"npc013a_e012","","",35,101,"fn01_01"
"npc013a_e013","","",30,96,"fn01_01"
"npc013a_e014","","",20,50,"fn01_01"
"npc013a_e015","","",50,116,"fn01_01"
"npc013a_e017","","",34,94,"fn01_01"
"npc013a_e018","","",30,70,"fn01_01"
"npc013a_e021","","",46,124,"fn01_01"
"npc013a_e052","","",110,170,"fs01_01"
"npc013a_e054","","",30,96,"fs01_01"
"npc013a_e055","","",30,90,"fs01_01"
"npc013a_e056","","",20,86,"fs01_01"
"npc013a_e057","","",25,85,"fs01_01"
"npc013a_e058","","",25,85,"fs01_01"
"npc013a_e550","","",65,135,"fn01_01"
"npc017a_e002","","",90,180,"fn01_01"
"npc017a_e004","","",45,135,"fn01_01"
"npc017a_e005","","",45,135,"fn01_01"
"npc017a_e006","","",20,100,"fn01_01"
"npc017a_e007","","",40,130,"fn01_01"
"npc017a_e008","","",47,130,"fn01_01"
"npc017a_e012","","",40,130,"fn01_01"
"npc017a_e013","","",38,128,"fn01_01"
"npc017a_e035","","",28,84,"fn01_01"
"npc101a_e002","","",70,136,"fn01_01"
"npc101a_e004","","",24,90,"fn01_01"
"npc101a_e005","","",20,86,"fn01_01"
"npc101a_e006","","",10,76,"fn01_01"
"npc101a_e007","","",20,85,"fn01_01"
"npc101a_e008","","",20,86,"fn01_01"
"npc101a_e009","","",30,96,"fn01_01"
"npc101a_e010","","",48,114,"fn01_01"
"npc101a_e011","","",30,96,"fn01_01"
"npc101a_e012","","",33,99,"fn01_01"
"npc101a_e013","","",20,152,"fn01_01"
"npc101a_e015","","",50,116,"fn01_01"
"npc101a_e016","","",45,111,"fn01_01"
"npc101a_e017","","",34,100,"fn01_01"
"npc101a_e018","","",20,85,"fn01_01"
"npc101a_e030","","",40,106,"fn01_01"
"npc101a_e052","","",138,218,"fs01_01"
"npc101a_e053","","",0,80,"fs01_01"
"npc101a_e058","","",60,130,"fs01_01"
"npc101a_e070","","",0,90,"fn01_01"
"npc102a_e002","","",70,130,"fn01_01"
"npc102a_e004","","",24,114,"fn01_01"
"npc102a_e005","","",29,119,"fn01_01"
"npc102a_e006","","",20,110,"fn01_01"
"npc102a_e007","","",30,130,"fn01_01"
"npc102a_e008","","",28,118,"fn01_01"
"npc102a_e009","","",30,90,"fn01_01"
"npc102a_e011","","",30,90,"fn01_01"
"npc102a_e012","","",30,150,"fn01_01"
"npc102a_e013","","",33,93,"fn01_01"
"npc102a_e015","","",50,116,"fn01_01"
"npc102a_e016","","",78,138,"fn01_01"
"npc102a_e017","","",34,94,"fn01_01"
"npc102a_e018","","",30,130,"fn01_01"
"npc102a_e030","","",40,140,"fn01_01"
"npc102a_e052","","",138,198,"fs01_01"
"npc102a_e058","","",50,130,"fs01_01"
"npc102a_e500","","",40,100,"fn01_01"
"npc102a_e501","","",30,90,"fn01_01"
"npc104a_e002","","",70,130,"fn01_01"
"npc104a_e004","","",33,93,"fn01_01"
"npc104a_e005","","",25,105,"fn01_01"
"npc104a_e006","","",25,105,"fn01_01"
"npc104a_e007","","",36,96,"fn01_01"
"npc104a_e008","","",30,90,"fn01_01"
"npc104a_e009","","",30,90,"fn01_01"
"npc104a_e010","","",65,125,"fn01_01"
"npc104a_e011","","",30,90,"fn01_01"
"npc104a_e012","","",25,105,"fn01_01"
"npc104a_e013","","",20,80,"fn01_01"
"npc104a_e015","","",50,116,"fn01_01"
"npc104a_e017","","",34,94,"fn01_01"
"npc104a_e018","","",35,95,"fn01_01"
"npc104a_e030","","",40,100,"fn01_01"
"npc104a_e052","","",91,151,"fs01_01"
"npc104a_e058","","",30,90,"fs01_01"
"npc105a_e002","","",70,136,"fn01_01"
"npc105a_e004","","",20,86,"fn01_01"
"npc105a_e005","","",25,91,"fn01_01"
"npc105a_e006","","",30,96,"fn01_01"
"npc105a_e007","","",30,96,"fn01_01"
"npc105a_e008","","",20,86,"fn01_01"
"npc105a_e009","","",30,96,"fn01_01"
"npc105a_e010","","",114,180,"fn01_01"
"npc105a_e011","","",30,96,"fn01_01"
"npc105a_e012","","",35,101,"fn01_01"
"npc105a_e013","","",28,94,"fn01_01"
"npc105a_e015","","",50,116,"fn01_01"
"npc105a_e017","","",34,100,"fn01_01"
"npc105a_e018","","",30,96,"fn01_01"
"npc105a_e030","","",40,106,"fn01_01"
"npc105a_e052","","",91,151,"fs01_01"
"npc105a_e058","","",30,96,"fs01_01"
"npc105a_e500","","",60,120,"fn01_01"
"npc105a_e501","","",25,91,"fn01_01"
"npc105a_e502","","",34,100,"fn01_01"
"npc105a_e503","","",30,96,"fn01_01"
"npc105a_e505","","",35,95,"e504"
"npc106a_e002","","",70,130,"fn01_01"
"npc106a_e003","","",20,80,"fn01_01"
"npc106a_e004","","",16,76,"fn01_01"
"npc106a_e005","","",20,80,"fn01_01"
"npc106a_e006","","",15,75,"fn01_01"
"npc106a_e007","","",20,80,"fn01_01"
"npc106a_e008","","",20,80,"fn01_01"
"npc106a_e009","","",30,90,"fn01_01"
"npc106a_e010","","",105,165,"fn01_01"
"npc106a_e011","","",30,90,"fn01_01"
"npc106a_e012","","",25,85,"fn01_01"
"npc106a_e013","","",30,90,"fn01_01"
"npc106a_e015","","",50,116,"fn01_01"
"npc106a_e017","","",34,94,"fn01_01"
"npc106a_e018","","",35,95,"fn01_01"
"npc106a_e030","","",40,100,"fn01_01"
"npc106a_e052","","",138,198,"fs01_01"
"npc106a_e058","","",60,130,"fs01_01"
"npc107a_e002","","",70,130,"fn01_01"
"npc107a_e004","","",20,85,"fn01_01"
"npc107a_e005","","",20,86,"fn01_01"
"npc107a_e006","","",13,79,"fn01_01"
"npc107a_e007","","",15,75,"fn01_01"
"npc107a_e008","","",20,86,"fn01_01"
"npc107a_e009","","",30,90,"fn01_01"
"npc107a_e011","","",30,90,"fn01_01"
"npc107a_e012","","",35,101,"fn01_01"
"npc107a_e013","","",28,94,"fn01_01"
"npc107a_e015","","",50,116,"fn01_01"
"npc107a_e017","","",34,94,"fn01_01"
"npc107a_e018","","",30,90,"fn01_01"
"npc107a_e030","","",40,100,"fn01_01"
"npc107a_e052","","",138,198,"fs01_02"
"npc107a_e058","","",60,130,"fs01_02"
"npc107a_e500","","",0,107,"fs01_02"
"npc108a_e002","","",70,130,"fn01_01"
"npc108a_e004","","",20,80,"fn01_01"
"npc108a_e005","","",20,80,"fn01_01"
"npc108a_e006","","",10,70,"fn01_01"
"npc108a_e007","","",39,99,"fn01_01"
"npc108a_e008","","",20,80,"fn01_01"
"npc108a_e009","","",30,90,"fn01_01"
"npc108a_e011","","",30,90,"fn01_01"
"npc108a_e012","","",25,85,"fn01_01"
"npc108a_e013","","",30,90,"fn01_01"
"npc108a_e015","","",50,116,"fn01_01"
"npc108a_e017","","",34,94,"fn01_01"
"npc108a_e018","","",30,90,"fn01_01"
"npc108a_e030","","",40,100,"fn01_01"
"npc108a_e052","","",138,198,"fs01_01"
"npc108a_e058","","",60,130,"fs01_01"
"npc109a_e002","","",70,130,"fn01_01"
"npc109a_e004","","",25,85,"fn01_01"
"npc109a_e005","","",25,85,"fn01_01"
"npc109a_e006","","",20,80,"fn01_01"
"npc109a_e007","","",25,85,"fn01_01"
"npc109a_e008","","",29,91,"fn01_01"
"npc109a_e009","","",30,90,"fn01_01"
"npc109a_e010","","",68,128,"fn01_01"
"npc109a_e011","","",30,90,"fn01_01"
"npc109a_e012","","",25,85,"fn01_01"
"npc109a_e013","","",20,80,"fn01_01"
"npc109a_e015","","",50,116,"fn01_01"
"npc109a_e017","","",34,100,"fn01_01"
"npc109a_e018","","",35,95,"fn01_01"
"npc109a_e030","","",40,100,"fn01_01"
"npc109a_e052","","",100,160,"fs01_01"
"npc109a_e058","","",30,90,"fs01_01"
"npc109a_e500","","",65,125,"e500"
"npc109a_e542","","",16,110,"fn01_01"
"npc109a_e557","","",30,90,"fn01_01"
"npc110a_e002","","",70,130,"fn01_01"
"npc110a_e004","","",30,90,"fn01_01"
"npc110a_e005","","",23,83,"fn01_01"
"npc110a_e006","","",25,85,"fn01_01"
"npc110a_e007","","",27,87,"fn01_01"
"npc110a_e008","","",25,85,"fn01_01"
"npc110a_e009","","",30,90,"fn01_01"
"npc110a_e010","","",70,130,"fn01_01"
"npc110a_e011","","",30,90,"fn01_01"
"npc110a_e012","","",20,80,"fn01_01"
"npc110a_e013","","",20,80,"fn01_01"
"npc110a_e015","","",50,116,"fn01_01"
"npc110a_e017","","",34,94,"fn01_01"
"npc110a_e018","","",30,90,"fn01_01"
"npc110a_e030","","",40,100,"fn01_01"
"npc110a_e052","","",110,170,"fs01_01"
"npc110a_e058","","",25,85,"fs01_01"
"npc110a_e500","","",20,80,"fs01_01"
"npc110a_e501","","",15,75,"fn01_01"
"npc110a_e542","","",16,110,"fn01_01"
"npc112a_e002","","",70,130,"fn01_01"
"npc112a_e004","","",24,114,"fn01_01"
"npc112a_e005","","",29,119,"fn01_01"
"npc112a_e006","","",20,110,"fn01_01"
"npc112a_e007","","",30,130,"fn01_01"
"npc112a_e008","","",28,118,"fn01_01"
"npc112a_e009","","",30,90,"fn01_01"
"npc112a_e011","","",30,90,"fn01_01"
"npc112a_e012","","",30,150,"fn01_01"
"npc112a_e013","","",33,93,"fn01_01"
"npc112a_e015","","",50,116,"fn01_01"
"npc112a_e017","","",34,100,"fn01_01"
"npc112a_e018","","",30,90,"fn01_01"
"npc112a_e030","","",40,100,"fn01_01"
"npc112a_e052","","",104,164,"fs01_01"
"npc112a_e058","","",25,85,"fs01_01"
"mob003_t0001","","",35,95,"fn50"
"mob007_e525","","",60,120,"fn01_01"
"mob007_e557","","",31,97,"fn01_01"
"mob011_e002","","",25,105,"fn01_01"
"mob012_e002","","",20,80,"fn01_01"
"mob012_e004","","",25,85,"fn01_01"
"mob012_e005","","",25,85,"fn01_01"
"mob012_e006","","",20,80,"fn01_01"
"mob012_e007","","",25,85,"fn01_01"
"mob012_e008","","",29,91,"fn01_01"
"mob012_e009","","",60,120,"fn01_01"
"mob012_e010","","",68,128,"fn01_01"
"mob012_e542","","",16,110,"fn01_01"
"mob012_e557","","",30,90,"fn01_01"
"mob013_e002","","",20,80,"fn01_01"
"mob013_e004","","",30,90,"fn01_01"
"mob013_e005","","",23,83,"fn01_01"
"mob013_e006","","",25,85,"fn01_01"
"mob013_e007","","",27,87,"fn01_01"
"mob013_e008","","",25,85,"fn01_01"
"mob013_e009","","",62,122,"fn01_01"
"mob013_e010","","",70,130,"fn01_01"
"mob013_e542","","",16,110,"fn01_01"
"mob014_e002","","",25,85,"fn01_01"
"mob015_e002","","",25,85,"fn01_01"
"mob017_e002","","",20,100,"fn01_01"
"mob017_e003","","",20,80,"fn01_01"
"mob018_fs02","","",66,126,"fn01_01"
"mob018_e514","","",28,68,"fn01_01"
"mob019_e525","","",60,120,"fn01_01"
"mob029_e525","","",60,120,"fn01_01"
"chr183a_e002","","",120,180,"fn01_01"
"chr183a_e004","","",60,150,"fn01_01"
"chr183a_e005","","",50,140,"fn01_01"
"chr183a_e006","","",24,114,"fn01_01"
"chr183a_e007","","",40,120,"fn01_01"
"chr183a_e008","","",55,145,"fn01_01"
"chr183a_e009","","",35,125,"fn01_01"
"chr183a_e010","","",40,130,"fn01_01"
"chr183a_e011","","",35,135,"fn01_01"
"chr183a_e012","","",60,150,"fn01_01"
"chr183a_e013","","",45,135,"fn01_01"
"chr183a_e015","","",50,60,"fn01_01"
"chr183a_e002_01","","",70,130,"fn01_01"
"chr183a_e004_01","","",25,85,"fn01_01"
"chr183a_e005_01","","",25,85,"fn01_01"
"chr183a_e006_01","","",20,80,"fn01_01"
"chr183a_e007_01","","",25,85,"fn01_01"
"chr183a_e008_01","","",30,90,"fn01_01"
"chr183a_e009_01","","",30,90,"fn01_01"
"chr183a_e011_01","","",30,90,"fn01_01"
"chr183a_e012_01","","",20,80,"fn01_01"
"chr183a_e013_01","","",20,80,"fn01_01"
"chr183a_e015_01","","",50,116,"fn01_01"
"chr183a_e017","","",35,125,"fn01_01"
"chr183a_e018","","",38,118,"fn01_01"
"chr183a_e021","","",40,130,"fn01_01"
"chr183a_e022","","",25,85,"fn01_01"
"chr183a_e023","","",25,110,"fn01_01"
"chr183a_e030","","",40,100,"fn01_01"
"chr183a_e031","","",55,96,"fn01_01"
