int32 0,int32 1,string2 2,empty 3,string2 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,int32 18,string2 19,int32 20
330,149,"1200020231",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
331,149,"1200020232",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
332,149,"1200020233",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
333,149,"1200020234",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
334,149,"1200020235",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
335,149,"1200020134",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
336,149,"1200020135",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
337,149,"1200020136",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
338,149,"1200020137",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
339,149,"1200020236",,"char_AEGIOCHUSMON",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
340,149,"1200020237",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
341,149,"1200020238",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
342,149,"1200020239",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
343,149,"1200020240",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
344,149,"1200020241",,"char_AEGIOCHUSMON",0,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
347,151,"1200020242",,"char_AEGIOCHUSMON",4,35,1,0,1,0,1,50,0,0,0,0,0,0,"",0
348,151,"1200020243",,"char_AEGIOCHUSMON",0,35,0,0,1,0,1,50,0,0,0,0,0,0,"",0
419,248,"1200020322",,"char_AEGIOCHUSMON_DARK",4,32,1,0,1,0,1,50,0,0,0,0,0,0,"",0
420,248,"1200020323",,"char_AEGIOCHUSMON_DARK",0,32,0,0,1,0,1,50,0,0,0,0,0,0,"",0
426,249,"1200020126",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
427,149,"1200020127",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
428,149,"1200020329",,"char_AEGIOCHUSMON_DARK",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
429,149,"1200020330",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
430,149,"1200020331",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
431,149,"1200020332",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
432,149,"1200020333",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
433,149,"1200020334",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
434,149,"1200020335",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
435,149,"1200020134",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
436,149,"1200020135",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
437,149,"1200020136",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
438,149,"1200020137",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
439,149,"1200020336",,"char_AEGIOCHUSMON_DARK",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
440,149,"1200020337",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
441,149,"1200020338",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
442,149,"1200020339",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
443,149,"1200020340",,"char_AEGIOCHUSMON_DARK",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
444,149,"1200020341",,"char_AEGIOCHUSMON_DARK",0,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
447,251,"1200020342",,"char_AEGIOCHUSMON_DARK",4,35,1,0,1,0,1,50,0,0,0,0,0,0,"",0
448,251,"1200020343",,"char_AEGIOCHUSMON_DARK",0,35,0,0,1,0,1,50,0,0,0,0,0,0,"",0
519,348,"1200020422",,"char_AEGIOCHUSMON_HOLLY",4,32,1,0,1,0,1,50,0,0,0,0,0,0,"",0
520,348,"1200020423",,"char_AEGIOCHUSMON_HOLLY",0,32,0,0,1,0,1,50,0,0,0,0,0,0,"",0
526,349,"1200020126",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
527,349,"1200020127",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
528,349,"1200020429",,"char_AEGIOCHUSMON_HOLLY",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
529,349,"1200020430",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
530,349,"1200020431",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
531,349,"1200020432",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
532,349,"1200020433",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
533,349,"1200020434",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
534,349,"1200020435",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
535,349,"1200020134",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
536,349,"1200020135",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
537,349,"1200020136",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
538,349,"1200020137",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
539,349,"1200020436",,"char_AEGIOCHUSMON_HOLLY",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
540,349,"1200020437",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
541,349,"1200020438",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
542,349,"1200020439",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
543,349,"1200020440",,"char_AEGIOCHUSMON_HOLLY",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
544,349,"1200020441",,"char_AEGIOCHUSMON_HOLLY",0,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
547,351,"1200020442",,"char_AEGIOCHUSMON_HOLLY",4,35,1,0,1,0,1,50,0,0,0,0,0,0,"",0
548,351,"1200020443",,"char_AEGIOCHUSMON_HOLLY",0,35,0,0,1,0,1,50,0,0,0,0,0,0,"",0
619,448,"1200020522",,"char_AEGIOCHUSMON_BLUE",4,32,1,0,1,0,1,50,0,0,0,0,0,0,"",0
620,448,"1200020523",,"char_AEGIOCHUSMON_BLUE",0,32,0,0,1,0,1,50,0,0,0,0,0,0,"",0
626,449,"1200020126",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
627,449,"1200020127",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
628,449,"1200020529",,"char_AEGIOCHUSMON_BLUE",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
629,449,"1200020530",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
630,449,"1200020531",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
631,449,"1200020532",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
632,449,"1200020533",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
633,449,"1200020534",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
634,449,"1200020535",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
635,449,"1200020134",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
636,449,"1200020135",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
637,449,"1200020136",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
638,449,"1200020137",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
639,449,"1200020536",,"char_AEGIOCHUSMON_BLUE",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
640,449,"1200020537",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
641,449,"1200020538",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
642,449,"1200020539",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
643,449,"1200020540",,"char_AEGIOCHUSMON_BLUE",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
644,449,"1200020541",,"char_AEGIOCHUSMON_BLUE",0,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
647,451,"1200020542",,"char_AEGIOCHUSMON_BLUE",4,35,1,0,1,0,1,50,0,0,0,0,0,0,"",0
648,451,"1200020543",,"char_AEGIOCHUSMON_BLUE",0,35,0,0,1,0,1,50,0,0,0,0,0,0,"",0
719,548,"1200020622",,"char_AEGIOCHUSMON_GREEN",4,32,1,0,1,0,1,50,0,0,0,0,0,0,"",0
720,548,"1200020623",,"char_AEGIOCHUSMON_GREEN",0,32,0,0,1,0,1,50,0,0,0,0,0,0,"",0
726,549,"1200020126",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
727,549,"1200020127",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
728,549,"1200020229",,"char_AEGIOCHUSMON_GREEN",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
729,549,"1200020230",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
730,549,"1200020631",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
731,549,"1200020632",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
732,549,"1200020633",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
733,549,"1200020634",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
734,549,"1200020635",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
735,549,"1200020134",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
736,549,"1200020135",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
737,549,"1200020136",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
738,549,"1200020137",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
739,549,"1200020636",,"char_AEGIOCHUSMON_GREEN",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
740,549,"1200020637",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
741,549,"1200020638",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
742,549,"1200020639",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
743,549,"1200020640",,"char_AEGIOCHUSMON_GREEN",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
744,549,"1200020641",,"char_AEGIOCHUSMON_GREEN",0,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
747,551,"1200020642",,"char_AEGIOCHUSMON_GREEN",4,35,1,0,1,0,1,50,0,0,0,0,0,0,"",0
748,551,"1200020643",,"char_AEGIOCHUSMON_GREEN",0,35,0,0,1,0,1,50,0,0,0,0,0,0,"",0
