string2 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,int 9
"FLAG_IS_AEGIOMON_DARK_RELEASE",1041,-1,0,"",0,0,"","FirstPresent",1
"FLAG_SKIP_PLAYBGM_MAPCHANGE",1050,-1,0,"",0,0,"","FirstPresent",1
"FLAG_SKIP_CHANGE_BGM",1051,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_GAME_CLEAR",1060,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_LETTERBOX",1061,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_RELEASE_THEMESONG",1062,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_CS_ASSIGNMENT_POINT",1099,-1,0,"",0,0,"","FirstPresent",1
"FLAG_MAIN_01_000",1100,10,10,"e",1,0,"start_00","X2028_daft_0",1
"SELECT_MALE",1101,10,10,"e",1,0,"start_00","X2028_daft_0",1
"SELECT_FEMALE",1102,10,10,"e",1,0,"start_00","X2028_daft_0",1
"FLAG_MAIN_01_010",1110,10,10,"e",1,0,"start_00","X2028_daft_0",1
"FLAG_MAIN_01_020",1120,10,10,"e",1,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_025",1125,10,10,"e",1,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_030",1130,10,40,"t",108,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_050",1150,10,60,"t",107,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_060",1160,10,80,"t",107,0,"start_02","X2028_daft_10",1
"FLAG_MAIN_01_070",1170,10,90,"d",1003,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_080",1180,10,90,"d",1003,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_090",1190,10,150,"d",1003,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_100",1200,10,170,"d",1001,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_105",1205,10,180,"d",1001,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_110",1210,10,180,"d",1001,0,"start_00","X2028_daft_10",1
"FLAG_MAIN_01_120",1220,10,200,"d",1001,0,"start_52","X2028_daft_20",1
"FLAG_MAIN_01_130",1230,20,1,"d",1001,0,"start_52","X2028_daft_20",1
"FLAG_MAIN_01_140",1240,20,10,"d",1001,0,"start_52","X2028_daft_20",1
"FLAG_MAIN_01_150",1250,20,10,"d",1001,0,"start_52","X2028_daft_20",1
"FLAG_MAIN_01_160",1260,20,30,"d",1002,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_170",1270,20,30,"d",1002,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_180",1275,20,70,"d",1002,0,"start_03","X2028_daft_20",1
"FLAG_MAIN_01_183",1276,20,71,"d",1401,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_184",1277,20,70,"d",1002,0,"start_03","X2028_daft_20",1
"FLAG_MAIN_01_185",1278,20,71,"d",1401,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_187",1279,20,71,"d",1401,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_210",1300,20,100,"d",1401,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_211",1301,20,100,"d",1401,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_212",1302,20,100,"d",1401,0,"start_00","X2028_daft_20",1
"FLAG_MAIN_01_220",1310,20,110,"d",1403,0,"start_00","X2028_daft_21",2
"FLAG_MAIN_01_221",1311,20,110,"d",1403,0,"start_00","X2028_daft_21",2
"FLAG_MAIN_01_223",1313,20,110,"d",1403,0,"start_00","X2028_daft_21",2
"FLAG_MAIN_01_225",1315,20,130,"d",1403,0,"start_03","X2028_daft_22",2
"FLAG_MAIN_01_230",1320,20,130,"d",1403,0,"start_03","X2028_daft_22",2
"FLAG_MAIN_01_235",1325,20,130,"d",1403,0,"start_03","X2028_daft_22",2
"FLAG_MAIN_01_240",1330,20,170,"d",1406,0,"start_00","X2028_daft_22",2
"FLAG_MAIN_01_241",1331,20,170,"d",1406,0,"start_00","X2028_daft_22",2
"FLAG_MAIN_01_250",1340,20,180,"d",1407,0,"start_00","X2028_daft_23",3
"FLAG_MAIN_01_253",1343,20,180,"d",1407,0,"start_00","X2028_daft_23",3
"FLAG_MAIN_01_254",1344,20,180,"d",1407,0,"start_00","X2028_daft_23",1
"FLAG_MAIN_01_255",1345,20,180,"d",1407,0,"start_00","X2028_daft_23",3
"FLAG_MAIN_01_260",1350,20,180,"d",1407,0,"start_00","X2028_daft_23",3
"FLAG_MAIN_01_270",1360,21,1,"e",1,0,"start_00","X2028_daft_23",1
"FLAG_MAIN_02_010",1400,30,10,"d",801,0,"start_20","A2020_dbef_30",1
"FLAG_MAIN_02_020",1410,30,50,"d",802,0,"start_00","A2020_dbef_40",1
"FLAG_MAIN_02_025",1415,40,10,"t",302,0,"start_20","A2020_dbef_40",3
"FLAG_MAIN_02_030",1420,40,10,"t",302,0,"start_20","A2020_dbef_40",3
"FLAG_MAIN_02_040",1430,40,20,"t",303,0,"start_00","A2020_dbef_40",3
"FLAG_MAIN_02_045",1435,40,31,"t",303,0,"start_00","A2020_dbef_40",3
"FLAG_MAIN_02_047",1437,40,31,"t",303,0,"start_00","A2020_dbef_40",3
"FLAG_MAIN_02_048",1438,40,31,"t",303,0,"start_00","A2020_dbef_40",3
"FLAG_MAIN_02_050",1440,40,40,"d",1102,0,"start_00","A2020_dbef_40",3
"FLAG_MAIN_02_060",1450,40,60,"d",1102,0,"start_04","A2020_dbef_40",3
"FLAG_MAIN_02_070",1460,40,60,"d",1102,0,"start_04","A2020_dbef_50",1
"FLAG_MAIN_03_005",1595,50,10,"t",404,0,"start_01","A2020_dbef_50",1
"FLAG_MAIN_03_010",1600,50,10,"t",404,0,"start_01","A2020_dbef_50",1
"FLAG_MAIN_03_020",1610,50,30,"t",401,0,"start_08","A2020_dbef_50",1
"FLAG_MAIN_03_021",1611,50,31,"t",104,0,"start_00","A2020_dbef_50",1
"FLAG_MAIN_03_022",1612,50,32,"t",108,0,"start_06","A2020_dbef_50",1
"FLAG_MAIN_03_023",1613,50,40,"t",302,0,"start_00","A2020_dbef_50",1
"FLAG_MAIN_03_024",1614,50,40,"t",302,0,"start_00","A2020_dbef_50",1
"FLAG_MAIN_03_025",1615,50,50,"t",109,0,"start_01","A2020_dbef_50",1
"FLAG_MAIN_03_030",1620,50,50,"t",109,0,"start_00","A2020_dbef_50",1
"FLAG_MAIN_03_032",1622,50,51,"t",3001,0,"start_00","A2020_dbef_50",1
"FLAG_MAIN_03_035",1625,50,60,"t",3001,0,"start_00","A2020_dbef_51",2
"FLAG_MAIN_03_036",1626,50,61,"t",109,0,"start_50","A2020_dbef_51",2
"FLAG_MAIN_03_037",1627,50,61,"t",109,0,"start_50","A2020_dbef_51",2
"FLAG_MAIN_03_040",1630,60,10,"t",404,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_041",1631,60,10,"t",404,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_050",1640,60,20,"t",403,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_060",1650,60,40,"t",109,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_065",1655,60,70,"d",1101,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_070",1660,60,40,"t",109,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_080",1670,60,80,"d",1103,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_090",1680,60,90,"d",1103,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_100",1690,60,100,"d",1103,0,"start_01","A2020_dbef_60",1
"FLAG_MAIN_03_110",1700,60,100,"d",1103,0,"start_01","A2020_dbef_60",3
"FLAG_MAIN_03_120",1710,70,10,"t",404,0,"start_01","A2020_dbef_70",1
"FLAG_MAIN_03_123",1713,70,10,"t",404,0,"start_01","A2020_dbef_70",1
"FLAG_MAIN_03_125",1715,70,20,"t",403,0,"start_01","A2020_dbef_70",1
"FLAG_MAIN_03_126",1716,70,20,"t",403,0,"start_01","A2020_dbef_70",1
"FLAG_MAIN_03_130",1720,70,30,"t",302,0,"start_00","A2020_dbef_70",1
"FLAG_MAIN_03_140",1730,70,60,"t",109,0,"start_00","A2020_dbef_70",1
"FLAG_MAIN_03_143",1733,70,80,"t",302,0,"start_00","A2020_dbef_71",2
"FLAG_MAIN_03_145",1735,70,90,"t",302,0,"start_00","A2020_dbef_71",2
"FLAG_MAIN_03_150",1740,70,90,"t",302,0,"start_00","A2020_dbef_71",2
"FLAG_MAIN_03_160",1750,80,10,"t",404,0,"start_01","A2020_dbef_80",1
"FLAG_MAIN_03_170",1760,80,20,"t",403,0,"start_01","A2020_dbef_80",1
"FLAG_MAIN_03_175",1765,80,20,"t",403,0,"start_01","A2020_dbef_80",1
"FLAG_MAIN_03_180",1770,80,21,"t",302,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_181",1771,80,22,"t",302,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_182",1772,80,22,"t",303,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_185",1775,80,22,"t",303,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_186",1776,80,22,"t",303,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_190",1780,80,22,"t",303,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_191",1781,80,22,"d",1102,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_192",1782,80,41,"t",301,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_193",1783,80,41,"d",1102,0,"start_03","A2020_dbef_80",1
"FLAG_MAIN_03_194",1784,80,41,"d",1102,0,"start_03","A2020_dbef_80",1
"FLAG_MAIN_03_195",1785,80,41,"d",1102,0,"start_03","A2020_dbef_80",1
"FLAG_MAIN_03_200",1790,80,75,"d",1102,0,"start_01","A2020_dbef_80",1
"FLAG_MAIN_03_205",1795,80,75,"h",201,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_210",1800,80,75,"h",201,0,"start_00","A2020_dbef_80",1
"FLAG_MAIN_03_215",1805,80,100,"t",404,0,"start_00","A2020_dbef_82",3
"FLAG_MAIN_03_220",1810,80,100,"t",408,0,"start_00","A2020_dbef_82",3
"FLAG_MAIN_03_230",1830,90,10,"t",404,0,"start_01","A2020_dbef_90",1
"FLAG_MAIN_03_240",1840,90,10,"t",404,0,"start_01","A2020_dbef_90",1
"FLAG_MAIN_03_250",1850,90,20,"t",403,0,"start_01","A2020_dbef_90",1
"FLAG_MAIN_03_260",1860,90,20,"t",403,0,"start_01","A2020_dbef_90",1
"FLAG_MAIN_03_263",1863,90,40,"t",103,0,"start_00","A2020_dbef_90",1
"FLAG_MAIN_03_265",1865,90,40,"t",103,0,"start_00","A2020_dbef_90",1
"FLAG_MAIN_03_267",1867,90,40,"t",103,0,"start_00","A2020_dbef_90",1
"FLAG_MAIN_03_270",1870,90,41,"t",103,0,"start_00","A2020_dbef_90",1
"FLAG_MAIN_03_280",1880,90,41,"t",103,0,"start_00","A2020_dbef_90",1
"FLAG_MAIN_03_290",1890,90,42,"t",103,0,"start_00","A2020_dbef_90",1
"FLAG_MAIN_03_300",1900,90,43,"t",403,0,"start_00","A2020_dbef_91",3
"FLAG_MAIN_03_310",1910,90,81,"t",403,0,"start_02","A2020_dbef_91",3
"FLAG_MAIN_03_315",1915,100,1,"t",404,0,"start_01","A2020_dbef_100",1
"FLAG_MAIN_03_320",1920,100,10,"t",403,0,"start_01","A2020_dbef_100",1
"FLAG_MAIN_03_321",1921,100,10,"t",403,0,"start_01","A2020_dbef_100",1
"FLAG_MAIN_03_325",1925,100,11,"t",302,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_330",1930,100,11,"t",302,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_331",1931,100,11,"t",201,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_335",1935,100,30,"t",201,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_336",1936,100,30,"t",201,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_339",1939,100,40,"t",105,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_340",1940,100,40,"d",1001,0,"start_04","A2020_dbef_100",1
"FLAG_MAIN_03_350",1950,100,50,"d",1001,0,"start_04","A2020_dbef_100",1
"FLAG_MAIN_03_351",1951,100,60,"h",301,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_352",1952,100,60,"h",301,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_353",1953,100,60,"h",301,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_354",1954,100,60,"h",301,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_355",1955,100,60,"h",301,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_360",1960,100,60,"h",301,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_370",1970,100,60,"h",301,0,"start_00","A2020_dbef_100",1
"FLAG_MAIN_03_380",1980,100,90,"t",302,0,"start_00","A2020_dbef_101",1
"FLAG_MAIN_03_390",1990,110,10,"t",403,0,"start_01","A2020_dbef_110",1
"FLAG_MAIN_03_395",1995,110,11,"t",403,0,"start_01","A2020_dbef_110",1
"FLAG_MAIN_03_400",2000,110,11,"t",403,0,"start_01","A2020_dbef_110",1
"FLAG_MAIN_03_401",2001,110,11,"t",403,0,"start_01","A2020_dbef_111",3
"FLAG_MAIN_03_402",2002,110,11,"t",403,0,"start_01","A2020_dbef_111",3
"FLAG_MAIN_03_403",2003,110,11,"t",105,0,"start_01","A2020_dbef_111",3
"FLAG_MAIN_03_404",2004,110,11,"t",105,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_405",2005,110,11,"t",105,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_406",2006,110,11,"t",105,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_410",2010,110,20,"d",1103,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_420",2020,110,20,"d",1103,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_422",2022,110,20,"d",1103,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_425",2025,110,20,"d",1103,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_430",2030,110,50,"d",1104,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_440",2040,110,50,"d",1104,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_450",2050,110,50,"d",1104,0,"start_00","A2020_dbef_111",3
"FLAG_MAIN_03_460",2060,120,10,"e",8,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_470",2070,120,20,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_475",2075,120,20,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_480",2080,120,21,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_485",2085,120,21,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_488",2088,120,21,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_490",2090,120,21,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_493",2093,120,21,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_494",2094,120,21,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_495",2095,120,80,"d",202,0,"start_02","A2020_dbef_120",1
"FLAG_MAIN_03_496",2096,120,21,"d",201,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_498",2098,120,81,"d",202,0,"start_02","A2020_dbef_120",1
"FLAG_MAIN_03_500",2100,120,100,"d",215,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_510",2110,120,80,"d",202,0,"start_02","A2020_dbef_120",1
"FLAG_MAIN_03_515",2115,120,100,"d",215,0,"start_00","A2020_dbef_120",1
"FLAG_MAIN_03_520",2120,120,110,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_522",2123,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_523",2124,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_525",2125,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_530",2130,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_540",2140,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_550",2150,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_560",2160,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_570",2170,130,40,"d",217,0,"start_00","A2020_dbef_130",1
"FLAG_MAIN_03_580",2180,130,50,"d",217,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_590",2190,130,50,"d",217,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_600",2200,130,50,"d",217,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_610",2210,130,50,"d",217,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_620",2220,130,1,"d",202,0,"start_01","A2020_dbef_130",1
"FLAG_MAIN_03_625",2225,140,10,"d",202,0,"start_90","A2020_dbef_140",1
"FLAG_MAIN_03_630",2230,140,10,"d",202,0,"start_90","A2020_dbef_140",1
"FLAG_MAIN_03_640",2240,140,10,"d",202,0,"start_90","A2020_dbef_140",1
"FLAG_MAIN_03_645",2245,140,11,"d",202,0,"start_92","A2020_dbef_141",1
"FLAG_MAIN_03_648",2248,140,11,"d",204,0,"start_01","A2020_dbef_141",1
"FLAG_MAIN_03_650",2250,140,20,"d",206,0,"start_00","A2020_dbef_141",1
"FLAG_MAIN_03_651",2251,140,20,"d",206,0,"start_00","A2020_dbef_141",1
"FLAG_MAIN_03_660",2260,140,30,"d",206,0,"start_00","A2020_dbef_141",1
"FLAG_MAIN_03_661",2261,140,30,"d",206,0,"start_00","A2020_dbef_141",1
"FLAG_MAIN_03_670",2270,140,50,"d",210,0,"start_00","A2020_dbef_141",0
"FLAG_MAIN_03_680",2280,140,50,"d",210,0,"start_00","A2020_dbef_141",0
"FLAG_MAIN_03_690",2290,140,50,"d",210,0,"start_00","A2020_dbef_141",0
"FLAG_MAIN_03_700",2300,140,80,"e",3,0,"start_00","A2020_dbef_141",2
"FLAG_MAIN_03_705",2305,140,80,"e",3,0,"start_00","A2020_dbef_141",2
"FLAG_MAIN_03_708",2308,140,80,"e",3,0,"start_00","A2020_dbef_141",2
"FLAG_MAIN_03_710",2310,140,80,"e",3,0,"start_00","A2020_dbef_141",2
"FLAG_MAIN_03_715",2315,150,10,"d",203,0,"start_01","A2020_dbef_150",1
"FLAG_MAIN_03_716",2316,150,10,"d",203,0,"start_01","A2020_dbef_150",1
"FLAG_MAIN_03_717",2317,150,10,"d",203,0,"start_01","A2020_dbef_150",1
"FLAG_MAIN_03_720",2320,150,20,"d",204,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_000",2400,150,20,"d",204,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_005",2410,150,30,"d",201,0,"start_05","A2020_dbef_150",1
"FLAG_MAIN_04_010",2420,150,30,"d",201,0,"start_05","A2020_dbef_150",1
"FLAG_MAIN_04_020",2430,150,40,"d",501,0,"start_09","A2020_dbef_150",1
"FLAG_MAIN_04_040",2450,150,45,"d",501,0,"start_10","A2020_dbef_150",1
"FLAG_MAIN_04_041",2451,150,45,"d",501,0,"start_10","A2020_dbef_150",1
"FLAG_MAIN_04_050",2460,150,80,"d",501,0,"start_10","A2020_dbef_150",1
"FLAG_MAIN_04_060",2470,150,95,"d",501,0,"start_10","A2020_dbef_150",1
"FLAG_MAIN_04_065",2475,150,100,"d",501,0,"start_10","A2020_dbef_150",1
"FLAG_MAIN_04_070",2480,150,100,"d",501,0,"start_10","A2020_dbef_150",1
"FLAG_MAIN_04_075",2485,150,101,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_076",2486,150,101,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_078",2488,150,102,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_079",2489,150,102,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_080",2490,150,102,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_081",2491,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_082",2492,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_083",2493,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_071",2481,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_072",2482,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_073",2483,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_074",2484,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_084",2494,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_085",2495,150,104,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_086",2496,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_087",2497,150,103,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_088",2498,150,104,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_089",2499,150,103,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_090",2500,150,110,"d",501,0,"start_02","A2020_dbef_150",1
"FLAG_MAIN_04_091",2510,150,110,"d",501,0,"start_02","A2020_dbef_150",1
"FLAG_MAIN_04_092",2511,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_093",2512,150,105,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_094",2513,150,105,"d",501,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_095",2514,150,103,"d",502,0,"start_00","A2020_dbef_150",1
"FLAG_MAIN_04_100",2520,150,110,"d",501,0,"start_02","A2020_dbef_150",1
"FLAG_MAIN_04_110",2530,150,110,"d",501,0,"start_02","A2020_dbef_150",1
"FLAG_MAIN_04_120",2540,150,130,"d",505,0,"start_03","A2020_dbef_150",1
"FLAG_MAIN_04_121",2550,150,130,"d",505,0,"start_03","A2020_dbef_150",1
"FLAG_MAIN_04_123",2553,150,130,"d",505,0,"start_03","A2020_dbef_150",1
"FLAG_MAIN_04_130",2560,150,130,"d",505,0,"start_03","A2020_dbef_150",1
"FLAG_MAIN_04_140",2570,150,160,"d",501,0,"start_11","A2020_dbef_150",1
"FLAG_MAIN_04_150",2580,150,160,"d",501,0,"start_11","A2020_dbef_150",1
"FLAG_MAIN_04_990",2590,150,170,"d",201,0,"start_01","A2020_dbef_150",1
"FLAG_MAIN_05_000",2700,150,170,"d",201,0,"start_01","A2020_dbef_160",1
"FLAG_MAIN_05_010",2710,150,170,"d",201,0,"start_01","A2020_dbef_160",1
"FLAG_MAIN_05_015",2715,-1,0,"d",0,0,"start_01","A2020_dbef_160",1
"FLAG_MAIN_05_020",2720,160,10,"d",606,0,"start_00","A2020_dbef_160",1
"FLAG_MAIN_05_030",2730,160,40,"d",608,0,"start_00","A2020_dbef_160",1
"FLAG_MAIN_05_040",2740,170,10,"d",606,0,"start_00","A2020_dbef_170",1
"FLAG_MAIN_05_060",2770,170,10,"d",606,0,"start_00","A2020_dbef_170",1
"FLAG_MAIN_05_070",2780,170,30,"d",302,0,"start_03","A2020_dbef_170",1
"FLAG_MAIN_05_075",2785,170,31,"d",302,0,"start_03","A2020_dbef_170",1
"FLAG_MAIN_05_076",2786,170,51,"d",301,0,"start_10","A2020_dbef_170",1
"FLAG_MAIN_05_077",2787,170,53,"d",302,0,"start_00","A2020_dbef_170",1
"FLAG_MAIN_05_078",2788,170,71,"d",302,0,"start_03","A2020_dbef_171",2
"FLAG_MAIN_05_079",2789,-1,0,"d",0,0,"start_03","A2020_dbef_171",2
"FLAG_MAIN_05_080",2790,170,31,"d",301,0,"start_03","A2020_dbef_170",1
"FLAG_MAIN_05_081",2791,170,51,"d",301,0,"start_10","A2020_dbef_170",1
"FLAG_MAIN_05_082",2792,170,51,"d",301,0,"start_10","A2020_dbef_170",1
