string2 0,empty 1,empty 2,string2 3,string2 4,empty 5,int32 6,int32 7,string2 8,int32 9,string2 10,int32 11,string2 12,int32 13
"char_BELPHEMON_RM_BIG",,,"chr839","1040",,0,0,"mma003",0,"",0,"",0
"char_PANDAMON",,,"chr041","1041",,0,0,"ymc007",0,"",0,"",0
"char_FUNBEEMON",,,"chr042","1042",,0,0,"cmc002",0,"",0,"",0
"char_BLACKTAILMON",,,"chr043","1043",,1,0,"yfd001",0,"mpc043",0,"",0
"char_CATCHMAMEMON",,,"chr044","1044",,0,0,"cmc004",0,"",0,"",0
"char_CHRONOMON",,,"chr045","1045",,0,0,"mmc001",0,"",0,"",0
"char_CHRONOMON_DESTROY",,,"chr046","1046",,0,0,"mma004",0,"",0,"",0
"char_MEGIDRAMON",,,"chr047","1047",,0,0,"mma003",0,"",0,"",0
"char_MEGIDRAMON_BIG",,,"chr867","1047",,0,0,"mma003",0,"",0,"",0
"char_GODDRAMON",,,"chr048","1048",,0,0,"mma001",0,"",0,"",0
"char_BANCHOLEOMON",,,"chr049","1049",,0,0,"yma011",0,"",0,"",0
"char_AGUMON",,,"chr050","1050",,0,0,"cma002",0,"",0,"",0
"char_GAWAPPAMON",,,"chr051","1051",,0,0,"yma004",0,"",0,"",0
"char_KAMEMON",,,"chr052","1052",,0,0,"cmb002",0,"",0,"",0
"char_KUDAMON",,,"chr053","1053",,0,0,"cmb001",0,"",0,"",0
"char_GEOGREYMON",,,"chr054","1054",,0,0,"yma003",0,"",0,"",0
"char_GAOMON",,,"chr055","1055",,0,0,"cma003",0,"",0,"",0
"char_LALAMON",,,"chr056","1056",,1,0,"cfc001",0,"",0,"",0
"char_ROSEMON",,,"chr057","1057",,1,0,"yfc001",0,"mpc057",0,"",0
"char_SUNFLOWMON",,,"chr058","1058",,1,0,"yfc002",0,"",0,"",0
"char_VOLCAMON",,,"chr059","1059",,0,0,"yma009",0,"",0,"",0
"char_PILEVOLCAMON",,,"chr060","1060",,0,0,"mma002",0,"",0,"",0
"char_MONZAEMON",,,"chr061","1061",,0,0,"ymc007",0,"",0,"",0
"char_GAOGAMON",,,"chr068","1068",,0,0,"yma011",0,"",0,"",0
"char_PLATINUMNUMEMON",,,"chr069","1069",,0,0,"ymd002",0,"",0,"",0
"char_NUMEMON",,,"chr070","1070",,0,0,"ymd008",0,"",0,"",0
"char_RIZEGREYMON",,,"chr071","1071",,0,0,"yma003",0,"",0,"",0
"char_LEOMON",,,"chr072","1072",,0,0,"ymb011",0,"",0,"",0
"char_LILAMON",,,"chr073","1073",,1,0,"yfc002",0,"",0,"",0
"char_MACHGAOGAMON",,,"chr074","1074",,0,0,"yma011",0,"",0,"",0
"char_NEPTUNEMON",,,"chr075","1075",,0,0,"mma001",0,"mpc075",4,"",0
"char_NEPTUNEMON_BIG",,,"chr927","1075",,0,0,"mma001",0,"mpc075",0,"",0
"char_SHAWUJINMON",,,"chr076","1076",,0,0,"ymb002",0,"",0,"",0
"char_REPPAMON",,,"chr077","1077",,0,0,"ymb002",0,"",0,"",0
"char_GROWMON",,,"chr078","1078",,0,0,"yma008",0,"",0,"",0
"char_SUPERSTARMON",,,"chr079","1079",,0,0,"yma004",0,"",0,"",0
"char_MERCURYMON",,,"chr080","1080",,0,0,"ymb002",0,"mpc080",0,"",0
"char_MERCURYMON_BIG",,,"chr928","1080",,0,0,"ymb002",0,"mpc080",0,"",0
"char_IMPMON",,,"chr081","1081",,0,0,"cmd003",0,"",0,"",0
"char_HIPPOGRIFFOMON",,,"chr082","1082",,0,0,"ymb001",0,"",0,"",0
"char_GRIFFOMON",,,"chr083","1083",,0,0,"yma008",0,"mpc083",0,"",0
"char_TYILINMON",,,"chr084","1084",,0,0,"ymb011",0,"",0,"",0
"char_VAMDEMON",,,"chr085","1085",,0,0,"ymd001",0,"",0,"",0
"char_SLEIPMON",,,"chr086","1086",,0,0,"ymb011",0,"",0,"",0
"char_SLEIPMON_BIG",,,"chr812","1086",,0,0,"ymb011",0,"",0,"",0
"char_ANGEMON",,,"chr087","1087",,0,0,"ymc001",0,"",0,"",0
"char_OMEGAMON",,,"chr088","1088",,0,0,"mmb002",0,"mpc088",0,"",0
"char_OMEGAMON_BIG",,,"chr929","1088",,0,0,"mmb002",0,"mpc088",0,"",0
"char_GUILMON",,,"chr090","1090",,0,0,"cma003",0,"",0,"",0
"char_STINGMON",,,"chr091","1091",,0,0,"ymb002",0,"",0,"",0
"char_TAILMON",,,"chr092","1092",,1,0,"yfa001",0,"",0,"",0
"char_DEVIMON",,,"chr093","1093",,0,0,"ymb001",0,"",0,"",0
"char_SHINEGREYMON",,,"chr094","1094",,0,0,"yma003",0,"",0,"",0
"char_SHINEGREYMON_BIG",,,"chr868","1094",,0,0,"yma003",0,"",0,"",0
"char_MIRAGEGAOGAMON",,,"chr095","1095",,0,0,"yma011",0,"",0,"",0
"char_PATAMON",,,"chr096","1096",,0,0,"cmc003",0,"",0,"",0
"char_PICODEVIMON",,,"chr097","1097",,0,0,"cmd003",0,"",0,"",0
"char_JUMBOGAMEMON",,,"chr098","1098",,0,0,"yma002",0,"",0,"",0
"char_WENDIMON",,,"chr100","1100",,0,0,"ymb005",0,"",0,"",0
"char_HOLYANGEMON",,,"chr101","1101",,0,0,"ymb002",0,"",0,"",0
"char_TURUIEMON",,,"chr102","1102",,1,0,"yfc003",0,"",0,"",0
"char_GANIMON",,,"chr103","1103",,0,0,"cmb002",0,"",0,"",0
"char_SUSANOOMON",,,"chr104","1104",,0,0,"mma001",0,"",0,"",0
"char_DUKEMON_CM",,,"chr105","1105",,0,0,"ymb007",0,"",0,"",0
"char_ARMAGEMON",,,"chr106","1106",,0,0,"mma004",0,"",0,"",0
"char_LADYDEVIMON",,,"chr107","1107",,1,0,"yfb002",0,"",0,"",0
"char_GOBURIMON",,,"chr111","1111",,0,0,"yma005",0,"",0,"",0
"char_DORUMON",,,"chr112","1112",,0,0,"cma003",0,"",0,"",0
"char_GOLDNUMEMON",,,"chr113","1113",,0,0,"ymd008",0,"",0,"",0
"char_V-MON",,,"chr114","1114",,0,0,"cma003",0,"",0,"",0
"char_BAOHUCKMON",,,"chr115","1115",,0,0,"yma007",0,"",0,"",0
"char_SAVIORHUCKMON",,,"chr116","1116",,0,0,"yma007",0,"",0,"",0
"char_VALDURMON",,,"chr117","1117",,0,0,"mma002",0,"",0,"",0
"char_CHAOSMONVALDURARM",,,"chr118","1118",,0,0,"ymd004",0,"",0,"",0
"char_DUKEMON",,,"chr126","1126",,0,0,"ymb007",0,"",0,"",0
"char_DUKEMON_BIG",,,"chr813","1126",,0,0,"ymb007",0,"",0,"",0
"char_KINGETEMON",,,"chr127","1127",,0,0,"yma004",0,"",0,"",0
"char_TYRANTKABUTERIMON",,,"chr128","1128",,0,0,"mma004",0,"mpc128",0,"",0
"char_TYRANTKABUTERIMON_BIG",,,"chr832","1128",,0,0,"mma004",0,"mpc128",0,"",0
"char_DAGOMON",,,"chr129","1129",,0,0,"omc001",0,"",0,"",0
"char_COELAMON",,,"chr130","1130",,0,0,"ymd007",0,"",0,"",0
"char_MEGASEADRAMON",,,"chr132","1132",,0,0,"yma009",0,"",0,"",0
"char_WARUSEADRAMON",,,"chr133","1133",,0,0,"yma012",0,"",0,"",0
"char_MEGAGROWLMON",,,"chr134","1134",,0,0,"yma009",0,"",0,"",0
"char_METALGARURUMON",,,"chr135","1135",,0,0,"ymb004",0,"",0,"",0
"char_CORONAMON",,,"chr136","1136",,0,0,"cma002",0,"mpc136",0,"",0
"char_FIRAMON",,,"chr137","1137",,0,0,"yma003",0,"",0,"",0
"char_FLAREMON",,,"chr138","1138",,0,0,"yma003",0,"",0,"",0
"char_LIGHDRAMON",,,"chr139","1139",,0,0,"yma007",0,"",0,"",0
"char_WEREGARURUMON",,,"chr140","1140",,0,0,"ymb004",0,"",0,"",0
"char_HOLSMON",,,"chr141","1141",,0,0,"ymb009",0,"",0,"",0
"char_SHURIMON",,,"chr142","1142",,0,0,"ymd007",0,"",0,"",0
"char_DIGMON",,,"chr144","1144",,0,0,"ymd007",0,"",0,"",0
"char_SABMARIMON",,,"chr145","1145",,0,0,"ymc003",0,"mpc145",0,"",0
"char_PEGASMON",,,"chr146","1146",,0,0,"ymc001",0,"",0,"",0
"char_NEFERTIMON",,,"chr147","1147",,1,0,"yfb001",0,"",0,"",0
"char_ANGEWOMON",,,"chr148","1148",,1,0,"yfc003",0,"",0,"",0
"char_OROCHIMON",,,"chr149","1149",,0,0,"omc001",0,"",0,"",0
"char_CHAOSDUKEMON",,,"chr150","1150",,0,0,"ymb007",0,"",0,"",0
"char_GABUMON",,,"chr151","1151",,0,0,"cmb001",0,"",0,"",0
"char_RANAMON",,,"chr162","1162",,1,0,"cfc001",0,"mpc162",0,"",0
"char_CALAMARAMON",,,"chr163","1163",,1,0,"yfd001",0,"mpc163",0,"",0
"char_CALAMARAMON_BIG",,,"chr930","1163",,1,0,"yfd001",0,"mpc163",0,"",0
"char_JUPITERMON",,,"chr168","1168",,0,0,"mmb002",0,"mpc168",4,"",0
"char_JUPITERMON_BIG",,,"chr934","1168",,0,0,"mmb002",0,"mpc168",4,"",0
"char_JUPITERMON_WRATHMODE",,,"chr169","1169",,0,0,"mma003",0,"mpc169",4,"",0
"char_JUPITERMON_WRATHMODE_SUB",,,"chr876","1169",,0,0,"mma003",0,"mpc169",4,"",0
"char_JUPITERMON_WRATHMODE_BIG",,,"chr935","1169",,0,0,"mma003",0,"mpc169",4,"",0
"char_JUNOMON",,,"chr170","1170",,1,0,"yfc003",0,"mpc170",0,"",0
"char_JUNOMON_HYSTERICMODE",,,"chr171","1171",,1,0,"yfa002",0,"mpc171",0,"",0
"char_JUNOMON_HYSTERICMODE_ADD",,,"chr171","1171",,1,0,"yfa002",0,"mpc171",0,"",0
"char_VENUSMON",,,"chr172","1172",,1,0,"yfc001",0,"mpc172",0,"",0
"char_APOLLOMON",,,"chr173","1173",,0,0,"yma003",0,"mpc173",0,"",0
"char_APOLLOMON_BIG",,,"chr931","1173",,0,0,"yma003",0,"mpc173",0,"",0
"char_APOLLOMON_ADD",,,"chr931","1173",,0,0,"yma003",0,"mpc173",0,"",0
"char_MARSMON",,,"chr174","1174",,0,0,"yma011",0,"mpc174",0,"",0
"char_CERESMON",,,"chr176","1176",,1,0,"yfa002",0,"mpc176",0,"",0
"char_CERESMON_BIG",,,"chr932","1176",,0,0,"yfa002",0,"mpc176",0,"",0
"char_BLUEMERAMON",,,"chr177","1177",,0,0,"yma009",0,"",0,"",0
"char_VULCANUSMON",,,"chr178","1178",,0,0,"mmb001",0,"mpc178",0,"",0
"char_VULCANUSMON_BIG",,,"chr823","1178",,0,0,"",0,"mpc178",0,"",0
"char_VULCANUSMON_GUEST_BIG",,,"chr842","1178",,0,0,"",0,"mpc178",0,"",0
"char_VULCANUSMON_ADD",,,"chr823","1178",,0,0,"mmb001",0,"mpc178",0,"",0
"char_BACCHUSMON",,,"chr179","1179",,0,0,"ymc003",0,"mpc179",0,"",0
"char_PLUTOMON",,,"chr180","1180",,0,0,"mmb003",0,"mpc180",0,"",0
"char_PLUTOMON_BIG",,,"chr933","1180",,0,0,"mmb003",0,"mpc180",0,"",0
"char_MERVAMON",,,"chr181","1181",,1,0,"yfb001",0,"mpc181",0,"",0
"char_AEGIOMON",,,"chr183a","1183",,0,0,"cma002",0,"mpc183",0,"",0
"char_AEGIOMON_PLAIN_CLOTHES",,,"chr183b","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_NO_CAP",,,"chr183d","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_DIGI_A",,,"chr183n","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_DIGI_B",,,"chr183o","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_DIGI_C",,,"chr183p","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_MIZUGI_A",,,"chr183q","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_MIZUGI_B",,,"chr183r","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_MIZUGI_C",,,"chr183s","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_KIGURUMI_A",,,"chr183t","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_KIGURUMI_B",,,"chr183u","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOMON_KIGURUMI_C",,,"chr183v","1183",,0,0,"",0,"mpc183",0,"",0
"char_AEGIOCHUSMON",,,"chr184a","1184",,0,0,"yma007",0,"mpc184",0,"",0
"char_AEGIOCHUSMON_DARK",,,"chr185a","1185",,0,0,"ymd004",0,"mpc185",0,"",0
"char_AEGIOCHUSMON_HOLLY",,,"chr186a","1186",,0,0,"ymc001",0,"mpc186",0,"",0
"char_AEGIOCHUSMON_BLUE",,,"chr187a","1187",,0,0,"ymb011",0,"mpc187",0,"",0
"char_AEGIOCHUSMON_GREEN",,,"chr188a","1188",,0,0,"ymb002",0,"mpc188",0,"",0
"char_CERESMON_MEDIUM",,,"chr189","1189",,1,0,"yfc002",0,"mpc189",0,"",0
"char_RYUDAMON",,,"chr190","1190",,0,0,"cmb001",0,"",0,"",0
"char_GINRYUMON",,,"chr191","1191",,0,0,"ymb011",0,"",0,"",0
"char_HISYARYUMON",,,"chr192","1192",,0,0,"ymb011",0,"",0,"",0
"char_OURYUMON",,,"chr193","1193",,0,0,"mma001",0,"",0,"",0
"char_GUNDRAMON",,,"chr194","1194",,0,0,"mma004",0,"",0,"",0
"char_GUNDRAMON_BIG",,,"chr827","1194",,0,0,"mma004",0,"",0,"",0
"char_BEELSTARMON",,,"chr195","1195",,1,0,"yfb002",0,"mpc195",0,"",0
"char_PUKUMON",,,"chr196","1196",,0,0,"yma007",0,"",0,"",0
"char_CROSSMON",,,"chr197","1197",,0,0,"yma012",0,"",0,"",0
"char_LOCOMON",,,"chr198","1198",,0,0,"ymb010",0,"",0,"",0
"char_ARCHNEMON",,,"chr199","1199",,1,0,"yfd001",0,"",0,"",0
"char_DRACOMON",,,"chr208","1208",,0,0,"cma004",0,"",0,"",0
"char_COREDRAMON_GR",,,"chr209","1209",,0,0,"yma005",0,"",0,"",0
"char_WINGDRAMON",,,"chr210","1210",,0,0,"yma008",0,"",0,"",0
"char_GROUNDRAMON",,,"chr211","1211",,0,0,"yma009",0,"",0,"",0
"char_SLAYERDRAMON",,,"chr213","1213",,0,0,"yma012",0,"",0,"",0
"char_BREAKDRAMON",,,"chr214","1214",,0,0,"yma002",0,"",0,"",0
"char_BREAKDRAMON_BIG",,,"chr828","1214",,0,0,"yma002",0,"",0,"bmv007",0
"char_EXAMON",,,"chr215","1215",,0,0,"mma004",0,"",0,"",0
"char_EXSAON_BOSS",,,"chr215","1350",,0,0,"mma004",0,"",0,"",0
"char_EXAMON_BIG",,,"chr814","1215",,0,0,"mma004",0,"",0,"",0
"char_EXAMON_SMALL",,,"chr906","1215",,0,0,"mma004",0,"",0,"",0
"char_DARKSUPERSTARMON",,,"chr217","1217",,0,0,"ymb002",0,"",0,"",0
"char_COREDRAMON_BL",,,"chr218","1218",,0,0,"yma005",0,"",0,"",0
"char_KOTEMON",,,"chr219","1219",,0,0,"ymb002",0,"",0,"",0
"char_MUSYAMON",,,"chr220","1220",,0,0,"ymb001",0,"",0,"",0
"char_DOBERMON",,,"chr222","1222",,0,0,"ymb005",0,"",0,"",0
"char_CERBERUMON",,,"chr223","1223",,0,0,"yma015",0,"",0,"",0
"char_CERBERUMON_WEREWOLFMODE",,,"chr224","1224",,0,0,"yma015",0,"",0,"",0
"char_ZANBAMON",,,"chr225","1225",,0,0,"yma007",0,"",0,"",0
"char_ZANBAMON_BIG",,,"chr844","1225",,0,0,"yma007",0,"",0,"",0
"char_MUMMYMON",,,"chr226","1226",,0,0,"ymd008",0,"",0,"",0
"char_PHARAOHMON",,,"chr227","1227",,0,0,"ymb002",0,"",0,"",0
"char_PHARAOHMON_BIG",,,"chr829","1227",,0,0,"ymb002",0,"",0,"",0
"char_DELTAMON",,,"chr228","1228",,0,0,"yma008",0,"",0,"",0
"char_CHIMAIRAMON",,,"chr229","1229",,0,0,"yma008",0,"",0,"bmv004",0
"char_MILLENNIUMON",,,"chr230","1230",,0,0,"mma003",0,"",0,"",0
"char_MILLENNIUMON_BIG",,,"chr835","1230",,0,0,"mma003",0,"",0,"",0
"char_BAKUMON",,,"chr231","1231",,0,0,"cmc003",0,"",0,"",0
"char_SIRENMON",,,"chr232","1232",,1,0,"yfb001",0,"mpc232",0,"",0
"char_BELIALVAMDEMON",,,"chr233","1233",,0,0,"mmd001",0,"",0,"",0
"char_BEARMON",,,"chr234","1234",,0,0,"cmd002",0,"",0,"",0
"char_GRYZMON",,,"chr235","1235",,0,0,"yma008",0,"",0,"",0
"char_ASTAMON",,,"chr237","1237",,0,0,"ymb001",0,"",0,"",0
"char_SKULLBALUCHIMON",,,"chr239","1239",,0,0,"yma002",0,"",0,"",0
"char_OCTMON",,,"chr240","1240",,0,0,"ymd007",0,"",0,"",0
"char_CHOROMON",,,"chr241","1241",,0,0,"cmd001",0,"",0,"",0
"char_CAPROMON",,,"chr242","1242",,0,0,"cmd001",0,"",0,"",0
"char_MEGADRAMON",,,"chr301","1301",,0,0,"yma002",0,"",0,"",0
"char_METALGREYMON",,,"chr302","1302",,0,0,"yma007",0,"",0,"",0
"char_TENTOMON",,,"chr303","1303",,0,0,"cmc002",0,"",0,"",0
"char_KABUTERIMON",,,"chr304","1304",,0,0,"ymb001",0,"",0,"",0
"char_ATLURKABUTERIMON",,,"chr305","1305",,0,0,"ymb006",0,"",0,"",0
"char_HERCULESKABUTERIMON",,,"chr306","1306",,0,0,"mma002",0,"",0,"",0
"char_HERCULESKABUTERIMON_BIG",,,"chr869","1306",,0,0,"mma002",0,"",0,"",0
"char_PIYOMON",,,"chr307","1307",,1,0,"cfa001",0,"",0,"",0
"char_BIRDRAMON",,,"chr308","1308",,0,0,"ymc008",0,"",0,"",0
"char_GARUDAMON",,,"chr309","1309",,0,0,"ymc008",0,"",0,"",0
"char_HOUOUMON",,,"chr310","1310",,0,0,"mmc001",0,"",0,"",0
"char_ETEMON",,,"chr311","1311",,0,0,"yma004",0,"",0,"",0
"char_METALETEMON",,,"chr312","1312",,0,0,"yma004",0,"",0,"",0
"char_SUKAMON",,,"chr313","1313",,0,0,"ymd002",0,"",0,"",0
"char_VEGIMON",,,"chr314","1314",,0,0,"yma005",0,"",0,"",0
"char_SERAPHIMON",,,"chr315","1315",,0,0,"ymc001",0,"",0,"",0
"char_DODOMON",,,"chr316","1316",,0,0,"cma001",0,"",0,"",0
"char_BOTAMON",,,"chr317","1317",,0,0,"cmd001",0,"",0,"",0
"char_POYOMON",,,"chr320","1320",,0,0,"cmc001",0,"",0,"",0
"char_WANYAMON",,,"chr321","1321",,0,0,"cma001",0,"",0,"",0
"char_KOROMON",,,"chr322","1322",,0,0,"cma001",0,"",0,"",0
"char_TOKOMON",,,"chr325","1325",,0,0,"cmc001",0,"",0,"",0
"char_GREYMON",,,"chr326","1326",,0,0,"yma007",0,"",0,"",0
"char_APOCLYMON",,,"chr328","1328",,0,0,"mmb003",0,"",0,"",0
"char_ANCIENTWISETMON",,,"chr338","1338",,0,0,"mmb002",0,"",0,"",0
"char_GUARDROMON",,,"chr341","1341",,0,0,"ymb003",0,"",0,"",0
"char_ANDROMON",,,"chr342","1342",,0,0,"ymb003",0,"",0,"",0
"char_GOMAMON",,,"chr343","1343",,0,0,"cma003",0,"",0,"",0
"char_IKKAKUMON",,,"chr344","1344",,0,0,"ymc003",0,"",0,"",0
"char_ZUDOMON",,,"chr345","1345",,0,0,"yma008",0,"",0,"",0
"char_VIKEMON",,,"chr346","1346",,0,0,"mma002",0,"",0,"",0
"char_SEADRAMON",,,"chr347","1347",,0,0,"yma012",0,"",0,"",0
"char_PALMON",,,"chr348","1348",,1,0,"cfc001",0,"mpc348",0,"",0
"char_TOGEMON",,,"chr349","1349",,0,0,"ymb010",0,"",0,"",0
"char_LILLYMON",,,"chr359","1359",,1,0,"yfc001",0,"",0,"",0
"char_PLOTMON",,,"chr361","1361",,1,0,"cfc001",0,"",0,"",0
"char_TYRANNOMON",,,"chr363","1363",,0,0,"yma012",0,"",0,"",0
"char_METALTYRANNOMON",,,"chr364","1364",,0,0,"yma002",0,"",0,"",0
"char_XV-MON",,,"chr365","1365",,0,0,"yma003",0,"",0,"",0
"char_KUWAGAMON",,,"chr367","1367",,0,0,"ymb006",0,"",0,"",0
"char_KUWAGAMON_BIG",,,"chr942","1367",,0,0,"ymb006",0,"",0,"bmv010",0
"char_SHELLMON",,,"chr368","1368",,1,0,"cfa001",0,"mpc368",0,"",0
"char_MONOCHROMON",,,"chr369","1369",,0,0,"yma008",0,"",0,"",0
"char_YUKIDARUMON",,,"chr370","1370",,0,0,"ymc007",0,"",0,"",0
"char_MOJYAMON",,,"chr371","1371",,0,0,"oma001",0,"",0,"",0
"char_CENTALMON",,,"chr372","1372",,0,0,"ymb002",0,"",0,"",0
"char_DRIMOGEMON",,,"chr373","1373",,0,0,"ymd007",0,"",0,"",0
"char_DIGITAMAMON",,,"chr374","1374",,0,0,"ymb010",0,"",0,"",0
"char_NANIMON",,,"chr375","1375",,0,0,"yma002",0,"mpc375",0,"",0
"char_TONOSAMAGEKOMON",,,"chr376","1376",,0,0,"mmc001",0,"",0,"",0
"char_WIZARDMON",,,"chr377","1377",,0,0,"ymb002",0,"",0,"",0
"char_DELUMON",,,"chr378","1378",,0,0,"ymc003",0,"",0,"",0
"char_JYUREIMON",,,"chr379","1379",,0,0,"oma001",0,"mpc379",0,"",0
"char_JYUREIMON_BIG",,,"chr946","1379",,0,0,"oma001",0,"mpc379",0,"",0
"char_GERBEMON",,,"chr380","1380",,0,0,"ymd002",0,"",0,"",0
"char_MAGNAMON",,,"chr382","1382",,0,0,"yma015",0,"",0,"",0
"char_MAGNAMON_BIG",,,"chr815","1382",,0,0,"yma015",0,"",0,"",0
"char_RUSTTYRANOMON",,,"chr383","1383",,0,0,"mma003",0,"",0,"",0
"char_MUGENDRAMON",,,"chr385","1385",,0,0,"yma002",0,"",0,"",0
"char_MUGENDRAMON_BIG",,,"chr836","1385",,0,0,"yma002",0,"",0,"",0
"char_BUBBMON",,,"chr387","1387",,0,0,"cmc001",0,"",0,"",0
"char_MOCHIMON",,,"chr388","1388",,0,0,"cmc001",0,"",0,"",0
"char_BETAMON",,,"chr389","1389",,0,0,"cmd002",0,"",0,"",0
"char_LUCEMON",,,"chr390","1390",,0,0,"cmc003",0,"",0,"",0
"char_RENAMON",,,"chr391","1391",,0,0,"yfb001",0,"",0,"",0
"char_WORMMON",,,"chr392","1392",,0,0,"cmd002",0,"",0,"",0
"char_WOODMON",,,"chr393","1393",,0,0,"ymd007",0,"",0,"",0
"char_ORGEMON",,,"chr394","1394",,0,0,"yma008",0,"mpc394",0,"",0
"char_ORGEMON_BOSS",,,"chr394","1394",,0,0,"yma008",0,"mpc394",0,"",0
"char_KYUBIMON",,,"chr395","1395",,1,0,"yfb001",0,"",0,"",0
"char_DORUGAMON",,,"chr396","1396",,0,0,"yma009",0,"",0,"",0
"char_V-DRAMON",,,"chr397","1397",,0,0,"yma003",0,"",0,"",0
"char_CLOCKMON",,,"chr398","1398",,0,0,"ymb008",0,"",0,"",0
"char_GEKOMON",,,"chr399","1399",,0,0,"yma005",0,"mpc399",0,"",0
"char_AEROVEEDRAMON",,,"chr400","1400",,0,0,"yma003",0,"",0,"",0
"char_OKUWAMON",,,"chr401","1401",,0,0,"ymb001",0,"",0,"",0
"char_GIGADRAMON",,,"chr402","1402",,0,0,"yma012",0,"",0,"",0
"char_GRAPLEOMON",,,"chr403","1403",,0,0,"yma011",0,"mpc403",0,"",0
"char_SKULLGREYMON",,,"chr404","1404",,0,0,"mma004",0,"",0,"",0
"char_SKULLGREYMON_BIG",,,"chr837","1404",,0,0,"mma004",0,"",0,"bmv012",0
"char_TAOMON",,,"chr405","1405",,1,0,"yfb001",0,"",0,"",0
"char_DEATHMERAMON",,,"chr406","1406",,0,0,"yma002",0,"",0,"",0
"char_DORUGREYMON",,,"chr407","1407",,0,0,"yma009",0,"",0,"",0
