int32 0,string2 1,empty 2,empty 3,string2 4,string2 5,float 6,float 7,float 8,float 9,float 10,float 11,float 12,float 13,int32 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,int32 25,float 26,float 27,string2 28,int32 29
33,"chr081",,,"ba01","J_thumb_r",0,-90,0,0.2,0,-90,0,0.4,1,9.8,9.97,10.14,10.31,10.49,10.66,10.83,11,12,0,8,0.8,0.39,"",2
34,"chr081",,,"ba01","J_pinky_r",0,-90,0,0.2,0,-90,0,0.4,1,9.8,9.97,10.14,10.31,10.49,10.66,10.83,11,12,0,8,0.8,0.39,"",2
35,"chr081",,,"ba01","J_index_r",0,-90,0,0.2,0,-90,0,0.4,1,9.8,9.97,10.14,10.31,10.49,10.66,10.83,11,12,0,8,0.8,0.39,"",2
36,"chr420",,,"ba01","J_weapon",0,0,0,1.5,0,0,0,5.4,1,6,6.43,6.86,7.29,7.71,8.14,8.57,9,-1,0,8,0,0,"",2
37,"chr773",,,"ba01","J_sword",90,0,0,0,90,0,0,0.8,0,29,35,-1,-1,-1,-1,-1,-1,35,3,32,0,0,"",2
38,"chr600",,,"ba01","J_te_R",0,-75,0,6.25,0,-75,0,6.5,1,12,12.57,13.14,13.71,14.29,14.86,15.43,16,16,2,20,0.37,0.41,"",2
39,"chr600",,,"ba01","J_te_R",0,-85,0,6.25,0,-85,0,6.5,1,12,12.57,13.14,13.71,14.29,14.86,15.43,16,16,2,20,0.37,0.41,"",2
40,"chr600",,,"ba01","J_te_R",0,-95,0,6.25,0,-95,0,6.5,1,12,12.57,13.14,13.71,14.29,14.86,15.43,16,16,2,20,0.37,0.41,"",2
41,"chr027",,,"ba01","J_weapon_r",20,-85,0,2.3,20,-85,0,2.4,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,2,20,0.3,0.33,"",2
42,"chr027",,,"ba01","J_weapon_r",20,-92,0,2.3,20,-92,0,2.4,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,2,20,0.3,0.33,"",2
43,"chr027",,,"ba01","J_weapon_r",20,-99,0,2.3,20,-99,0,2.4,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,2,20,0.3,0.33,"",2
44,"chr680",,,"ba01","J_sword01_r",0,90,0,0.6,0,90,0,1.6,1,9,9.43,9.86,10.29,10.71,11.14,11.57,12,13,0,8,0,0,"",2
45,"chr400",,,"ba01","J_handR2",60,-60,0,0.35,60,-60,0,0.4,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,18,0,8,0.37,0.46,"",2
46,"chr400",,,"ba01","J_handR2",60,-90,0,0.35,60,-90,0,0.4,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,18,0,8,0.37,0.46,"",2
47,"chr400",,,"ba01","J_handR2",60,-120,0,0.35,60,-120,0,0.4,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,18,0,8,0.37,0.46,"",2
48,"chr001",,,"ba01","J_yubi_L1",120,0,-35,0.7,120,0,-30,0.8,1,13,13.43,13.86,14.29,14.71,15.14,15.57,16,16,0,8,1,0.52,"",2
49,"chr001",,,"ba01","J_yubi_L1",120,0,0,0.7,120,0,0,0.8,1,13,13.43,13.86,14.29,14.71,15.14,15.57,16,16,0,8,1,0.52,"",2
50,"chr001",,,"ba01","J_yubi_L1",120,0,35,0.7,120,0,30,0.8,1,13,13.43,13.86,14.29,14.71,15.14,15.57,16,16,0,8,1,0.52,"",2
51,"chr365",,,"ba01","J_hand_r",0,300,0,0.6,0,300,0,0.65,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,20,0,20,0.43,0.43,"",2
52,"chr365",,,"ba01","J_hand_r",0,280,0,0.6,0,280,0,0.65,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,20,0,20,0.43,0.43,"",2
53,"chr365",,,"ba01","J_hand_r",0,260,0,0.6,0,260,0,0.65,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,20,0,20,0.43,0.43,"",2
54,"chr331",,,"ba01","J_sword_l",-90,0,0,0.8,-90,0,0,2.4,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,17,2,8,0,0,"",2
55,"chr193",,,"ba01","J_sword_r",0,0,0,0.5,-10,0,0,2.5,1,17,17.29,17.57,17.86,18.14,18.43,18.71,19,-1,0,25,0,0,"",2
56,"chr446",,,"ba01","J_blade",90,0,30,2,90,0,15,2.2,0,0,31,-1,-1,-1,-1,-1,-1,31.000002,4,8,0,0,"",2
57,"chr744",,,"ba01","J_weapon_r",0,0,0,0.5,-20,20,0,3.5,1,25,25.29,25.57,25.86,26.14,26.43,26.71,27,-1,0,19,0,0,"",2
58,"chr677",,,"ba01","J_edge01",0,0,0,-0.8,0,0,0,1,1,13,13.43,13.86,14.29,14.71,15.14,15.57,16,-1,-1,30,0,0,"",2
59,"chr068",,,"ba01","J_f_footr_r",0,-18,0,0.6,0,-15,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,2,27,0.39,0.28,"",2
60,"chr068",,,"ba01","J_f_footr_r",0,0,0,0.6,0,0,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,2,27,0.39,0.28,"",2
61,"chr068",,,"ba01","J_f_footr_r",0,18,0,0.6,0,15,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,2,27,0.39,0.28,"",2
62,"chr068",,,"ba01","J_f_foot1_l",0,-18,0,0.6,0,-15,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,2,35,0.39,0.28,"",2
63,"chr068",,,"ba01","J_f_foot1_l",0,0,0,0.6,0,0,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,2,35,0.39,0.28,"",2
64,"chr068",,,"ba01","J_f_foot1_l",0,18,0,0.6,0,15,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,2,35,0.39,0.28,"",2
65,"chr772",,,"ba01","J_sword_r",0,-90,0,0.7,0,-90,0,1.9,1,12,12.43,12.86,13.29,13.71,14.14,14.57,15,-1,0,20,0,0,"",2
66,"chr118",,,"ba01","J_sword_r",0,-90,0,0.7,0,-90,0,1.9,1,12,12.43,12.86,13.29,13.71,14.14,14.57,15,-1,0,21,0,0,"",2
67,"chr569",,,"ba01","J_te_L",0,75,0,0.3,0,80,0,0.4,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.41,0.3,"",2
68,"chr569",,,"ba01","J_te_L",0,90,0,0.3,0,90,0,0.4,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.41,0.3,"",2
69,"chr569",,,"ba01","J_te_L",0,105,0,0.3,0,100,0,0.4,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.41,0.3,"",2
70,"chr569",,,"ba01","J_te_R",0,-75,0,0.3,0,-80,0,0.4,1,6,6.43,6.86,7.29,7.71,8.14,8.57,10,11,0,8,0.41,0.3,"",2
71,"chr569",,,"ba01","J_te_R",0,-90,0,0.3,0,-90,0,0.4,1,6,6.43,6.86,7.29,7.71,8.14,8.57,10,11,0,8,0.41,0.3,"",2
72,"chr569",,,"ba01","J_te_R",0,-105,0,0.3,0,-100,0,0.4,1,6,6.43,6.86,7.29,7.71,8.14,8.57,10,11,0,8,0.41,0.3,"",2
73,"chr103",,,"ba01","J_scissors01_R",0,-95,0,0.1,0,-80,0,0.4,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18,2,8,0,0,"",2
74,"chr103",,,"ba01","J_scissors01_L",0,95,0,0.5,0,90,0,0.9,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18,2,20,0,0,"",2
75,"chr151",,,"ba01","J_hand2_r",0,-105,0,0.6,0,-100,0,0.8,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,19,0,8,0.33,0.52,"",2
76,"chr151",,,"ba01","J_hand2_r",0,-80,0,0.6,0,-82,0,0.8,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,19,0,8,0.33,0.52,"",2
77,"chr151",,,"ba01","J_hand2_r",0,-90,0,0.6,0,-90,0,0.8,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,19,0,8,0.33,0.52,"",2
78,"chr052",,,"ba01","J_hand_r",0,-115,0,0.4,0,-110,0,0.6,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,12,0,8,1,0.2,"",2
79,"chr052",,,"ba01","J_hand_r",0,-70,0,0.4,0,-75,0,0.6,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,12,0,8,1,0.2,"",2
80,"chr052",,,"ba01","J_hand_r",0,-90,0,0.4,0,-90,0,0.6,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,12,0,8,1,0.2,"",2
81,"chr309",,,"ba01","J_tumasaki_R",0,-50,0,0.65,0,-45,0,0.7,1,17,17.29,17.57,17.86,18.14,18.43,18.71,19,19,0,8,0.48,0.5,"",2
82,"chr309",,,"ba01","J_tumasaki_R",0,50,0,0.65,0,45,0,0.7,1,17,17.29,17.57,17.86,18.14,18.43,18.71,19,19,0,8,0.48,0.5,"",2
83,"chr309",,,"ba01","J_tumasaki_R",0,0,0,0.6,0,0,0,0.7,1,17,17.29,17.57,17.86,18.14,18.43,18.71,19,19,0,8,0.48,0.5,"",2
84,"chr681",,,"ba01","J_wing02_r",20,0,0,0.5,10,0,0,1.7,1,16,16.71,17.43,18.14,18.86,19.57,20.29,21,21,3,8,0,0,"",2
85,"chr594",,,"ba01","J_yubi_R",30,-30,0,0.25,40,-25,0,0.35,1,7,7.43,7.86,8.29,8.71,9.14,9.57,10,-1,0,20,0.39,0.52,"",2
86,"chr594",,,"ba01","J_yubi_R",30,30,0,0.25,40,25,0,0.35,1,7,7.43,7.86,8.29,8.71,9.14,9.57,10,-1,0,20,0.39,0.52,"",2
87,"chr594",,,"ba01","J_yubi_R",30,0,0,0.25,40,0,0,0.35,1,7,7.43,7.86,8.29,8.71,9.14,9.57,10,-1,0,20,0.39,0.52,"",2
88,"chr229",,,"ba01","J_pinky03_r",0,30,0,0.35,0,30,0,0.4,1,11,11.29,11.57,11.86,12.14,12.43,12.71,13,13,0,8,0.28,0.48,"",2
89,"chr229",,,"ba01","J_middle03_r",0,0,0,0.35,0,0,0,0.4,1,11,11.29,11.57,11.86,12.14,12.43,12.71,13,13,0,8,0.28,0.48,"",2
90,"chr229",,,"ba01","J_thumb02_r",0,-50,0,0.35,0,-50,0,0.4,1,11,11.29,11.57,11.86,12.14,12.43,12.71,13,13,0,8,0.28,0.48,"",2
91,"chr090",,,"ba01","J_finger_r",0,-65,0,0.4,0,-70,0,0.5,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,11,0,20,0.41,0.43,"",2
92,"chr090",,,"ba01","J_finger_r",0,-90,0,0.4,0,-90,0,0.5,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,11,0,20,0.43,0.41,"",2
93,"chr090",,,"ba01","J_finger_r",0,-115,0,0.4,0,-110,0,0.5,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,11,0,20,0.5,0.43,"",2
94,"chr613",,,"ba01","J_weapon",90,0,0,0.5,90,0,0,1.7,1,16,16.71,17.43,18.14,18.86,19.57,20.29,21,21,2,14,0,0,"",2
95,"chr078",,,"ba01","J_nail_r",0,-100,0,0.65,0,-99,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,20,0.43,0.41,"",2
96,"chr078",,,"ba01","J_nail_r",0,-80,0,0.65,0,-80,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,20,0.43,0.41,"",2
97,"chr078",,,"ba01","J_nail_r",0,-60,0,0.65,0,-62,0,0.7,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,20,0.43,0.41,"",2
98,"chr423",,,"ba01","J_heelR2",15,0,0,2.3,15,0,0,2.7,1,8,8.43,8.86,9.29,9.71,10.14,10.57,11,-1,0,8,0.48,0.48,"",2
99,"chr423",,,"ba01","J_heelR2",15,30,0,2.3,15,27,0,2.7,1,8,8.43,8.86,9.29,9.71,10.14,10.57,11,-1,0,8,0.48,0.48,"",2
100,"chr423",,,"ba01","J_heelR2",15,-30,0,2.3,15,-27,0,2.7,1,8,8.43,8.86,9.29,9.71,10.14,10.57,11,-1,0,8,0.48,0.48,"",2
101,"chr032",,,"ba01","J_toe_f_l",20,-25,0,1.1,20,-23.5,0,1.2,1,9,9.14,9.29,9.43,9.57,9.71,9.86,10,11,0,8,0.41,0.43,"",2
102,"chr032",,,"ba01","J_toe_f_l",20,5,0,1.1,20,5,0,1.2,1,9,9.14,9.29,9.43,9.57,9.71,9.86,10,11,0,8,0.41,0.43,"",2
103,"chr032",,,"ba01","J_toe_f_l",20,25,0,1.1,20,23.5,0,1.2,1,9,9.14,9.29,9.43,9.57,9.71,9.86,10,11,0,8,0.41,0.43,"",2
104,"chr235",,,"ba01","J_hand_r",20,-19,0,0.65,20,-17.5,0,0.7,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.43,0.43,"",2
105,"chr235",,,"ba01","J_hand_r",20,19,0,0.65,20,17.5,0,0.7,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.43,0.43,"",2
106,"chr235",,,"ba01","J_hand_r",20,0,0,0.65,20,0,0,0.7,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.43,0.43,"",2
107,"chr026",,,"ba01","J_sword_l",-30,0,0,-0.2,150,0,0,1.5,0,12,23,-1,-1,-1,-1,-1,-1,23,2,23,0,0,"",2
108,"chr026",,,"ba01","J_sword_r",-30,0,0,-0.2,150,0,0,1.5,0,8,21,-1,-1,-1,-1,-1,-1,21,2,22,0,0,"",2
109,"chr004",,,"ba01","J_weapon",0,0,0,1.3,0,0,0,1.65,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,17,1.2,8,0,0,"",3
110,"chr734",,,"ba01","J_weapon",0,0,0,0.7,0,0,0,2.4,0,9,15,-1,-1,-1,-1,-1,-1,14.999999,3,20,0,0,"",2
111,"chr197",,,"ba01","J_toe02_l",20,0,0,1.1,20,0,0,1.2,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.48,0.5,"",2
112,"chr197",,,"ba01","J_toe02_r",20,0,0,1.1,20,0,0,1.2,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,17,0,8,0.43,0.43,"",2
113,"chr197",,,"ba01","J_toe01_l",20,0,0,1.1,20,0,0,1.2,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.48,0.5,"",2
114,"chr197",,,"ba01","J_toe01_r",20,0,0,1.1,20,0,0,1.2,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,17,0,8,0.48,0.37,"",2
115,"chr045",,,"ba01","J_finger03_r",20,0,0,0.5,20,0,0,0.6,1,9,9.43,9.86,10.29,10.71,11.14,11.57,12,12,0,8,0.46,0.46,"",2
116,"chr045",,,"ba01","J_finger06_r",20,0,0,0.5,20,0,0,0.6,1,9,9.43,9.86,10.29,10.71,11.14,11.57,12,12,0,8,0.46,0.46,"",2
117,"chr045",,,"ba01","J_finger09_r",20,0,0,0.5,20,0,0,0.6,1,9,9.43,9.86,10.29,10.71,11.14,11.57,12,12,0,8,0.46,0.46,"",2
118,"chr046",,,"ba01","J_ring03_r",50,-90,0,0.8,50,-90,0,0.9,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.52,0.63,"",2
119,"chr046",,,"ba01","J_middle03_r",50,-90,0,0.8,50,-90,0,0.9,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.52,0.63,"",2
120,"chr046",,,"ba01","J_index03_r",50,-90,0,0.8,50,-90,0,0.9,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.52,0.63,"",2
121,"chr223",,,"ba01","J_toe01_r",0,-15,0,1,10,-13,0,1.2,1,13,13.43,13.86,14.29,14.71,15.14,15.57,16,-1,0,8,0.46,0.37,"",2
122,"chr223",,,"ba01","J_toe01_r",0,15,0,1,10,13,0,1.2,1,13,13.43,13.86,14.29,14.71,15.14,15.57,16,-1,0,8,0.46,0.37,"",2
123,"chr223",,,"ba01","J_toe01_r",0,0,0,1,10,0,0,1.2,1,13,13.43,13.86,14.29,14.71,15.14,15.57,16,-1,0,8,0.46,0.37,"",2
124,"chr224",,,"ba01","J_toe_l",-20,0,0,0.4,-10,0,0,0.5,1,20,20.43,20.86,21.29,21.71,22.14,22.57,23,-1,0,8,0.43,0.52,"",2
125,"chr224",,,"ba01","J_toe_l",-20,5,0,0.4,-10,5,0,0.5,1,20,20.43,20.86,21.29,21.71,22.14,22.57,23,-1,0,8,0.43,0.52,"",2
126,"chr224",,,"ba01","J_toe_l",-20,-5,0,0.4,-10,-5,0,0.5,1,20,20.43,20.86,21.29,21.71,22.14,22.57,23,-1,0,8,0.43,0.52,"",2
127,"chr219",,,"ba01","J_bamboo_sword",0,0,0,0.2,0,0,0,0.7,1,6,6.29,6.57,6.86,7.14,7.43,7.71,8,-1,0,8,0,0,"",2
128,"chr343",,,"ba01","J_Rte",0,0,0,0.4,0,0,0,0.5,1,18,18.71,19.43,20.14,20.86,21.57,22.29,23,23,0,8,0.41,0.41,"",2
129,"chr424",,,"ba01","J_tuma_LF",0,0,0,0.5,0,0,0,0.6,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.54,0.48,"",2
130,"chr424",,,"ba01","J_tuma_LF",0,30,0,0.5,0,25,0,0.6,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.54,0.48,"",2
131,"chr424",,,"ba01","J_tuma_LF",0,-30,0,0.5,0,-25,0,0.6,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.54,0.48,"",2
132,"chr452",,,"ba01","J_yubi02_R",0,0,0,0.7,0,0,0,0.8,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,14,2,8,0.5,0.48,"",2
133,"chr452",,,"ba01","J_yubi01_R",0,10,0,0.658,0,10,0,0.75,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,14,2,8,0.5,0.48,"",2
134,"chr719",,,"ba01","J_hand_l",0,90,0,0.3,0,90,0,0.65,1,14.5,14.86,15.21,15.57,15.93,16.29,16.64,17,-1,0,8,0,0,"",2
135,"chr719",,,"ba01","J_hand_r",0,-90,0,0.3,0,-90,0,0.65,1,14.5,14.86,15.21,15.57,15.93,16.29,16.64,17,-1,0,8,0,0,"",2
136,"chr247",,,"ba01","J_ring03_r",0,-90,0,0.25,0,-90,0,0.35,1,8,8.43,8.86,9.29,9.71,10.14,10.57,11,11,0,8,0.52,0.5,"",2
137,"chr247",,,"ba01","J_middle02_r",0,-80,0,0.25,0,-80,0,0.35,1,8,8.43,8.86,9.29,9.71,10.14,10.57,11,11,0,8,0.52,0.5,"",2
138,"chr247",,,"ba01","J_index03_r",0,-90,0,0.25,0,-90,0,0.35,1,8,8.43,8.86,9.29,9.71,10.14,10.57,11,11,0,8,0.52,0.5,"",2
139,"chr030",,,"ba01","J_weapon_l",-40,0,0,0.2,-40,0,0,0.9,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,17,2,8,0,0,"",2
140,"chr225",,,"ba01","J_sword_r",-20,0,0,0.5,-3,0,0,3.1,1,23,23.14,23.29,23.43,23.57,23.71,23.86,24,25,0,20,0,0,"",2
141,"chr749",,,"ba01","J_tail08",180,0,0,0.6,180,0,0,3,0,18,24,-1,-1,-1,-1,-1,-1,-1,3,30,0,0,"",2
142,"chr776",,,"ba01","J_weapon03_r",0,0,0,0.5,0,0,0,4,1,21,21.43,21.86,22.29,22.71,23.14,23.57,24,24,3,51,0,0,"",2
143,"chr484",,,"ba01","J_weapon",-90,0,0,0.8,-90,0,0,1.1,1,18.3,18.69,19.07,20,21,-1,-1,-1,-1,0,21,0,0,"",2
144,"chr404",,,"ba01","J_yubi1_R",30,-90,0,0.5,30,-90,0,0.55,1,19,19.43,19.86,20.29,20.71,21.14,21.57,22,22,0,30,0.54,0.52,"",2
145,"chr404",,,"ba01","J_yubi1_R",30,-62,0,0.5,30,-65,0,0.55,1,19,19.43,19.86,20.29,20.71,21.14,21.57,22,22,0,30,0.54,0.52,"",2
146,"chr404",,,"ba01","J_yubi1_R",30,-117,0,0.5,30,-115,0,0.55,1,19,19.43,19.86,20.29,20.71,21.14,21.57,22,22,0,30,0.54,0.52,"",2
147,"chr239",,,"ba01","J_finger03_l",0,0,0,0.3,0,-2,0,0.35,0,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.5,0.46,"",2
148,"chr239",,,"ba01","J_finger02_l",0,0,0,0.3,0,1,0,0.35,0,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.5,0.46,"",2
149,"chr239",,,"ba01","J_finger01_l",0,0,0,0.3,0,2,0,0.35,0,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.5,0.46,"",2
150,"chr091",,,"ba01","J_handR2",30,-100,0,0.7,30,-98,0,0.8,1,12,12.43,12.86,13.29,13.71,14,15,-1,14.999999,0,8,0.48,0.48,"",2
151,"chr091",,,"ba01","J_handR2",30,-85,0,0.7,30,-85,0,0.8,1,12,12.43,12.86,13.29,13.71,14,15,-1,14.999999,0,8,0.48,0.48,"",2
152,"chr091",,,"ba01","J_handR2",30,-73,0,0.7,30,-75,0,0.8,1,12,12.43,12.86,13.29,13.71,14,15,-1,14.999999,0,8,0.48,0.48,"",2
153,"chr016",,,"ba01","J_hand_r",0,-90,0,0.5,0,-90,0,0.6,1,4,4.43,4.86,5.29,5.71,6.14,6.57,7,-1,0,20,0.52,0.48,"",2
