int32 0,empty 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,empty 11,int32 12,int32 13,empty 14,int32 15,int32 16,empty 17,int32 18,string2 19,string2 20,int32 21,int32 22,string2 23,int32 24,string2 25,string2 26,string2 27,string2 28,int32 29,int32 30,empty 31
42,,42,0,-1,42,42,42,2000,35,31021,,1,45,,1,0,,0,"d0206","sub_050_042_01",1,-1,"",0,"","","","FLAG_IS_CLEAR_S050_042",0,-1,
43,,43,0,-1,43,43,43,3000,45,1026,,1,40,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S050_043",0,-1,
55,,55,0,-1,55,55,55,0,50,47,,4,0,,0,0,,0,"d1204","sub055_001",1,-1,"",0,"","","","FLAG_IS_CLEAR_S070_055",0,-1,
56,,56,0,-1,56,56,56,0,100,46,,2,0,,0,0,,0,"d1204","sub056_001",1,-1,"",0,"","","","FLAG_IS_CLEAR_S070_056",0,-1,
57,,57,0,-1,57,57,57,0,100,41,,4,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S070_057",0,-1,
59,,59,0,-1,59,59,59,3000,50,10136,,1,47,,3,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S080_059",0,-1,
60,,60,0,-1,60,60,60,4000,55,1117,,1,18,,3,40,,3,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S080_060",0,-1,
72,,72,0,-1,72,72,72,500,40,32031,,1,13,,1,47,,4,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S090_072",0,-1,
77,,77,0,-1,77,77,77,2500,40,70,,1,76,,1,45,,2,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S095_077",0,-1,
78,,78,0,-1,78,78,78,2500,55,47,,2,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S095_078",0,-1,
82,,82,0,-1,82,82,82,13000,50,362,,1,45,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S095_082",0,-1,
87,,87,0,-1,87,87,87,15000,100,1098,,1,43,,1,354,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S100_087",0,-1,
88,,88,0,-1,88,88,88,15000,150,1099,,1,41,,3,354,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S100_088",0,-1,
89,,89,0,-1,89,89,89,0,100,81,,1,42,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S100_089",0,-1,
90,,90,0,-1,90,90,90,1500,50,1010,,1,62,,1,45,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_090",0,-1,
91,,91,0,-1,91,91,91,3500,40,62,,1,47,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_091",0,-1,
92,,92,0,-1,92,92,92,10000,100,1037,,1,41,,4,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_092",0,-1,
93,,93,0,-1,93,93,93,12000,100,81,,1,43,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_093",0,-1,
94,,94,0,-1,94,94,94,14000,50,369,,1,45,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_094",0,-1,
98,,98,0,-1,98,98,98,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_098",0,-1,
99,,99,0,-1,99,99,99,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_099",0,-1,
100,,100,0,-1,100,100,100,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_100",0,-1,
101,,101,0,-1,101,101,101,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_101",0,-1,
102,,102,0,-1,102,102,102,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_102",0,-1,
103,,103,0,-1,103,103,103,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_103",0,-1,
104,,104,0,-1,104,104,104,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_104",0,-1,
105,,105,0,-1,105,105,105,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_105",0,-1,
106,,106,0,-1,106,106,106,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_106",0,-1,
108,,108,0,-1,108,108,108,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_108",0,-1,
109,,109,0,-1,109,109,109,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_109",0,-1,
111,,111,0,-1,111,111,111,0,100,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_111",0,-1,
112,,112,0,-1,112,112,112,13000,50,32221,,1,46,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_112",0,-1,
113,,113,0,-1,113,113,113,12000,150,1039,,1,45,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_113",0,-1,
152,,152,0,-1,152,152,152,2000,45,30172,,1,5,,1,42,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S050_152",0,-1,
156,,156,0,-1,156,156,156,7000,150,80,,1,354,,1,42,,3,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S010_156",0,-1,
159,,159,0,-1,159,159,159,9500,75,63,,1,41,,3,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S010_159",0,-1,
160,,160,0,-1,160,160,160,8500,70,367,,1,45,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S040_160",0,-1,
162,,162,0,-1,162,162,162,0,90,800,,1,46,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S900_162",0,-1,
167,,167,0,-1,167,167,167,14000,150,372,,1,42,,3,354,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S070_167",0,-1,
169,,169,0,-1,169,169,169,13000,100,27,,1,43,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S910_169",0,-1,
170,,170,0,-1,170,170,170,15000,100,63,,1,66,,1,45,,2,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S910_170",0,-1,
171,,171,0,-1,171,171,171,0,150,354,,1,77,,1,45,,3,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S910_171",0,-1,
172,,172,0,-1,172,172,172,4000,55,1099,,1,41,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S020_172",0,-1,
173,,173,0,-1,173,173,173,10000,70,66,,1,41,,3,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S020_173",0,-1,
176,,176,0,-1,176,176,176,12000,100,13,,1,42,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S050_176",0,-1,
178,,178,0,-1,178,178,178,0,100,69,,1,72,,1,41,,6,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S100_178",0,-1,
179,,179,0,-1,179,179,179,11000,70,75,,1,47,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S010_179",0,-1,
180,,180,0,-1,180,180,180,8000,50,1025,,1,9,,2,45,,2,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S010_180",0,-1,
183,,183,0,-1,183,183,183,5000,100,40,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S030_183",0,-1,
200,,200,0,-1,200,200,200,10000,150,1144,,1,46,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_Sow_200",0,-1,
201,,201,0,-1,201,201,201,10000,150,1143,,1,47,,6,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_Sow_201",0,-1,
202,,202,0,-1,202,202,202,10000,150,1145,,1,42,,3,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_Sow_202",0,-1,
208,,208,0,-1,208,208,208,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_208",0,-1,
211,,211,0,-1,211,211,211,0,150,44,,1,354,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S110_211",0,-1,
216,,216,0,-1,216,216,216,0,150,46,,2,354,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S900_216",0,-1,
217,,217,0,-1,217,217,217,0,150,44,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S900_217",0,-1,
300,,300,0,-1,300,300,300,0,200,44,,2,354,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_Sarena_300",0,-1,
500,,500,0,-1,500,500,500,0,0,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_DLC000_010",0,-1,
920,,920,2,1,920,920,920,5000,0,13,,1,47,,1,0,,0,"h0210","start_00",0,-1,"",0,"FLAG_IS_TRIP_H210","","","FLAG_IS_CLEAR_H210",1,-1,
921,,921,2,1,921,921,921,10000,0,14,,1,47,,1,0,,0,"h0211","start_00",0,-1,"",0,"FLAG_IS_TRIP_H211","","","FLAG_IS_CLEAR_H211",1,-1,
922,,922,2,1,922,922,922,15000,0,27,,1,47,,1,0,,0,"h0212","start_00",0,-1,"",0,"FLAG_IS_TRIP_H212","","","FLAG_IS_CLEAR_H212",1,-1,
923,,923,2,1,923,923,923,20000,0,29,,1,47,,1,0,,0,"h0213","start_00",0,-1,"",0,"FLAG_IS_TRIP_H213","","","FLAG_IS_CLEAR_H213",1,-1,
930,,930,2,1,930,930,930,5000,0,13,,1,47,,1,0,,0,"h0310","start_00",0,-1,"",0,"FLAG_IS_TRIP_H310","","","FLAG_IS_CLEAR_H310",1,-1,
931,,931,2,1,931,931,931,10000,0,14,,1,47,,1,0,,0,"h0311","start_00",0,-1,"",0,"FLAG_IS_TRIP_H311","","","FLAG_IS_CLEAR_H311",1,-1,
932,,932,2,1,932,932,932,15000,0,27,,1,47,,1,0,,0,"h0312","start_00",0,-1,"",0,"FLAG_IS_TRIP_H312","","","FLAG_IS_CLEAR_H312",1,-1,
933,,933,2,1,933,933,933,20000,0,29,,1,47,,1,0,,0,"h0313","start_00",0,-1,"",0,"FLAG_IS_TRIP_H313","","","FLAG_IS_CLEAR_H313",1,-1,
945,,945,2,1,945,945,945,5000,0,13,,1,47,,1,0,,0,"h0415","start_00",0,-1,"",0,"FLAG_IS_TRIP_H415","","","FLAG_IS_CLEAR_H415",1,-1,
946,,946,2,1,946,946,946,10000,0,14,,1,47,,1,0,,0,"h0416","start_00",0,-1,"",0,"FLAG_IS_TRIP_H416","","","FLAG_IS_CLEAR_H416",1,-1,
947,,947,2,1,947,947,947,15000,0,27,,1,47,,1,0,,0,"h0417","start_00",0,-1,"",0,"FLAG_IS_TRIP_H417","","","FLAG_IS_CLEAR_H417",1,-1,
948,,948,2,1,948,948,948,20000,0,29,,1,47,,1,0,,0,"h0418","start_00",0,-1,"",0,"FLAG_IS_TRIP_H418","","","FLAG_IS_CLEAR_H418",1,-1,
950,,950,2,1,950,950,950,5000,0,13,,1,47,,1,0,,0,"h0510","start_00",0,-1,"",0,"FLAG_IS_TRIP_H510","","","FLAG_IS_CLEAR_H510",1,-1,
951,,951,2,1,951,951,951,10000,0,14,,1,47,,1,0,,0,"h0511","start_00",0,-1,"",0,"FLAG_IS_TRIP_H511","","","FLAG_IS_CLEAR_H511",1,-1,
952,,952,2,1,952,952,952,15000,0,27,,1,47,,1,0,,0,"h0512","start_00",0,-1,"",0,"FLAG_IS_TRIP_H512","","","FLAG_IS_CLEAR_H512",1,-1,
953,,953,2,1,953,953,953,20000,0,29,,1,47,,1,0,,0,"h0513","start_00",0,-1,"",0,"FLAG_IS_TRIP_H513","","","FLAG_IS_CLEAR_H513",1,-1,
960,,990,2,1,960,960,960,0,0,0,,0,0,,0,0,,0,"h0420","start_00",0,-1,"",0,"FLAG_SUB_900_172_001","","","FLAG_IS_CLEAR_H420",1,-1,
961,,991,2,1,961,961,961,0,0,0,,0,0,,0,0,,0,"h0421","start_00",0,-1,"",0,"FLAG_SUB_900_172_001","","","FLAG_IS_CLEAR_H421",1,-1,
962,,992,2,1,962,962,962,0,0,0,,0,0,,0,0,,0,"h0422","start_00",0,-1,"",0,"FLAG_SUB_900_172_001","","","FLAG_IS_CLEAR_H422",1,-1,
963,,993,2,1,963,963,963,0,0,0,,0,0,,0,0,,0,"h0423","start_00",0,-1,"",0,"FLAG_SUB_900_172_001","","","FLAG_IS_CLEAR_H423",1,-1,
970,,995,2,1,970,970,970,0,0,0,,0,0,,0,0,,0,"h0220","start_00",0,-1,"",0,"","","","",1,10,
971,,996,2,1,971,971,971,0,0,0,,0,0,,0,0,,0,"h0221","start_00",0,-1,"",0,"","","","",1,10,
972,,997,2,1,972,972,972,0,0,0,,0,0,,0,0,,0,"h0222","start_00",0,-1,"",0,"","","","",1,10,
980,,980,2,1,980,980,980,5000,0,13,,1,47,,1,0,,0,"h0810","start_00",0,-1,"",0,"FLAG_IS_TRIP_H810","","","FLAG_IS_CLEAR_H810",1,-1,
981,,981,2,1,981,981,981,10000,0,14,,1,47,,1,0,,0,"h0811","start_00",0,-1,"",0,"FLAG_IS_TRIP_H811","","","FLAG_IS_CLEAR_H811",1,-1,
982,,982,2,1,982,982,982,15000,0,27,,1,47,,1,0,,0,"h0812","start_00",0,-1,"",0,"FLAG_IS_TRIP_H812","","","FLAG_IS_CLEAR_H812",1,-1,
983,,983,2,1,983,983,983,20000,0,29,,1,47,,1,0,,0,"h0813","start_00",0,-1,"",0,"FLAG_IS_TRIP_H813","","","FLAG_IS_CLEAR_H813",1,-1,
