int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,float 20,int32 21,string2 22,string2 23,int32 24,int32 25,int32 26,string2 27,int32 28,string2 29,string2 30,string2 31,int32 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49
39010,39,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,39010,"d0201","shop_0004",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
39020,39,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,39020,"d0501","s095_077_001",-1,1,0,"",0,"10501","","",1050101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
39030,39,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,39030,"d0201","shop_0004",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
41010,41,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,41010,"d0202","s050_041_haguru",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_142","A2020_dbef_199","","","","","","","","","","","","","","",
41020,41,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,41020,"d0206","sub_050_041_haguru",-1,0,0,"",0,"10206","","",1020101,"A2020_dbef_142","A2020_dbef_199","","","","","","","","","","","","","","",
41030,41,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,41030,"d0202","s050_041_haguru",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_142","A2020_dbef_199","","","","","","","","","","","","","","",
42010,42,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,42010,"d0202","sub_050_042_solar",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
42020,42,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,42020,"d0210","sub_050_042_01",-1,0,0,"",0,"10206","","",1020101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
42030,42,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,42030,"d0210","",-1,0,35,"gim_9000",0,"10206","","",1020101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
42040,42,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,42040,"d0210","sub_050_042_01",-1,0,0,"",0,"10206","","",1020101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
43010,43,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,43010,"d0202","npc_0034",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
43020,43,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,43020,"d0217","evt_0004",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
43030,43,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,43030,"d0217","npc_0203",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
43040,43,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,43040,"d0204","npc_0800",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
43050,43,,50,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,43050,"d0217","",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
43060,43,,60,25,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,43060,"d0202","npc_0034",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
55010,55,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,55010,"d0215","sub055_001",-1,0,0,"",0,"155","10211","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
55020,55,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,55020,"d0215","sub055_001",-1,0,0,"",0,"155","10211","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
55030,55,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,55030,"d0215","sub055_001",-1,0,0,"",0,"155","10211","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
56010,56,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,56010,"d1204","sub056_001",-1,0,0,"",0,"401","10211","",1120402,"A2028_daft_419","","","","","","","","","","","","","","","",
56020,56,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,56020,"d1204","sub056_001",-1,0,0,"",0,"401","10211","",1120402,"A2028_daft_419","","","","","","","","","","","","","","","",
56030,56,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,56030,"d1204","sub056_002",-1,0,0,"",0,"401","10211","",1120402,"A2028_daft_419","","","","","","","","","","","","","","","",
57010,57,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,57010,"d1204","sub057_001",-1,0,0,"",0,"401","10211","",1120402,"A2028_daft_419","","","","","","","","","","","","","","","",
57020,57,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,57020,"d1204","sub057_001",-1,0,0,"",0,"401","10211","",1120402,"A2028_daft_419","","","","","","","","","","","","","","","",
59010,59,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,59010,"d0201","s080_059_001",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
59020,59,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,59020,"d0501","shop_101",-1,0,0,"",0,"10501","","",1050101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
59030,59,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,59030,"d0201","s080_059_003",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
59040,59,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,59040,"d0202","s080_059_001",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",
60010,60,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60010,"d0201","s080_060_001",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
60020,60,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60020,"d0201","",-1,0,30,"start_99",0,"10201","","",1020101,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
60030,60,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60030,"d0202","",-1,0,30,"start_99",0,"10201","","",1020101,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
60040,60,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,60040,"d0201","s080_060_001",-1,0,0,"",0,"10201","","",1020101,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
72010,72,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72010,"t0102","s090_072_001",-1,0,0,"",0,"102","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72020,72,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72020,"t0106","sub072_001",-1,0,0,"",0,"102","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72030,72,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72030,"t0108","",-1,0,20,"gim_9000",0,"153","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72040,72,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72040,"t0106","sub072_001",-1,0,0,"",0,"102","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72050,72,,50,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72050,"t0101","",-1,0,15,"gim_9003",0,"101","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72060,72,,60,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72060,"t0106","sub072_001",-1,0,0,"",0,"102","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72070,72,,70,30,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72070,"t0110","",-1,0,10,"gim_9002",0,"101","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72080,72,,80,35,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72080,"t0106","sub072_001",-1,0,0,"",0,"102","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
72090,72,,90,40,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,72090,"t0301","",-1,0,15,"gim_9000",0,"301","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
77010,77,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,77010,"d0501","s095_077_001",-1,1,0,"",0,"10501","","",1050101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
77020,77,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,77020,"d0501","s095_077_001",-1,1,0,"",0,"10501","","",1050101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
78010,78,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,78010,"d0501","s095_078_001",-1,0,0,"",0,"10501","","",1050101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
78020,78,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,78020,"d0501","s095_077_002",-1,0,0,"",0,"10501","","",1050101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
78030,78,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,78030,"d0501","s095_078_001",-1,0,0,"",0,"10501","","",1050101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
78040,78,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,78040,"d0501","burinp_100",-1,0,0,"",0,"10501","","",1050101,"A2020_dbef_160","A2020_dbef_199","","","","","","","","","","","","","","",
82010,82,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,82010,"d0505","vulcanus",-1,0,0,"",0,"10501","155","",1050101,"A2020_dbef_119","A2020_dbef_10000","","","","","","","","","","","","","","",
