int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20,string2 21,string2 22,string2 23
102051,10000,205,1,-1,-1,"col_d0205_start_02_0","ride_pegasmon","change_0001","change_0001","","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102060,10000,206,0,9914,9915,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","elv_0001","","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102061,10000,206,1,-1,-1,"col_d0202_start_00_0","ride_pegasmon","change_0001","change_0001","elv_0001","","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102070,10000,207,0,9914,9915,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","elv_0001","elv_0002","","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102071,10000,207,1,-1,-1,"col_d0202_start_00_0","ride_pegasmon","change_0001","change_0001","elv_0001","elv_0002","","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102080,10000,208,0,9914,9915,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","elv_0001","elv_0002","col_d0208_start_00_0","","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102081,10000,208,1,-1,-1,"col_d0202_start_00_0","ride_pegasmon","change_0001","change_0001","elv_0001","elv_0002","col_d0208_start_00_0","","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102090,10000,209,0,9914,9915,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","elv_0001","elv_0002","col_d0208_start_00_0","elv_0001","","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102091,10000,209,1,-1,-1,"col_d0202_start_00_0","ride_pegasmon","change_0001","change_0001","elv_0001","elv_0002","col_d0208_start_00_0","elv_0001","","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102100,10000,210,0,6903,6904,"col_d0202_start_00_0","ride_pegasmon","change_0001","change_0001","elv_0001","elv_0002
elv_0003","col_d0208_start_00_0","elv_0001","elv_0003","","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102101,10000,210,1,6904,6903,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","elv_0001","elv_0002
elv_0003","col_d0208_start_00_0","elv_0001","elv_0003","","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102102,10000,210,2,9914,9915,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","elv_0001","elv_0002
elv_0003","col_d0208_start_00_0","elv_0001","elv_0003","","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102103,10000,210,3,7192,-1,"col_d0202_start_00_0","ride_pegasmon","change_0001","change_0001","elv_0001","elv_0002
elv_0003","col_d0208_start_00_0","elv_0001","elv_0003","","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102104,10000,210,4,1004,1005,"gim_0001","ride_pegasmon","change_0001","change_0001","elv_0001","elv_0003","col_d0208_start_00_0","elv_0001","elv_0003","","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102105,10000,210,5,-1,-1,"col_d0202_start_00_0","ride_pegasmon","change_0001","change_0001","elv_0001","elv_0003","col_d0208_start_00_0","elv_0001","elv_0003","","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102110,10000,211,0,-1,-1,"change_0002","","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102120,10000,212,0,-1,-1,"change_0003","","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102130,10000,213,0,-1,-1,"change_0001","col_d0201_start_08_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","","change_0001","instance_ladder8m02a_0","change_0001","","last"
102150,10000,215,0,-1,-1,"col_d0202_start_00_0","change_0002","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","","instance_ladder8m02a_0","change_0001","","last"
102160,10000,216,0,4495,6903,"change_0005","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","","change_0001","","last"
102161,10000,216,1,-1,-1,"change_0005","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","","change_0001","","last"
102170,10000,217,0,-1,-1,"col_d0202_start_00_0","change_0003","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","","","last"
101000,10000,100,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
101001,10000,100,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
101002,10000,100,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
103000,10000,300,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
103001,10000,300,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
103002,10000,300,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
104000,10000,400,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
104001,10000,400,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
104002,10000,400,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
105000,10000,500,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
105001,10000,500,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
105002,10000,500,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
106000,10000,600,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
106001,10000,600,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
106002,10000,600,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
107000,10000,700,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
107001,10000,700,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
107002,10000,700,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
108000,10000,800,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
108001,10000,800,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
108002,10000,800,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
109000,10000,900,0,6903,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
109001,10000,900,1,6904,-1,"gim_0001","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
109002,10000,900,2,-1,-1,"loco_mummy","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
110000,10000,1000,0,6903,-1,"","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
110001,10000,1000,1,6904,-1,"change_0005","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
110002,10000,1000,2,-1,-1,"change_0005","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
111000,10000,1100,0,6903,-1,"","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
111001,10000,1100,1,6904,-1,"change_0005","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
111002,10000,1100,2,-1,-1,"change_0005","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","d0201","last"
112000,10000,1200,0,-1,-1,"change_0005","col_d0201_start_05_0
col_d0201_start_08_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","merc_gate01","change_0001","d0216","last"
30000,0,3000,0,-1,-1,"col_d0202_start_00_0","theater_0001","change_0001","change_0001","col_d0202_start_06_0","theater_0001","col_d0206_start_01_0","col_d0207_start_01_0","elv_0001","theater_0001","change_0001","change_0001","change_0001","change_0001","merc_gate01","change_0001","t3000","last"
1000,0,100,0,6901,-1,"","theater_0001","","","","","","","","theater_0001","","","","","","","t0100","last"
2000,0,200,0,6901,-1,"","theater_0001","","","","","","","","theater_0001","","","","","","","t0200","last"
3000,0,300,0,6901,-1,"","theater_0001","","","","","","","","theater_0001","","","","","","","t0300","last"
4000,0,400,0,6901,-1,"","theater_0001","","","","","","","","theater_0001","","","","","","","t0400","last"
