int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20
1070,0,107,0,6033,6032,"col_t108_start_03_0","col_t0108_start_00_1
col_t0108_start_04_0","col_t0102_start_02_0","col_t108_start_01_0","col_t0105_start_04_0","run_t0102_start_05_0","","col_t0107_start_00_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1071,0,107,1,1100,1340,"col_t0102_start_00_0","col_t0108_start_00_1","","","","","","col_t0107_start_00_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1072,0,107,2,-1,-1,"col_t108_start_03_0","col_t0108_start_00_1
col_t0108_start_04_0","col_t0102_start_02_0","col_t108_start_01_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","col_t0107_start_00_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1080,0,108,0,6033,6032,"col_t108_start_03_0","col_t0108_start_00_1
col_t0108_start_04_0","col_t0102_start_02_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","","col_t0103_start_01_0","col_t0111_start_00_0","col_t0108_start_05_0","col_t0103_start_20_0","","","last"
1081,0,108,1,1830,3250,"col_t108_start_03_0","col_t0108_start_00_1
col_t0108_start_04_0","col_t0102_start_02_0","col_t108_start_01_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","","map_0001
gim_0010","col_t0111_start_00_0","","col_t0103_start_20_0","","","last"
1082,0,108,2,3250,3279,"col_t108_start_03_0","run_t0104_start_04_0","col_t0102_start_02_0","col_t108_start_01_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","","col_t0103_start_01_0","col_t0111_start_00_0","","col_t0103_start_20_0","","","last"
1083,0,108,3,-1,-1,"col_t108_start_03_0","col_t0108_start_00_1
col_t0108_start_04_0","col_t0102_start_02_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","","map_0001
gim_0010","col_t0111_start_00_0","col_t0108_start_05_0","col_t0103_start_20_0","","","last"
1090,0,109,0,6033,6032,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1091,0,109,1,3254,3260,"","col_t0103_start_00_0","col_t0109_start_00_0","col_t0102_start_04_0","","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","","","","col_t0103_start_20_0","","","last"
1092,0,109,2,3290,3420,"col_t0102_start_00_0","col_t0103_start_00_0","col_t0109_start_00_0","col_t0101_start_03_0","","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","col_t0401_start_10_0","","","col_t0103_start_20_0","","","last"
1093,0,109,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1100,0,110,0,1930,1950,"gim_9000","col_t0101_start_01_0","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0111_start_02_0","col_t0103_start_01_0","","","col_t0103_start_20_0","","","last"
1101,0,110,1,-1,-1,"col_t0110_start_00_0","col_t0101_start_01_0","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0111_start_02_0","col_t0103_start_01_0","","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1110,0,111,0,-1,-1,"col_t0110_start_00_0","col_t0101_start_01_0","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0111_start_02_0","col_t0103_start_01_0","col_t0111_start_00_0","","col_t0103_start_20_0","","","last"
1210,0,121,0,-1,-1,"col_t0102_start_00_0","col_t0103_start_00_0","icon_arena01","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","col_t0103_start_01_0","","col_t0110_start_01_0","","","t0103","last"
1730,0,173,0,-1,-1,"","","col_t0121_start_00_0","","","","col_t0108_start_07_0","","","","","col_t0173_start_00_0
col_t0173_start_00_1","","t0121","last"
2000,0,200,0,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","map_0001
gim_0010","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0200","last"
2001,0,200,1,1930,1935,"col_t0110_start_00_0","col_t0101_start_01_0","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0110","last"
2002,0,200,2,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","map_0001
gim_0010","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0110","last"
2010,0,201,0,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","map_0001
gim_0010","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0110",""
3000,0,300,0,3277,3279,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0301_start_04_0","map_0001
gim_0010","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","d1100","last"
3001,0,300,1,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","map_0001
map_0003","col_t0101_start_03_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0301_start_04_0","map_0001
gim_0010","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0300","last"
3002,0,300,2,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0301_start_04_0","map_0001
gim_0010","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0108","last"
4000,0,400,0,3290,3420,"col_t0102_start_00_0","col_t0103_start_00_0","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
4001,0,400,1,4055,4060,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
4002,0,400,2,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
4003,0,400,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
30000,0,3000,0,-1,-1,"","","","","","","","","theater_0001","","","","","t0109","last"
30010,0,3001,0,-1,-1,"","","","","","","","","theater_0001","","","","","t0109","last"
101000,10000,100,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
101001,10000,100,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
101002,10000,100,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
101003,10000,100,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
102000,10000,200,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
102001,10000,200,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
102002,10000,200,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
102003,10000,200,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
103000,10000,300,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
103001,10000,300,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
103002,10000,300,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
103003,10000,300,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
104000,10000,400,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
104001,10000,400,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
104002,10000,400,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
104003,10000,400,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
105000,10000,500,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
105001,10000,500,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
105002,10000,500,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
105003,10000,500,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0109_start_00_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
106000,10000,600,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
106001,10000,600,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
106002,10000,600,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
106003,10000,600,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
107000,10000,700,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
107001,10000,700,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
107002,10000,700,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
107003,10000,700,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
108000,10000,800,0,6901,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","theater_0001","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
108001,10000,800,1,1004,1005,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
108002,10000,800,2,1005,1004,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
108003,10000,800,3,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002
gim_0003
gim_0004","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
110000,10000,1000,0,6033,6032,"","","","","col_t0105_start_04_0","run_t0102_start_05_0","","","","","","","","t0105","last"
110001,10000,1000,1,1930,1960,"","","","","npc_0001","run_t0102_start_05_0","","","","","","","","t0105","last"
110002,10000,1000,2,3272,3275,"","","","","npc_0004","run_t0102_start_05_0","col_d1003_start_02_0","","","","","","","t0105","last"
110003,10000,1000,3,-1,-1,"","","","","","","col_d1003_start_02_0","","","","","","","t0107","last"
