int32 0,empty 1,int32 2,int32 3,empty 4,int32 5,string2 6,string2 7,bool 8,bool 9,bool 10,empty 11,string2 12,int32 13,string2 14,int32 15,string2 16,empty 17
10312,,103,10312,,10312,"PLACE_OPEN_OCEANUS_AREA2","PLACE_CLOSE_OCEANUS_AREA2",false,true,true,,"gim_0002",1,"d",302,"start_21",
10401,,104,10401,,10401,"PLACE_OPEN_MAKEDONIA_AREA1","PLACE_CLOSE_MAKEDONIA_AREA1",true,false,true,,"gim_0001",1,"d",401,"start_00",
10402,,104,10402,,10402,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",402,"start_05",
10403,,104,10403,,10403,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",403,"start_00",
10404,,104,10404,,10404,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0004",1,"d",404,"start_00",
10405,,104,10405,,10405,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0006",1,"d",405,"start_00",
10406,,104,10406,,10406,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0006",1,"d",406,"start_00",
10412,,104,10412,,10412,"PLACE_OPEN_MAKEDONIA_AREA2","PLACE_CLOSE_MAKEDONIA_AREA2",false,true,true,,"gim_0002",1,"d",402,"start_05",
10501,,105,10501,,10501,"PLACE_OPEN_FACTREA_AREA1","PLACE_CLOSE_FACTREA_AREA1",true,false,true,,"gim_0002",1,"d",501,"start_00",
10502,,105,10502,,10502,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",502,"start_00",
10503,,105,10503,,10503,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",503,"start_00",
10504,,105,10504,,10504,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",504,"start_00",
10505,,105,10505,,10505,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",505,"start_00",
10506,,105,10506,,10506,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",506,"start_00",
10507,,105,10507,,10507,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",507,"start_00",
10509,,105,10509,,10508,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",509,"start_00",
10511,,105,10511,,10511,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",511,"start_00",
10513,,105,10513,,10510,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",513,"start_00",
10521,,105,10521,,10521,"PLACE_OPEN_FACTREA_AREA2","PLACE_CLOSE_FACTREA_AREA2",false,true,true,,"gim_0002",1,"d",501,"start_09",
10601,,106,10601,,10601,"PLACE_OPEN_FANATIC_ENTRANCE","PLACE_CLOSE_FANATIC_ENTRANCE",false,true,true,,"gim_0001",1,"d",601,"start_00",
10602,,106,10602,,10602,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",602,"start_00",
10603,,106,10603,,10603,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",603,"start_00",
10604,,106,10604,,10604,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",604,"start_00",
10605,,106,10605,,10605,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",605,"start_00",
10606,,106,10606,,10606,"PLACE_OPEN_ILIAS_ENTRANCE","PLACE_CLOSE_ILIAS_ENTRANCE",true,false,true,,"gim_0001",1,"d",606,"start_00",
10607,,106,10607,,10607,"PLACE_OPEN_ILIAS_ENTRANCE2","PLACE_CLOSE_ILIAS_ENTRANCE2",false,true,true,,"gim_0001",1,"d",606,"start_10",
10608,,106,10608,,10607,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",607,"start_01",
10609,,106,10609,,10608,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",608,"start_01",
10701,,107,10701,,10701,"PLACE_OPEN_PLUTO_01","PLACE_CLOSE_PLUTO_01",false,true,true,,"gim_0001",1,"d",701,"start_00",
10702,,107,10702,,10702,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",702,"start_00",
10703,,107,10703,,10703,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",703,"start_00",
10801,,108,10801,,10801,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"",0,"d",801,"start_00",
99999,,999,99999,,99999,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",false,true,true,,"",0,"t",3001,"start_00",
