int32 0,empty 1,string2 2,int32 3,empty 4,string2 5,string2 6,int32 7,float 8,int32 9,int32 10,float 11,int32 12,int32 13,int32 14,int32 15,bool 16,int32 17,empty 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,empty 34,int32 35,int32 36,int32 37
22152,,"char_EXAMON_SMALL",987,,"","",2,1,0,2,-1,0,0,0,0,true,22152,,60,9999,9999,3425,920,1780,740,1570,0,0,100,100,100,100,100,,38,11027,11047
22191,,"char_KOTEMON",219,,"","",2,1,0,2,-1,0,0,0,0,true,22191,,1,9999,9999,480,510,320,420,330,0,0,100,100,100,100,100,,38,11027,11036
22201,,"char_MUSYAMON",220,,"","",2,1,0,2,-1,0,0,0,0,true,22201,,20,9999,9999,400,330,290,270,260,0,0,100,100,100,100,100,,38,11027,11047
22341,,"char_BEARMON",234,,"","",2,1,0,2,-1,0,0,0,0,true,22341,,1,9999,9999,660,400,210,310,380,0,0,100,100,100,100,100,,38,11027,11047
22321,,"char_SIRENMON",232,,"","",2,1,0,2,-1,0,0,0,0,true,22321,,25,9999,9999,250,425,1265,845,500,0,0,100,100,100,100,100,,38,11027,11042
23041,,"char_KABUTERIMON",304,,"","",2,1,0,0,-1,0,0,0,0,true,0,,10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,10,11027,11042
23081,,"char_BIRDRAMON",308,,"","",2,1,0,2,-1,0,0,0,0,true,23081,,45,9999,9999,225,175,375,260,325,0,0,100,100,100,100,100,,38,11027,11028
23131,,"char_SUKAMON",313,,"","",2,1,0,0,-1,0,0,0,0,true,0,,10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,10,11027,11037
23481,,"char_PALMON",348,,"","",2,1,0,2,-1,0,0,0,0,true,23481,,20,9999,9999,600,460,480,390,390,0,0,100,100,100,100,100,,38,11027,11036
23711,,"char_MOJYAMON",371,,"","",2,1,0,2,-1,0,0,0,0,true,23711,,50,9999,9999,355,290,325,240,315,0,0,100,100,100,100,100,,38,11027,11028
23731,,"char_DRIMOGEMON",373,,"","",2,1,0,2,-1,0,0,0,0,true,0,,10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,38,11027,11047
23732,,"char_DRIMOGEMON_OB",373,,"","",2,1,0,2,-1,0,0,0,0,true,0,,22,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,38,11027,11047
23733,,"char_DRIMOGEMON_YB",373,,"","",2,1,0,2,-1,0,0,0,0,true,0,,20,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,38,11027,11047
23751,,"char_NANIMON",375,,"","",2,1,0,2,-1,0,0,0,0,true,23751,,60,9999,9999,275,350,280,315,210,0,0,100,100,100,100,100,,38,11027,11047
23821,,"char_MAGNAMON",991,,"","",2,1,0,2,-1,0,0,0,0,true,23821,,60,9999,9999,2790,3000,2775,2140,1635,0,0,100,100,100,100,100,,38,11027,11047
23822,,"char_MAGNAMON",991,,"","",2,1,0,2,-1,0,0,0,0,true,23822,,60,9999,9999,2790,3000,2775,2140,1635,0,0,100,100,100,100,100,,38,11027,11047
23941,,"char_ORGEMON",394,,"","",2,1,0,2,-1,0,0,0,0,true,23941,,55,9999,9999,1560,800,1255,735,240,0,0,100,100,100,100,100,,38,11027,11047
23991,,"char_GEKOMON",399,,"","",2,1,0,2,-1,0,0,0,0,true,23991,,35,9999,9999,900,410,1560,340,290,0,0,100,100,100,100,100,,38,11027,11042
24031,,"char_GRAPLEOMON",403,,"","",2,1,0,2,-1,0,0,0,0,true,24031,,35,9999,9999,885,485,445,590,750,0,0,100,100,100,100,100,,38,11027,11047
24161,,"char_ALPHAMON",998,,"","",2,1,0,2,-1,0,0,0,0,true,24161,,60,9999,9999,2655,2460,2830,2160,1560,0,0,100,100,100,100,100,,38,11027,11035
24171,,"char_ULFORCEVDRAMON",992,,"","",2,1,0,2,-1,0,0,0,0,true,24171,,60,9999,9999,2880,1620,2600,1830,1305,0,0,100,100,100,100,100,,38,11027,11047
24381,,"char_TUNOMON_TITAMON",459,,"","",2,1,0,2,-1,0,0,0,0,true,24381,,55,9999,9999,205,150,100,115,140,0,0,100,100,100,100,100,,38,11027,11041
24661,,"char_DORIMON",466,,"","",2,1,0,2,-1,0,0,0,0,true,24661,,55,9999,9999,170,130,130,125,130,0,0,100,100,100,100,100,,38,11027,11047
24921,,"char_CHARISMON",492,,"","",2,1,0,2,-1,0,0,0,0,true,24921,,60,9999,9999,2950,2260,730,2260,1045,0,0,100,100,100,100,100,,38,11027,11047
25791,,"char_FUGAMON",579,,"","",2,1,0,2,-1,0,0,0,0,true,25791,,55,9999,9999,1505,725,1345,760,220,0,0,100,100,100,100,100,,38,11027,11037
25801,,"char_HYOUGAMON",580,,"","",2,1,0,2,-1,0,0,0,0,true,25801,,55,9999,9999,1525,790,1330,750,240,0,0,100,100,100,100,100,,38,11027,11037
25961,,"char_PUMPMON",596,,"","",2,1,0,2,-1,0,0,0,0,true,25961,,42,9999,9999,920,485,1475,605,590,0,0,100,100,100,100,100,,36,11027,11042
26011,,"char_WITCHMON",601,,"","",2,1,0,2,-1,0,0,0,0,true,26011,,45,9999,9999,155,180,565,345,310,0,0,100,100,100,100,100,,38,11027,11042
26012,,"char_WITCHMON",601,,"","",2,1,0,2,-1,0,0,0,0,true,26012,,45,9999,9999,155,180,565,345,310,0,0,100,100,100,100,100,,38,11027,11042
26061,,"char_HANGYOMON_SCARF",984,,"","",2,1,0,2,-1,0,0,0,0,true,26061,,25,9999,9999,1500,1060,1080,830,200,0,0,100,100,100,100,100,,38,11027,11047
26062,,"char_HANGYOMON_SCAR",983,,"","",2,1,0,2,-1,0,0,0,0,true,26062,,25,9999,9999,1500,1060,1080,830,200,0,0,100,100,100,100,100,,38,11027,11047
26091,,"char_KOKUWAMON",609,,"","",2,1,0,0,-1,0,0,0,0,true,0,,10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,37,11027,11047
26092,,"char_KOKUWAMON_A",609,,"","",2,1,0,2,-1,0,0,0,0,true,26091,,15,9999,9999,540,420,500,410,170,0,0,100,100,100,100,100,,38,11027,11047
26093,,"char_KOKUWAMON_UN",609,,"","",2,1,0,2,-1,0,0,0,0,true,26091,,15,9999,9999,540,420,500,410,150,0,0,100,100,100,100,100,,38,11027,11047
26821,,"char_SHOUTMON",682,,"","",2,1,0,2,-1,0,0,0,0,true,26821,,35,9999,9999,1360,480,1115,300,420,0,0,100,100,100,100,100,,38,11027,11047
26881,,"char_GANKOOMON",688,,"","",2,1,0,2,-1,0,0,0,0,true,26881,,60,9999,9999,3090,1740,3050,1720,1160,0,0,100,100,100,100,100,,38,11027,11047
27031,,"char_LOADKNIGHTMON",989,,"","",2,1,0,2,-1,0,0,0,0,true,27031,,60,9999,9999,2620,2050,2825,2150,1320,0,0,100,100,100,100,100,,38,11027,11047
27061,,"char_HAWKMON",706,,"","",2,1,0,2,-1,0,0,0,0,true,27061,,45,9999,9999,275,165,240,150,280,0,0,100,100,100,100,100,,38,11027,11038
27181,,"char_KNIGHTMON",718,,"","",2,1,0,2,-1,0,0,0,0,true,27181,,35,9999,9999,1725,840,1775,725,470,0,0,100,100,100,100,100,,38,11027,11047
27211,,"char_YATAGARAMON",721,,"","",2,1,0,0,-1,0,0,0,0,true,0,,10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,10,11027,11035
27261,,"char_WISEMON",726,,"","",2,1,0,0,-1,0,0,0,0,false,27261,,1,9999,9999,2680,1390,1900,740,1600,0,0,100,100,100,100,100,,10,11027,11042
27331,,"char_DIANAMON",999,,"","",2,1,0,2,-1,0,0,0,0,true,27331,,47,9999,9999,330,850,1455,1095,1080,0,0,100,100,100,100,100,,38,11027,11042
27332,,"char_DIANAMON",999,,"","",2,1,0,2,-1,0,0,0,0,true,27332,,55,9999,9999,2950,1850,4155,2095,1080,0,0,100,100,100,100,100,,38,11027,11042
27333,,"char_DIANAMON",999,,"","",2,1,0,2,-1,0,0,0,0,true,27333,,60,9999,9999,3250,1850,4455,2095,1080,0,0,100,100,100,100,100,,38,11027,11042
27341,,"char_CRANIAMON",993,,"","",2,1,0,2,-1,0,0,0,0,true,27341,,60,9999,9999,2690,3000,2770,2400,735,0,0,100,100,100,100,100,,38,11027,11028
27381,,"char_DYNASMON",990,,"","",2,1,0,2,-1,0,0,0,0,true,27381,,60,9999,9999,3215,1970,2490,1730,1335,0,0,100,100,100,100,100,,38,11027,11042
27382,,"char_DYNASMON",990,,"","",2,1,0,2,-1,0,0,0,0,true,27382,,60,9999,9999,3215,1970,2490,1730,1335,0,0,100,100,100,100,100,,38,11027,11042
27391,,"char_DUFTMON",995,,"","",2,1,0,2,-1,0,0,0,0,true,27391,,60,9999,9999,2735,1710,3295,2200,1750,0,0,100,100,100,100,100,,38,11027,11047
27392,,"char_DUFTMON",995,,"","",2,1,0,2,-1,0,0,0,0,true,27392,,50,9999,9999,1102,907,2442,1275,1680,0,0,110,70,120,90,130,,38,11027,11047
27421,,"char_LOTOSMON",968,,"","",2,1,0,2,-1,0,0,0,0,true,27421,,40,9999,9999,2300,2120,2620,2365,950,0,0,100,100,100,100,100,,38,11027,11042
27422,,"char_LOTOSMON",968,,"","",2,1,0,2,-1,0,0,0,0,true,27422,,60,9999,9999,3300,2120,3620,2365,950,0,0,100,100,100,100,100,,38,11027,11042
27471,,"char_MINERVAMON",747,,"","",1,1,0,2,-1,0,0,0,0,true,27471,,1,9999,9999,1800,725,825,775,280,0,0,100,100,100,100,100,,38,11027,11037
27472,,"char_MINERVAMON",747,,"","",1,1,0,2,-1,0,0,0,0,true,27472,,1,9999,9999,1800,725,825,775,300,0,0,100,100,100,100,100,,38,11027,11037
27473,,"char_MINERVAMON",747,,"","",2,1,0,2,-1,0,0,0,0,true,27473,,55,9999,9999,3400,1425,2825,1475,600,0,0,100,100,100,100,100,,38,11027,11037
27474,,"char_MINERVAMON",747,,"","",2,1,0,2,-1,0,0,0,0,true,27474,,60,9999,9999,4200,1725,3825,1775,600,0,0,100,100,100,100,100,,38,11027,11037
27491,,"char_JESMON",997,,"","",2,1,0,2,-1,0,0,0,0,true,27491,,60,9999,9999,3115,2310,2860,2050,1650,0,0,100,100,100,100,100,,38,11027,11036
27671,,"char_BACCHUSMON_DRUNK",767,,"","",2,1,0,2,-1,0,0,0,0,true,27671,,50,9999,9999,2490,880,1980,705,720,0,0,100,100,100,100,100,,38,11027,11047
28671,,"char_VULCANUSMON",867,,"","",2,1,0,2,-1,0,0,0,0,true,28671,,60,9999,9999,3840,2230,3840,2020,695,0,0,100,100,100,100,100,,38,11027,11029
28672,,"char_VULCANUSMON",867,,"","",2,1,0,2,-1,0,0,0,0,true,28672,,60,9999,9999,4440,2230,4440,2020,695,0,0,100,100,100,100,100,,38,11027,11029
29241,,"char_BEARMON_OB",924,,"","",2,1,0,2,-1,0,0,0,0,true,29241,,25,9999,9999,330,200,130,155,190,0,0,100,100,100,100,100,,38,11027,11047
29251,,"char_BEARMON_YB",925,,"","",2,1,0,2,-1,0,0,0,0,true,29251,,25,9999,9999,300,220,130,155,170,0,0,100,100,100,100,100,,38,11027,11047
30021,,"char_HEROINES_FATHER",0,,"npc002aa010101","",1,1,0,0,-1,0,0,0,0,true,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
30031,,"char_HIROKO",0,,"npc003aa010101","",1,1,0,0,-1,0,0,0,0,true,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
30041,,"char_SIMMONS",0,,"npc004aa010101","",1,1,0,0,-1,0,0,0,0,true,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
30531,,"char_HIROKO_8YEARSLATER",0,,"npc053aa010101","",1,1,0,0,-1,0,0,0,0,true,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
30061,,"char_SUMERAGI",0,,"npc101aa010101","",1,1,0,1,-1,0,0,0,0,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
30071,,"char_MAN_OF_PUBLIC_SECURITY",0,,"npc006aa010101","",1,1,0,0,-1,0,0,0,0,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
30081,,"char_WOMAN_OF_PUBLIC_SECURITY",0,,"npc007aa010101","",1,1,0,0,-1,0,0,0,0,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
30121,,"char_MIREI",0,,"npc012aa010101","",1,1,0,1,-1,0,0,0,0,false,30121,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
31011,,"char_PUBLICSAFETY_MOB_B",0,,"npc101aa010101","",0,1,0,2,-1,0,0,0,0,false,31011,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
