int32 0,empty 1,int32 2,string2 3,string2 4,int32 5,int32 6,string2 7,float 8,float 9,float 10,float 11,float 12,float 13,int32 14,int32 15,int32 16,int32 17,int32 18
20517,,308,"Accessory","",1,1,"s01Fobj517",4,1.5,1.5,5,0,0,1,1,1,-1,0
20519,,203,"Machine","",1,1,"s01Fobj519",4,1.5,1.5,5,0,0,1,1,1,-1,0
20521,,103,"Garden","",1,1,"s01Fobj521",4,1.5,1.5,5,0,0,1,1,1,-1,0
20522,,104,"Garden","",1,1,"s01Fobj522",4,1.5,1.5,5,0,0,1,1,1,-1,0
20523,,105,"Garden","",1,1,"s01Fobj523",4,1.5,1.5,5,0,0,1,1,1,-1,0
20524,,106,"Garden","",1,1,"s01Fobj524",4,1.5,1.5,5,0,0,1,1,1,-1,0
20525,,107,"Garden","",1,1,"s01Fobj525",4,1.5,1.5,5,0,0,1,1,1,-1,0
20526,,108,"Garden","",1,1,"s01Fobj526",4,1.5,1.5,5,0,0,1,1,1,-1,0
20527,,109,"Garden","",1,1,"s01Fobj527",4,1.5,1.5,5,0,0,1,1,1,-1,0
20528,,111,"Garden","",1,1,"s01Fobj528",4,1.5,1.5,5,0,0,1,1,1,-1,0
20532,,114,"Garden","",1,1,"s01Fobj532",4,1.5,1.5,5,0,0,1,1,1,-1,0
20534,,305,"Accessory","",1,1,"s01Fobj534",4,1.5,1.5,5,0,0,1,1,1,-1,0
20536,,205,"Machine","",1,1,"s01Fobj536",4,1.5,1.5,5,0,0,1,1,1,-1,0
20537,,206,"Machine","",1,1,"s01Fobj537",4,1.5,1.5,5,0,0,1,1,1,-1,0
20538,,207,"Machine","",1,1,"s01Fobj538",4,1.5,1.5,5,0,0,1,1,1,-1,0
20543,,208,"Machine","",1,1,"s01Fobj543",4,1.5,1.5,5,0,0,1,1,1,-1,0
20545,,204,"Machine","",1,1,"s01Fobj545",4,1.5,1.5,5,0,0,1,1,1,-1,0
20547,,209,"Machine","",1,1,"s01Fobj702",4,1.5,1.5,5,0,0,1,1,1,-1,0
20548,,18,"Nature","",1,1,"s01Fobj17",4,1.5,1.5,5,0,0,1,1,1,-1,0
20549,,19,"Nature","",1,1,"s01Fobj16",4,1.5,1.5,5,0,0,1,1,1,-1,0
22001,,511,"Special","",1,1,"s01Fobj600",4,1.5,1.5,5,0,0,1,1,1,-1,0
22002,,512,"Special","",1,1,"s01Fobj601",4,1.5,1.5,5,0,0,1,1,1,-1,0
22003,,513,"Special","",1,1,"s01Fobj602",4,1.5,1.5,5,0,0,1,1,1,-1,0
22004,,514,"Special","",1,1,"s01Fobj603",4,1.5,1.5,5,0,0,1,1,1,-1,0
22005,,515,"Special","",1,1,"s01Fobj604",4,1.5,1.5,5,0,0,1,1,1,-1,0
20606,,403,"Monument","",1,1,"s01Fobj606",4,1.5,1.5,5,0,0,0,1,1,-1,0
20607,,404,"Monument","",1,1,"s01Fobj607",4,1.5,1.5,5,0,0,0,1,1,-1,0
20608,,405,"Monument","",1,1,"s01Fobj608",4,1.5,1.5,5,0,0,0,1,1,-1,0
20609,,406,"Monument","",1,1,"s01Fobj609",4,1.5,1.5,5,0,0,0,1,1,-1,0
20610,,407,"Monument","",1,1,"s01Fobj610",4,1.5,1.5,5,0,0,0,1,1,-1,0
20611,,408,"Monument","",1,1,"s01Fobj611",4,1.5,1.5,5,0,0,0,1,1,-1,0
20612,,409,"Monument","",1,1,"s01Fobj612",4,1.5,1.5,5,0,0,0,1,1,-1,0
20613,,501,"Special","",1,1,"s01Fobj613",4,1.5,1.5,5,0,0,1,1,1,-1,0
20614,,502,"Special","",1,1,"s01Fobj614",4,1.5,1.5,5,0,0,1,1,1,-1,0
20615,,503,"Special","",1,1,"s01Fobj615",4,1.5,1.5,5,0,0,1,1,1,-1,0
20616,,504,"Special","",1,1,"s01Fobj616",4,1.5,1.5,5,0,0,1,1,1,-1,0
20617,,505,"Special","",1,1,"s01Fobj617",4,1.5,1.5,5,0,0,1,1,1,-1,0
20618,,506,"Special","",1,1,"s01Fobj618",4,1.5,1.5,5,0,0,1,1,1,-1,0
20619,,507,"Special","",1,1,"s01Fobj619",4,1.5,1.5,5,0,0,1,1,1,-1,0
20620,,508,"Special","",1,1,"s01Fobj620",4,1.5,1.5,5,0,0,1,1,1,-1,0
20621,,509,"Special","",1,1,"s01Fobj621",4,1.5,1.5,5,0,0,1,1,1,-1,0
20622,,510,"Special","",1,1,"s01Fobj622",4,1.5,1.5,5,0,0,1,1,1,-1,0
