string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20,string2 21,float 22
"e500","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e537","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e559","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"e560","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e581","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e591","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fd01_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fd01_02","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"fd02_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fn01_01","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"fn01_01_bag","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fn01_01_selfie","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fn01_02","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fn03_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fn06_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fr01_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fr01_01b","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fr01_01_bag","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fs01_01","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"ft01_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"ft01_02","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"ft02_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"ft02_02","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"ft03_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fw01_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fw01_01_bag","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fw01_01_end01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"fw01_02","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
