int 0,empty 1,int 2,int 3,int 4,int 5,int 6,int 7
707,"",19,128,219,97,740,17
708,"",1,132,699,232,394,707
709,"",209,888,1,975,741,416
710,"",871,879,53,97,176,805
711,"",679,740,220,195,363,235
716,"",345,613,878,603,569,886
718,"",400,230,978,240,617,309
719,"",895,420,932,49,730,88
720,"",864,176,728,197,934,988
721,"",53,411,176,171,985,142
722,"",753,317,627,188,752,951
723,"",28,812,596,183,97,755
724,"",758,739,908,953,753,180
725,"",412,138,871,724,73,683
726,"",137,770,145,726,84,777
727,"",474,575,241,890,226,374
728,"",705,214,918,13,43,3
729,"",234,114,916,607,457,10
730,"",84,54,129,868,759,32
731,"",756,512,422,753,734,990
732,"",43,982,60,609,13,180
733,"",171,738,431,181,939,162
734,"",229,767,392,699,368,232
735,"",885,766,428,209,616,132
737,"",117,623,431,47,459,866
738,"",718,41,406,896,196,391
739,"",400,944,737,757,735,911
740,"",94,837,993,844,412,162
741,"",479,595,920,380,811,748
742,"",55,863,371,621,87,46
743,"",71,403,757,3,80,977
744,"",580,873,36,141,198,631
745,"",425,741,756,5,957,194
747,"",46,375,679,804,403,700
748,"",424,209,363,364,967,582
749,"",918,380,241,53,986,408
750,"",971,974,208,328,597,54
751,"",889,886,802,316,804,151
752,"",20,611,512,46,800,450
753,"",141,173,137,978,914,882
754,"",604,12,75,400,943,410
755,"",189,68,730,837,751,309
756,"",890,455,567,426,984,944
757,"",988,484,871,968,306,873
758,"",727,305,670,702,936,721
759,"",603,897,596,61,740,993
760,"",218,365,451,48,225,214
766,"",55,341,434,363,455,983
767,"",917,866,465,894,745,392
770,"",997,115,112,439,25,431
771,"",490,871,935,458,53,1
772,"",603,997,33,364,38,369
773,"",14,595,675,417,590,88
774,"",611,45,844,51,778,346
775,"",162,31,392,451,810,456
776,"",951,398,984,986,767,895
777,"",977,240,775,683,138,346
778,"",995,739,94,146,53,454
779,"",777,316,465,30,621,603
800,"",479,361,452,197,878,882
801,"",865,115,873,594,344,898
802,"",45,758,231,190,320,887
804,"",313,734,884,16,998,616
805,"",876,889,627,397,186,409
806,"",58,96,2,126,311,977
809,"",183,489,406,399,33,459
810,"",771,752,32,702,76,993
811,"",466,814,610,187,315,52
812,"",616,601,909,729,222,347
813,"",465,387,574,188,733,720
814,"",896,189,367,55,399,755
815,"",930,36,863,179,59,72
834,"",343,187,766,811,987,180
835,"",390,60,708,588,84,13
836,"",3,767,197,676,718,893
837,"",328,959,617,48,72,632
844,"",140,940,235,711,101,129
863,"",951,737,52,314,917,747
864,"",32,906,868,756,60,317
865,"",114,752,733,461,373,870
866,"",68,875,325,802,11,312
867,"",973,25,703,145,341,181
868,"",315,809,394,60,304,305
869,"",919,382,707,174,743,192
870,"",426,306,456,50,305,194
871,"",179,141,940,48,218,86
872,"",893,145,617,106,466,613
873,"",465,757,23,913,40,88
874,"",706,137,408,767,413,564
875,"",622,604,705,925,139,114
876,"",463,964,863,514,199,742
877,"",147,576,726,991,12,626
878,"",732,962,198,397,126,399
879,"",377,907,969,180,939,887
880,"",451,951,883,683,759,915
881,"",491,394,176,992,809,670
882,"",13,68,313,699,913,80
883,"",237,871,194,147,750,747
884,"",372,100,678,426,601,137
885,"",130,938,967,107,675,760
886,"",392,408,145,385,375,878
887,"",45,68,228,898,345,749
888,"",226,4,94,55,98,36
889,"",724,875,603,408,208,231
890,"",211,188,23,25,162,698
891,"",804,957,219,102,701,394
892,"",378,677,237,952,812,890
893,"",996,604,111,308,726,172
894,"",960,875,106,114,958,881
895,"",935,416,992,391,575,882
896,"",760,597,777,574,235,343
897,"",739,10,682,756,321,982
898,"",582,68,960,305,973,917
899,"",510,60,626,375,12,217
906,"",708,988,631,770,991,972
907,"",87,10,411,463,708,425
908,"",380,567,93,754,229,931
909,"",510,940,209,15,885,239
910,"",512,899,371,414,393,233
911,"",130,402,210,191,745,35
912,"",242,885,888,867,458,416
913,"",388,632,881,427,676,375
914,"",926,196,670,417,94,996
915,"",58,368,218,966,744,134
916,"",33,805,191,971,1,616
917,"",403,437,723,232,181,626
918,"",978,69,466,898,171,489
919,"",209,435,145,19,240,405
920,"",627,753,96,963,602,887
921,"",615,423,580,934,78,417
924,"",1,611,622,943,172,962
925,"",450,13,103,171,141,600
926,"",727,48,876,322,173,416
927,"",193,710,915,115,729,941
928,"",10,179,966,871,208,952
929,"",626,312,180,163,834,605
930,"",126,427,627,307,959,884
931,"",801,980,882,396,913,32
932,"",711,346,235,463,743,304
933,"",889,597,218,138,178,59
934,"",925,616,993,311,34,877
935,"",134,378,678,393,376,13
936,"",10,718,920,739,81,181
937,"",320,998,590,375,105,982
938,"",234,190,417,725,115,595
939,"",888,208,425,391,979,744
940,"",186,5,996,36,973,683
941,"",373,414,723,226,84,320
942,"",53,834,920,586,615,961
943,"",438,886,986,804,590,928
944,"",604,802,632,10,548,388
951,"",138,187,864,390,17,43
952,"",730,60,150,217,117,961
953,"",594,834,809,139,53,617
954,"",725,774,388,151,622,305
956,"",70,697,724,132,967,49
957,"",897,990,806,875,934,937
958,"",13,218,607,988,933,364
959,"",314,804,69,735,372,215
960,"",492,3,575,227,724,240
961,"",801,19,3,85,603,943
962,"",51,359,866,71,395,718
963,"",61,925,894,451,230,912
964,"",40,91,389,687,390,679
965,"",437,898,590,410,492,897
966,"",75,237,84,601,94,730
967,"",708,745,985,954,198,461
968,"",883,928,514,919,325,720
969,"",986,885,363,888,721,95
970,"",915,422,406,779,172,594
971,"",584,60,926,873,14,184
972,"",981,466,193,705,85,603
973,"",169,105,10,972,705,80
974,"",908,51,128,567,113,877
975,"",804,30,114,719,626,967
976,"",387,670,610,970,374,367
977,"",759,409,931,71,138,890
978,"",718,105,687,466,678,211
979,"",894,30,461,346,31,387
980,"",434,573,9,601,489,867
981,"",926,601,385,145,132,879
982,"",743,96,975,410,899,590
983,"",734,12,772,219,977,408
984,"",939,317,977,988,873,632
985,"",189,84,943,617,720,364
986,"",720,396,978,195,623,569
987,"",864,580,729,515,718,975
988,"",87,416,879,759,897,590
989,"",70,376,343,908,711,341
990,"",573,132,426,3,192,106
991,"",30,880,321,455,617,305
992,"",490,10,346,36,1,421
993,"",133,702,213,877,939,219
994,"",146,959,373,87,966,145
995,"",510,809,85,147,116,595
996,"",397,163,421,44,609,586
997,"",232,956,941,133,916,385
998,"",437,885,921,450,586,915
999,"",675,137,777,956,987,607
