int 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,bool 17,bool 18,bool 19,bool 20,string2 21,int 22,string2 23,string2 24,int 25,string2 26,string2 27,int 28,string2 29,string2 30,int 31,string2 32,string2 33,int 34,string2 35,string2 36,int 37,string2 38,string2 39,int 40,string2 41,string2 42,int 43,string2 44,string2 45,int 46,string2 47,string2 48,int 49,string2 50,string2 51,int 52,int 53,int 54,int 55,int 56,int 57,int 58,int 59,int 60,int 61,int 62,int 63,int 64,int 65,int 66,int 67,int 68,int 69,int 70,int 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,bool 79,bool 80
102001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
102002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
103001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
103002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
104001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
104002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
105001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
105002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
108001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
108002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
109001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
109002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
110001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
110002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
111001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
111002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
201001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
201002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
203001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
203002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
301001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
301002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
302001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
302002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
