int 0,int 1,empty 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,empty 15,int 16,int 17,empty 18,int 19,float 20,int 21,string2 22,string2 23,int 24,int 25,int 26,string2 27,int 28,string2 29,string2 30,string2 31,int 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49,empty 50
10130,10,"",130,30,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10080,"d1001","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10140,10,"",140,35,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10090,"d1001","evt_1001",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
20010,20,"",10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20010,"d1001","npc_0010",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","","",""
20020,20,"",20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20020,"d1001","gim_0004",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","","",""
20030,20,"",30,10,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20030,"d1001","gim_0004",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","","",""
20040,20,"",40,13,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20040,"d1002","evt_1000",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","","",""
20050,20,"",50,15,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20040,"d1002","gim_9000",-1,1,0,"",0,"","","",-1,"X2028_daft_10","X2028_daft_23","","","","","","","","","","","","","","","",""
20060,20,"",60,16,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20040,"d1002","gim_9001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20070,20,"",70,17,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20040,"d1002","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20080,20,"",80,18,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20040,"d1401","",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20090,20,"",90,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20050,"d1401","evt_2000",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20100,20,"",100,25,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20060,"d1401","gim_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20110,20,"",110,60,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20090,"d1403","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20120,20,"",120,65,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20095,"d1403","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20130,20,"",130,70,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20090,"d1403","gim_9002",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20140,20,"",140,72,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20090,"d1403","gim_9000",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20150,20,"",150,75,-1,-1,-1,-1,76,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20100,"d1403","gim_9001",-1,0,10,"gim_9001",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20160,20,"",160,76,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20100,"d1403","rumor_d1403_piyomon01",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20170,20,"",170,80,-1,-1,-1,-1,85,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20110,"d1403","gim_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20180,20,"",180,85,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20120,"d1405","evt_0003",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20190,20,"",190,90,-1,-1,-1,-1,95,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20120,"d1405","evt_9008",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20200,20,"",200,95,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20120,"d1405","fa_0005",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20210,20,"",210,100,-1,-1,-1,-1,102,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20120,"d1406","evt_0003",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20220,20,"",220,102,-1,-1,-1,-1,105,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20120,"d1406","evt_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
20230,20,"",230,105,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,20120,"d1407","evt_0001",-1,1,0,"",0,"","","",-1,"X2028_daft_20","X2028_daft_23","","","","","","","","","","","","","","","",""
30010,30,"",10,1,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,30010,"d0802","black_shadow",-1,0,0,"",0,"","","",-1,"A2020_dbef_30","","","","","","","","","","","","","","","","",""
40010,40,"",10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,40010,"t0302","",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","","",""
40020,40,"",20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,40020,"t0303","father02",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","","",""
40030,40,"",30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,40030,"t0303","gim_0001",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","","",""
40040,40,"",40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,40040,"t0303","father01",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","","",""
40050,40,"",50,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,40050,"d1102","",-1,1,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","","",""
40060,40,"",60,25,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,40060,"d1102","",-1,0,0,"",0,"302","","",-1,"A2020_dbef_40","","","","","","","","","","","","","","","","",""
120010,120,"",10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10010,"d0217","evt_0003",-1,1,0,"",0,"10201","","",-1,"A2020_dbef_120","","","","","","","","","","","","","","","","",""
