string2 0,empty 1,float 2,float 3,float 4,float 5,float 6,float 7,float 8
"chr218J_head",,-90,115,0,-0.59636784,0.59636784,-0.3799282,0.3799282
"chr218J_neck02",,-100,70,15,-0.3668987,0.44743973,-0.574015,0.5793874
"chr218J_neck01",,-95,55,10,-0.28691274,0.36776328,-0.62429595,0.6266465
"chr218J_spine02",,-100,40,15,-0.18092036,0.31192428,-0.6849922,0.6330535
"chr301J_atama",,0,0,0,0,0,0,1
"chr301J_mune",,10,20,-60,-0.4774233,0.1927273,-0.012161307,0.8571903
"chr402J_atama",,0,0,0,0,0,0,1
"chr402J_mune",,10,20,-60,-0.4774233,0.1927273,-0.012161307,0.8571903
"chr302J_haed",,0,0,0,0,0,0,1
"chr302J_neck",,0,0,0,0,0,0,1
"chr302J_spine02",,-8,-10,-15,-0.12368509,-0.09527002,-0.057548128,0.9860597
"chr326J_haed",,0,0,0,0,0,0,1
"chr326J_neck",,0,0,0,0,0,0,1
"chr326J_spine02",,0,0,-35,-0.3007058,0,0,0.95371693
"chr054J_haed",,0,0,0,0,0,0,1
"chr054J_neck",,0,0,0,0,0,0,1
"chr054J_spine02",,0,0,-35,-0.3007058,0,0,0.95371693
"chr377J_atama",,0,0,0,0,0,0,1
"chr377J_neck",,0,0,0,0,0,0,1
"chr377J_mune",,0,15,-10,-0.08641011,0.1300295,-0.011376107,0.9876721
"chr755J_atama",,0,0,0,0,0,0,1
"chr755J_neck",,0,0,0,0,0,0,1
"chr755J_mune",,0,15,-10,-0.08641011,0.1300295,-0.011376107,0.9876721
"chr425J_head",,0,0,0,0,0,0,1
"chr425J_neck",,10,-20,3,0.010551914,-0.17517492,0.08127396,0.9811202
"chr754J_head",,0,0,0,0,0,0,1
"chr754J_neck",,10,-20,3,0.010551914,-0.17517492,0.08127396,0.9811202
"chr616J_head",,0,0,5,0.043619387,0,0,0.99904823
"chr616J_neck",,5,-8,0,-0.0030427347,-0.06969008,0.043513134,0.9966146
"chr617J_head",,0,0,5,0.043619387,0,0,0.99904823
"chr617J_neck",,5,-8,0,-0.0030427347,-0.06969008,0.043513134,0.9966146
"chr001J_neck",,0,0,0,0,0,0,1
"chr001J_hara",,0,0,8,0.06975647,0,0,0.9975641
"chr003J_head",,0,0,0,0,0,0,1
"chr003J_neck",,0,25,0,0,0.21643962,0,0.976296
"chr004J_head",,0,0,0,0,0,0,1
"chr004J_neck",,0,40,0,0,0.34202015,0,0.9396926
"chr006J_head",,0,0,0,0,0,0,1
"chr006J_neck",,0,0,0,0,0,0,1
"chr006J_spine02",,0,20,-20,-0.17101008,0.17101008,-0.03015369,0.9698463
"chr011J_head",,0,0,0,0,0,0,1
"chr011J_body0",,0,0,5,0.043619387,0,0,0.99904823
"chr015head",,0,0,0,0,0,0,1
"chr015body",,0,0,-70,-0.57357645,0,0,0.81915206
"chr016J_head",,0,0,0,0,0,0,1
"chr016J_neck",,0,0,0,0,0,0,1
"chr016J_spine02",,0,0,-45,-0.38268343,0,0,0.9238795
"chr017J_head",,0,0,0,0,0,0,1
"chr017J_neck",,0,0,0,0,0,0,1
"chr017J_spine02",,10,0,-15,-0.1300295,0.011376107,0.08641011,0.9876721
"chr019J_head",,0,0,0,0,0,0,1
"chr019J_neck03",,0,0,-35,-0.3007058,0,0,0.95371693
"chr019J_neck02",,0,0,-35,-0.3007058,0,0,0.95371693
"chr019J_neck01",,0,0,-40,-0.34202015,0,0,0.9396926
"chr019J_spine02",,0,0,-40,-0.34202015,0,0,0.9396926
"chr026J_head",,0,0,0,0,0,0,1
"chr026J_neck",,0,40,15,0.1226545,0.3390941,0.044642586,0.93165344
"chr026J_spine02",,-10,50,20,0.1205058,0.42833045,-0.004682262,0.8955386
"chr030J_head",,0,0,0,0,0,0,1
"chr030J_neck",,0,0,-12,-0.104528464,0,0,0.9945219
"chr031J_head",,10,0,10,0.08682409,-0.0075961235,0.08682409,0.99240386
"chr031J_neck",,0,0,15,0.13052619,0,0,0.9914449
"chr031J_chest",,0,0,15,0.13052619,0,0,0.9914449
"chr033J_head",,0,0,0,0,0,0,1
"chr033J_neck",,0,0,0,0,0,0,1
"chr033J_spine02",,5,-2,-25,-0.21694389,-0.0075829723,0.046352744,0.9750535
"chr034J_head",,0,0,0,0,0,0,1
"chr034J_neck",,0,25,10,0.0850898,0.215616,0.018863956,0.9725809
"chr035J_head",,0,0,0,0,0,0,1
"chr035J_neck",,-10,15,20,0.16030419,0.14305902,-0.06251796,0.9746426
"chr035J_spine02",,0,32,8,0.06705423,0.2749659,0.01922749,0.9589201
"chr036J_head",,0,0,0,0,0,0,1
"chr036J_spine2",,0,-25,10,0.0850898,-0.215616,-0.018863956,0.9725809
"chr040J_head",,0,0,0,0,0,0,1
"chr040J_neck",,0,0,-50,-0.42261827,0,0,0.9063078
"chr040J_spine02",,0,6,-20,-0.17341019,0.051540855,-0.009088043,0.9834581
"chr041J_head",,0,0,0,0,0,0,1
"chr041J_body",,0,30,20,0.16773126,0.254887,0.044943456,0.95125127
"chr046J_head",,0,0,0,0,0,0,1
"chr047J_neck02",,0,0,0,0,0,0,1
"chr047J_neck01",,0,0,0,0,0,0,1
"chr047J_spine06",,0,0,15,0.13052619,0,0,0.9914449
"chr048J_neck02",,0,0,0,0,0,0,1
"chr048J_neck01",,0,0,0,0,0,0,1
"chr048J_spine03",,2.5,0,7.5,0.06538756,-0.0014267617,0.021768177,0.9976215
"chr049J_head",,0,0,0,0,0,0,1
"chr049J_neck",,0,0,0,0,0,0,1
"chr049J_spine02",,5,-15,15,0.12364159,-0.13493112,0.025855368,0.9827705
"chr051J_head",,0,0,0,0,0,0,1
"chr051J_chest",,10,0,-10,-0.08682409,0.0075961235,0.08682409,0.99240386
"chr053J_head",,0,0,0,0,0,0,1
"chr053J_neck1",,0,0,0,0,0,0,1
"chr053J_neck",,0,0,40,0.34202015,0,0,0.9396926
"chr057J_head",,0,0,0,0,0,0,1
"chr057J_spine01",,0,0,15,0.13052619,0,0,0.9914449
"chr059J_head",,0,0,0,0,0,0,1
"chr059J_spine01",,0,10,-2,-0.017385995,0.08714247,-0.0015210775,0.99604297
"chr060J_head",,0,0,0,0,0,0,1
"chr060J_neck",,5,0,5,0.043577872,-0.0019026509,0.043577872,0.99809736
"chr060J_spine02",,2,0,3,0.026172962,-0.00045685074,0.017446427,0.99950504
"chr071J_head",,0,0,0,0,0,0,1
"chr071J_neck",,0,0,-40,-0.34202015,0,0,0.9396926
"chr075J_head",,0,0,0,0,0,0,1
"chr075J_spine2",,0,7,10,0.08699318,0.060816232,0.0053207306,0.9943366
"chr076J_head",,0,0,0,0,0,0,1
"chr076J_spine2",,0,10,20,0.17298739,0.08583165,0.015134436,0.98106027
"chr078J_head",,0,0,0,0,0,0,1
"chr078J_neck",,0,0,0,0,0,0,1
"chr078J_spine2",,0,3,-22,-0.19074361,0.025696004,-0.004994797,0.9812908
"chr081J_head",,0,0,0,0,0,0,1
"chr081J_spine2",,0,7,10,0.08699318,0.060816232,0.0053207306,0.9943366
"chr085J_head",,0,0,0,0,0,0,1
"chr085J_neck",,-5,0,10,0.08707279,0.0038016802,-0.043453403,0.9952465
"chr091J_head",,0,0,0,0,0,0,1
"chr091J_neck",,0,0,0,0,0,0,1
"chr091J_spine2",,0,-15,15,0.12940952,-0.12940952,-0.017037086,0.9829629
"chr095J_head",,0,0,-15,-0.13052619,0,0,0.9914449
"chr095J_chest",,0,0,10,0.087155744,0,0,0.9961947
"chr100J_head",,0,0,0,0,0,0,1
"chr100J_neck",,0,0,25,0.21643962,0,0,0.976296
"chr102J_head",,0,0,-35,-0.3007058,0,0,0.95371693
"chr102J_spine03",,10,20,-30,-0.23929834,0.18930785,0.038134575,0.9515485
"chr104J_head",,0,0,0,0,0,0,1
"chr104J_neck",,0,0,0,0,0,0,1
"chr104J_spine02",,0,15,-5,-0.043246217,0.13040195,-0.0056934725,0.9905012
"chr105J_head",,-90,2,90,0.49119765,0.50865006,-0.49119765,0.50865006
"chr105J_neck",,-90,0,-80,-0.45451948,-0.45451948,-0.5416752,0.5416752
"chr107J_head",,0,0,0,0,0,0,1
"chr107J_neck",,0,0,0,0,0,0,1
"chr107J_spine02",,-8,-10,10,0.09266913,-0.08055605,-0.07680421,0.98945653
"chr112J_atama",,0,0,0,0,0,0,1
"chr112J_mune",,0,-10,-30,-0.25783417,-0.08418598,0.022557566,0.9622502
"chr114J_neck",,0,0,0,0,0,0,1
"chr114J_chest",,2.5,0,-27.5,-0.23762932,0.0051850905,0.021189716,0.97111094
"chr118J_head",,0,0,0,0,0,0,1
"chr118J_spine02",,-5,15,10,0.08065607,0.1336749,-0.031716373,0.9872283
"chr127J_head",,0,0,0,0,0,0,1
"chr127J_neck",,0,0,25,0.21643962,0,0,0.976296
"chr136J_head",,0,0,0,0,0,0,1
"chr136J_neck",,0,-2,15,0.1305063,-0.017303098,-0.0022779962,0.99129385
"chr137J_head",,0,0,0,0,0,0,1
"chr137J_neck",,0,0,25,0.21643962,0,0,0.976296
"chr138J_head",,-5,0,-30,-0.2585727,-0.011289529,-0.042133093,0.9650065
"chr138J_neck",,0,0,-15,-0.13052619,0,0,0.9914449
"chr138J_spine02",,10,20,-50,-0.40089753,0.19305384,0.004682262,0.8955386
"chr141J_head",,0,0,0,0,0,0,1
"chr142J_head",,0,0,0,0,0,0,1
"chr142J_neck",,-20,10,-20,-0.18526384,0.05448873,-0.18526384,0.9635277
"chr142J_spine02",,5,20,-35,-0.28863168,0.17837092,-0.011198772,0.9406116
"chr144J_head",,0,0,0,0,0,0,1
"chr144J_spine02",,0,0,0,0,0,0,1
"chr148J_head",,0,0,0,0,0,0,1
"chr148J_chest",,-5,25,10,0.075603776,0.21912234,-0.023577383,0.97247803
"chr149J_head_f_m",,0,0,0,0,0,0,1
"chr149J_neck04_f_m",,0,0,0,0,0,0,1
"chr149J_neck03_f_m",,-5,0,0,0,0,-0.043619387,0.99904823
"chr163J_head",,0,0,0,0,0,0,1
"chr163J_neck",,0,0,0,0,0,0,1
"chr163J_spine02",,0,0,10,0.087155744,0,0,0.9961947
"chr168J_head",,0,0,0,0,0,0,1
"chr168J_neck",,0,0,10,0.087155744,0,0,0.9961947
"chr169J_head",,0,0,0,0,0,0,1
"chr169J_neck",,0,0,10,0.087155744,0,0,0.9961947
"chr170J_head",,0,0,0,0,0,0,1
"chr170J_neck",,-5,0,0,0,0,-0.043619387,0.99904823
"chr170J_spine02",,0,0,10,0.087155744,0,0,0.9961947
"chr172J_head",,0,0,0,0,0,0,1
"chr172J_neck",,0,0,0,0,0,0,1
"chr172J_spine2",,5,0,12,0.10442898,-0.0045594675,0.043380436,0.99357533
"chr174J_head",,0,0,0,0,0,0,1
"chr174J_spine02",,0,0,13,0.11320321,0,0,0.9935719
"chr176J_head",,0,0,-10,-0.087155744,0,0,0.9961947
"chr176J_spine02",,0,0,0,0,0,0,1
"chr176J_spine01",,0,0,18,0.15643446,0,0,0.98768836
"chr180J_head",,0,0,0,0,0,0,1
"chr180J_neck",,0,0,0,0,0,0,1
"chr180J_spine2",,0,0,12,0.104528464,0,0,0.9945219
"chr181J_head",,0,0,0,0,0,0,1
"chr181J_neck",,0,0,0,0,0,0,1
"chr181J_spine02",,0,-10,0,0,-0.087155744,0,0.9961947
"chr190J_head",,0,0,-10,-0.087155744,0,0,0.9961947
"chr190J_neck",,0,0,-5,-0.043619387,0,0,0.99904823
"chr191J_head",,0,0,0,0,0,0,1
"chr191J_neck02",,0,0,0,0,0,0,1
"chr191J_neck01",,0,0,0,0,0,0,1
"chr191J_spine03",,0,20,0,0,0.17364818,0,0.9848077
"chr192J_head",,0,0,0,0,0,0,1
"chr192J_neck04",,0,0,0,0,0,0,1
"chr192J_neck03",,0,0,0,0,0,0,1
"chr192J_neck02",,-18,0,30,0.25563255,0.040488217,-0.1511041,0.9540337
"chr193J_head",,0,0,0,0,0,0,1
"chr193J_neck03",,0,0,0,0,0,0,1
"chr193J_neck02",,0,0,0,0,0,0,1
"chr193J_neck01",,0,0,5,0.043619387,0,0,0.99904823
"chr194J_head",,0,0,20,0.17364818,0,0,0.9848077
"chr194J_neck02",,0,0,0,0,0,0,1
"chr194J_neck01",,0,10,-40,-0.34071866,0.081899606,-0.02980902,0.9361168
"chr195J_head",,0,0,0,0,0,0,1
"chr195J_neck",,0,0,0,0,0,0,1
"chr195J_spine02",,0,0,10,0.087155744,0,0,0.9961947
"chr199J_head",,0,0,0,0,0,0,1
"chr199J_neck",,0,0,0,0,0,0,1
"chr199J_spine02",,0,0,-25,-0.21643962,0,0,0.976296
"chr208J_head",,0,0,0,0,0,0,1
"chr208J_neck",,0,0,0,0,0,0,1
"chr208J_spine02",,0,20,-20,-0.17101008,0.17101008,-0.03015369,0.9698463
"chr213J_head",,0,0,0,0,0,0,1
"chr213J_neck",,0,0,0,0,0,0,1
"chr213J_spine02",,-5,-10,-20,-0.16907883,-0.09329556,-0.027673217,0.9807867
"chr215J_head",,0,0,-10,-0.087155744,0,0,0.9961947
"chr215J_neck",,0,0,-70,-0.57357645,0,0,0.81915206
"chr220J_head",,0,0,0,0,0,0,1
"chr220J_neck",,0,0,0,0,0,0,1
"chr220J_spine02",,5,5,-34,-0.2899959,0.054414663,0.02893279,0.9550415
"chr231J_head",,0,0,0,0,0,0,1
"chr231J_spine02",,0,0,15,0.13052619,0,0,0.9914449
"chr223J_head",,0,0,0,0,0,0,1
"chr223J_spine03",,0,0,10,0.087155744,0,0,0.9961947
"chr224J_head",,0,0,0,0,0,0,1
"chr224J_neck",,0,0,0,0,0,0,1
"chr224J_spine02",,0,10,0,0,0.087155744,0,0.9961947
"chr225J_head",,0,0,0,0,0,0,1
"chr225J_neck",,0,0,0,0,0,0,1
"chr225J_spine02",,5,-5,5,0.041635554,-0.045437235,0.041635554,0.99723035
"chr226J_head",,0,0,0,0,0,0,1
"chr226J_neck",,0,0,0,0,0,0,1
"chr226J_spine02",,0,0,20,0.17364818,0,0,0.9848077
"chr227J_neck",,0,0,0,0,0,0,1
"chr227J_spine02",,0,0,12,0.104528464,0,0,0.9945219
"chr228J_head",,0,0,0,0,0,0,1
"chr228J_neck",,0,0,0,0,0,0,1
"chr228J_spine02",,0,0,-13,-0.11320321,0,0,0.9935719
"chr229J_head",,0,0,0,0,0,0,1
"chr229J_neck",,0,0,0,0,0,0,1
"chr229J_spine02",,0,-20,-20,-0.17101008,-0.17101008,0.03015369,0.9698463
"chr230J_head",,0,0,0,0,0,0,1
"chr230J_neck",,0,0,0,0,0,0,1
"chr230J_spine02",,0,0,-10,-0.087155744,0,0,0.9961947
"chr232J_head",,0,0,0,0,0,0,1
"chr232J_spine02",,0,5,5,0.043577872,0.043577872,0.0019026509,0.99809736
"chr233J_head",,0,0,0,0,0,0,1
"chr233J_neck",,0,0,-52,-0.43837115,0,0,0.89879405
"chr237J_head",,0,0,0,0,0,0,1
"chr237J_neck",,0,0,0,0,0,0,1
"chr237J_spine02",,-5,0,15,0.13040195,0.0056934725,-0.043246217,0.9905012
"chr240J_spine",,0,0,0,0,0,0,1
"chr240J_center",,0,0,-10,-0.087155744,0,0,0.9961947
"chr305J_atama",,0,0,0,0,0,0,1
"chr305J_kubi",,0,0,0,0,0,0,1
"chr305J_mune",,0,-10,-7,-0.060816232,-0.08699318,0.0053207306,0.9943366
"chr312J_kao",,0,0,0,0,0,0,1
"chr312J_kubi",,0,0,0,0,0,0,1
"chr312J_mune",,0,0,-45,-0.38268343,0,0,0.9238795
"chr315J_atama",,0,0,0,0,0,0,1
"chr315J_kubi",,0,0,0,0,0,0,1
"chr315J_mune",,0,-25,15,0.1274322,-0.21458794,-0.028251039,0.96794367
"chr317J_center",,0.37,0,-90,-0.7071031,0.0022831443,0.0022831443,0.7071031
"chr342J_head",,0,0,0,0,0,0,1
"chr342J_mune",,0,-15,5,0.043246217,-0.13040195,-0.0056934725,0.9905012
"chr345J_kao",,0,0,0,0,0,0,1
"chr345J_kubi",,0,0,0,0,0,0,1
"chr345J_mune",,0,0,-43,-0.3665012,0,0,0.9304176
"chr346J_atama",,0,0,0,0,0,0,1
"chr346J_mune",,0,0,-20,-0.17364818,0,0,0.9848077
"chr359J_atama",,0,0,0,0,0,0,1
"chr359J_kubi",,0,0,0,0,0,0,1
"chr359J_mune",,5,25,-5,-0.033112925,0.21788536,0.033112925,0.97485024
"chr363J_atama",,0,0,0,0,0,0,1
"chr363J_mune",,2,-10,-25,-0.21706818,-0.081313826,0.03583496,0.97210354
"chr364J_hed",,0,0,0,0,0,0,1
"chr364J_spine2",,5,0,-53,-0.44577312,0.019462876,0.03903649,0.8940826
"chr365J_head",,0,0,0,0,0,0,1
"chr365J_neck",,0,0,0,0,0,0,1
"chr365J_spine02",,5,12,-35,-0.29442543,0.11264043,0.009970258,0.9489607
"chr371J_mune",,0,0,0,0,0,0,1
"chr371J_center",,0,0,15,0.13052619,0,0,0.9914449
"chr385J_atama",,0,0,15,0.13052619,0,0,0.9914449
"chr385J_Kubi",,0,0,20,0.17364818,0,0,0.9848077
"chr385J_mune",,3,0,-5,-0.04360444,0.0011418224,0.026152033,0.99870586
"chr391J_head",,0,0,0,0,0,0,1
"chr391J_spine",,5,45,-5,-0.023584174,0.38371313,0.023584174,0.92284983
"chr392J_neck",,-90,10.473,90,0.45227975,0.54354674,-0.45227975,0.54354674
"chr392J_spineF3",,90,150,0,0.6830127,0.6830127,0.18301271,0.18301271
"chr393J_body1",,0,0,0,0,0,0,1
"chr393J_center",,-90,0,0,0,0,-0.70710677,0.70710677
"chr400J_head",,0,0,0,0,0,0,1
"chr400J_spine2",,-5,2,-40,-0.34235793,0.0014678516,-0.046945967,0.9383949
"chr403J_head",,0,0,0,0,0,0,1
"chr403J_neck",,0,10,-25,-0.215616,0.0850898,-0.018863956,0.9725809
"chr404J_atama",,0,0,0,0,0,0,1
"chr404J_Kubi",,0,0,0,0,0,0,1
"chr404J_mune",,0,-5,-15,-0.13040195,-0.043246217,0.0056934725,0.9905012
"chr405J_head",,0,0,0,0,0,0,1
"chr405J_spine2",,6,25,5,0.053843863,0.21370852,0.06047478,0.97353595
"chr408J_head",,0,0,0,0,0,0,1
"chr408J_body",,5,15,-45,-0.37378833,0.13702531,-0.009948375,0.9172826
"chr414J_atama",,0,0,0,0,0,0,1
"chr414J_hara",,0,0,-10,-0.087155744,0,0,0.9961947
"chr417J_head",,0,0,0,0,0,0,1
"chr417J_spine2",,-5,15,5,0.037517004,0.13216422,-0.037517004,0.98980683
"chr419J_head",,0,0,0,0,0,0,1
"chr419J_spine1",,0,20,0,0,0.17364818,0,0.9848077
"chr420J_head",,0,0,0,0,0,0,1
"chr420J_spine1",,0,10,5,0.043453403,0.08707279,0.0038016802,0.9952465
"chr422J_head",,0,0,0,0,0,0,1
"chr422J_spine02",,0,15,-10,-0.08641011,0.1300295,-0.011376107,0.9876721
"chr424J_atama",,0,0,0,0,0,0,1
"chr424J_mune",,0,10,10,0.08682409,0.08682409,0.0075961235,0.99240386
"chr427J_atama",,0,0,0,0,0,0,1
"chr427J_kubi",,0,0,0,0,0,0,1
"chr427J_mune",,0,0,14,0.12186934,0,0,0.99254614
"chr428J_atama",,0,0,0,0,0,0,1
"chr428J_kubi",,0,-7,-33,-0.2834856,-0.058534544,0.017338721,0.95703137
"chr440J_head",,0,0,0,0,0,0,1
"chr440J_spine02",,15,20,-25,-0.1891995,0.1959035,0.08823341,0.9581442
"chr453J_atama",,0,-3,-20,-0.17358868,-0.025779262,0.004545579,0.9844703
"chr453J_kubi",,0,0,-17,-0.14780942,0,0,0.9890159
"chr453J_mune",,0,0,15,0.13052619,0,0,0.9914449
"chr453J_hara",,-10,-20,20,0.18526384,-0.15545481,-0.114566624,0.9635277
"chr456J_atama",,0,0,0,0,0,0,1
"chr456J_mune",,0,40,0,0,0.34202015,0,0.9396926
"chr461J_atama",,0,0,0,0,0,0,1
"chr461J_mune",,0,-2,15,0.1305063,-0.017303098,-0.0022779962,0.99129385
"chr474J_head",,0,0,0,0,0,0,1
"chr474J_neck",,0,0,0,0,0,0,1
"chr474J_spine02",,0,-12,5,0.043380436,-0.10442898,-0.0045594675,0.99357533
"chr484J_head",,0,0,0,0,0,0,1
"chr484J_neck",,-5,13,5,0.038364593,0.114878245,-0.038364593,0.9918968
"chr514J_atama",,0,0,0,0,0,0,1
"chr514J_hara",,0,0,-32,-0.27563736,0,0,0.9612617
"chr569J_atama",,0,0,0,0,0,0,1
"chr569J_mune",,-5,20,5,0.03534861,0.17519154,-0.03534861,0.9832644
"chr574J_head",,0,0,0,0,0,0,1
"chr574J_neck",,0,10,-5,-0.043453403,0.08707279,-0.0038016802,0.9952465
"chr575J_head",,0,0,0,0,0,0,1
"chr575J_mune",,0,10,10,0.08682409,0.08682409,0.0075961235,0.99240386
"chr594J_atama",,0,0,0,0,0,0,1
"chr594J_mune",,0,0,-10,-0.087155744,0,0,0.9961947
"chr597J_atama",,0,0,0,0,0,0,1
"chr597J_mune",,0,0,0,0,0,0,1
"chr597J_hara",,0,-5,0,0,-0.043619387,0,0.99904823
"chr600J_atama",,0,0,25,0.21643962,0,0,0.976296
"chr600J_kubi",,0,0,0,0,0,0,1
"chr600J_mune",,0,0,0,0,0,0,1
"chr601J_head",,0,0,0,0,0,0,1
"chr601J_neck",,0,-30,0,0,-0.25881904,0,0.9659258
"chr602J_head",,0,0,0,0,0,0,1
"chr602J_neck",,0,0,0,0,0,0,1
"chr602J_spine02",,0,12,0,0,0.104528464,0,0.9945219
"chr603J_head",,0,0,0,0,0,0,1
"chr603J_neck",,-5,0,0,0,0,-0.043619387,0.99904823
"chr603J_spine02",,0,5,10,0.08707279,0.043453403,0.0038016802,0.9952465
"chr605J_center",,0,0,-15,-0.13052619,0,0,0.9914449
"chr606J_atama",,0,0,10,0.087155744,0,0,0.9961947
"chr606J_hara",,0,-5,0,0,-0.043619387,0,0.99904823
"chr610J_atama",,0,0,0,0,0,0,1
"chr611J_atama",,0,0,0,0,0,0,1
"chr611J_kubi",,0,0,10,0.087155744,0,0,0.9961947
"chr613J_head",,0,0,0,0,0,0,1
"chr613J_neck",,0,15,8,0.069159694,0.13020824,0.009105047,0.98902977
"chr614J_head",,0,0,0,0,0,0,1
"chr614J_neck",,0,15,5,0.043246217,0.13040195,0.0056934725,0.9905012
"chr632J_atama",,0,0,0,0,0,0,1
"chr632J_neck",,0,0,0,0,0,0,1
"chr632J_mune",,0,0,-20,-0.17364818,0,0,0.9848077
"chr670J_head",,0,0,0,0,0,0,1
"chr670J_neck",,0,40,0,0,0.34202015,0,0.9396926
"chr676J_head",,-90,0,-90,-0.5,-0.5,-0.5,0.5
"chr676J_neck",,-90,15,-90,-0.5609855,-0.43045932,-0.5609855,0.43045932
"chr677J_head",,0,0,0,0,0,0,1
"chr677J_neck",,0,20,20,0.17101008,0.17101008,0.03015369,0.9698463
"chr677J_spine02",,-5,20,20,0.16338795,0.17830667,-0.012179112,0.9702385
"chr669J_head",,0,0,0,0,0,0,1
"chr669J_neck",,0,0,0,0,0,0,1
"chr669J_spine02",,0,25,0,0,0.21643962,0,0.976296
"chr680J_head",,0,0,0,0,0,0,1
"chr680J_neck",,0,0,0,0,0,0,1
"chr680J_spine02",,0,25,10,0.0850898,0.215616,0.018863956,0.9725809
"chr683J_head",,0,0,0,0,0,0,1
"chr683J_center_U",,0,20,0,0,0.17364818,0,0.9848077
"chr688J_atama",,0,0,0,0,0,0,1
"chr688J_mune",,-1,20,-20,-0.17249589,0.16951123,-0.03861594,0.96954626
"chr697J_head",,0,0,0,0,0,0,1
"chr697J_neck",,0,0,0,0,0,0,1
"chr697J_spine05",,-5,25,-10,-0.094413854,0.21169922,-0.061269384,0.9708324
"chr698J_head",,0,0,0,0,0,0,1
"chr698J_neck02",,0,0,0,0,0,0,1
"chr698J_neck01",,0,5,5,0.043577872,0.043577872,0.0019026509,0.99809736
"chr699J_head",,0,0,0,0,0,0,1
"chr699J_neck",,0,0,0,0,0,0,1
"chr699J_spine02",,0,17,0,0,0.14780942,0,0.9890159
"chr700J_head",,0,0,0,0,0,0,1
"chr700J_neck",,0,0,0,0,0,0,1
"chr700J_spine02",,0,0,15,0.13052619,0,0,0.9914449
"chr705J_head",,0,0,0,0,0,0,1
"chr705J_spine02",,0,35,-10,-0.08312191,0.29956153,-0.026208237,0.9500878
"chr706J_head",,0,0,0,0,0,0,1
"chr706J_spine",,0,30,-5,-0.042133093,0.2585727,-0.011289529,0.9650065
"chr711J_head",,0,0,-10,-0.087155744,0,0,0.9961947
"chr716J_head",,0,0,0,0,0,0,1
"chr716J_neck",,0,0,0,0,0,0,1
"chr716J_spine02",,0,30,-35,-0.29045948,0.2468401,-0.077828385,0.9212198
"chr718J_neck",,0,0,0,0,0,0,1
