string2 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10
"chr115","","chr115_LOD_2","","","","","","","",""
"chr116","","chr116_LOD_2","","","","","","","",""
"chr117","","chr117_LOD_2","","","","","","","",""
"chr118","","chr118_LOD_2","","","","","","","",""
"chr119","","","","","","","","","",""
"chr120","","","","","","","","","",""
"chr121","","","","","","","","","",""
"chr122","","","","","","","","","",""
"chr123","","","","","","","","","",""
"chr124","","","","","","","","","",""
"chr125","","","","","","","","","",""
"chr126","","chr126_LOD_2","","","","","","","",""
"chr127","","chr127_LOD_2","","","","","","","",""
"chr128","","chr128_LOD_2","","","","","","","",""
"chr129","","chr129_LOD_2","","","","","","","",""
"chr130","","chr130_LOD_2","","","","","","","",""
"chr131","","","","","","","","","",""
"chr132","","chr132_LOD_2","","","","","","","",""
"chr133","","chr133_LOD_2","","","","","","","",""
"chr134","","chr134_LOD_2","","","","","","","",""
"chr135","","chr135_LOD_2","","","","","","","",""
"chr136","","chr136_LOD_2","","","","","","","",""
"chr137","","chr137_LOD_2","","","","","","","",""
"chr138","","chr138_LOD_2","","","","","","","",""
"chr139","","chr139_LOD_2","","","","","","","",""
"chr140","","chr140_LOD_2","","","","","","","",""
"chr141","","chr141_LOD_2","","","","","","","",""
"chr142","","chr142_LOD_2","","","","","","","",""
"chr144","","chr144_LOD_2","","","","","","","",""
"chr145","","chr145_LOD_2","","","","","","","",""
"chr146","","chr146_LOD_2","","","","","","","",""
"chr147","","chr147_LOD_2","","","","","","","",""
"chr148","","chr148_LOD_2","","","","","","","",""
"chr149","","chr149_LOD_2","","","","","","","",""
"chr150","","chr150_LOD_2","","","","","","","",""
"chr151","","chr151_LOD_2","","","","","","","",""
"chr152","","","","","","","","","",""
"chr153","","","","","","","","","",""
"chr154","","","","","","","","","",""
"chr155","","","","","","","","","",""
"chr156","","","","","","","","","",""
"chr157","","","","","","","","","",""
"chr158","","","","","","","","","",""
"chr159","","","","","","","","","",""
"chr160","","","","","","","","","",""
"chr161","","","","","","","","","",""
"chr162","","chr162_LOD_2","","","","","","","",""
"chr163","","chr163_LOD_2","","","","","","","",""
"chr164","","","","","","","","","",""
"chr165","","","","","","","","","",""
"chr166","","","","","","","","","",""
"chr167","","","","","","","","","",""
"chr168","","chr168_LOD_2","","","","","","","",""
"chr169","","chr169_LOD_2","","","","","","","",""
"chr170","","chr170_LOD_2","","","","","","","",""
"chr171","","chr171_LOD_2","","","","","","","",""
"chr172","","chr172_LOD_2","","","","","","","",""
"chr173","","chr173_LOD_2","","","","","","","",""
"chr174","","chr174_LOD_2","","","","","","","",""
"chr176","","chr176_LOD_2","","","","","","","",""
"chr177","","chr177_LOD_2","","","","","","","",""
"chr178","","chr178_LOD_2","","","","","","","",""
"chr179","","chr179_LOD_2","","","","","","","",""
"chr180","","chr180_LOD_2","","","","","","","",""
"chr181","","chr181_LOD_2","","","","","","","",""
"chr183a","","chr183a_LOD_2","","","","","","","",""
"chr184a","","chr184a_LOD_2","","","","","","","",""
"chr185a","","chr185a_LOD_2","","","","","","","",""
"chr186a","","chr186a_LOD_2","","","","","","","",""
"chr187a","","chr187a_LOD_2","","","","","","","",""
"chr188a","","chr188a_LOD_2","","","","","","","",""
"chr189","","chr189_LOD_2","","","","","","","",""
"chr190","","chr190_LOD_2","","","","","","","",""
"chr191","","chr191_LOD_2","","","","","","","",""
"chr192","","chr192_LOD_2","","","","","","","",""
"chr193","","chr193_LOD_2","","","","","","","",""
"chr194","","chr194_LOD_2","","","","","","","",""
"chr195","","chr195_LOD_2","","","","","","","",""
"chr196","","chr196_LOD_2","","","","","","","",""
"chr197","","chr197_LOD_2","","","","","","","",""
"chr198","","chr198_LOD_2","","","","","","","",""
"chr199","","chr199_LOD_2","","","","","","","",""
"chr200","","","","","","","","","",""
"chr201","","","","","","","","","",""
"chr202","","","","","","","","","",""
"chr203","","","","","","","","","",""
"chr204","","","","","","","","","",""
"chr205","","","","","","","","","",""
"chr206","","","","","","","","","",""
"chr207","","","","","","","","","",""
"chr208","","chr208_LOD_2","","","","","","","",""
"chr209","","chr209_LOD_2","","","","","","","",""
"chr210","","chr210_LOD_2","","","","","","","",""
"chr211","","chr211_LOD_2","","","","","","","",""
"chr212","","","","","","","","","",""
"chr213","","chr213_LOD_2","","","","","","","",""
"chr214","","chr214_LOD_2","","","","","","","",""
"chr215","","chr215_LOD_2","","","","","","","",""
"chr216","","","","","","","","","",""
"chr217","","chr217_LOD_2","","","","","","","",""
"chr218","","chr218_LOD_2","","","","","","","",""
"chr219","","chr219_LOD_2","","","","","","","",""
"chr220","","chr220_LOD_2","","","","","","","",""
"chr221","","","","","","","","","",""
"chr222","","chr222_LOD_2","","","","","","","",""
"chr223","","chr223_LOD_2","","","","","","","",""
"chr224","","chr224_LOD_2","","","","","","","",""
"chr225","","chr225_LOD_2","","","","","","","",""
"chr226","","chr226_LOD_2","","","","","","","",""
"chr227","","chr227_LOD_2","","","","","","","",""
"chr228","","chr228_LOD_2","","","","","","","",""
"chr229","","chr229_LOD_2","","","","","","","",""
"chr230","","chr230_LOD_2","","","","","","","",""
"chr231","","chr231_LOD_2","","","","","","","",""
"chr232","","chr232_LOD_2","","","","","","","",""
"chr233","","chr233_LOD_2","","","","","","","",""
"chr234","","chr234_LOD_2","","","","","","","",""
"chr235","","chr235_LOD_2","","","","","","","",""
"chr236","","","","","","","","","",""
"chr237","","chr237_LOD_2","","","","","","","",""
"chr238","","","","","","","","","",""
"chr239","","chr239_LOD_2","","","","","","","",""
"chr240","","chr240_LOD_2","","","","","","","",""
"chr241","","chr241_LOD_2","","","","","","","",""
"chr242","","chr242_LOD_2","","","","","","","",""
"chr243","","","","","","","","","",""
"chr244","","","","","","","","","",""
"chr245","","","","","","","","","",""
"chr246","","","","","","","","","",""
"chr247","","","","","","","","","",""
"chr248","","","","","","","","","",""
"chr249","","","","","","","","","",""
"chr250","","","","","","","","","",""
"chr251","","","","","","","","","",""
"chr252","","","","","","","","","",""
"chr253","","","","","","","","","",""
"chr254","","","","","","","","","",""
"chr255","","","","","","","","","",""
"chr256","","","","","","","","","",""
"chr257","","","","","","","","","",""
"chr258","","","","","","","","","",""
"chr259","","","","","","","","","",""
"chr260","","","","","","","","","",""
"chr261","","","","","","","","","",""
"chr262","","","","","","","","","",""
"chr263","","","","","","","","","",""
"chr264","","","","","","","","","",""
"chr265","","","","","","","","","",""
"chr266","","","","","","","","","",""
"chr267","","","","","","","","","",""
"chr268","","","","","","","","","",""
"chr269","","","","","","","","","",""
"chr270","","","","","","","","","",""
"chr271","","","","","","","","","",""
"chr272","","","","","","","","","",""
"chr273","","","","","","","","","",""
"chr274","","","","","","","","","",""
"chr275","","","","","","","","","",""
"chr276","","","","","","","","","",""
"chr277","","","","","","","","","",""
"chr278","","","","","","","","","",""
"chr279","","","","","","","","","",""
"chr280","","","","","","","","","",""
"chr281","","","","","","","","","",""
"chr282","","","","","","","","","",""
"chr283","","","","","","","","","",""
"chr284","","","","","","","","","",""
"chr285","","","","","","","","","",""
"chr286","","","","","","","","","",""
"chr287","","","","","","","","","",""
"chr288","","","","","","","","","",""
"chr289","","","","","","","","","",""
"chr290","","","","","","","","","",""
"chr291","","","","","","","","","",""
"chr292","","","","","","","","","",""
"chr293","","","","","","","","","",""
"chr294","","","","","","","","","",""
"chr295","","","","","","","","","",""
"chr296","","","","","","","","","",""
"chr297","","","","","","","","","",""
"chr298","","","","","","","","","",""
"chr299","","","","","","","","","",""
"chr300","","","","","","","","","",""
"chr301","","chr301_LOD_2","","","","","","","",""
"chr302","","chr302_LOD_2","","","","","","","",""
"chr303","","chr303_LOD_2","","","","","","","",""
"chr304","","chr304_LOD_2","","","","","","","",""
"chr305","","chr305_LOD_2","","","","","","","",""
"chr306","","chr306_LOD_2","","","","","","","",""
"chr307","","chr307_LOD_2","","","","","","","",""
"chr308","","chr308_LOD_2","","","","","","","",""
"chr309","","chr309_LOD_2","","","","","","","",""
"chr310","","chr310_LOD_2","","","","","","","",""
"chr311","","chr311_LOD_2","","","","","","","",""
"chr312","","chr312_LOD_2","","","","","","","",""
"chr313","","chr313_LOD_2","","","","","","","",""
"chr314","","chr314_LOD_2","","","","","","","",""
"chr315","","chr315_LOD_2","","","","","","","",""
"chr316","","chr316_LOD_2","","","","","","","",""
"chr317","","chr317_LOD_2","","","","","","","",""
"chr318","","","","","","","","","",""
"chr319","","","","","","","","","",""
"chr320","","chr320_LOD_2","","","","","","","",""
"chr321","","chr321_LOD_2","","","","","","","",""
"chr322","","chr322_LOD_2","","","","","","","",""
"chr323","","","","","","","","","",""
"chr324","","","","","","","","","",""
"chr325","","chr325_LOD_2","","","","","","","",""
"chr326","","chr326_LOD_2","","","","","","","",""
"chr328","","chr328_LOD_2","","","","","","","",""
"chr329","","","","","","","","","",""
"chr330","","","","","","","","","",""
"chr331","","","","","","","","","",""
"chr332","","","","","","","","","",""
"chr333","","","","","","","","","",""
"chr334","","","","","","","","","",""
"chr335","","","","","","","","","",""
"chr336","","","","","","","","","",""
"chr337","","","","","","","","","",""
"chr338","","chr338_LOD_2","","","","","","","",""
"chr339","","","","","","","","","",""
"chr340","","","","","","","","","",""
"chr341","","chr341_LOD_2","","","","","","","",""
"chr342","","chr342_LOD_2","","","","","","","",""
"chr343","","chr343_LOD_2","","","","","","","",""
"chr344","","chr344_LOD_2","","","","","","","",""
"chr345","","chr345_LOD_2","","","","","","","",""
"chr346","","chr346_LOD_2","","","","","","","",""
"chr347","","chr347_LOD_2","","","","","","","",""
"chr348","","chr348_LOD_2","","","","","","","",""
"chr349","","chr349_LOD_2","","","","","","","",""
"chr350","","","","","","","","","",""
"chr351","","","","","","","","","",""
"chr352","","","","","","","","","",""
"chr353","","","","","","","","","",""
"chr354","","","","","","","","","",""
"chr355","","","","","","","","","",""
"chr356","","","","","","","","","",""
"chr359","","chr359_LOD_2","","","","","","","",""
"chr360","","","","","","","","","",""
"chr361","","chr361_LOD_2","","","","","","","",""
"chr362","","","","","","","","","",""
"chr363","","chr363_LOD_2","","","","","","","",""
"chr364","","chr364_LOD_2","","","","","","","",""
"chr365","","chr365_LOD_2","","","","","","","",""
"chr366","","","","","","","","","",""
"chr367","","chr367_LOD_2","","","","","","","",""
"chr368","","chr368_LOD_2","","","","","","","",""
"chr369","","chr369_LOD_2","","","","","","","",""
"chr370","","chr370_LOD_2","","","","","","","",""
"chr371","","chr371_LOD_2","","","","","","","",""
"chr372","","chr372_LOD_2","","","","","","","",""
"chr373","","chr373_LOD_2","","","","","","","",""
"chr374","","chr374_LOD_2","","","","","","","",""
"chr375","","chr375_LOD_2","","","","","","","",""
"chr376","","chr376_LOD_2","","","","","","","",""
"chr377","","chr377_LOD_2","","","","","","","",""
"chr378","","chr378_LOD_2","","","","","","","",""
"chr379","","chr379_LOD_2","","","","","","","",""
"chr380","","chr380_LOD_2","","","","","","","",""
"chr381","","","","","","","","","",""
"chr382","","chr382_LOD_2","","","","","","","",""
"chr383","","chr383_LOD_2","","","","","","","",""
"chr384","","","","","","","","","",""
"chr385","","chr385_LOD_2","","","","","","","",""
"chr386","","","","","","","","","",""
"chr387","","chr387_LOD_2","","","","","","","",""
"chr388","","chr388_LOD_2","","","","","","","",""
"chr389","","chr389_LOD_2","","","","","","","",""
"chr390","","chr390_LOD_2","","","","","","","",""
"chr391","","chr391_LOD_2","","","","","","","",""
"chr392","","chr392_LOD_2","","","","","","","",""
"chr393","","chr393_LOD_2","","","","","","","",""
"chr394","","chr394_LOD_2","","","","","","","",""
"chr395","","chr395_LOD_2","","","","","","","",""
"chr396","","chr396_LOD_2","","","","","","","",""
"chr397","","chr397_LOD_2","","","","","","","",""
"chr398","","chr398_LOD_2","","","","","","","",""
"chr399","","chr399_LOD_2","","","","","","","",""
"chr400","","chr400_LOD_2","","","","","","","",""
"chr401","","chr401_LOD_2","","","","","","","",""
"chr402","","chr402_LOD_2","","","","","","","",""
"chr403","","chr403_LOD_2","","","","","","","",""
"chr404","","chr404_LOD_2","","","","","","","",""
"chr405","","chr405_LOD_2","","","","","","","",""
"chr406","","chr406_LOD_2","","","","","","","",""
"chr407","","chr407_LOD_2","","","","","","","",""
"chr408","","chr408_LOD_2","","","","","","","",""
"chr409","","chr409_LOD_2","","","","","","","",""
"chr410","","chr410_LOD_2","","","","","","","",""
"chr411","","chr411_LOD_2","","","","","","","",""
"chr412","","chr412_LOD_2","","","","","","","",""
"chr413","","chr413_LOD_2","","","","","","","",""
"chr414","","chr414_LOD_2","","","","","","","",""
"chr415","","","","","","","","","",""
"chr416","","chr416_LOD_2","","","","","","","",""
"chr417","","chr417_LOD_2","","","","","","","",""
"chr419","","chr419_LOD_2","","","","","","","",""
"chr420","","chr420_LOD_2","","","","","","","",""
"chr421","","chr421_LOD_2","","","","","","","",""
"chr422","","chr422_LOD_2","","","","","","","",""
"chr423","","chr423_LOD_2","","","","","","","",""
"chr424","","chr424_LOD_2","","","","","","","",""
"chr425","","chr425_LOD_2","","","","","","","",""
"chr426","","chr426_LOD_2","","","","","","","",""
"chr427","","chr427_LOD_2","","","","","","","",""
"chr428","","chr428_LOD_2","","","","","","","",""
"chr429","","chr429_LOD_2","","","","","","","",""
"chr430","","","","","","","","","",""
"chr431","","chr431_LOD_2","","","","","","","",""
"chr433","","","","","","","","","",""
"chr434","","chr434_LOD_2","","","","","","","",""
"chr435","","chr435_LOD_2","","","","","","","",""
"chr436","","","","","","","","","",""
"chr437","","chr437_LOD_2","","","","","","","",""
"chr438","","chr438_LOD_2","","","","","","","",""
"chr439","","chr439_LOD_2","","","","","","","",""
"chr440","","chr440_LOD_2","","","","","","","",""
"chr441","","","","","","","","","",""
"chr442","","","","","","","","","",""
"chr443","","","","","","","","","",""
"chr444","","","","","","","","","",""
"chr445","","","","","","","","","",""
"chr446","","","","","","","","","",""
"chr447","","","","","","","","","",""
"chr450","","chr450_LOD_2","","","","","","","",""
"chr451","","chr451_LOD_2","","","","","","","",""
"chr452","","chr452_LOD_2","","","","","","","",""
"chr453","","chr453_LOD_2","","","","","","","",""
"chr454","","chr454_LOD_2","","","","","","","",""
"chr455","","chr455_LOD_2","","","","","","","",""
"chr456","","chr456_LOD_2","","","","","","","",""
"chr457","","chr457_LOD_2","","","","","","","",""
"chr458","","chr458_LOD_2","","","","","","","",""
"chr459","","","","","","","","","",""
"chr460","","","","","","","","","",""
"chr461","","chr461_LOD_2","","","","","","","",""
"chr462","","","","","","","","","",""
"chr463","","chr463_LOD_2","","","","","","","",""
"chr464","","","","","","","","","",""
"chr465","","chr465_LOD_2","","","","","","","",""
"chr466","","chr466_LOD_2","","","","","","","",""
"chr467","","","","","","","","","",""
"chr469","","","","","","","","","",""
"chr470","","","","","","","","","",""
"chr471","","","","","","","","","",""
"chr472","","","","","","","","","",""
"chr473","","","","","","","","","",""
"chr474","","chr474_LOD_2","","","","","","","",""
"chr475","","","","","","","","","",""
"chr476","","","","","","","","","",""
"chr477","","","","","","","","","",""
"chr478","","","","","","","","","",""
"chr479","","chr479_LOD_2","","","","","","","",""
"chr480","","chr480_LOD_2","","","","","","","",""
"chr481","","","","","","","","","",""
"chr482","","","","","","","","","",""
"chr483","","","","","","","","","",""
"chr484","","chr484_LOD_2","","","","","","","",""
"chr489","","chr489_LOD_2","","","","","","","",""
"chr490","","chr490_LOD_2","","","","","","","",""
"chr491","","chr491_LOD_2","","","","","","","",""
"chr492","","chr492_LOD_2","","","","","","","",""
"chr493","","chr493_LOD_2","","","","","","","",""
"chr494","","chr494_LOD_2","","","","","","","",""
"chr495","","","","","","","","","",""
"chr496","","","","","","","","","",""
"chr497","","","","","","","","","",""
"chr498","","","","","","","","","",""
"chr499","","","","","","","","","",""
"chr500","","","","","","","","","",""
"chr501","","","","","","","","","",""
"chr502","","","","","","","","","",""
"chr503","","","","","","","","","",""
"chr504","","","","","","","","","",""
"chr505","","","","","","","","","",""
"chr506","","","","","","","","","",""
"chr507","","","","","","","","","",""
"chr508","","","","","","","","","",""
"chr509","","","","","","","","","",""
"chr510","","chr510_LOD_2","","","","","","","",""
"chr511","","","","","","","","","",""
"chr512","","chr512_LOD_2","","","","","","","",""
"chr513","","","","","","","","","",""
"chr514","","chr514_LOD_2","","","","","","","",""
"chr515","","chr515_LOD_2","","","","","","","",""
"chr516","","","","","","","","","",""
"chr517","","","","","","","","","",""
"chr518","","","","","","","","","",""
"chr519","","","","","","","","","",""
"chr520","","","","","","","","","",""
"chr521","","","","","","","","","",""
"chr522","","","","","","","","","",""
"chr523","","","","","","","","","",""
"chr524","","","","","","","","","",""
"chr525","","","","","","","","","",""
"chr526","","","","","","","","","",""
"chr527","","","","","","","","","",""
"chr528","","","","","","","","","",""
"chr529","","","","","","","","","",""
"chr530","","","","","","","","","",""
"chr531","","","","","","","","","",""
"chr532","","","","","","","","","",""
"chr533","","","","","","","","","",""
"chr534","","","","","","","","","",""
"chr535","","","","","","","","","",""
"chr536","","","","","","","","","",""
"chr537","","","","","","","","","",""
"chr538","","","","","","","","","",""
"chr539","","","","","","","","","",""
"chr540","","","","","","","","","",""
"chr541","","","","","","","","","",""
"chr542","","","","","","","","","",""
"chr543","","","","","","","","","",""
"chr544","","","","","","","","","",""
"chr545","","","","","","","","","",""
"chr546","","","","","","","","","",""
"chr547","","","","","","","","","",""
"chr548","","chr548_LOD_2","","","","","","","",""
"chr549","","","","","","","","","",""
"chr550","","","","","","","","","",""
"chr551","","","","","","","","","",""
"chr552","","","","","","","","","",""
"chr553","","","","","","","","","",""
"chr554","","","","","","","","","",""
"chr555","","","","","","","","","",""
"chr556","","","","","","","","","",""
"chr557","","","","","","","","","",""
"chr558","","","","","","","","","",""
"chr559","","","","","","","","","",""
"chr560","","","","","","","","","",""
"chr561","","","","","","","","","",""
"chr562","","","","","","","","","",""
"chr563","","chr563_LOD_2","","","","","","","",""
"chr564","","chr564_LOD_2","","","","","","","",""
"chr565","","","","","","","","","",""
"chr566","","","","","","","","","",""
"chr567","","chr567_LOD_2","","","","","","","",""
"chr568","","","","","","","","","",""
"chr569","","chr569_LOD_2","","","","","","","",""
"chr570","","","","","","","","","",""
"chr571","","","","","","","","","",""
"chr572","","","","","","","","","",""
"chr573","","chr573_LOD_2","","","","","","","",""
"chr574","","chr574_LOD_2","","","","","","","",""
"chr575","","chr575_LOD_2","","","","","","","",""
"chr576","","chr576_LOD_2","","","","","","","",""
"chr577","","chr577_LOD_2","","","","","","","",""
"chr578","","chr578_LOD_2","","","","","","","",""
"chr579","","chr579_LOD_2","","","","","","","",""
"chr580","","chr580_LOD_2","","","","","","","",""
"chr581","","","","","","","","","",""
"chr582","","chr582_LOD_2","","","","","","","",""
"chr583","","","","","","","","","",""
"chr584","","chr584_LOD_2","","","","","","","",""
"chr585","","","","","","","","","",""
"chr586","","chr586_LOD_2","","","","","","","",""
"chr587","","","","","","","","","",""
"chr588","","chr588_LOD_2","","","","","","","",""
"chr589","","","","","","","","","",""
"chr590","","chr590_LOD_2","","","","","","","",""
"chr591","","","","","","","","","",""
"chr592","","chr592_LOD_2","","","","","","","",""
"chr593","","","","","","","","","",""
"chr594","","chr594_LOD_2","","","","","","","",""
"chr595","","chr595_LOD_2","","","","","","","",""
"chr596","","chr596_LOD_2","","","","","","","",""
"chr597","","chr597_LOD_2","","","","","","","",""
"chr598","","chr598_LOD_2","","","","","","","",""
"chr599","","","","","","","","","",""
"chr600","","chr600_LOD_2","","","","","","","",""
"chr601","","chr601_LOD_2","","","","","","","",""
"chr602","","chr602_LOD_2","","","","","","","",""
"chr603","","chr603_LOD_2","","","","","","","",""
"chr604","","chr604_LOD_2","","","","","","","",""
"chr605","","chr605_LOD_2","","","","","","","",""
"chr606","","chr606_LOD_2","","","","","","","",""
"chr607","","chr607_LOD_2","","","","","","","",""
"chr608","","","","","","","","","",""
"chr609","","chr609_LOD_2","","","","","","","",""
"chr610","","chr610_LOD_2","","","","","","","",""
"chr611","","chr611_LOD_2","","","","","","","",""
"chr612","","","","","","","","","",""
"chr613","","chr613_LOD_2","","","","","","","",""
"chr614","","chr614_LOD_2","","","","","","","",""
"chr615","","chr615_LOD_2","","","","","","","",""
"chr616","","chr616_LOD_2","","","","","","","",""
"chr617","","chr617_LOD_2","","","","","","","",""
"chr618","","","","","","","","","",""
"chr619","","","","","","","","","",""
"chr620","","","","","","","","","",""
"chr621","","chr621_LOD_2","","","","","","","",""
"chr622","","chr622_LOD_2","","","","","","","",""
"chr623","","chr623_LOD_2","","","","","","","",""
"chr624","","","","","","","","","",""
"chr625","","","","","","","","","",""
"chr626","","chr626_LOD_2","","","","","","","",""
"chr627","","chr627_LOD_2","","","","","","","",""
"chr628","","","","","","","","","",""
"chr629","","chr629_LOD_2","","","","","","","",""
"chr630","","chr630_LOD_2","","","","","","","",""
"chr631","","chr631_LOD_2","","","","","","","",""
"chr632","","chr632_LOD_2","","","","","","","",""
"chr633","","","","","","","","","",""
"chr634","","","","","","","","","",""
"chr635","","","","","","","","","",""
"chr636","","","","","","","","","",""
"chr637","","","","","","","","","",""
"chr638","","","","","","","","","",""
"chr639","","","","","","","","","",""
"chr640","","","","","","","","","",""
"chr641","","","","","","","","","",""
"chr642","","","","","","","","","",""
"chr643","","","","","","","","","",""
"chr644","","","","","","","","","",""
"chr645","","","","","","","","","",""
"chr646","","","","","","","","","",""
"chr647","","","","","","","","","",""
"chr648","","","","","","","","","",""
"chr649","","","","","","","","","",""
"chr650","","","","","","","","","",""
"chr651","","","","","","","","","",""
"chr652","","","","","","","","","",""
"chr653","","","","","","","","","",""
"chr654","","","","","","","","","",""
"chr655","","","","","","","","","",""
"chr656","","","","","","","","","",""
"chr657","","","","","","","","","",""
"chr658","","","","","","","","","",""
"chr659","","","","","","","","","",""
"chr660","","","","","","","","","",""
"chr661","","","","","","","","","",""
"chr662","","","","","","","","","",""
"chr663","","","","","","","","","",""
"chr664","","","","","","","","","",""
"chr665","","","","","","","","","",""
"chr666","","","","","","","","","",""
"chr667","","","","","","","","","",""
"chr668","","","","","","","","","",""
"chr669","","chr669_LOD_2","","","","","","","",""
"chr670","","chr670_LOD_2","","","","","","","",""
"chr671","","","","","","","","","",""
"chr672","","","","","","","","","",""
"chr673","","","","","","","","","",""
"chr674","","","","","","","","","",""
