int32 0,string3 1,int32 2,int32 3,int32 4,string2 5,string2 6,int32 7,int32 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,string2 26,int32 27
10904,"",14,1,1,"","",21403001,1,24.667,-0.001,-10.009,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10905,"",14,1,1,"","",21403001,0,-9.468,0,-4.215,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10906,"",14,1,1,"","",21403001,0,-15.378,0,-27.372,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10907,"",14,1,1,"","",21403001,1,-13.581,0,-68.205,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10908,"",14,1,1,"","",21403001,1,25.144,0,-69.977,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10909,"",14,1,1,"","",21403001,0,11.352,-0.001,-19.787,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
11001,"",14,1,1,"","",21403001,0,2.212,0,-11.635,446.333,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
11002,"",14,1,1,"","",21403001,1,8.992,0,5.23,178.252,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
11003,"",14,1,1,"","",21403001,0,-1.197,0,-2.444,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
11004,"",14,1,1,"","",21403001,1,-8.507,0,10.951,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
11005,"",14,1,1,"","",21403001,0,23.19,0,4.634,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
11101,"",14,1,1,"","",21403001,1,-28.726,0,-9.73,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
11102,"",14,1,1,"","",21403001,1,-26.122,0,9.824,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
11103,"",14,1,1,"","",21403001,1,5.759,0,-0.128,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20101,"",14,1,1,"","",21403001,0,-4.64,-0.001,36.25,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20102,"",14,1,1,"","",21403001,0,6.748,0.047,7.277,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20103,"",14,1,1,"","",21403001,1,9.391,0.054,-29.31,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20104,"",14,1,1,"","",21403001,1,-8.693,0.054,-33.583,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20105,"",14,1,1,"","",21403001,0,9.696,0.052,-67.018,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20106,"",14,1,1,"","",21403001,1,51.839,0.047,-101.143,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20301,"",14,1,1,"","",21403001,0,-41.097,-0.001,35.157,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20302,"",14,1,1,"","",21403001,1,2.2,0,39.072,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20303,"",14,1,1,"","",21403001,0,30.421,0,39.823,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20304,"",14,1,1,"","",21403001,1,38.172,0,7.735,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20305,"",14,1,1,"","",21403001,0,66.013,0,-11.847,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20306,"",14,1,1,"","",21403001,1,19.462,0,-12.145,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20307,"",14,1,1,"","",21403001,1,-24.064,0,-39.807,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20308,"",14,1,1,"","",21403001,0,-35.147,0,-20.033,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20309,"",14,1,1,"","",21403001,1,-27.712,0,10.869,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
20310,"",14,1,1,"","",21403001,1,-41.357,-0.001,-48.462,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
30101,"",14,1,1,"","",21403001,0,-61.258,0.3,-15.784,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
30102,"",14,1,1,"","",21403001,0,-20.972,0.8,-30.054,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
30103,"",14,1,1,"","",21403001,0,21.432,0.8,-29.801,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
30104,"",14,1,1,"","",21403001,0,99.618,0.3,-20.477,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
30201,"",14,1,1,"","",21403001,0,7.329,0,24.766,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30202,"",14,1,1,"","",21403001,1,25.305,0.001,37.386,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30203,"",14,1,1,"","",21403001,0,26.709,0,4.75,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30204,"",14,1,1,"","",21403001,1,-0.17,0,-11.691,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30205,"",14,1,1,"","",21403001,1,-16.966,0,3.745,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30206,"",14,1,1,"","",21403001,0,-23.789,0.474,26.284,126.979,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30207,"",14,1,1,"","",21403001,1,26.293,0.473,-14.823,126.976,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30208,"",14,1,1,"","",21403001,0,-19.693,0.005,-8.249,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
40101,"",14,1,1,"","",21403001,0,-2.5,-0.02,7.293,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
40102,"",14,1,1,"","",21403001,0,4.148,0.868,-16.569,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
40103,"",14,1,1,"","",21403001,1,-4.096,0.099,-31.664,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
1010201,"固い石",910,1,-1,"","",20102001,1,-35.992,0.652,40.474,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010202,"固い石",910,1,-1,"","",20102001,1,18.225,6.728,23.529,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010203,"固い石",910,1,-1,"","",20102001,1,33.168,11.775,-30.46,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010301,"錆びた鉄板",910,1,-1,"","",20103001,0,106.009,0.201,97.627,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010302,"錆びた鉄板",910,1,-1,"","",20103002,0,1.581,-19.833,99.734,164.739,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010303,"錆びた鉄板",910,1,-1,"","",20103001,1,-2.954,-19.845,72.054,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010304,"錆びた鉄板",910,1,-1,"","",20103002,0,3.95,-14.018,47.711,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010305,"錆びた鉄板",910,1,-1,"","",20103001,0,-16.597,6.353,-21.47,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010306,"錆びた鉄板",910,1,-1,"","",20103002,1,-29.657,11.986,-34.019,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010307,"錆びた鉄板",910,1,-1,"","",20103001,0,-85.848,18.859,-32.04,220.423,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010308,"錆びた鉄板",910,1,-1,"","",20103002,0,72.626,21.105,40.257,220.423,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010309,"錆びた鉄板",910,1,-1,"","",20103001,1,48.558,21.141,-9.314,220.423,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010310,"錆びた鉄板",910,1,-1,"","",20103002,0,6.768,42.156,-21.312,220.423,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010311,"錆びた鉄板",910,1,-1,"","",20103001,0,-15.507,42.51,16.305,220.423,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010312,"錆びた鉄板",910,1,-1,"","",20103002,0,-70.19,42.129,49.918,220.423,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010401,"固い石",910,1,-1,"","",20104001,0,-31.455,13.24,91.047,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010402,"固い石",910,1,-1,"","",20104001,1,-52.608,21.203,28.554,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010403,"固い石",910,1,-1,"","",20104001,0,-6.189,36.636,-17.939,156.279,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010404,"固い石",910,1,-1,"","",20104001,1,63.027,50.146,-29.215,156.279,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010405,"固い石",910,1,-1,"","",20104001,0,84.702,58.426,-56.884,156.279,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010501,"ＨＰカプセルⅠ",910,1,-1,"","",20105001,1,4.104,6.703,25.519,-40.27,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010502,"ＨＰカプセルⅠ",910,1,-1,"","",20105001,1,-17.29,8.007,27.951,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010601,"氷水晶",911,1,-1,"","",20106001,1,13.42,2.764,37.424,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010602,"氷水晶",911,1,-1,"","",20106001,1,-35.754,10.347,-14.863,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010701,"氷水晶",911,1,-1,"","",20107001,0,-90.561,-0.022,27.966,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010702,"氷水晶",911,1,-1,"","",20107002,0,-17.962,-0.172,65.606,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010703,"氷水晶",911,1,-1,"","",20107001,1,-86.507,39.797,-17.707,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010704,"氷水晶",911,1,-1,"","",20107002,0,-73.754,39.983,-57.999,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010705,"氷水晶",911,1,-1,"","",20107001,1,-36.343,19.794,-86.229,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010706,"氷水晶",911,1,-1,"","",20107002,0,-34.833,-20.21,-20.421,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010707,"氷水晶",911,1,-1,"","",20107001,0,-45.698,-20.21,-21.12,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010708,"氷水晶",911,1,-1,"","",20107002,1,-15.7,19.33,-33.054,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010709,"氷水晶",911,1,-1,"","",20107001,0,58.301,19.798,-59.049,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010710,"氷水晶",911,1,-1,"","",20107002,1,98.711,39.978,-54.565,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010711,"氷水晶",911,1,-1,"","",20107001,0,104.494,19.978,-11.256,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010712,"氷水晶",911,1,-1,"","",20107002,0,66.287,19.592,10.236,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010801,"氷水晶",911,1,-1,"","",20108001,0,27.653,-0.733,82.181,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010802,"氷水晶",911,1,-1,"","",20108001,1,19.746,12.697,26.283,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010803,"氷水晶",911,1,-1,"","",20108001,0,-4.686,18.97,11.187,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010804,"氷水晶",911,1,-1,"","",20108001,1,-16.152,26.266,-13.139,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010805,"氷水晶",911,1,-1,"","",20108001,0,-23.277,26.266,-21.494,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010901,"氷水晶",911,1,-1,"","",20109001,1,-27.478,11.665,-17.706,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010902,"氷水晶",911,1,-1,"","",20109002,1,29.811,11.62,-10.921,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010903,"氷水晶",911,1,-1,"","",20109001,0,1.468,20.779,-108.407,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010904,"氷水晶",911,1,-1,"","",20109002,0,16.419,20.779,-98.416,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010905,"氷水晶",911,1,-1,"","",20109002,0,-19.419,20.779,-93.19,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010906,"氷水晶",911,1,-1,"","",20109001,0,-13.727,20.779,-97.11,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010907,"氷水晶",911,1,-1,"","",20109002,0,3.313,20.779,-103.499,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010908,"氷水晶",911,1,-1,"","",20109001,0,-15.416,20.779,-80.316,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010909,"氷水晶",911,1,-1,"","",20109002,0,-9.011,20.779,-75.02,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1010910,"氷水晶",911,1,-1,"","",20109001,0,19.618,20.779,-95.293,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020101,"腐りかけの木材",920,1,-1,"","",20201001,0,-9.776,3.516,-84.361,15.229,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020102,"腐りかけの木材",920,1,-1,"","",20201001,0,-6.415,6.5,-7.599,0.666,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020103,"汚れた土",982,1,-1,"","",20201002,1,10.323,10.535,-18.008,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020104,"腐りかけの木材",920,1,-1,"","",20201001,0,26.588,15.059,-15.026,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020105,"汚れた土",982,1,-1,"","",20201002,0,-4.902,2.981,9.958,90,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020106,"スリープリカバリー",921,1,-1,"","",20201001,1,-10.674,18.013,-29.38,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020107,"スリープリカバリー",920,1,-1,"","",20201001,0,-30.56,2,59.24,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020108,"スリープリカバリー",982,1,-1,"","",20201002,0,-14.785,2.056,46.822,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020109,"スリープリカバリー",920,1,-1,"","",20201001,1,4.251,3,11.229,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020110,"スリープリカバリー",920,1,-1,"","",20201001,0,8.316,3.516,-85.212,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020111,"スリープリカバリー",982,1,-1,"","",20201002,0,4.37,3.5,-33.984,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020201,"汚れた土",982,1,-1,"","",20202001,0,-7.058,6.867,23.47,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020202,"氷水晶の欠片",982,1,-1,"","",20202001,0,41.591,0,19.303,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020203,"氷水晶の欠片",982,1,-1,"","",20202001,1,-27.848,2,6.642,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020204,"ボロボロの石",982,1,-1,"","",20202001,0,24.817,-0.004,8.112,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020205,"古びたオイル",982,1,-1,"","",20202001,1,-24.996,1.979,-13.386,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020206,"汚れた土",982,1,-1,"","",20202001,0,-56.965,1.986,-10.142,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020207,"古びたオイル",982,1,-1,"","",20202001,0,-34.589,8.052,21.575,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020208,"パニックリカバリー",982,1,-1,"","",20202001,0,-32.549,8.038,-37.564,52.248,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020209,"ボロボロの石",982,1,-1,"","",20202001,1,-88.971,-1.966,-3.685,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020501,"古びたオイル",921,1,-1,"","",20205009,0,56.102,-13.006,-12.068,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020502,"トパーズ",920,1,-1,"","",20205001,0,67.194,-3.325,66.709,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020503,"氷水晶の欠片",921,1,-1,"","",20205009,1,66.368,-13.004,5.634,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020504,"腐りかけの木材",920,1,-1,"","",20205001,0,64.736,-13.004,26.509,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020505,"腐りかけの木材",921,1,-1,"","",20205009,1,67.492,-3.325,61.54,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020506,"古びたオイル",921,1,-1,"","",20205009,0,63.662,-13.048,-54.088,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020507,"氷水晶の欠片",921,1,-1,"","",20205009,0,66.05,-12.99,-66.889,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020508,"腐りかけの木材",920,1,-1,"","",20205001,1,42.035,0.01,79.752,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020509,"パラライズリカバリー",921,1,-1,"","",20205009,0,67.475,-12.994,-30.388,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020510,"ＨＰカプセルⅠ",921,1,-1,"","",20205009,1,52.946,-12.987,-69.375,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020511,"ＳＰカプセルⅠ",921,1,-1,"","",20205009,0,49.466,-12.987,-93.362,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020601,"錆びた鉄板",921,1,-1,"","",20206001,0,-20.858,0,-0.224,90,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020602,"古びたオイル",921,1,-1,"","",20206001,0,29.959,0,-0.589,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020603,"錆びた鉄板",921,1,-1,"","",20206001,1,2.172,0.573,-43.788,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020604,"錆びた鉄板",921,1,-1,"","",20206001,0,-9.159,0,-18.341,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020701,"錆びた鉄板",921,1,-1,"","",20207006,0,7.001,3,-4.119,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020702,"錆びた鉄板",921,1,-1,"","",20207006,0,22.505,13.385,-2.624,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020703,"腐りかけの木材",920,1,-1,"","",20207001,1,-11.713,14.736,-2.67,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
