int 0,string2 1,string2 2,string2 3,float 4,string2 5,int 6,int 7,string2 8,string2 9,float 10,int 11,int 12,string2 13,string2 14,float 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31
931,"d03pop01","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
932,"d03pop02","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
940,"d04pop00","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
941,"d04pop01","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
950,"d05pop00","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
951,"d05pop01","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
952,"d05pop02","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
970,"d07pop00","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2.5,160,360,2,2,0,0.5,0,0,0,0,0,0,0
980,"d10pop00","","",10,"e001",0,101009,"","",0,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
981,"d10pop01","","",10,"e001",0,101009,"","",0,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
982,"d11pop00","","",10,"e001",0,101009,"","",0,1,-1,"","fg07_d01",10,0,0.75,2.1,160,360,2,2,0,0.8,0,0,0,0,0,0,0
983,"d12pop00","","",10,"e001",0,101009,"","",0,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
984,"d12pop01","","",10,"e001",0,101009,"","",0,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
985,"f00pop00","","",10,"e001",0,101009,"","",0,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
