int 0,string3 1,int 2,int 3,int 4,string2 5,string2 6,int 7,int 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,string2 26,int 27
1020207,"古びたオイル",982,1,-1,"","",20202001,0,-34.589,8.052,21.575,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020208,"パニックリカバリー",982,1,-1,"","",20202001,0,-32.549,8.038,-37.564,52.248,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020209,"ボロボロの石",982,1,-1,"","",20202001,1,-88.971,-1.966,-3.685,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021701,"汚れた土",982,1,-1,"","",20217001,1,55.636,7.085,-3.66,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021702,"パラライズリカバリー",921,1,-1,"","",20217006,0,-18.234,2.657,0.417,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021703,"汚れた土",982,1,-1,"","",20217001,0,-51.015,-15.974,31.114,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021704,"スリープリカバリー",921,1,-1,"","",20217006,1,-10,-34.7,29,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021705,"汚れた土",982,1,-1,"","",20217001,0,-17.046,11.998,-30.412,60,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021706,"ステータスリカバリー",921,1,-1,"","",20217006,1,15.04,12.03,-34.493,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021707,"汚れた土",982,1,-1,"","",20217001,0,-30.691,2.657,26.529,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021708,"古びたオイル",921,1,-1,"","",20217006,0,15.326,-6.654,-30.487,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1021709,"汚れた土",982,1,-1,"","",20217001,0,-17.16,-25.277,-30.362,270,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1100101,"ＨＰカプセルⅠ",981,1,1,"","",21001001,1,-52.04,-1.801,3.727,-58.377,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1100102,"汚れた土",981,1,1,"","",21001001,1,-42.552,-1.801,11.848,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1100103,"ＳＰカプセルⅠ",981,1,1,"","",21001001,1,-88.732,-3.456,5.011,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1100301,"汚れた土",981,1,-1,"","",21003001,1,24.19,-0.001,13.345,-58.377,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1100302,"ボロボロの石",981,1,-1,"","",21003001,1,-17.64,0.179,-21.965,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110201,"汚れた土",982,1,-1,"","",21102001,0,-23.594,-0.001,-7.299,70,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110202,"ステータスリカバリー",982,1,-1,"","",21102001,0,-16.354,0,21.611,30,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110203,"汚れた土",982,1,-1,"","",21102001,1,-80.834,2.999,-40.655,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110204,"汚れた土",982,1,-1,"","",21102001,0,49.474,-3.001,-55.766,170,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110205,"ＨＰカプセルⅠ",982,1,10,"","",21102001,0,41.689,-0.001,-1.907,30,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110206,"ボロボロの石",982,1,-1,"","",21102001,0,45.08,-3.001,-57.877,60,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110207,"ボロボロの石",982,1,-1,"","",21102001,1,33.843,-0.001,-33.279,60,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110208,"ボロボロの石",982,1,-1,"","",21102001,0,21.08,-0.001,-3.005,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110209,"ＭＮＤブースト",982,1,-1,"","",21102001,0,-80.237,2.999,-4.078,60,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110210,"ポイズンリカバリー",982,1,-1,"","",21102001,1,-0.772,-0.001,-29.347,260,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110211,"ＳＰカプセルⅠ",982,1,1,"","",21102001,0,-42.814,3,-66.707,228,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110212,"汚れた土",982,1,1,"","",21102001,0,-53.766,3,-60.37,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1110213,"ボロボロの石",982,1,1,"","",21102001,0,-39.542,3,-51.164,30,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1140101,"汚れた土",985,1,-1,"","",21402001,1,51.971,1,3.488,-220.543,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140102,"ボロボロの石",985,1,-1,"","",21402001,1,68.458,1,1.734,43.707,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140103,"ボロボロの石",985,1,-1,"","",21402001,1,14.057,1,-18.81,-35.614,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140104,"ＤＥＦブースト",985,1,-1,"","",21402001,1,-19.118,0.999,-37.305,-120.15,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140105,"汚れた土",985,1,-1,"","",21402001,1,26.038,1,-36.862,-38.192,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140106,"ボロボロの石",985,1,-1,"","",21402001,1,28.658,1.099,-13.563,70.444,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140107,"汚れた土",985,1,-1,"","",21402001,1,12.483,1.099,-47.157,84.656,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140201,"汚れた土",985,1,-1,"","",21402001,0,18.523,0,5.239,-220.543,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140202,"ボロボロの石",985,1,-1,"","",21402001,1,17.485,-0.001,-27.132,43.707,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140203,"ボロボロの石",985,1,-1,"","",21402001,0,-20.366,-6,-27.881,-35.614,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140204,"ＤＥＦブースト",985,1,-1,"","",21402001,0,-17.623,-6,12.403,-120.15,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140205,"汚れた土",985,1,-1,"","",21402001,0,5.355,0,28.1,-38.192,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140206,"ＳＰカプセルⅠ",985,1,-1,"","",21402001,1,-3.772,-0.001,-11.146,112.188,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140301,"汚れた土",985,1,-1,"","",21403001,0,20.872,0.066,27.772,-73.347,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140302,"ポイズンリカバリー",985,1,-1,"","",21403001,1,-7.11,-0.001,-19.127,190,0,0,1,1,3,-1,0,0,0,0,-1,0,0,"",0
1140303,"固い石",985,1,-1,"","",21403001,0,17.943,0.029,-18.995,280,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140304,"自然な土",985,1,-1,"","",21403001,1,6.462,0,18.545,25,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140305,"ボロボロの石",985,1,-1,"","",21403001,0,7.17,0.026,-28.271,60,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140501,"ドットリカバリー",985,1,-1,"","",21405001,1,-26.533,3.342,-26.025,-85.802,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140502,"ボロボロの石",985,1,-1,"","",21405001,0,-28.697,-0.001,7.217,101.978,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140503,"ボロボロの石",985,1,-1,"","",21405001,0,18.813,6,19.469,101.978,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140504,"ボロボロの石",985,1,-1,"","",21405001,1,33.405,5.999,23.803,215.851,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140505,"ボロボロの石",985,1,-1,"","",21405001,0,-2.517,0,16.195,101.978,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140601,"ポイズンリカバリー",985,1,-1,"","",21406001,1,0.456,-6,-11.308,210,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140602,"汚れた土",985,1,-1,"","",21406001,1,34.87,0,11.979,101.978,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
1140603,"ＡＴＫブースト",985,1,-1,"","",21406001,1,23.352,0.014,-16.583,0,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,"",0
