int32 0,int32 1,empty 2,int32 3,int32 4,empty 5,int32 6,empty 7,int32 8,empty 9,int32 10,empty 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,empty 18
158,211,,0,209,,756,,-1,,-1,,-1,,-1,0,0,0,
159,213,,0,210,,453,,48,,-1,,-1,,-1,0,0,0,
160,214,,0,211,,479,,465,,-1,,-1,,-1,0,0,0,
161,215,,0,214,,213,,-1,,-1,,-1,,-1,0,0,0,
162,217,,0,79,,93,,-1,,-1,,-1,,-1,0,0,0,
163,218,,0,208,,114,,458,,-1,,-1,,-1,0,0,0,
164,219,,1,-1,,-1,,-1,,-1,,-1,,1,2,0,0,
165,220,,0,219,,363,,-1,,-1,,-1,,-1,0,0,0,
166,222,,0,361,,55,,-1,,-1,,-1,,-1,0,0,0,
167,223,,0,222,,326,,308,,-1,,-1,,-1,0,0,0,
168,224,,0,223,,85,,-1,,-1,,-1,,-1,0,0,0,
169,225,,0,220,,920,,-1,,-1,,-1,,-1,0,0,0,
170,226,,0,457,,590,,-1,,-1,,-1,,-1,0,0,0,
171,227,,0,226,,127,,-1,,-1,,-1,,-1,0,0,0,
172,228,,0,111,,578,,577,,708,,-1,,-1,0,0,0,
173,229,,0,326,,12,,304,,87,,93,,-1,0,0,0,
174,230,,0,385,,229,,-1,,-1,,-1,,-1,0,0,0,
175,231,,1,-1,,-1,,-1,,-1,,-1,,0,2,0,0,
176,232,,0,610,,58,,56,,307,,-1,,-1,0,0,0,
177,233,,0,600,,199,,226,,-1,,-1,,-1,0,0,0,
178,235,,0,234,,136,,2,,-1,,-1,,-1,0,0,0,
179,237,,0,359,,682,,399,,-1,,-1,,-1,0,0,0,
180,239,,0,146,,404,,-1,,-1,,-1,,-1,0,0,0,
181,240,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
182,241,,2,-1,,-1,,-1,,-1,,-1,,-1,0,1,2,
183,242,,0,241,,629,,-1,,-1,,-1,,-1,0,0,0,
184,301,,0,342,,302,,413,,-1,,-1,,-1,0,0,0,
185,302,,0,326,,404,,-1,,-1,,-1,,-1,0,0,0,
186,303,,0,388,,387,,-1,,-1,,-1,,-1,0,0,0,
187,304,,0,303,,342,,-1,,-1,,-1,,-1,0,0,0,
188,305,,0,304,,97,,411,,-1,,-1,,-1,0,0,0,
189,306,,0,305,,304,,303,,-1,,-1,,-1,0,0,0,
190,307,,0,510,,387,,-1,,-1,,-1,,-1,0,0,0,
191,308,,0,307,,10,,-1,,-1,,-1,,-1,0,0,0,
192,309,,0,308,,85,,-1,,-1,,-1,,-1,0,0,0,
193,310,,0,309,,308,,307,,-1,,-1,,-1,0,0,0,
194,311,,0,369,,363,,61,,569,,-1,,-1,0,0,0,
195,312,,0,311,,302,,-1,,-1,,-1,,-1,0,0,0,
196,313,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
197,314,,0,512,,348,,-1,,-1,,-1,,-1,0,0,0,
198,315,,0,101,,614,,48,,735,,-1,,-1,0,0,0,
199,316,,2,-1,,-1,,-1,,-1,,-1,,-1,0,1,2,
200,317,,2,-1,,-1,,-1,,-1,,-1,,-1,0,1,2,
201,320,,1,-1,,-1,,-1,,-1,,-1,,6,2,0,0,
202,321,,0,316,,387,,-1,,-1,,-1,,-1,0,0,0,
203,322,,0,317,,320,,-1,,-1,,-1,,-1,0,0,0,
204,325,,0,320,,241,,-1,,-1,,-1,,-1,0,0,0,
205,326,,0,50,,368,,-1,,-1,,-1,,-1,0,0,0,
207,328,,0,427,,385,,434,,428,,-1,,-1,0,0,0,
208,338,,0,726,,412,,699,,756,,-1,,-1,0,0,0,
209,342,,0,398,,341,,9,,728,,-1,,-1,0,0,0,
210,343,,0,514,,320,,-1,,-1,,-1,,-1,0,0,0,
211,344,,0,343,,548,,-1,,-1,,-1,,-1,0,0,0,
212,345,,0,344,,132,,-1,,-1,,-1,,-1,0,0,0,
213,346,,0,345,,622,,-1,,-1,,-1,,-1,0,0,0,
214,348,,0,512,,387,,-1,,-1,,-1,,-1,0,0,0,
215,349,,0,348,,70,,61,,-1,,-1,,-1,0,0,0,
216,359,,0,349,,85,,-1,,-1,,-1,,-1,0,0,0,
217,361,,0,515,,437,,-1,,-1,,-1,,-1,0,0,0,
218,363,,0,50,,90,,-1,,-1,,-1,,-1,0,0,0,
219,364,,0,363,,342,,-1,,-1,,-1,,-1,0,0,0,
220,365,,0,114,,92,,-1,,-1,,-1,,-1,0,0,0,
221,367,,0,303,,392,,-1,,-1,,-1,,-1,0,0,0,
222,368,,0,709,,389,,-1,,-1,,-1,,-1,0,0,0,
223,369,,0,90,,458,,-1,,-1,,-1,,-1,0,0,0,
224,370,,0,759,,758,,-1,,-1,,-1,,-1,0,0,0,
225,371,,0,456,,710,,-1,,-1,,-1,,-1,0,0,0,
226,372,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
227,373,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
228,374,,0,314,,97,,343,,-1,,-1,,-1,0,0,0,
229,375,,0,313,,70,,314,,-1,,-1,,-1,0,0,0,
230,376,,0,399,,682,,582,,-1,,-1,,-1,0,0,0,
231,377,,0,361,,97,,-1,,-1,,-1,,-1,0,0,0,
232,378,,0,623,,622,,393,,611,,-1,,-1,0,0,0,
233,379,,0,393,,610,,750,,-1,,-1,,-1,0,0,0,
234,380,,0,313,,20,,-1,,-1,,-1,,-1,0,0,0,
235,382,,0,114,,147,,146,,716,,139,,-1,0,0,0,
236,383,,0,364,,1,,363,,-1,,-1,,-1,0,0,0,
237,385,,0,302,,364,,342,,301,,413,,-1,0,0,0,
238,387,,1,-1,,-1,,-1,,-1,,-1,,6,2,0,0,
239,388,,0,387,,437,,-1,,-1,,-1,,-1,0,0,0,
240,389,,1,-1,,-1,,-1,,-1,,-1,,2,2,0,0,
241,390,,0,735,,421,,315,,-1,,-1,,-1,0,0,0,
242,391,,1,-1,,-1,,-1,,-1,,-1,,1,2,0,0,
243,392,,1,-1,,-1,,-1,,-1,,-1,,3,2,0,0,
244,393,,0,611,,706,,-1,,-1,,-1,,-1,0,0,0,
245,394,,0,111,,578,,577,,-1,,-1,,-1,0,0,0,
246,395,,0,391,,81,,592,,-1,,-1,,-1,0,0,0,
247,396,,0,112,,114,,-1,,-1,,-1,,-1,0,0,0,
248,397,,0,114,,101,,-1,,-1,,-1,,-1,0,0,0,
249,398,,0,728,,609,,595,,-1,,-1,,-1,0,0,0,
250,399,,0,582,,514,,-1,,-1,,-1,,-1,0,0,0,
251,400,,0,397,,11,,-1,,-1,,-1,,-1,0,0,0,
252,401,,0,367,,597,,-1,,-1,,-1,,-1,0,0,0,
253,402,,0,301,,615,,621,,9,,-1,,-1,0,0,0,
254,403,,0,235,,412,,79,,-1,,-1,,-1,0,0,0,
255,404,,0,326,,311,,-1,,-1,,-1,,-1,0,0,0,
256,405,,0,395,,722,,-1,,-1,,-1,,-1,0,0,0,
257,406,,0,10,,93,,-1,,-1,,-1,,-1,0,0,0,
258,407,,0,396,,226,,377,,-1,,-1,,-1,0,0,0,
259,408,,0,365,,91,,-1,,-1,,-1,,-1,0,0,0,
260,409,,0,413,,576,,9,,-1,,-1,,-1,0,0,0,
261,410,,0,371,,412,,-1,,-1,,-1,,-1,0,0,0,
262,411,,0,314,,14,,-1,,-1,,-1,,-1,0,0,0,
263,413,,0,412,,9,,728,,609,,-1,,-1,0,0,0,
264,414,,2,-1,,-1,,-1,,-1,,-1,,-1,0,4,2,
265,416,,0,407,,88,,382,,126,,-1,,-1,0,0,0,
266,417,,0,400,,492,,-1,,-1,,-1,,-1,0,0,0,
267,419,,0,732,,233,,-1,,-1,,-1,,-1,0,0,0,
268,420,,0,419,,88,,106,,-1,,-1,,-1,0,0,0,
269,421,,0,148,,84,,613,,735,,-1,,-1,0,0,0,
270,422,,0,385,,301,,402,,-1,,-1,,-1,0,0,0,
271,423,,0,401,,23,,-1,,-1,,-1,,-1,0,0,0,
272,424,,0,72,,312,,-1,,-1,,-1,,-1,0,0,0,
273,425,,0,405,,395,,391,,-1,,-1,,-1,0,0,0,
274,426,,0,342,,341,,9,,728,,-1,,-1,0,0,0,
275,427,,0,461,,376,,-1,,-1,,-1,,-1,0,0,0,
276,428,,0,379,,378,,611,,610,,-1,,-1,0,0,0,
277,429,,0,28,,44,,413,,412,,-1,,-1,0,0,0,
278,431,,0,342,,576,,394,,-1,,-1,,-1,0,0,0,
279,434,,0,132,,133,,-1,,-1,,-1,,-1,0,0,0,
280,435,,0,39,,104,,-1,,-1,,-1,,-1,0,0,0,
281,437,,1,-1,,-1,,-1,,-1,,-1,,6,2,0,0,
282,438,,0,437,,241,,-1,,-1,,-1,,-1,0,0,0,
283,440,,0,394,,579,,580,,601,,-1,,-1,0,0,0,
284,450,,0,345,,605,,376,,-1,,-1,,-1,0,0,0,
285,451,,0,411,,14,,-1,,-1,,-1,,-1,0,0,0,
286,452,,0,590,,394,,-1,,-1,,-1,,-1,0,0,0,
287,453,,0,148,,359,,-1,,-1,,-1,,-1,0,0,0,
288,454,,0,42,,392,,-1,,-1,,-1,,-1,0,0,0,
289,455,,0,70,,709,,-1,,-1,,-1,,-1,0,0,0,
290,456,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
291,457,,1,-1,,-1,,-1,,-1,,-1,,2,2,0,0,
292,458,,1,-1,,-1,,-1,,-1,,-1,,0,2,0,0,
293,461,,0,588,,404,,-1,,-1,,-1,,-1,0,0,0,
294,463,,0,615,,341,,-1,,-1,,-1,,-1,0,0,0,
295,465,,0,463,,162,,-1,,-1,,-1,,-1,0,0,0,
296,466,,0,316,,437,,-1,,-1,,-1,,-1,0,0,0,
297,479,,0,235,,72,,-1,,-1,,-1,,-1,0,0,0,
298,489,,0,50,,326,,302,,27,,-1,,-1,0,0,0,
299,490,,0,151,,12,,140,,135,,-1,,-1,0,0,0,
300,491,,0,235,,576,,380,,-1,,-1,,-1,0,0,0,
301,492,,0,491,,431,,59,,26,,-1,,-1,0,0,0,
302,510,,0,387,,317,,-1,,-1,,-1,,-1,0,0,0,
303,512,,0,387,,629,,-1,,-1,,-1,,-1,0,0,0,
304,514,,0,320,,437,,-1,,-1,,-1,,-1,0,0,0,
305,515,,0,437,,629,,-1,,-1,,-1,,-1,0,0,0,
306,548,,0,96,,231,,-1,,-1,,-1,,-1,0,0,0,
307,564,,0,343,,97,,96,,-1,,-1,,-1,0,0,0,
308,567,,0,629,,316,,-1,,-1,,-1,,-1,0,0,0,
309,574,,0,573,,697,,-1,,-1,,-1,,-1,0,0,0,
310,575,,0,574,,183,,-1,,-1,,-1,,-1,0,0,0,
311,576,,2,-1,,-1,,-1,,-1,,-1,,-1,0,4,2,
312,577,,0,111,,728,,-1,,-1,,-1,,-1,0,0,0,
313,578,,0,111,,622,,-1,,-1,,-1,,-1,0,0,0,
314,579,,0,394,,10,,577,,-1,,-1,,-1,0,0,0,
315,580,,0,394,,758,,578,,-1,,-1,,-1,0,0,0,
316,584,,0,13,,377,,-1,,-1,,-1,,-1,0,0,0,
317,586,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
318,588,,0,370,,231,,-1,,-1,,-1,,-1,0,0,0,
319,590,,0,380,,20,,-1,,-1,,-1,,-1,0,0,0,
320,592,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
321,594,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
322,595,,1,-1,,-1,,-1,,-1,,-1,,1,2,0,0,
323,596,,0,708,,393,,-1,,-1,,-1,,-1,0,0,0,
324,597,,0,141,,144,,-1,,-1,,-1,,-1,0,0,0,
325,598,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
326,600,,0,85,,584,,13,,97,,-1,,-1,0,0,0,
327,601,,0,377,,466,,438,,-1,,-1,,-1,0,0,0,
328,602,,0,601,,377,,755,,726,,-1,,-1,0,0,0,
329,603,,0,126,,602,,-1,,-1,,-1,,-1,0,0,0,
330,604,,0,173,,733,,-1,,-1,,-1,,-1,0,0,0,
331,605,,0,130,,347,,-1,,-1,,-1,,-1,0,0,0,
332,607,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
333,610,,0,56,,348,,611,,-1,,-1,,-1,0,0,0,
334,611,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
335,613,,0,101,,162,,-1,,-1,,-1,,-1,0,0,0,
336,614,,0,101,,698,,-1,,-1,,-1,,-1,0,0,0,
337,615,,0,52,,398,,-1,,-1,,-1,,-1,0,0,0,
338,616,,0,237,,195,,-1,,-1,,-1,,-1,0,0,0,
339,617,,0,616,,584,,13,,93,,-1,,-1,0,0,0,
340,621,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
341,622,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
342,623,,0,622,,611,,348,,-1,,-1,,-1,0,0,0,
343,626,,0,631,,629,,-1,,-1,,-1,,-1,0,0,0,
344,627,,0,630,,326,,12,,-1,,-1,,-1,0,0,0,
345,629,,1,-1,,-1,,-1,,-1,,-1,,5,2,0,0,
346,630,,0,626,,631,,-1,,-1,,-1,,-1,0,0,0,
347,631,,1,-1,,-1,,-1,,-1,,-1,,5,2,0,0,
348,632,,0,627,,27,,135,,-1,,-1,,-1,0,0,0,
349,669,,0,679,,315,,-1,,-1,,-1,,-1,0,0,0,
350,670,,0,681,,774,,-1,,-1,,-1,,-1,0,0,0,
351,677,,1,-1,,-1,,-1,,-1,,-1,,4,2,0,0,
352,678,,1,-1,,-1,,-1,,-1,,-1,,4,2,0,0,
353,679,,0,676,,577,,-1,,-1,,-1,,-1,0,0,0,
354,681,,0,680,,595,,-1,,-1,,-1,,-1,0,0,0,
355,682,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
356,683,,0,682,,88,,-1,,-1,,-1,,-1,0,0,0,
357,688,,0,177,,406,,-1,,-1,,-1,,-1,0,0,0,
358,698,,0,697,,220,,-1,,-1,,-1,,-1,0,0,0,
359,699,,0,698,,718,,-1,,-1,,-1,,-1,0,0,0,
360,700,,0,699,,683,,-1,,-1,,-1,,-1,0,0,0,
361,702,,0,705,,706,,-1,,-1,,-1,,-1,0,0,0,
362,703,,0,718,,57,,-1,,-1,,-1,,-1,0,0,0,
363,704,,0,198,,615,,9,,-1,,-1,,-1,0,0,0,
364,705,,1,-1,,-1,,-1,,-1,,-1,,0,2,0,0,
365,708,,1,-1,,-1,,-1,,-1,,-1,,0,2,0,0,
366,709,,1,-1,,-1,,-1,,-1,,-1,,2,2,0,0,
367,710,,0,701,,391,,90,,-1,,-1,,-1,0,0,0,
368,711,,0,707,,709,,-1,,-1,,-1,,-1,0,0,0,
372,716,,0,114,,369,,-1,,-1,,-1,,-1,0,0,0,
373,718,,0,14,,41,,-1,,-1,,-1,,-1,0,0,0,
374,719,,0,16,,78,,-1,,-1,,-1,,-1,0,0,0,
375,720,,0,15,,92,,-1,,-1,,-1,,-1,0,0,0,
376,721,,0,702,,15,,-1,,-1,,-1,,-1,0,0,0,
377,722,,0,710,,78,,-1,,-1,,-1,,-1,0,0,0,
378,723,,0,87,,711,,-1,,-1,,-1,,-1,0,0,0,
379,724,,0,458,,369,,-1,,-1,,-1,,-1,0,0,0,
380,725,,0,724,,326,,414,,908,,-1,,-1,0,0,0,
381,726,,0,682,,718,,456,,52,,-1,,-1,0,0,0,
382,727,,0,454,,586,,-1,,-1,,-1,,-1,0,0,0,
383,728,,1,-1,,-1,,-1,,-1,,-1,,0,2,0,0,
384,729,,0,70,,313,,-1,,-1,,-1,,-1,0,0,0,
385,730,,0,93,,758,,-1,,-1,,-1,,-1,0,0,0,
386,731,,0,100,,102,,-1,,-1,,-1,,-1,0,0,0,
387,732,,0,408,,720,,723,,23,,-1,,-1,0,0,0,
388,733,,0,4,,755,,346,,-1,,-1,,-1,0,0,0,
389,734,,0,49,,309,,-1,,-1,,-1,,-1,0,0,0,
390,735,,0,731,,101,,-1,,-1,,-1,,-1,0,0,0,
391,737,,0,14,,79,,217,,-1,,-1,,-1,0,0,0,
392,738,,0,602,,718,,-1,,-1,,-1,,-1,0,0,0,
393,739,,0,718,,409,,-1,,-1,,-1,,-1,0,0,0,
394,740,,0,721,,142,,-1,,-1,,-1,,-1,0,0,0,
395,741,,0,722,,135,,-1,,-1,,-1,,-1,0,0,0,
396,742,,0,611,,309,,306,,141,,-1,,-1,0,0,0,
397,743,,0,739,,223,,-1,,-1,,-1,,-1,0,0,0,
398,744,,0,26,,192,,402,,-1,,-1,,-1,0,0,0,
399,745,,0,727,,192,,-1,,-1,,-1,,-1,0,0,0,
400,747,,0,2,,136,,-1,,-1,,-1,,-1,0,0,0,
401,748,,0,148,,107,,-1,,-1,,-1,,-1,0,0,0,
402,749,,0,116,,688,,-1,,-1,,-1,,-1,0,0,0,
