string2 0,empty 1,empty 2,empty 3,string2 4,bool 5,bool 6,bool 7,bool 8,bool 9,bool 10,bool 11,bool 12,int 13,int 14,int 15,int 16,int 17,int 18,empty 19,int 20,int 21,string2 22,string2 23,string2 24,string2 25,string2 26,string2 27
"bird_001","","","","char_BIRDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"blimp_001","","","","char_BLIMPMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"bota_001","","","","char_BOTAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"bui_001","","","","char_V-MON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"cere_001","","","","char_CERESMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"cerem_001","","","","char_CERESMON_MEDIUM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"chadu_001","","","","char_CHAOSDUKEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"chaos_001","","","","char_CHAOSMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"chdes_001","","","","char_CHRONOMON_DESTROY",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"chiri_001","","","","char_TYILINMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"chro_001","","","","char_CHRONOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"chu_001","","","","char_TYUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"claan_001","","","","char_CLAVISANGEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"clock_001","","","","char_CLOCKMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common001","","","","",1,1,1,0,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common002","","","","",1,1,1,0,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common003","","","","",1,1,1,0,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common004","","","","",1,1,1,0,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common005","","","","",0,1,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common006","","","","",0,1,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common007","","","","",0,1,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common008","","","","",0,1,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common009","","","","",1,0,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common010","","","","",1,0,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common011","","","","",1,0,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common012","","","","",1,0,1,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common013","","","","",1,1,0,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common014","","","","",1,1,0,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common015","","","","",1,1,0,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common016","","","","",1,1,0,1,1,0,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common017","","","","",1,1,1,0,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common018","","","","",1,1,1,0,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common019","","","","",1,1,1,0,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common020","","","","",1,1,1,0,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common021","","","","",0,1,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common022","","","","",0,1,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common023","","","","",0,1,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common024","","","","",0,1,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common025","","","","",1,0,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common026","","","","",1,0,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common027","","","","",1,0,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common028","","","","",1,0,1,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common029","","","","",1,1,0,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common030","","","","",1,1,0,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common031","","","","",1,1,0,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common032","","","","",1,1,0,1,0,1,0,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common033","","","","",1,1,1,0,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common034","","","","",1,1,1,0,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common035","","","","",1,1,1,0,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common036","","","","",1,1,1,0,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common037","","","","",0,1,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common038","","","","",0,1,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common039","","","","",0,1,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common040","","","","",0,1,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common041","","","","",1,0,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common042","","","","",1,0,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common043","","","","",1,0,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common044","","","","",1,0,1,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common045","","","","",1,1,0,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common046","","","","",1,1,0,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common047","","","","",1,1,0,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common048","","","","",1,1,0,1,0,0,1,0,0,0,0,0,100,0,"",0,0,"","","","","",""
"common049","","","","",1,1,1,0,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common050","","","","",1,1,1,0,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common051","","","","",1,1,1,0,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common052","","","","",1,1,1,0,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common053","","","","",0,1,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common054","","","","",0,1,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common055","","","","",0,1,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common056","","","","",0,1,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common057","","","","",1,0,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common058","","","","",1,0,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common059","","","","",1,0,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common060","","","","",1,0,1,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common061","","","","",1,1,0,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common062","","","","",1,1,0,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common063","","","","",1,1,0,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"common064","","","","",1,1,0,1,0,0,0,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"coro_001","","","","char_CORONAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"cydora_001","","","","char_CYBERDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"dago_001","","","","char_DAGOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"demon_001","","","","char_DEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"dera_001","","","","char_DELUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"deta_001","","","","char_DIGITAMAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"devi_001","","","","char_DEVIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"diana_001","","","","char_DIANAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"doru_001","","","","char_DORUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"duft_001","","","","char_DUFTMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"duftrm_001","","","","char_DUFTMON_LM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"duke_001","","","","char_DUKEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"dukec_001","","","","char_DUKEMON_CM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"duna_001","","","","char_DYNASMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"elec_001","","","","char_ELECMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"ete_001","","","","char_ETEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"exa_001","","","","char_EXAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"exbui_001","","","","char_XV-MON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"falco_001","","","","char_FALCOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"fanbi_001","","","","char_FUNBEEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"flo_001","","","","char_FLORAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"fly_001","","","","char_FLYMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"freyd_001","","","","char_FLAMEDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"fuga_001","","","","char_FUGAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gabe_001","","","","char_GERBEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gabu_001","","","","char_GABUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gaji_001","","","","char_GAZIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gal_001","","","","char_GARGOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gall_001","","","","char_GARURUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gani_001","","","","char_GANIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"ganku_001","","","","char_GANKOOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gao_001","","","","char_GAOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gaoga_001","","","","char_GAOGAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"garuda_001","","","","char_GARUDAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"garumu_001","","","","char_GARUMMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gawa_001","","","","char_GAWAPPAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"geko_001","","","","char_GEKOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"geogra_001","","","","char_GEOGREYMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"giru_001","","","","char_GUILMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"giza_001","","","","char_GIZAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"glade_001","","","","char_GRADEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gloco_001","","","","char_GROUNDLOCOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gnov_001","","","","char_GRACENOVAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gob_001","","","","char_GOBURIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"god_001","","","","char_GODDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"goma_001","","","","char_GOMAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gotsu_001","","","","char_GOTTSUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"graw_001","","","","char_GROWMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"gray_001","","","","char_GREYMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"guard_001","","","","char_GUARDROMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"guraleo_001","","","","char_GRAPLEOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"hack_001","","","","char_HACKMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"hag_001","","","","char_HAGURUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"hawk_001","","","","char_HAWKMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"herac_001","","","","char_HERCULESKABUTERIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"hiand_001","","","","char_HIANDROMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"hoe_001","","","","char_WHAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"holyan_001","","","","char_HOLYANGEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"holyd_001","","","","char_HOLYDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"horus_001","","","","char_HOLSMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"houo_001","","","","char_HOUOUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"hyoga_001","","","","char_HYOUGAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"ikka_001","","","","char_IKKAKUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"imp_001","","","","char_IMPMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"impe_001","","","","char_IMPERIALDRAMON_FM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"jagame_001","","","","char_JUMBOGAMEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"jies_001","","","","char_JESMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"jure_001","","","","char_JYUREIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"justi_001","","","","char_JUSTIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kabute_001","","","","char_KABUTERIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kaigra_001","","","","char_KAISERGREYMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kame_001","","","","char_KAMEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kelbi_001","","","","char_KERPYMON_BAD",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kiwi_001","","","","char_KIWIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"knight_001","","","","char_KNIGHTMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kokuw_001","","","","char_KOKUWAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"koro_001","","","","char_KOROMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kote_001","","","","char_KOTEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kuda_001","","","","char_KUDAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kure_001","","","","char_CRANIAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kuwa_001","","","","char_KUWAGAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"kyubi_001","","","","char_KYUBIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lala_001","","","","char_LALAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lasty_001","","","","char_RUSTTYRANOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"ldevi_001","","","","char_LADYDEVIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lena_001","","","","char_RENAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"levi_001","","","","char_LEVIAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lili_001","","","","char_LILLYMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lilis_001","","","","char_LILITHMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"loco_001","","","","char_LOCOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lokni_001","","","","char_LOADKNIGHTMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lop_001","","","","char_LOPMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"luna_001","","","","char_LUNAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"lyla_001","","","","char_LILAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"machg_001","","","","char_MACHGAOGAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"magul_001","","","","char_MAGNAGARURUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mame_001","","","","char_MAMEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mari_001","","","","char_MARINEANGEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mars_001","","","","char_MARSMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mash_001","","","","char_MUSHMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mdora_001","","","","char_MEGADRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mduke_001","","","","char_MEDIEVALDUKEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"megag_001","","","","char_MEGAGROWLMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"megas_001","","","","char_MEGASEADRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"megi_001","","","","char_MEGIDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mel_001","","","","char_MERCURYMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mera_001","","","","char_MERAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"meruv_001","","","","char_MERVAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"metals_001","","","","char_METALSEADRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mete_001","","","","char_METALETEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"metma_001","","","","char_METALMAMEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mgaob_001","","","","char_MIRAGEGAOGAMON_BM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mgra_001","","","","char_METALGREYMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mgul_001","","","","char_METALGARURUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mgulb_001","","","","char_MAGNAGARURUMON_SEPARATION",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"migao_001","","","","char_MIRAGEGAOGAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"mine_001","","","","char_MINERVAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
